number,rewards,variances,exploration_value
0,[-5.14220 0.26834 0.26834],[6.00040 0.97594 0.97594],0.9988953697090716
100,[-5.88071 -0.00684 -0.00684],[14.06597 1.41003 1.41003],0.9797606658876263
200,[-8.57393 0.89381 0.89381],[8.32979 0.32999 0.32999],0.9609925038496699
300,[-7.16284 0.80405 0.80405],[2.44169 0.41677 0.41677],0.9425838621706605
400,[-2.40728 0.21649 0.21649],[1.18045 0.02617 0.02617],0.9245278539275122
500,[-2.66070 -0.26395 -0.26395],[1.42665 0.25903 0.25903],0.9068177241220878
600,[-7.65560 1.43991 1.43991],[32.16443 2.23510 2.23510],0.889446847154093
700,[-10.85364 1.19817 1.19817],[20.52666 0.92047 0.92047],0.8724087243423219
800,[-6.33732 0.47576 0.47576],[30.58558 1.48566 1.48566],0.8556969814934174
900,[-6.01917 0.65319 0.65319],[10.37363 0.23581 0.23581],0.8393053665172148
1000,[-2.16829 -0.61137 -0.61137],[3.41216 1.67335 1.67335],0.8232277470877281
1100,[-2.79410 -0.15685 -0.15685],[5.18391 0.67767 0.67767],0.8074581083489812
1200,[-5.98283 0.26634 0.26634],[28.97694 1.52587 1.52587],0.7919905506647517
1300,[-4.30255 0.12334 0.12334],[3.74803 0.89136 0.89136],0.7768192874114557
1400,[-8.89387 1.19748 1.19748],[22.59819 3.53529 3.53529],0.7619386428132808
1500,[-4.66588 0.38147 0.38147],[7.55428 0.14015 0.14015],0.7473430498187978
1600,[-3.65832 -0.29321 -0.29321],[2.40058 0.62618 0.62618],0.7330270480182665
1700,[-5.85692 0.14978 0.14978],[4.97758 0.12221 0.12221],0.7189852816008054
1800,[-7.18585 0.42638 0.42638],[6.69377 0.44776 0.44776],0.705212497350724
1900,[-2.14140 -0.84403 -0.84403],[0.68389 0.22610 0.22610],0.6917035426822101
2000,[-4.15522 -0.02194 -0.02194],[15.64420 0.97819 0.97819],0.6784533637116886
2100,[-5.75860 0.33260 0.33260],[4.48288 0.56040 0.56040],0.6654570033670938
2200,[-4.72019 0.14171 0.14171],[5.93497 1.08251 1.08251],0.6527095995333525
2300,[-3.62507 -0.14361 -0.14361],[2.49543 0.33016 0.33016],0.6402063832334086
2400,[-3.86271 0.09657 0.09657],[12.15124 0.91816 0.91816],0.6279426768440843
2500,[-5.23907 0.37113 0.37113],[10.59711 1.14854 1.14854],0.6159138923461105
2600,[-2.19374 0.39269 0.39269],[2.44912 0.21965 0.21965],0.6041155296076918
2700,[-1.79071 -0.44721 -0.44721],[1.54056 0.73802 0.73802],0.5925431747009424
2800,[-7.61110 0.92466 0.92466],[6.32380 0.44994 0.44994],0.5811924982505915
2900,[-3.80400 0.61259 0.61259],[3.65710 0.59670 0.59670],0.5700592538142826
3000,[-3.27421 -0.25795 -0.25795],[5.96642 0.62076 0.62076],0.5591392762939287
3100,[-5.74142 0.33460 0.33460],[12.64039 0.64777 0.64777],0.5484284803774964
3200,[-2.00369 -0.59968 -0.59968],[2.64302 0.11886 0.11886],0.5379228590106419
3300,[-4.87024 0.47100 0.47100],[1.76686 0.30126 0.30126],0.5276184818975981
3400,[-7.84677 0.56502 0.56502],[10.18648 0.43655 0.43655],0.5175114940308205
3500,[-1.91741 -0.42177 -0.42177],[0.29219 0.18905 0.18905],0.5075981142487541
3600,[-4.63657 0.12389 0.12389],[6.54735 0.33390 0.33390],0.4978746338212661
3700,[-2.87813 -0.36700 -0.36700],[3.31784 0.37020 0.37020],0.48833741506215295
3800,[-3.46887 -0.59268 -0.59268],[1.15358 0.03919 0.03919],0.47898288996823385
3900,[-2.77620 -0.44642 -0.44642],[4.19166 0.31098 0.31098],0.46980755888450715
4000,[-1.23347 -0.49439 -0.49439],[0.21895 0.05031 0.05031],0.4608079891948918
4100,[-3.05768 0.04751 0.04751],[6.25260 0.41155 0.41155],0.45198081403803075
4200,[-1.33762 -1.01734 -1.01734],[0.83172 0.12843 0.12843],0.4433227310477052
4300,[-2.33772 -0.35310 -0.35310],[2.26997 0.59145 0.59145],0.43483050111737453
4400,[-6.39409 1.25711 1.25711],[29.39962 1.55915 1.55915],0.42650094718838294
4500,[-3.79842 0.22385 0.22385],[5.68619 0.54331 0.54331],0.4183309530613763
4600,[-1.79740 -0.59594 -0.59594],[0.22058 0.97133 0.97133],0.41031746223049576
4700,[-2.35384 0.04486 0.04486],[0.70999 0.53591 0.53591],0.4024574767398885
4800,[-1.48529 -0.31393 -0.31393],[1.50365 0.51921 0.51921],0.39474805606213775
4900,[-2.01584 0.38010 0.38010],[3.33266 0.23226 0.23226],0.3871863159981707
5000,[-2.02738 -0.72369 -0.72369],[0.93393 0.18109 0.18109],0.37976942759823823
5100,[-1.16692 -0.93268 -0.93268],[0.15701 0.24675 0.24675],0.37249461610356654
5200,[-0.91032 -0.42306 -0.42306],[0.66667 0.48641 0.48641],0.36535915990828843
5300,[-0.75846 -0.08672 -0.08672],[0.24983 0.25953 0.25953],0.3583603895412437
5400,[-3.85235 0.36382 0.36382],[2.88053 0.36871 0.36871],0.35149568666730197
5500,[-1.92360 -0.10551 -0.10551],[0.69514 0.08409 0.08409],0.34476248310780105
5600,[-3.33188 0.31629 0.31629],[1.08817 0.24042 0.24042],0.33815825987976045
5700,[-0.86405 -0.70493 -0.70493],[0.10455 0.32774 0.32774],0.33168054625349885
5800,[-1.81314 -0.11559 -0.11559],[1.47372 0.26181 0.26181],0.32532691882829134
5900,[-0.91690 -0.08068 -0.08068],[0.63130 0.22313 0.22313],0.3190950006257518
6000,[-1.29017 -0.43813 -0.43813],[0.40699 0.23760 0.23760],0.312982460200566
6100,[-0.74654 0.09402 0.09402],[0.29920 0.38038 0.38038],0.3069870107682693
6200,[-1.89340 0.14649 0.14649],[0.84542 0.24230 0.24230],0.30110640934973165
6300,[-2.78361 0.67388 0.67388],[8.07649 1.31461 1.31461],0.29533845593202374
6400,[-2.17492 -0.12264 -0.12264],[0.49981 0.08629 0.08629],0.2896809926453638
6500,[-0.74209 -0.13343 -0.13343],[0.34870 0.41211 0.41211],0.2841319029558341
6600,[-1.29816 -0.24694 -0.24694],[0.32484 0.97293 0.97293],0.27868911087355025
6700,[-1.83177 -0.70293 -0.70293],[0.75103 0.52856 0.52856],0.27335058017600533
6800,[-1.70212 -0.43248 -0.43248],[1.28934 0.46027 0.46027],0.26811431364629784
