iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
0,100,58.47711,1.56962,58.01383,1.57306,58.10411,1.57122
1,200,25.32580,1.52463,22.15596,1.52129,22.60519,1.52207
2,300,4.74006,1.47199,4.48887,1.46617,4.72101,1.47348
3,400,2.60471,1.42665,2.10180,1.41648,2.15074,1.42288
4,500,1.48852,1.39192,1.35493,1.39769,1.24999,1.39164
5,600,1.30254,1.37914,1.17839,1.38095,1.03247,1.37603
6,700,1.01962,1.37435,1.03163,1.37256,1.08334,1.37572
7,800,1.12277,1.36572,1.09347,1.36374,1.07935,1.36188
8,900,1.15674,1.35703,1.07370,1.35108,1.09951,1.35478
9,1000,1.06059,1.33606,1.05579,1.33898,1.01994,1.33154
10,1100,1.06897,1.31652,0.95744,1.31523,0.95906,1.32657
11,1200,0.93643,1.30980,1.05647,1.30452,1.04415,1.30626
12,1300,1.06765,1.30009,1.08266,1.29339,0.94247,1.29508
13,1400,0.98285,1.28393,1.01394,1.28374,1.03792,1.28409
14,1500,1.04501,1.27069,1.03720,1.27374,1.02693,1.27885
15,1600,1.06976,1.26531,0.96453,1.26252,1.03881,1.25853
16,1700,1.07375,1.25250,1.01090,1.25471,0.97193,1.25274
17,1800,0.93757,1.24562,1.05525,1.24047,1.12792,1.23489
18,1900,1.01185,1.23195,1.02061,1.23522,0.92588,1.22540
19,2000,1.07346,1.20847,1.05276,1.21483,1.00585,1.21641
20,2100,0.99151,1.20579,1.00881,1.20517,0.92383,1.20855
21,2200,0.94597,1.19015,1.07315,1.19436,0.95972,1.19473
22,2300,1.06353,1.18773,1.05799,1.18878,0.89138,1.17922
23,2400,1.02313,1.17635,1.10644,1.17248,1.04923,1.16932
24,2500,1.14375,1.15739,0.94441,1.15896,1.02570,1.15826
25,2600,0.98024,1.15322,1.02478,1.15446,1.04070,1.15669
26,2700,0.94146,1.14748,0.93365,1.14374,0.93719,1.14462
27,2800,0.91278,1.12908,1.01106,1.12472,0.96733,1.12708
28,2900,0.91950,1.11519,1.05441,1.11776,0.97425,1.11610
29,3000,1.05918,1.10646,1.03992,1.10843,1.06693,1.11039
30,3100,1.03793,1.09504,0.96722,1.09697,0.87806,1.09465
31,3200,0.89904,1.09134,1.02042,1.09471,0.99920,1.07883
32,3300,0.93069,1.07375,1.07739,1.07165,1.01412,1.07423
33,3400,1.01922,1.06315,0.98230,1.06510,0.94848,1.06556
34,3500,0.99004,1.05126,1.05381,1.05612,1.02060,1.05027
35,3600,0.98867,1.04980,0.93294,1.04109,0.97019,1.04003
36,3700,0.97913,1.03047,0.91225,1.03532,1.04242,1.02801
37,3800,1.05567,1.01723,0.94960,1.01348,1.03633,1.01830
38,3900,1.03965,1.01191,0.97366,1.00694,1.08635,1.00614
39,4000,0.91520,0.99148,0.91506,0.98948,1.01590,0.99094
40,4100,1.05182,0.98597,0.99757,0.99001,0.97375,0.98412
41,4200,0.97525,0.96958,0.94051,0.96993,0.99078,0.97079
42,4300,1.00089,0.95703,1.12986,0.95906,0.95397,0.95576
43,4400,0.97672,0.94302,1.00494,0.94242,0.99156,0.94605
44,4500,0.89120,0.92799,1.08093,0.93683,1.04837,0.93545
45,4600,0.98911,0.92209,1.01762,0.92142,0.99086,0.91992
46,4700,0.96931,0.91335,1.03358,0.91040,1.01103,0.91111
47,4800,0.92467,0.89684,1.05557,0.90333,1.05806,0.90501
48,4900,0.98769,0.88832,1.00861,0.89532,0.98990,0.88756
49,5000,1.08176,0.88074,1.12475,0.88235,1.01598,0.87495
50,5100,1.09344,0.86731,0.96344,0.86467,1.14263,0.86914
51,5200,0.98287,0.85212,1.03596,0.85385,1.15334,0.85512
52,5300,1.00882,0.84107,0.99207,0.83918,1.03729,0.83920
53,5400,0.90297,0.82755,0.98772,0.82124,0.96893,0.81837
54,5500,0.92946,0.82017,0.95786,0.81210,1.05753,0.81521
55,5600,1.08951,0.80072,1.16677,0.80835,1.10635,0.80770
56,5700,1.02031,0.79416,1.08876,0.79760,0.89842,0.79835
57,5800,1.03207,0.78779,1.05545,0.78586,1.01335,0.78135
58,5900,0.97095,0.78068,1.14797,0.77329,0.98735,0.77608
59,6000,1.00418,0.76399,1.05515,0.76492,0.97726,0.76732
60,6100,0.93044,0.75683,1.12032,0.75663,1.00175,0.75347
61,6200,1.07189,0.75261,0.98670,0.74383,0.94501,0.74576
