number,rewards,variances,exploration_value
0,[-5.38724 1.41529 1.41529],[15.95243 0.26622 0.26622],0.9988953697090716
100,[-5.57866 0.25524 0.25524],[14.62348 0.78019 0.78019],0.9797606658876263
200,[-3.86444 0.55309 0.55309],[19.25449 0.94004 0.94004],0.9609925038496699
300,[-3.88834 0.00869 0.00869],[6.31420 0.32848 0.32848],0.9425838621706605
400,[-4.71788 0.60050 0.60050],[3.11543 0.78552 0.78552],0.9245278539275122
500,[-4.50734 0.76356 0.76356],[8.21570 0.66205 0.66205],0.9068177241220878
600,[-3.20808 0.66184 0.66184],[11.34938 0.25149 0.25149],0.889446847154093
700,[-5.08228 1.03713 1.03713],[14.15914 0.20802 0.20802],0.8724087243423219
800,[-4.38355 0.59150 0.59150],[9.46137 0.19371 0.19371],0.8556969814934174
900,[-3.52321 0.50987 0.50987],[3.08306 0.44480 0.44480],0.8393053665172148
1000,[-5.03435 1.10350 1.10350],[5.73703 0.03389 0.03389],0.8232277470877281
1100,[-2.59782 0.78013 0.78013],[3.70548 0.22898 0.22898],0.8074581083489812
1200,[-8.11576 1.56561 1.56561],[22.16922 0.87089 0.87089],0.7919905506647517
1300,[-3.54826 1.06934 1.06934],[4.35052 0.55546 0.55546],0.7768192874114557
1400,[-2.04739 0.22653 0.22653],[0.25284 0.05285 0.05285],0.7619386428132808
1500,[-2.81138 0.35259 0.35259],[4.25191 0.67011 0.67011],0.7473430498187978
1600,[-2.22213 0.54509 0.54509],[0.30722 0.09478 0.09478],0.7330270480182665
1700,[-4.01677 0.75959 0.75959],[25.97807 0.95775 0.95775],0.7189852816008054
1800,[-3.36866 0.37032 0.37032],[8.70688 1.23940 1.23940],0.705212497350724
1900,[-1.83172 0.38242 0.38242],[0.77536 0.21413 0.21413],0.6917035426822101
2000,[-1.66892 0.00491 0.00491],[0.32866 0.17529 0.17529],0.6784533637116886
2100,[-1.45054 0.08253 0.08253],[0.18999 0.07652 0.07652],0.6654570033670938
2200,[-0.75919 -0.13471 -0.13471],[0.47508 0.29933 0.29933],0.6527095995333525
2300,[-1.49714 0.15956 0.15956],[0.23068 0.27438 0.27438],0.6402063832334086
2400,[-0.92965 -0.08347 -0.08347],[0.27249 0.34364 0.34364],0.6279426768440843
2500,[-2.19284 0.12461 0.12461],[0.56270 0.12392 0.12392],0.6159138923461105
2600,[-0.87351 0.06075 0.06075],[0.11804 0.09215 0.09215],0.6041155296076918
2700,[-0.76944 0.13585 0.13585],[0.08468 0.29280 0.29280],0.5925431747009424
2800,[-1.12601 -0.00568 -0.00568],[0.67564 0.18054 0.18054],0.5811924982505915
2900,[-0.65210 0.26938 0.26938],[0.16483 0.12544 0.12544],0.5700592538142826
3000,[-0.54994 -0.26813 -0.26813],[0.17340 0.14603 0.14603],0.5591392762939287
3100,[-0.95264 0.47011 0.47011],[0.32198 0.06823 0.06823],0.5484284803774964
3200,[-0.88216 0.24865 0.24865],[0.03736 0.27681 0.27681],0.5379228590106419
3300,[-0.68259 0.15172 0.15172],[0.24047 0.05194 0.05194],0.5276184818975981
3400,[-0.67740 0.18094 0.18094],[0.16178 0.17209 0.17209],0.5175114940308205
3500,[-1.17102 0.43971 0.43971],[0.59933 0.10427 0.10427],0.5075981142487541
3600,[-1.30442 0.56754 0.56754],[0.46394 0.10947 0.10947],0.4978746338212661
3700,[-0.67762 0.22611 0.22611],[0.05273 0.01522 0.01522],0.48833741506215295
3800,[-1.21213 0.37783 0.37783],[0.71948 0.06724 0.06724],0.47898288996823385
3900,[-0.73374 0.08286 0.08286],[0.14089 0.08895 0.08895],0.46980755888450715
4000,[-1.06034 0.53926 0.53926],[0.49514 0.21661 0.21661],0.4608079891948918
4100,[-1.11664 0.25822 0.25822],[0.15033 0.10404 0.10404],0.45198081403803075
4200,[-0.69052 0.27752 0.27752],[0.32738 0.30347 0.30347],0.4433227310477052
4300,[-0.91596 0.69325 0.69325],[0.32389 0.10910 0.10910],0.43483050111737453
4400,[-0.25029 -0.00015 -0.00015],[0.08061 0.02450 0.02450],0.42650094718838294
4500,[-0.26691 -0.10919 -0.10919],[0.05457 0.11855 0.11855],0.4183309530613763
4600,[-0.56116 0.20783 0.20783],[0.21200 0.18491 0.18491],0.41031746223049576
4700,[-0.71606 -0.05488 -0.05488],[0.12178 0.18166 0.18166],0.4024574767398885
4800,[-1.22471 0.45909 0.45909],[0.61083 0.22310 0.22310],0.39474805606213775
4900,[-0.70283 0.21140 0.21140],[0.14514 0.06799 0.06799],0.3871863159981707
5000,[-0.81985 0.34062 0.34062],[0.38756 0.23993 0.23993],0.37976942759823823
5100,[-0.65126 0.39179 0.39179],[0.07410 0.04021 0.04021],0.37249461610356654
5200,[-0.40895 0.05475 0.05475],[0.14876 0.09933 0.09933],0.36535915990828843
5300,[-0.34560 -0.02523 -0.02523],[0.04532 0.02810 0.02810],0.3583603895412437
5400,[-0.41373 -0.06195 -0.06195],[0.01906 0.02500 0.02500],0.35149568666730197
5500,[-0.76298 0.29610 0.29610],[0.31116 0.07717 0.07717],0.34476248310780105
5600,[-0.60267 0.16623 0.16623],[0.24375 0.06136 0.06136],0.33815825987976045
5700,[-0.45313 0.13926 0.13926],[0.12205 0.04548 0.04548],0.33168054625349885
5800,[-0.41758 -0.00017 -0.00017],[0.04368 0.00044 0.00044],0.32532691882829134
5900,[-0.30359 0.09256 0.09256],[0.02286 0.03218 0.03218],0.3190950006257518
6000,[-0.90747 0.44974 0.44974],[0.10992 0.10200 0.10200],0.312982460200566
6100,[-0.62632 0.09633 0.09633],[0.16628 0.00236 0.00236],0.3069870107682693
6200,[-0.59504 0.34514 0.34514],[0.05260 0.04139 0.04139],0.30110640934973165
6300,[-0.49760 0.24468 0.24468],[0.03042 0.03690 0.03690],0.29533845593202374
6400,[-0.40976 -0.04599 -0.04599],[0.05823 0.00373 0.00373],0.2896809926453638
6500,[-0.45018 0.02037 0.02037],[0.18318 0.02761 0.02761],0.2841319029558341
6600,[-0.64871 0.12650 0.12650],[0.11446 0.07272 0.07272],0.27868911087355025
6700,[-0.63363 0.19771 0.19771],[0.13363 0.01729 0.01729],0.27335058017600533
6800,[-0.51738 0.25683 0.25683],[0.10640 0.06771 0.06771],0.26811431364629784
