iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
0,100,4.13270,0.32971,4.80908,0.33551,4.71907,0.33784
1,200,2.10632,0.26104,2.27777,0.26139,2.16018,0.26311
2,300,2.01517,0.25433,2.11900,0.25908,2.10258,0.25147
3,400,1.86253,0.25152,1.97380,0.25568,1.98879,0.25391
4,500,1.72100,0.24108,1.96362,0.25473,1.88502,0.25022
5,600,1.78846,0.23910,1.96463,0.25474,1.92706,0.24534
6,700,1.68984,0.23401,1.98582,0.25376,1.86725,0.24235
7,800,1.75642,0.23118,1.92608,0.25184,1.94024,0.23685
8,900,1.73554,0.22905,1.92149,0.24907,1.82968,0.23570
9,1000,1.70786,0.22848,1.96055,0.24932,1.88015,0.23547
10,1100,1.64338,0.22505,1.88471,0.24845,1.84777,0.23549
11,1200,1.85801,0.22385,1.90671,0.24418,1.89631,0.23683
12,1300,1.79619,0.22109,1.89563,0.24231,1.90667,0.23748
13,1400,1.74052,0.21694,2.02871,0.24433,1.89339,0.23538
14,1500,1.82531,0.21904,1.96587,0.24328,1.92535,0.23333
15,1600,1.72398,0.21748,1.83250,0.24321,1.91024,0.23559
16,1700,1.88411,0.21864,1.97456,0.24416,1.93781,0.23718
17,1800,1.72013,0.21871,1.95369,0.24328,1.94201,0.23835
18,1900,1.84990,0.22142,2.04797,0.24585,1.88203,0.23884
19,2000,1.74333,0.22238,1.92294,0.24642,1.95303,0.23608
20,2100,1.81748,0.22188,1.95411,0.24280,1.84726,0.23939
21,2200,1.78688,0.22353,1.90347,0.24332,1.80722,0.23463
22,2300,1.82814,0.22345,1.94400,0.24049,1.87083,0.23462
23,2400,1.83458,0.22411,1.92119,0.23928,1.91175,0.23773
24,2500,1.88074,0.22490,1.85034,0.24040,1.97689,0.23503
25,2600,1.79297,0.22273,1.89118,0.23865,1.93016,0.23615
26,2700,1.73932,0.22110,1.89851,0.24138,1.92228,0.23529
27,2800,1.85316,0.22216,1.87073,0.23865,1.86179,0.23554
28,2900,1.84259,0.22221,1.87167,0.23760,1.89533,0.23586
29,3000,1.81286,0.21831,1.85824,0.23762,1.88761,0.23684
30,3100,1.76507,0.22109,1.94237,0.23669,1.91377,0.23669
31,3200,1.73602,0.22113,1.85088,0.23467,1.96996,0.23892
32,3300,1.82609,0.21941,1.92564,0.23648,1.91554,0.23566
33,3400,1.78499,0.22134,1.92532,0.23249,1.84515,0.23565
34,3500,1.75658,0.22250,1.88204,0.23328,1.85857,0.23310
35,3600,1.85248,0.22358,1.95862,0.23407,1.91804,0.23612
36,3700,1.81013,0.22254,1.76944,0.22796,1.80638,0.23415
37,3800,1.80481,0.22370,1.88235,0.23089,1.89562,0.23446
38,3900,1.89448,0.22417,1.85251,0.22829,1.90540,0.23485
39,4000,1.81162,0.22529,1.94722,0.23221,1.87572,0.23656
40,4100,1.85559,0.22782,1.86575,0.23096,1.85389,0.23557
41,4200,1.86369,0.22387,1.97756,0.23024,1.93258,0.23607
42,4300,1.69540,0.22513,1.94840,0.22961,1.91927,0.23485
43,4400,1.83392,0.22577,1.85535,0.23041,1.82700,0.23452
44,4500,1.93566,0.22691,1.81399,0.22673,1.88890,0.23657
45,4600,1.81404,0.22767,1.82953,0.22867,1.84010,0.23626
46,4700,1.82393,0.22809,1.83348,0.22723,1.84469,0.23334
47,4800,1.77629,0.22720,1.75283,0.22564,1.89757,0.23381
48,4900,1.83398,0.22849,1.85433,0.22695,1.96366,0.23418
49,5000,1.93413,0.22756,1.85324,0.22474,1.82598,0.23243
50,5100,1.93859,0.22736,1.82128,0.22314,1.90691,0.23683
51,5200,1.78833,0.22579,1.82348,0.22491,1.95863,0.23826
52,5300,1.95357,0.22835,1.76975,0.22696,2.01023,0.23736
53,5400,1.83788,0.22717,1.80943,0.22660,1.83335,0.23593
54,5500,1.95641,0.22887,1.88832,0.22674,1.79219,0.23510
55,5600,1.87680,0.22738,1.80666,0.22520,1.90092,0.23840
56,5700,2.00997,0.22715,1.87897,0.22539,1.89836,0.23778
57,5800,1.93077,0.22888,1.78217,0.22482,1.92303,0.23671
58,5900,1.69704,0.22971,1.90428,0.22530,1.87496,0.23968
59,6000,1.94003,0.23168,1.93679,0.22869,1.87073,0.23534
60,6100,2.05707,0.22962,1.81283,0.22538,1.82811,0.23558
61,6200,1.86552,0.23045,1.90194,0.22435,1.76263,0.23872
62,6300,2.04911,0.22707,1.75703,0.22605,1.90895,0.23770
63,6400,1.85219,0.22798,1.86616,0.22705,1.94031,0.23790
64,6500,1.86914,0.22689,1.90138,0.22310,1.83196,0.23701
65,6600,1.91904,0.22645,1.93281,0.22623,1.93434,0.23586
66,6700,1.97118,0.22935,1.94804,0.22743,1.93175,0.23717
67,6800,2.03458,0.22592,1.80567,0.22482,2.01161,0.23815
68,6900,2.07038,0.22966,1.89724,0.22740,1.92059,0.23626
69,7000,1.95518,0.22847,1.91792,0.22594,2.04944,0.23804
70,7100,1.93677,0.22757,1.92524,0.22566,1.89258,0.23631
71,7200,2.07083,0.22589,1.98968,0.22773,1.97238,0.23748
72,7300,1.94870,0.22713,1.89467,0.22760,1.87308,0.23536
73,7400,1.87967,0.22653,1.96964,0.22612,2.00247,0.23718
74,7500,1.99842,0.22554,2.08211,0.22736,1.94993,0.23678
75,7600,1.97007,0.22874,1.94887,0.22651,1.85663,0.23400
76,7700,1.92601,0.22695,1.87336,0.22755,1.87780,0.23717
77,7800,2.07041,0.22474,1.95787,0.22743,1.95814,0.23663
78,7900,2.06973,0.22611,1.93493,0.22652,2.06334,0.23627
79,8000,1.95954,0.22702,2.00769,0.23142,1.98400,0.23831
80,8100,2.05222,0.22523,2.04420,0.22778,2.00231,0.23464
