number,rewards,variances,exploration_value
0,[-5.38724 1.41529 1.41529],[15.95243 0.26622 0.26622],0.9988953697090716
100,[-6.61881 0.44554 0.44554],[13.35073 0.62245 0.62245],0.9797606658876263
200,[-6.11812 1.12090 1.12090],[13.92256 0.94724 0.94724],0.9609925038496699
300,[-2.76803 0.18829 0.18829],[2.03357 0.12193 0.12193],0.9425838621706605
400,[-5.11201 0.62388 0.62388],[2.53341 0.66191 0.66191],0.9245278539275122
500,[-3.68920 0.36020 0.36020],[15.00595 0.73632 0.73632],0.9068177241220878
600,[-5.55712 0.82636 0.82636],[5.57563 0.30108 0.30108],0.889446847154093
700,[-4.52269 0.54791 0.54791],[28.97964 0.46101 0.46101],0.8724087243423219
800,[-2.77401 0.19626 0.19626],[2.15305 0.75052 0.75052],0.8556969814934174
900,[-2.67627 0.09343 0.09343],[0.91570 0.66578 0.66578],0.8393053665172148
1000,[-3.36171 0.85416 0.85416],[3.82092 0.43478 0.43478],0.8232277470877281
1100,[-6.00392 1.07709 1.07709],[7.51768 0.60612 0.60612],0.8074581083489812
1200,[-3.55302 -0.25947 -0.25947],[0.68026 0.54062 0.54062],0.7919905506647517
1300,[-2.75264 0.12480 0.12480],[1.80508 0.59399 0.59399],0.7768192874114557
1400,[-5.81631 0.58419 0.58419],[5.41390 0.69008 0.69008],0.7619386428132808
1500,[-3.90018 -0.83204 -0.83204],[9.66896 0.94438 0.94438],0.7473430498187978
1600,[-3.13444 0.23091 0.23091],[2.00877 0.41969 0.41969],0.7330270480182665
1700,[-3.36257 0.55899 0.55899],[4.25851 0.39406 0.39406],0.7189852816008054
1800,[-2.93744 -0.03263 -0.03263],[2.58553 0.62021 0.62021],0.705212497350724
1900,[-3.18471 0.30753 0.30753],[1.14275 0.34591 0.34591],0.6917035426822101
2000,[-5.90336 0.49647 0.49647],[10.09384 0.80356 0.80356],0.6784533637116886
2100,[-3.53507 0.33438 0.33438],[3.26948 0.34966 0.34966],0.6654570033670938
2200,[-5.49949 0.47308 0.47308],[8.97059 0.09409 0.09409],0.6527095995333525
2300,[-4.14569 0.51524 0.51524],[4.99635 0.46608 0.46608],0.6402063832334086
2400,[-3.33408 -0.03664 -0.03664],[6.35719 0.72494 0.72494],0.6279426768440843
2500,[-3.11874 0.59360 0.59360],[2.44405 0.34836 0.34836],0.6159138923461105
2600,[-2.03274 -0.59466 -0.59466],[1.20437 0.13771 0.13771],0.6041155296076918
2700,[-2.04247 0.10196 0.10196],[0.97631 0.20185 0.20185],0.5925431747009424
2800,[-2.05380 -0.79579 -0.79579],[7.53240 1.78491 1.78491],0.5811924982505915
2900,[-5.64550 0.86405 0.86405],[9.64524 0.80313 0.80313],0.5700592538142826
3000,[-1.21589 -0.39390 -0.39390],[0.37101 0.14206 0.14206],0.5591392762939287
3100,[-1.78079 -0.11898 -0.11898],[1.16147 0.33475 0.33475],0.5484284803774964
3200,[-1.71126 -0.02110 -0.02110],[0.18610 0.30540 0.30540],0.5379228590106419
3300,[-1.76875 0.46063 0.46063],[1.54134 0.49616 0.49616],0.5276184818975981
3400,[-1.22697 -0.70036 -0.70036],[0.41737 0.39944 0.39944],0.5175114940308205
3500,[-3.50644 0.50886 0.50886],[3.21740 0.43483 0.43483],0.5075981142487541
3600,[-1.84190 0.86708 0.86708],[0.57561 0.01342 0.01342],0.4978746338212661
3700,[-4.35369 0.52405 0.52405],[3.17649 0.31485 0.31485],0.48833741506215295
3800,[-1.91077 -0.42928 -0.42928],[1.51513 0.64765 0.64765],0.47898288996823385
3900,[-1.16820 -0.70671 -0.70671],[0.43515 0.27845 0.27845],0.46980755888450715
4000,[-1.34497 -0.21175 -0.21175],[0.64226 0.29067 0.29067],0.4608079891948918
4100,[-2.53868 -0.40188 -0.40188],[3.10063 0.19002 0.19002],0.45198081403803075
4200,[-1.55022 0.06707 0.06707],[0.35875 0.51652 0.51652],0.4433227310477052
