iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,11.55846,0.69854,1.61513,13.20456,0.71916,1.61027,12.97315,0.71412,1.60969
1,200,3.80446,0.69582,1.61394,4.91478,0.71642,1.60982,4.80035,0.71797,1.61026
2,300,1.69389,0.69475,1.61288,1.79211,0.70269,1.61012,1.88388,0.72193,1.60971
3,400,1.23645,0.69833,1.61368,1.16471,0.69208,1.61036,1.18775,0.72236,1.60964
4,500,1.03553,0.69541,1.61310,1.05781,0.68242,1.61028,1.01601,0.71434,1.60952
5,600,1.05588,0.68951,1.61335,1.01873,0.67980,1.61022,0.99548,0.70248,1.61008
6,700,0.94391,0.68586,1.61274,1.00564,0.67249,1.60992,0.93480,0.69752,1.60988
7,800,0.98139,0.68151,1.61302,1.00112,0.66349,1.60980,1.02958,0.69758,1.61008
8,900,0.95350,0.67871,1.61325,0.94251,0.66018,1.60988,0.91384,0.69675,1.60995
9,1000,0.95403,0.67135,1.61272,1.00158,0.66089,1.61002,0.96358,0.68729,1.61007
10,1100,0.87747,0.66983,1.61353,0.94752,0.65382,1.60992,0.87492,0.68427,1.60952
11,1200,1.09974,0.66494,1.61372,0.98393,0.65407,1.60945,0.93861,0.67695,1.60995
12,1300,1.04648,0.66140,1.61284,0.97741,0.64724,1.60926,0.97409,0.67377,1.60942
13,1400,0.99352,0.65759,1.61270,1.06183,0.64221,1.60922,0.91489,0.67343,1.60940
14,1500,0.99407,0.65068,1.61273,0.99082,0.63500,1.60937,1.00976,0.67159,1.60952
15,1600,0.95882,0.64914,1.61318,0.90474,0.63384,1.60970,0.93600,0.66776,1.60962
16,1700,1.10682,0.64808,1.61327,0.98761,0.62942,1.60914,0.97244,0.66441,1.60915
17,1800,0.91165,0.64120,1.61338,0.96861,0.62715,1.60908,0.92373,0.65619,1.60957
18,1900,0.97771,0.63499,1.61235,1.07001,0.61828,1.60898,0.96259,0.65355,1.60943
19,2000,0.89710,0.63403,1.61274,1.04588,0.61073,1.60914,1.00833,0.65246,1.60933
20,2100,0.99463,0.62883,1.61298,1.01515,0.60784,1.60900,0.90994,0.65166,1.60918
21,2200,0.94834,0.62330,1.61255,0.96811,0.60083,1.60902,0.94506,0.64703,1.60924
22,2300,1.02344,0.61842,1.61256,1.05045,0.60091,1.60828,0.97539,0.63774,1.60912
23,2400,1.00529,0.61547,1.61162,0.93833,0.59812,1.60896,0.94433,0.63705,1.60890
24,2500,0.99098,0.60980,1.61233,0.98008,0.59208,1.60886,1.02153,0.63002,1.60892
25,2600,0.90576,0.60663,1.61218,1.05224,0.58817,1.60813,1.00211,0.62514,1.60847
26,2700,0.93071,0.60280,1.61268,1.02762,0.58542,1.60875,1.03202,0.62382,1.60865
27,2800,1.02153,0.59757,1.61101,0.89782,0.58203,1.60866,0.92106,0.61793,1.60833
28,2900,1.03004,0.59299,1.61214,1.01241,0.57528,1.60864,0.99486,0.61174,1.60836
