iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
0,100,72.24805,1.73783,74.57095,1.73800,81.72640,1.82075
1,200,42.67815,1.77191,47.20728,1.76898,52.85219,1.85551
2,300,8.29907,1.81767,10.28349,1.77573,12.03689,1.86696
3,400,4.32823,1.84930,4.73461,1.77668,5.38155,1.85561
4,500,2.16645,1.84515,2.23952,1.76247,2.33212,1.84952
5,600,1.51329,1.84174,1.50894,1.77900,1.43274,1.84000
6,700,1.16362,1.84033,1.24489,1.77066,1.16285,1.85053
7,800,1.12314,1.84468,1.11835,1.76315,1.15622,1.86465
8,900,1.10449,1.84754,1.05927,1.77558,0.99646,1.87582
9,1000,1.03885,1.84522,1.09816,1.79764,1.06468,1.88968
10,1100,0.95917,1.86064,1.04048,1.80423,0.98807,1.90076
11,1200,1.17384,1.85802,1.06998,1.82869,1.03867,1.89480
12,1300,1.08138,1.86403,1.00571,1.82880,1.04197,1.89544
13,1400,1.03717,1.87206,1.16219,1.82474,1.00137,1.91115
14,1500,1.08938,1.86131,1.07347,1.82777,1.09360,1.92310
15,1600,1.06544,1.88609,0.95645,1.84342,1.02841,1.93225
16,1700,1.20317,1.89273,1.06053,1.84227,1.08816,1.94328
17,1800,0.96305,1.87828,1.05463,1.85722,1.04447,1.93374
18,1900,1.03416,1.88908,1.16741,1.84493,1.05652,1.93796
19,2000,0.97837,1.89199,1.14078,1.84637,1.01958,1.96041
20,2100,1.07246,1.89068,1.08797,1.86576,0.96342,1.96297
21,2200,1.05322,1.88994,1.02546,1.86170,1.04030,1.97474
22,2300,1.12525,1.89820,1.14129,1.88726,1.10716,1.97923
23,2400,1.06544,1.89780,1.03261,1.88142,1.13294,1.99105
24,2500,1.11811,1.89044,1.09392,1.87869,1.13817,1.99619
25,2600,1.08279,1.89857,1.14284,1.87590,1.11661,1.98368
26,2700,1.09306,1.90293,1.10311,1.88517,1.11542,1.98567
27,2800,1.12263,1.90368,1.05253,1.89012,1.09333,1.98852
28,2900,1.08969,1.90011,1.07310,1.88240,1.12119,1.99773
29,3000,1.04617,1.90119,1.11049,1.89527,1.07774,1.99868
30,3100,1.03886,1.90400,1.07700,1.88812,1.11773,2.01025
31,3200,0.92455,1.90360,1.05374,1.88185,1.17850,1.99512
32,3300,1.00768,1.89143,1.02756,1.89680,1.10522,2.01515
33,3400,0.96721,1.89758,1.18552,1.89572,1.03141,1.99966
34,3500,1.06636,1.89021,1.00209,1.89500,1.03452,2.00466
35,3600,1.06453,1.91044,1.08521,1.90451,1.15145,2.00659
36,3700,1.01979,1.90053,1.12802,1.90232,1.09525,1.99160
37,3800,1.09004,1.90063,1.14143,1.89983,1.13889,1.98942
38,3900,1.03381,1.87738,1.18503,1.90299,1.15545,1.99415
39,4000,0.99757,1.88986,1.09521,1.90924,1.07948,2.00417
40,4100,1.04933,1.90444,1.07456,1.91084,1.30406,2.00110
41,4200,1.02439,1.90108,1.07879,1.93564,1.19115,2.01069
42,4300,0.91572,1.89887,1.15128,1.91976,1.17087,2.01759
43,4400,1.00999,1.89818,1.23597,1.94389,1.07589,2.00973
44,4500,1.17965,1.88478,1.02078,1.92622,1.18595,2.01900
45,4600,0.99999,1.87633,1.02271,1.92744,1.03378,2.02724
46,4700,0.94980,1.86602,1.04438,1.93399,1.09358,1.99734
47,4800,1.16805,1.85773,1.11279,1.91350,1.43650,2.01405
48,4900,1.08613,1.86454,1.09457,1.93443,1.06883,2.00463
49,5000,1.12820,1.83753,1.06832,1.92336,1.18427,1.99662
50,5100,1.12462,1.84138,1.11169,1.92074,1.17192,1.98860
51,5200,1.08091,1.83246,1.15197,1.93668,1.13239,2.00409
52,5300,1.35860,1.82847,1.23806,1.92127,1.41491,1.99903
53,5400,1.07884,1.82660,1.09349,1.91410,1.16261,1.98372
54,5500,1.28385,1.82274,1.12278,1.90468,1.10996,2.01033
55,5600,1.32837,1.82568,1.16948,1.91990,1.06584,1.99467
56,5700,1.17653,1.82131,1.08044,1.90121,1.29610,1.99905
57,5800,1.18337,1.80203,1.03098,1.89812,1.39527,1.99530
58,5900,0.88433,1.79863,1.25628,1.90310,0.98356,1.99288
59,6000,1.46975,1.79158,1.20183,1.89785,1.09930,1.98543
60,6100,1.02158,1.78716,1.17470,1.89226,1.18551,1.99642
61,6200,0.95793,1.77483,1.09898,1.88567,1.05119,1.97249
62,6300,1.25694,1.77153,0.97310,1.88486,1.19743,1.98592
63,6400,1.26967,1.75823,1.33555,1.90966,1.05629,1.99115
64,6500,1.02944,1.75659,1.14146,1.88549,1.02170,1.96041
65,6600,1.16856,1.75467,1.59786,1.88174,1.16382,1.95803
66,6700,0.96938,1.74593,1.19925,1.91313,1.36532,1.95402
67,6800,1.25905,1.73143,1.27805,1.88351,1.27951,1.95460
68,6900,1.49935,1.74027,1.07386,1.86887,1.06440,1.93664
69,7000,1.06148,1.72283,1.06784,1.87873,1.34956,1.93741
70,7100,1.27303,1.73601,1.34070,1.87190,1.14576,1.93976
71,7200,1.87347,1.72371,1.16551,1.86841,1.08591,1.92204
72,7300,1.58132,1.73061,1.12174,1.88088,1.06595,1.92151
73,7400,1.33211,1.72988,1.20559,1.86637,1.15517,1.91539
74,7500,1.51298,1.72222,1.68314,1.87852,1.19754,1.91771
75,7600,1.12879,1.72088,1.00431,1.86746,1.10243,1.91635
76,7700,1.27472,1.70909,1.12894,1.85744,1.26431,1.91432
77,7800,1.64007,1.71246,1.30496,1.85691,1.92306,1.91024
78,7900,1.03592,1.69394,1.57547,1.83911,1.17004,1.90927
79,8000,1.01405,1.67832,1.20489,1.84675,1.61344,1.89325
80,8100,1.53003,1.68440,1.36259,1.83420,1.14413,1.88056
81,8200,1.55167,1.66400,1.28656,1.83031,1.06442,1.86955
82,8300,1.60576,1.65215,1.35346,1.83605,1.15986,1.87539
83,8400,1.19130,1.64160,1.28733,1.80307,1.07326,1.86961
84,8500,1.10756,1.65011,1.00254,1.80605,1.19160,1.86321
85,8600,0.99820,1.63999,1.08998,1.81623,1.26719,1.85559
86,8700,1.24454,1.62688,1.09672,1.81769,1.52466,1.86821
87,8800,0.92446,1.62234,1.27979,1.80835,1.22522,1.84499
88,8900,1.48200,1.61480,1.08166,1.79384,1.12077,1.83198
89,9000,1.50359,1.61013,1.02571,1.78388,1.22080,1.83193
90,9100,0.93048,1.59914,1.02802,1.79084,1.28551,1.83174
91,9200,1.03015,1.58692,1.26680,1.77226,1.28252,1.82409
92,9300,1.50286,1.57088,1.08623,1.75125,1.09241,1.80939
