number,rewards,variances,exploration_value
0,[-5.38724 1.41529 1.41529],[15.95243 0.26622 0.26622],0.9988953697090716
100,[-4.88092 1.19383 1.19383],[8.94890 0.35441 0.35441],0.9797606658876263
200,[-3.42381 0.89701 0.89701],[6.61346 0.29616 0.29616],0.9609925038496699
300,[-1.80432 -0.06099 -0.06099],[1.21811 0.11667 0.11667],0.9425838621706605
400,[-2.16647 0.04876 0.04876],[2.57565 0.19506 0.19506],0.9245278539275122
500,[-4.17733 0.24016 0.24016],[14.35095 0.33851 0.33851],0.9068177241220878
600,[-4.11739 0.57233 0.57233],[9.45582 0.58103 0.58103],0.889446847154093
700,[-2.89484 0.22553 0.22553],[1.52920 0.32771 0.32771],0.8724087243423219
800,[-3.99764 0.82765 0.82765],[8.51050 0.59276 0.59276],0.8556969814934174
900,[-1.57082 0.18833 0.18833],[0.81251 0.32040 0.32040],0.8393053665172148
1000,[-2.60315 0.76176 0.76176],[2.01239 0.31671 0.31671],0.8232277470877281
1100,[-2.78707 0.42161 0.42161],[3.22458 0.46113 0.46113],0.8074581083489812
1200,[-5.16947 0.45900 0.45900],[19.31097 1.57857 1.57857],0.7919905506647517
1300,[-4.57138 0.28464 0.28464],[11.51938 1.25507 1.25507],0.7768192874114557
1400,[-1.69802 0.01319 0.01319],[1.06775 0.31573 0.31573],0.7619386428132808
1500,[-4.23122 0.51351 0.51351],[11.59582 1.04323 1.04323],0.7473430498187978
1600,[-1.57270 -0.02612 -0.02612],[0.69610 0.09860 0.09860],0.7330270480182665
1700,[-4.10287 0.33498 0.33498],[9.74809 0.66442 0.66442],0.7189852816008054
1800,[-3.70045 0.25640 0.25640],[5.46038 0.35713 0.35713],0.705212497350724
1900,[-2.18751 0.50275 0.50275],[3.34411 0.15429 0.15429],0.6917035426822101
2000,[-2.94150 0.11007 0.11007],[0.84222 0.86082 0.86082],0.6784533637116886
2100,[-2.53194 0.62712 0.62712],[1.79355 0.18877 0.18877],0.6654570033670938
2200,[-2.93770 0.21115 0.21115],[10.03196 0.28445 0.28445],0.6527095995333525
2300,[-2.87002 0.26184 0.26184],[4.24484 0.95371 0.95371],0.6402063832334086
2400,[-2.43737 0.05144 0.05144],[1.27442 0.44133 0.44133],0.6279426768440843
2500,[-2.51749 0.35891 0.35891],[4.80217 0.22098 0.22098],0.6159138923461105
2600,[-0.76957 -0.47178 -0.47178],[0.12393 0.21096 0.21096],0.6041155296076918
2700,[-2.34403 0.26380 0.26380],[4.37584 0.36010 0.36010],0.5925431747009424
2800,[-1.39314 0.22331 0.22331],[1.06064 0.37675 0.37675],0.5811924982505915
2900,[-1.54000 0.45977 0.45977],[0.72744 0.24279 0.24279],0.5700592538142826
3000,[-2.77033 0.15140 0.15140],[3.68863 0.13637 0.13637],0.5591392762939287
3100,[-0.83126 -0.18160 -0.18160],[0.27512 0.04068 0.04068],0.5484284803774964
3200,[-1.67484 -0.14728 -0.14728],[1.75938 0.28283 0.28283],0.5379228590106419
3300,[-0.92876 0.25007 0.25007],[0.08117 0.04271 0.04271],0.5276184818975981
3400,[-0.53985 -0.39747 -0.39747],[0.09641 0.05025 0.05025],0.5175114940308205
3500,[-2.69293 0.46483 0.46483],[9.08561 0.83942 0.83942],0.5075981142487541
3600,[-1.26161 0.46092 0.46092],[0.91911 0.39717 0.39717],0.4978746338212661
3700,[-1.00236 -0.31180 -0.31180],[0.47200 0.37913 0.37913],0.48833741506215295
3800,[-2.34107 0.29429 0.29429],[2.97509 0.17923 0.17923],0.47898288996823385
3900,[-2.61118 0.08732 0.08732],[9.84694 0.25431 0.25431],0.46980755888450715
4000,[-1.70510 0.37643 0.37643],[0.66329 0.13595 0.13595],0.4608079891948918
4100,[-2.19306 0.22366 0.22366],[0.06038 0.24768 0.24768],0.45198081403803075
4200,[-1.14012 0.26106 0.26106],[0.54583 0.28465 0.28465],0.4433227310477052
4300,[-0.95830 0.32219 0.32219],[0.16557 0.25887 0.25887],0.43483050111737453
4400,[-4.85573 0.96718 0.96718],[10.10871 0.80885 0.80885],0.42650094718838294
4500,[-1.72833 -0.22093 -0.22093],[2.24700 0.37524 0.37524],0.4183309530613763
4600,[-1.30712 0.31641 0.31641],[0.48722 0.14553 0.14553],0.41031746223049576
4700,[-1.20391 -0.38518 -0.38518],[0.09528 0.15373 0.15373],0.4024574767398885
4800,[-1.98147 0.33272 0.33272],[1.34645 0.53454 0.53454],0.39474805606213775
4900,[-0.91299 -0.01114 -0.01114],[0.24752 0.22278 0.22278],0.3871863159981707
5000,[-1.29622 0.37428 0.37428],[0.59337 0.28128 0.28128],0.37976942759823823
5100,[-1.58833 0.17871 0.17871],[1.63367 0.17561 0.17561],0.37249461610356654
5200,[-1.17820 0.16736 0.16736],[0.62006 0.41305 0.41305],0.36535915990828843
5300,[-0.73228 -0.23281 -0.23281],[0.22445 0.18032 0.18032],0.3583603895412437
5400,[-1.99733 -0.06542 -0.06542],[1.44985 0.14887 0.14887],0.35149568666730197
5500,[-0.95529 -0.24697 -0.24697],[0.29785 0.43137 0.43137],0.34476248310780105
5600,[-1.17042 0.17570 0.17570],[0.91852 0.15936 0.15936],0.33815825987976045
5700,[-1.22966 0.02481 0.02481],[0.11331 0.23826 0.23826],0.33168054625349885
5800,[-0.89780 0.12515 0.12515],[0.53679 0.22753 0.22753],0.32532691882829134
5900,[-0.55251 0.00921 0.00921],[0.08251 0.07929 0.07929],0.3190950006257518
6000,[-1.14489 -0.00111 -0.00111],[0.56453 0.42931 0.42931],0.312982460200566
6100,[-1.19736 -0.25385 -0.25385],[0.35910 0.08037 0.08037],0.3069870107682693
6200,[-1.42515 0.09044 0.09044],[0.21764 0.11669 0.11669],0.30110640934973165
6300,[-1.13661 0.24028 0.24028],[0.24745 0.10660 0.10660],0.29533845593202374
6400,[-1.50210 0.06748 0.06748],[0.67359 0.23942 0.23942],0.2896809926453638
6500,[-1.12116 -0.18802 -0.18802],[0.44763 0.18875 0.18875],0.2841319029558341
6600,[-1.87980 -0.06083 -0.06083],[5.17113 0.07054 0.07054],0.27868911087355025
6700,[-2.35695 0.63969 0.63969],[2.29613 0.09366 0.09366],0.27335058017600533
6800,[-1.78794 0.44830 0.44830],[1.32343 0.15894 0.15894],0.26811431364629784
6900,[-0.98882 0.10126 0.10126],[0.15169 0.04398 0.04398],0.26297835232593786
7000,[-1.29016 -0.18795 -0.18795],[0.36261 0.56834 0.56834],0.25794077478198096
7100,[-1.11795 0.02105 0.02105],[0.35099 0.31480 0.31480],0.2529996963881896
7200,[-0.70800 0.15235 0.15235],[0.03330 0.03952 0.03952],0.24815326861997006
7300,[-3.52179 0.62656 0.62656],[23.54261 1.14567 1.14567],0.2433996783628142
7400,[-1.52731 0.46375 0.46375],[0.41223 0.08207 0.08207],0.23873714723398948
7500,[-1.10955 -0.10234 -0.10234],[0.37128 0.18337 0.18337],0.23416393091721965
7600,[-0.83777 -0.10573 -0.10573],[0.35850 0.15885 0.15885],0.2296783185101154
7700,[-0.95809 0.05661 0.05661],[0.22164 0.14849 0.14849],0.2252786318840993
7800,[-0.84027 -0.16518 -0.16518],[0.14282 0.36785 0.36785],0.2209632250565976
7900,[-1.33435 -0.10914 -0.10914],[0.88979 0.38823 0.38823],0.2167304835752537
8000,[-0.68865 -0.19446 -0.19446],[0.11562 0.10321 0.10321],0.21257882391394362
8100,[-1.06799 0.04061 0.04061],[0.61975 0.45506 0.45506],0.208506692880351
8200,[-1.28785 0.36101 0.36101],[0.22982 0.10199 0.10199],0.20451256703490245
8300,[-1.18872 -0.07953 -0.07953],[0.54801 0.40217 0.40217],0.20059495212082465
8400,[-1.51789 0.17448 0.17448],[0.47091 0.18438 0.18438],0.196752382505123
8500,[-1.51979 0.41235 0.41235],[0.77916 0.35623 0.35623],0.19298342063027152
8600,[-1.46898 0.07838 0.07838],[2.40350 0.72660 0.72660],0.18928665647639956
8700,[-1.38223 0.21363 0.21363],[0.13417 0.12331 0.12331],0.18566070703378476
8800,[-0.98688 -0.06982 -0.06982],[0.28163 0.08505 0.08505],0.18210421578545158
8900,[-1.64842 0.33019 0.33019],[0.16662 0.05600 0.05600],0.17861585219967707
9000,[-0.81726 -0.00089 -0.00089],[0.67410 0.09770 0.09770],0.17519431123222665
9100,[-1.51646 0.29219 0.29219],[0.83696 0.43307 0.43307],0.17183831283811357
9200,[-1.00893 0.04460 0.04460],[0.19541 0.07410 0.07410],0.1685466014927179
9300,[-1.00291 -0.30628 -0.30628],[0.35014 0.43613 0.43613],0.16531794572208017
9400,[-0.45223 -0.07606 -0.07606],[0.03861 0.09798 0.09798],0.16215113764218753
9500,[-1.93647 0.60817 0.60817],[0.35099 0.04235 0.04235],0.15904499250708942
9600,[-1.85536 0.82133 0.82133],[0.53138 0.05325 0.05325],0.15599834826566805
9700,[-1.59009 0.17012 0.17012],[1.42358 0.82928 0.82928],0.1530100651268971
9800,[-1.48811 0.18630 0.18630],[0.54016 0.13786 0.13786],0.15007902513343338
9900,[-1.51653 0.09222 0.09222],[0.70799 0.27435 0.27435],0.14720413174337166
10000,[-0.46521 -0.11636 -0.11636],[0.06093 0.03017 0.03017],0.14438430942001573
10100,[-0.68019 0.05787 0.05787],[0.29849 0.31844 0.31844],0.14161850322950267
10200,[-0.66858 -0.06014 -0.06014],[0.00743 0.05502 0.05502],0.13890567844613977
10300,[-1.49139 0.25495 0.25495],[1.04821 0.19084 0.19084],0.13624482016529874
10400,[-0.71167 0.10414 0.10414],[0.13426 0.11083 0.11083],0.1336349329237267
10500,[-1.12691 0.46623 0.46623],[0.42504 0.18548 0.18548],0.13107504032712913
10600,[-1.67176 -0.16477 -0.16477],[1.00698 0.44841 0.44841],0.1285641846848873
10700,[-1.18200 -0.33373 -0.33373],[0.58849 0.42206 0.42206],0.1261014266517737
10800,[-0.58871 -0.03549 -0.03549],[0.11754 0.34679 0.34679],0.12368584487653073
10900,[-0.86186 -0.00125 -0.00125],[0.20599 0.15999 0.15999],0.12131653565718102
11000,[-1.86299 0.38260 0.38260],[0.31666 0.08035 0.08035],0.11899261260293736
11100,[-1.32657 0.31642 0.31642],[1.14676 0.42625 0.42625],0.1167132063025952
11200,[-1.18743 0.37675 0.37675],[0.35603 0.07344 0.07344],0.11447746399927272
11300,[-1.17515 0.25845 0.25845],[0.02720 0.19352 0.19352],0.11228454927138284
11400,[-0.79913 0.39531 0.39531],[0.14080 0.02856 0.02856],0.11013364171971564
11500,[-1.30212 -0.09624 -0.09624],[0.16151 0.17965 0.17965],0.10802393666051861
11600,[-1.05660 -0.06879 -0.06879],[0.29217 0.18042 0.18042],0.1059546448244499
11700,[-1.27031 0.35706 0.35706],[0.31740 0.08018 0.08018],0.1039249920613054
11800,[-1.07023 -0.04454 -0.04454],[0.37201 0.31316 0.31316],0.10193421905039614
11900,[-1.00381 0.11732 0.11732],[0.66213 0.66370 0.66370],0.09998158101647696
12000,[-1.48550 0.25786 0.25786],[2.93366 0.06055 0.06055],0.09806634745111607
12100,[-0.53259 -0.19987 -0.19987],[0.00574 0.12741 0.12741],0.09618780183940234
12200,[-0.68768 0.32716 0.32716],[0.02980 0.07266 0.07266],0.09434524139188641
12300,[-1.35305 0.27959 0.27959],[1.50788 0.23516 0.23516],0.09253797678165741
12400,[-0.68845 0.20326 0.20326],[0.05231 0.03218 0.03218],0.09076533188645854
12500,[-0.96251 -0.01341 -0.01341],[1.33511 0.03816 0.03816],0.08902664353573696
12600,[-1.19079 0.18217 0.18217],[0.50793 0.35836 0.35836],0.08732126126254666
12700,[-0.61566 -0.06478 -0.06478],[0.42377 0.16611 0.16611],0.08564854706019692
12800,[-0.66500 0.15396 0.15396],[0.12561 0.17977 0.17977],0.08400787514356634
12900,[-1.12725 0.17978 0.17978],[0.54126 0.15050 0.15050],0.08239863171498804
13000,[-0.55630 0.16263 0.16263],[0.08774 0.03898 0.03898],0.08082021473462091
13100,[-1.08474 0.32488 0.32488],[0.47746 0.16827 0.16827],0.07927203369521665
13200,[-0.60689 -0.08627 -0.08627],[0.09923 0.17594 0.17594],0.07775350940120238
13300,[-1.79534 0.45927 0.45927],[0.96734 0.18753 0.18753],0.07626407375199792
13400,[-0.73552 0.00336 0.00336],[0.09327 0.12467 0.12467],0.07480316952948014
13500,[-1.63009 0.51781 0.51781],[0.58404 0.32967 0.32967],0.07337025018952063
13600,[-1.59936 0.02459 0.02459],[1.73479 0.23689 0.23689],0.07196477965751596
13700,[-1.25867 0.43663 0.43663],[0.69948 0.19504 0.19504],0.07058623212783487
13800,[-0.64054 -0.04946 -0.04946],[0.10496 0.03674 0.03674],0.06923409186710754
13900,[-0.99231 0.31500 0.31500],[0.70270 0.16520 0.16520],0.06790785302128181
14000,[-1.21100 0.30001 0.30001],[1.63279 0.11626 0.11626],0.06660701942637696
14100,[-1.42885 0.33369 0.33369],[0.94233 0.46540 0.46540],0.06533110442286261
14200,[-0.92843 0.09019 0.09019],[0.75974 0.21509 0.21509],0.06407963067359165
14300,[-0.64371 -0.06832 -0.06832],[0.38685 0.12170 0.12170],0.06285212998522217
14400,[-1.04231 0.24510 0.24510],[0.26303 0.12778 0.12778],0.06164814313306115
14500,[-0.96814 0.12903 0.12903],[0.29922 0.12696 0.12696],0.060467219689260644
14600,[-1.06624 0.42763 0.42763],[0.40063 0.14181 0.14181],0.05930891785430729
14700,[-1.18027 0.28352 0.28352],[0.35610 0.11137 0.11137],0.058172804291739794
14800,[-0.71413 0.00707 0.00707],[0.04979 0.12178 0.12178],0.05705845396602985
14900,[-1.18083 0.38291 0.38291],[1.88394 0.44002 0.44002],0.0559654499835732
15000,[-0.84949 0.34131 0.34131],[0.14943 0.10498 0.10498],0.054893383436722246
15100,[-0.81053 0.36458 0.36458],[0.08847 0.07258 0.07258],0.05384185325080839
15200,[-0.59260 0.09166 0.09166],[0.18798 0.08044 0.08044],0.052810466034095
15300,[-0.47876 -0.04905 -0.04905],[0.05770 0.11719 0.11719],0.0517988359306045
15400,[-2.00262 0.24419 0.24419],[2.43217 0.11897 0.11897],0.050806584475763444
15500,[-0.93664 -0.05998 -0.05998],[0.50780 0.35968 0.35968],0.04983334045481433
15600,[-0.59346 -0.11821 -0.11821],[0.10567 0.22676 0.22676],0.04887873976393924
15700,[-0.90266 0.43460 0.43460],[0.21081 0.11222 0.11222],0.04794242527404348
15800,[-1.46797 0.59783 0.59783],[0.18885 0.01191 0.01191],0.04702404669714843
15900,[-0.79844 0.12902 0.12902],[0.09552 0.15766 0.15766],0.046123260455344255
16000,[-1.03437 0.60845 0.60845],[0.47958 0.11914 0.11914],0.04523972955225327
16100,[-1.04236 0.41708 0.41708],[0.11810 0.01429 0.01429],0.04437312344695435
16200,[-0.71096 -0.14519 -0.14519],[0.07488 0.29118 0.29118],0.043523117930323194
16300,[-0.92553 0.42358 0.42358],[0.39412 0.04799 0.04799],0.04268939500374168
16400,[-0.44089 -0.27031 -0.27031],[0.18651 0.11886 0.11886],0.041871642760129536
16500,[-1.35424 0.38973 0.38973],[0.53300 0.15674 0.15674],0.04106955526725636
16600,[-0.35953 0.01588 0.01588],[0.03008 0.07401 0.07401],0.04028283245328805
16700,[-0.65521 -0.07399 -0.07399],[0.13620 0.07912 0.07912],0.03951117999452536
16800,[-0.66663 0.02430 0.02430],[0.23006 0.02667 0.02667],0.03875430920529417
16900,[-0.52165 0.04852 0.04852],[0.09622 0.09656 0.09656],0.0380119369299437
17000,[-0.62934 0.03234 0.03234],[0.29216 0.05411 0.05411],0.037283785436914234
17100,[-1.47537 0.58661 0.58661],[0.30759 0.08885 0.08885],0.03656958231483421
17200,[-1.84115 0.44604 0.44604],[0.12446 0.42064 0.42064],0.03586906037060684
17300,[-1.01260 0.09398 0.09398],[0.46336 0.20020 0.20020],0.03518195752945035
17400,[-0.70321 -0.00357 -0.00357],[0.10856 0.10361 0.10361],0.03450801673685192
17500,[-0.62460 0.05079 0.05079],[0.09809 0.20578 0.20578],0.03384698586239955
17600,[-1.51453 0.24886 0.24886],[0.70912 0.01955 0.01955],0.03319861760545757
17700,[-0.44570 0.06561 0.06561],[0.05143 0.10819 0.10819],0.03256266940264736
17800,[-1.00395 0.02181 0.02181],[0.06439 0.09151 0.09151],0.03193890333710149
17900,[-1.70584 0.32971 0.32971],[1.36010 0.09751 0.09751],0.03132708604945565
18000,[-0.74468 0.16225 0.16225],[0.49930 0.31295 0.31295],0.030726988650546044
18100,[-1.28675 0.09378 0.09378],[0.89712 0.05662 0.05662],0.03013838663577808
18200,[-2.29490 0.52008 0.52008],[7.48962 0.62783 0.62783],0.029561059801136994
18300,[-0.68627 -0.03280 -0.03280],[0.34064 0.19525 0.19525],0.028994792160805874
18400,[-0.86851 -0.06087 -0.06087],[0.67371 0.29525 0.29525],0.02843937186636302
18500,[-1.12749 0.04005 0.04005],[0.07619 0.22097 0.22097],0.027894591127526125
18600,[-0.52190 0.25566 0.25566],[0.03034 0.12070 0.12070],0.02736024613441544
18700,[-0.81907 -0.04007 -0.04007],[0.30800 0.43330 0.43330],0.02683613698130529
18800,[-0.91929 0.12352 0.12352],[0.27171 0.14738 0.14738],0.026322067591837046
18900,[-0.42717 -0.03967 -0.03967],[0.07605 0.15554 0.15554],0.02581784564566399
19000,[-1.77173 0.55534 0.55534],[2.02350 0.16099 0.16099],0.02532328250650219
19100,[-1.09186 0.25760 0.25760],[0.88659 0.20041 0.20041],0.02483819315155828
19200,[-0.65791 0.10379 0.10379],[0.08067 0.01878 0.01878],0.024362396102310394
19300,[-1.19891 0.48887 0.48887],[0.91338 0.11481 0.11481],0.0238957133566148
19400,[-0.38253 -0.07356 -0.07356],[0.05047 0.04682 0.04682],0.023437970322112412
19500,[-0.75190 0.10775 0.10775],[0.19490 0.18751 0.18751],0.022988995750911744
19600,[-0.50263 -0.05695 -0.05695],[0.06743 0.04240 0.04240],0.02254862167552255
19700,[-0.74517 0.09673 0.09673],[0.09144 0.00981 0.00981],0.022116683346017074
19800,[-0.60573 0.16508 0.16508],[0.07308 0.09864 0.09864],0.021693019168394546
19900,[-1.03748 0.06909 0.06909],[1.15207 0.12495 0.12495],0.021277470644127168
20000,[-1.25449 0.18108 0.18108],[1.27594 0.30319 0.30319],0.020869882310863164
20100,[-1.11553 0.61987 0.61987],[0.33985 0.05996 0.05996],0.020470101684266485
20200,[-0.55207 -0.00760 -0.00760],[0.10747 0.25764 0.25764],0.020077979200970403
20300,[-0.30874 -0.09152 -0.09152],[0.03671 0.07901 0.07901],0.019693368162623546
20400,[-0.85326 0.21913 0.21913],[0.33337 0.12157 0.12157],0.019316124681008257
20500,[-0.66602 0.08813 0.08813],[0.12267 0.14276 0.14276],0.018946107624209903
20600,[-0.76615 -0.01144 -0.01144],[0.39947 0.30601 0.30601],0.018583178563817856
20700,[-1.91344 0.44403 0.44403],[7.34302 0.70088 0.70088],0.01822720172313708
20800,[-1.13086 0.35836 0.35836],[0.84566 0.23547 0.23547],0.017878043926392587
20900,[-1.23184 0.34602 0.34602],[0.23984 0.11471 0.11471],0.017535574548906214
21000,[-0.81300 -0.03679 -0.03679],[0.44731 0.05331 0.05331],0.017199665468228452
21100,[-1.50694 0.35287 0.35287],[0.92891 0.58419 0.58419],0.01687019101620623
21200,[-1.88773 0.95355 0.95355],[0.30145 0.06739 0.06739],0.016547027931968092
21300,[-0.87534 0.09224 0.09224],[0.12573 0.05089 0.05089],0.01623005531581152
21400,[-0.68613 0.17268 0.17268],[0.06291 0.12630 0.12630],0.015919154583971855
21500,[-0.94799 0.10858 0.10858],[0.21502 0.00530 0.00530],0.01561420942425928
21600,[-0.61509 0.17019 0.17019],[0.11439 0.09104 0.09104],0.015315105752544187
21700,[-1.13140 0.43380 0.43380],[0.16165 0.06429 0.06429],0.015021731670077063
21800,[-1.41258 0.52758 0.52758],[0.30080 0.06216 0.06216],0.014733977421625698
21900,[-1.03496 0.35079 0.35079],[0.22965 0.09914 0.09914],0.014451735354414215
22000,[-0.90953 0.52669 0.52669],[0.48209 0.18729 0.18729],0.014174899877848549
