number,rewards,variances,exploration_value
0,[-5.67987 -5.67987],[49.41283 49.41283],0.9988953697090716
100,[-11.20480 -11.20480],[21.02790 21.02790],0.9797606658876263
200,[-3.48815 -3.48815],[25.43374 25.43374],0.9609925038496699
300,[-14.66465 -14.66465],[69.58357 69.58357],0.9425838621706605
400,[-11.43658 -11.43658],[32.86442 32.86442],0.9245278539275122
500,[-14.98648 -14.98648],[53.60976 53.60976],0.9068177241220878
600,[-10.08281 -10.08281],[21.54547 21.54547],0.889446847154093
700,[-13.82232 -13.82232],[40.02504 40.02504],0.8724087243423219
800,[-11.54776 -11.54776],[20.01010 20.01010],0.8556969814934174
900,[-10.86503 -10.86503],[12.17427 12.17427],0.8393053665172148
1000,[-12.14515 -12.14515],[11.04642 11.04642],0.8232277470877281
1100,[-9.79501 -9.79501],[12.29836 12.29836],0.8074581083489812
1200,[-18.58986 -18.58986],[112.70270 112.70270],0.7919905506647517
1300,[-8.96198 -8.96198],[15.32026 15.32026],0.7768192874114557
1400,[-8.47919 -8.47919],[7.62772 7.62772],0.7619386428132808
1500,[-10.91399 -10.91399],[14.50214 14.50214],0.7473430498187978
1600,[-8.69222 -8.69222],[14.47854 14.47854],0.7330270480182665
1700,[-12.08858 -12.08858],[19.23082 19.23082],0.7189852816008054
1800,[-5.96191 -5.96191],[5.73132 5.73132],0.705212497350724
1900,[-11.24775 -11.24775],[10.46053 10.46053],0.6917035426822101
2000,[-12.52309 -12.52309],[71.57824 71.57824],0.6784533637116886
2100,[-7.50143 -7.50143],[4.81965 4.81965],0.6654570033670938
2200,[-8.21084 -8.21084],[11.17364 11.17364],0.6527095995333525
2300,[-7.53477 -7.53477],[9.20286 9.20286],0.6402063832334086
2400,[-6.17787 -6.17787],[1.95090 1.95090],0.6279426768440843
2500,[-5.44206 -5.44206],[2.85586 2.85586],0.6159138923461105
2600,[-9.25943 -9.25943],[28.02152 28.02152],0.6041155296076918
2700,[-8.37334 -8.37334],[21.87568 21.87568],0.5925431747009424
2800,[-7.87331 -7.87331],[11.13836 11.13836],0.5811924982505915
2900,[-5.42326 -5.42326],[13.44996 13.44996],0.5700592538142826
3000,[-5.60217 -5.60217],[8.14832 8.14832],0.5591392762939287
3100,[-7.56833 -7.56833],[17.36207 17.36207],0.5484284803774964
3200,[-9.59217 -9.59217],[4.34897 4.34897],0.5379228590106419
3300,[-2.83091 -2.83091],[0.31746 0.31746],0.5276184818975981
3400,[-2.46248 -2.46248],[1.12474 1.12474],0.5175114940308205
3500,[-3.78978 -3.78978],[2.94351 2.94351],0.5075981142487541
3600,[-5.99727 -5.99727],[5.44552 5.44552],0.4978746338212661
3700,[-4.20345 -4.20345],[3.58254 3.58254],0.48833741506215295
3800,[-4.12937 -4.12937],[4.78563 4.78563],0.47898288996823385
3900,[-3.74572 -3.74572],[1.83504 1.83504],0.46980755888450715
