number,rewards,variances,exploration_value
0,[-5.67987 -5.67987],[49.41283 49.41283],0.9988953697090716
100,[-14.87774 -14.87774],[7.77713 7.77713],0.9797606658876263
200,[-8.37541 -8.37541],[20.01594 20.01594],0.9609925038496699
300,[-12.56833 -12.56833],[94.89543 94.89543],0.9425838621706605
400,[-4.83883 -4.83883],[14.48574 14.48574],0.9245278539275122
500,[-12.77345 -12.77345],[84.66691 84.66691],0.9068177241220878
600,[-17.13847 -17.13847],[129.85903 129.85903],0.889446847154093
700,[-11.53592 -11.53592],[67.27202 67.27202],0.8724087243423219
800,[-11.31987 -11.31987],[22.16566 22.16566],0.8556969814934174
900,[-11.70314 -11.70314],[17.45599 17.45599],0.8393053665172148
1000,[-9.96477 -9.96477],[5.02974 5.02974],0.8232277470877281
1100,[-13.31581 -13.31581],[69.56340 69.56340],0.8074581083489812
1200,[-23.76604 -23.76604],[113.55504 113.55504],0.7919905506647517
1300,[-11.92653 -11.92653],[13.56847 13.56847],0.7768192874114557
1400,[-15.88433 -15.88433],[58.04228 58.04228],0.7619386428132808
1500,[-12.49679 -12.49679],[36.97145 36.97145],0.7473430498187978
1600,[-15.57981 -15.57981],[30.26136 30.26136],0.7330270480182665
1700,[-14.36526 -14.36526],[40.28677 40.28677],0.7189852816008054
1800,[-14.81955 -14.81955],[34.46647 34.46647],0.705212497350724
1900,[-12.89062 -12.89062],[6.95746 6.95746],0.6917035426822101
2000,[-19.19074 -19.19074],[43.25772 43.25772],0.6784533637116886
2100,[-8.98237 -8.98237],[5.50390 5.50390],0.6654570033670938
2200,[-16.50394 -16.50394],[20.97631 20.97631],0.6527095995333525
2300,[-12.86144 -12.86144],[11.22215 11.22215],0.6402063832334086
2400,[-7.91104 -7.91104],[1.43893 1.43893],0.6279426768440843
2500,[-12.84459 -12.84459],[10.53410 10.53410],0.6159138923461105
2600,[-12.55546 -12.55546],[29.84486 29.84486],0.6041155296076918
2700,[-11.82677 -11.82677],[42.65439 42.65439],0.5925431747009424
2800,[-7.73824 -7.73824],[8.30782 8.30782],0.5811924982505915
2900,[-9.12053 -9.12053],[17.34981 17.34981],0.5700592538142826
3000,[-12.34219 -12.34219],[63.27791 63.27791],0.5591392762939287
3100,[-10.58518 -10.58518],[14.49753 14.49753],0.5484284803774964
3200,[-10.00196 -10.00196],[1.33270 1.33270],0.5379228590106419
3300,[-9.38922 -9.38922],[25.74868 25.74868],0.5276184818975981
3400,[-9.19510 -9.19510],[7.71503 7.71503],0.5175114940308205
3500,[-14.27063 -14.27063],[21.35457 21.35457],0.5075981142487541
3600,[-13.60327 -13.60327],[25.27044 25.27044],0.4978746338212661
