iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
0,100,1.05040,0.02311,7.52203,0.50485
1,200,0.90705,0.01049,2.53897,0.38753
2,300,1.06254,0.00748,2.40696,0.37563
3,400,0.98215,0.00615,2.32234,0.36925
4,500,0.95423,0.00534,2.30116,0.36246
5,600,0.93696,0.00479,2.25776,0.35941
6,700,0.99797,0.00438,2.25677,0.35317
7,800,1.03402,0.00406,2.21304,0.34936
8,900,1.10513,0.00380,2.07484,0.34930
9,1000,0.93381,0.00359,2.21457,0.34607
10,1100,1.01897,0.00340,2.14097,0.34061
11,1200,0.90824,0.00325,2.07830,0.33634
12,1300,1.07391,0.00311,2.09366,0.33427
13,1400,0.90115,0.00299,2.14270,0.33292
14,1500,1.03350,0.00288,2.08982,0.33119
15,1600,1.22531,0.00279,1.99101,0.33033
16,1700,1.05468,0.00270,2.16749,0.32601
17,1800,0.95100,0.00262,2.06022,0.32331
18,1900,0.97276,0.00254,2.03496,0.32096
19,2000,0.95447,0.00248,1.96324,0.31949
20,2100,1.07816,0.00241,2.14745,0.31579
21,2200,1.08813,0.00236,2.14845,0.31519
22,2300,0.92499,0.00230,2.20538,0.31415
23,2400,1.00018,0.00225,2.01749,0.31139
24,2500,0.95808,0.00220,1.98752,0.30886
25,2600,1.00357,0.00216,2.05072,0.30948
26,2700,1.00203,0.00212,2.11522,0.30517
27,2800,0.94724,0.00208,1.98166,0.30361
28,2900,1.03194,0.00204,2.12418,0.30310
29,3000,0.93126,0.00200,1.95826,0.30013
30,3100,0.99329,0.00197,1.98937,0.30174
31,3200,0.99446,0.00194,2.06901,0.30006
32,3300,1.07964,0.00191,1.92677,0.29568
33,3400,1.04100,0.00188,2.12374,0.29579
34,3500,0.94957,0.00185,2.08128,0.29537
35,3600,1.01831,0.00183,1.98246,0.29390
36,3700,0.95797,0.00180,1.94188,0.29007
37,3800,0.95031,0.00178,1.92815,0.28964
38,3900,0.92837,0.00175,1.99472,0.29011
39,4000,0.85435,0.00173,1.97197,0.28924
40,4100,1.04785,0.00171,2.04046,0.28742
41,4200,1.00269,0.00169,2.00184,0.28665
42,4300,1.07752,0.00167,2.07724,0.28327
43,4400,0.88703,0.00165,1.99854,0.28350
44,4500,0.90568,0.00163,1.94795,0.28376
45,4600,1.05951,0.00161,2.01385,0.28012
46,4700,1.01364,0.00159,1.93744,0.27902
47,4800,0.95773,0.00158,1.97080,0.28164
48,4900,0.83739,0.00156,1.89287,0.28032
49,5000,1.04287,0.00154,1.87195,0.27752
50,5100,0.86338,0.00153,2.06775,0.27825
51,5200,1.02642,0.00151,1.99505,0.27584
52,5300,1.06821,0.00150,2.01501,0.27417
53,5400,0.92314,0.00149,2.01266,0.27570
54,5500,0.99591,0.00147,1.95998,0.27285
55,5600,1.05728,0.00146,1.89176,0.27365
56,5700,1.01632,0.00144,2.06427,0.27239
57,5800,0.99435,0.00143,1.95817,0.27323
58,5900,0.95307,0.00142,1.98637,0.27580
59,6000,0.93470,0.00141,2.04268,0.27309
60,6100,1.00417,0.00140,2.10950,0.27330
61,6200,0.96493,0.00139,1.90149,0.27274
62,6300,1.02704,0.00137,1.99316,0.27133
63,6400,0.90322,0.00136,1.84399,0.27151
64,6500,0.98833,0.00135,2.09104,0.27550
65,6600,0.98127,0.00134,2.01783,0.27021
66,6700,0.89516,0.00133,1.98818,0.27004
67,6800,1.07375,0.00132,2.02681,0.27184
68,6900,0.99255,0.00131,1.88299,0.26852
69,7000,0.96792,0.00130,1.97623,0.26896
70,7100,1.00181,0.00129,2.04922,0.27002
71,7200,0.96818,0.00128,1.94234,0.26836
72,7300,1.05559,0.00127,1.93837,0.26923
73,7400,1.05887,0.00127,1.97929,0.26951
74,7500,0.99967,0.00126,2.00131,0.26959
75,7600,0.96264,0.00125,1.90976,0.26697
