number,rewards,variances,exploration_value
0,[-5.67987 -5.67987],[49.41283 49.41283],0.9988953697090716
100,[-9.79588 -9.79588],[24.14048 24.14048],0.9797606658876263
200,[-4.04234 -4.04234],[8.90952 8.90952],0.9609925038496699
300,[-8.48608 -8.48608],[34.75128 34.75128],0.9425838621706605
400,[-7.89298 -7.89298],[23.89704 23.89704],0.9245278539275122
500,[-19.36943 -19.36943],[29.21363 29.21363],0.9068177241220878
600,[-10.73483 -10.73483],[21.06747 21.06747],0.889446847154093
700,[-11.16917 -11.16917],[70.72123 70.72123],0.8724087243423219
800,[-12.04929 -12.04929],[17.45970 17.45970],0.8556969814934174
900,[-15.20433 -15.20433],[10.87731 10.87731],0.8393053665172148
1000,[-9.15547 -9.15547],[1.53740 1.53740],0.8232277470877281
1100,[-10.26238 -10.26238],[36.33251 36.33251],0.8074581083489812
1200,[-22.46709 -22.46709],[143.67263 143.67263],0.7919905506647517
1300,[-20.09642 -20.09642],[5.75356 5.75356],0.7768192874114557
1400,[-10.11547 -10.11547],[23.48862 23.48862],0.7619386428132808
1500,[-8.07843 -8.07843],[2.81510 2.81510],0.7473430498187978
1600,[-18.34761 -18.34761],[7.87601 7.87601],0.7330270480182665
1700,[-13.46400 -13.46400],[59.73224 59.73224],0.7189852816008054
1800,[-19.14715 -19.14715],[69.31474 69.31474],0.705212497350724
1900,[-10.80690 -10.80690],[11.70945 11.70945],0.6917035426822101
2000,[-16.27727 -16.27727],[65.41604 65.41604],0.6784533637116886
2100,[-11.17115 -11.17115],[58.02413 58.02413],0.6654570033670938
2200,[-13.65309 -13.65309],[47.37055 47.37055],0.6527095995333525
2300,[-16.51456 -16.51456],[55.49942 55.49942],0.6402063832334086
2400,[-13.30297 -13.30297],[65.20323 65.20323],0.6279426768440843
2500,[-11.39895 -11.39895],[10.17429 10.17429],0.6159138923461105
2600,[-15.25733 -15.25733],[17.11486 17.11486],0.6041155296076918
2700,[-15.25260 -15.25260],[41.35589 41.35589],0.5925431747009424
2800,[-12.01144 -12.01144],[3.89388 3.89388],0.5811924982505915
2900,[-12.77816 -12.77816],[15.82019 15.82019],0.5700592538142826
3000,[-11.34162 -11.34162],[23.57983 23.57983],0.5591392762939287
3100,[-16.39806 -16.39806],[50.02089 50.02089],0.5484284803774964
3200,[-11.87922 -11.87922],[21.20185 21.20185],0.5379228590106419
3300,[-10.62558 -10.62558],[27.57389 27.57389],0.5276184818975981
3400,[-10.72992 -10.72992],[21.41875 21.41875],0.5175114940308205
3500,[-4.95066 -4.95066],[4.45390 4.45390],0.5075981142487541
3600,[-15.33721 -15.33721],[29.88785 29.88785],0.4978746338212661
3700,[-14.14023 -14.14023],[67.46702 67.46702],0.48833741506215295
3800,[-12.33679 -12.33679],[16.61454 16.61454],0.47898288996823385
3900,[-10.14363 -10.14363],[11.64531 11.64531],0.46980755888450715
4000,[-6.31566 -6.31566],[1.87196 1.87196],0.4608079891948918
