iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss
0,100,34.45677,1.24131,57.37141,1.56729
1,200,12.87369,1.22852,27.13489,1.59378
2,300,1.30322,1.22456,4.10473,1.58160
3,400,1.02381,1.22052,2.10663,1.55649
4,500,0.98718,1.21263,1.38311,1.54765
5,600,0.97579,1.20621,1.18019,1.53573
6,700,1.03158,1.19850,1.16450,1.52593
7,800,1.05687,1.19271,1.14105,1.52106
8,900,1.12998,1.18586,1.00261,1.51850
9,1000,0.96902,1.17984,1.12348,1.51305
10,1100,1.04677,1.17277,1.11678,1.50844
11,1200,0.94203,1.16657,1.11258,1.49979
12,1300,1.11496,1.16025,1.16662,1.50388
13,1400,0.92815,1.15455,1.26178,1.50536
14,1500,1.05385,1.14764,1.20214,1.49955
15,1600,1.28241,1.14187,1.02542,1.49826
16,1700,1.04667,1.13487,1.28192,1.50022
17,1800,1.00745,1.12931,1.23176,1.50060
18,1900,0.98287,1.12255,1.23706,1.50306
19,2000,0.96441,1.11639,1.20905,1.49489
20,2100,1.06936,1.10976,1.49456,1.49325
21,2200,1.06577,1.10339,1.48474,1.49856
22,2300,0.96711,1.09809,1.48733,1.49223
23,2400,1.06794,1.09129,1.31645,1.50000
24,2500,0.96577,1.08499,1.44061,1.49632
25,2600,1.03271,1.07883,1.50255,1.49442
26,2700,1.02032,1.07237,1.61285,1.49334
27,2800,0.96872,1.06641,1.45991,1.48335
28,2900,1.10877,1.06065,1.52527,1.49755
29,3000,0.97662,1.05365,1.63226,1.49683
30,3100,1.04775,1.04805,1.72463,1.49642
31,3200,1.00489,1.04162,1.77553,1.49855
32,3300,1.10816,1.03661,1.55208,1.49397
33,3400,1.03059,1.03097,1.59259,1.49743
34,3500,0.92431,1.02540,1.70943,1.49748
35,3600,0.95936,1.01948,1.69078,1.48820
36,3700,0.96306,1.01382,1.59957,1.48879
37,3800,0.99563,1.00769,1.69507,1.49036
38,3900,0.93958,1.00183,1.99297,1.48958
39,4000,0.87484,0.99685,1.63899,1.48553
40,4100,1.06717,0.99101,1.78675,1.49207
41,4200,1.06872,0.98570,1.68993,1.48941
42,4300,1.13051,0.98071,2.00396,1.48712
43,4400,0.91460,0.97469,1.63955,1.49355
44,4500,0.88328,0.96941,1.69043,1.48718
45,4600,1.09575,0.96402,1.86743,1.48040
46,4700,1.10450,0.95805,2.10848,1.48158
47,4800,0.99102,0.95299,2.55559,1.48466
48,4900,0.91621,0.94759,1.65589,1.47159
49,5000,1.07412,0.94237,1.70379,1.47441
50,5100,0.89677,0.93659,1.91258,1.47756
51,5200,1.06606,0.93158,2.20127,1.46619
52,5300,1.09760,0.92584,2.58376,1.47211
53,5400,1.02527,0.92106,2.00834,1.46533
54,5500,0.98876,0.91580,2.08112,1.45945
55,5600,1.09239,0.91059,1.81061,1.45770
56,5700,1.00435,0.90570,2.11158,1.45306
57,5800,0.93687,0.90052,1.84185,1.45272
58,5900,0.96920,0.89549,1.91491,1.45413
59,6000,1.08637,0.89033,2.06923,1.44599
60,6100,1.18021,0.88574,2.14435,1.45652
61,6200,0.99277,0.88073,2.07950,1.44501
62,6300,1.01190,0.87569,2.13415,1.43668
63,6400,0.94622,0.87026,2.02606,1.43557
64,6500,0.96347,0.86576,1.92371,1.43643
65,6600,1.06338,0.86039,2.00126,1.42336
66,6700,0.91100,0.85581,1.86427,1.42601
67,6800,1.10709,0.85096,2.04551,1.41513
68,6900,0.97816,0.84626,2.20498,1.42071
69,7000,0.95708,0.84119,1.97329,1.40290
70,7100,1.10388,0.83592,2.17874,1.40860
71,7200,1.00194,0.83165,2.15236,1.40972
72,7300,0.99751,0.82661,1.92552,1.39909
73,7400,1.08548,0.82176,2.43751,1.40102
74,7500,1.03678,0.81687,1.86141,1.40171
75,7600,1.10821,0.81210,2.12500,1.38682
76,7700,0.90248,0.80789,2.12022,1.38111
77,7800,0.94488,0.80297,2.52933,1.37791
78,7900,0.96305,0.79798,2.09926,1.37076
79,8000,1.17230,0.79391,1.94680,1.37135
80,8100,1.05721,0.78895,1.91954,1.36212
81,8200,1.05490,0.78452,2.11858,1.35454
82,8300,1.00094,0.77992,2.62577,1.35531
83,8400,1.07224,0.77514,2.12179,1.34886
84,8500,1.05087,0.77043,2.17743,1.34654
85,8600,1.00867,0.76630,2.15264,1.34548
86,8700,1.00170,0.76194,1.97891,1.33388
87,8800,1.02554,0.75738,1.97463,1.33000
88,8900,1.05449,0.75315,1.78361,1.32145
89,9000,1.09108,0.74910,1.84852,1.31986
90,9100,1.10112,0.74432,2.28515,1.31053
91,9200,1.03840,0.73992,1.95009,1.30839
92,9300,1.03313,0.73586,1.62964,1.30196
93,9400,0.99572,0.73164,2.07697,1.29583
94,9500,1.07334,0.72733,1.85286,1.28977
95,9600,1.00280,0.72311,1.71372,1.27659
96,9700,1.04974,0.71910,1.78180,1.27036
97,9800,0.95010,0.71474,1.84251,1.26960
98,9900,0.87574,0.71030,2.12917,1.26294
99,10000,1.08720,0.70634,1.67300,1.25288
100,10100,1.04712,0.70230,1.72970,1.25161
101,10200,1.03625,0.69816,1.93341,1.24801
102,10300,1.02814,0.69348,1.92098,1.24365
103,10400,0.97022,0.68960,1.95604,1.23783
104,10500,1.05899,0.68525,1.83735,1.22669
105,10600,0.90779,0.68146,1.71889,1.22149
106,10700,0.96172,0.67747,1.83795,1.22667
107,10800,1.11979,0.67357,1.75959,1.21523
108,10900,0.94705,0.66982,1.79078,1.20552
109,11000,0.91569,0.66563,1.82959,1.20290
110,11100,0.97303,0.66187,2.08096,1.18987
111,11200,0.96078,0.65795,1.74302,1.18793
112,11300,1.04637,0.65404,1.82717,1.18462
113,11400,1.06537,0.65019,1.66330,1.18089
114,11500,0.91186,0.64619,2.37935,1.17363
115,11600,1.04173,0.64271,1.82112,1.16717
116,11700,0.97756,0.63885,1.67559,1.16392
117,11800,0.98004,0.63489,1.76144,1.15857
118,11900,0.93844,0.63128,1.53353,1.14222
119,12000,0.91511,0.62742,1.66058,1.14252
120,12100,1.04617,0.62386,1.55041,1.13511
121,12200,1.12534,0.61990,1.65937,1.13110
122,12300,1.08361,0.61636,1.78929,1.12114
123,12400,1.04463,0.61282,1.84418,1.11906
124,12500,0.95753,0.60895,1.48588,1.10955
125,12600,1.02005,0.60566,1.75782,1.10556
126,12700,1.08818,0.60161,1.61031,1.09272
127,12800,0.90151,0.59799,1.41295,1.09606
128,12900,1.00760,0.59474,1.52565,1.09164
129,13000,1.03657,0.59118,1.68046,1.08659
130,13100,1.03093,0.58717,1.55133,1.07781
131,13200,0.98503,0.58397,1.97371,1.07366
132,13300,0.99930,0.58029,1.71223,1.06087
133,13400,0.88940,0.57679,1.33252,1.06164
134,13500,1.01419,0.57308,1.68282,1.05118
135,13600,0.93838,0.56983,1.54558,1.04976
136,13700,1.01712,0.56605,1.55377,1.04202
137,13800,1.03742,0.56243,1.48539,1.04143
138,13900,1.03506,0.55894,1.69685,1.03119
139,14000,1.01608,0.55543,1.57905,1.02715
140,14100,1.03313,0.55218,1.45556,1.02062
141,14200,1.07274,0.54836,1.54406,1.02271
142,14300,1.01754,0.54537,1.45783,1.01032
