iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
0,100,5.85274,0.42251,4.75582,0.37929
1,200,2.06419,0.31224,1.98482,0.30209
2,300,1.99596,0.29845,2.02860,0.29357
3,400,2.03934,0.29432,1.84562,0.28964
4,500,2.01225,0.29156,1.98554,0.28816
5,600,2.06403,0.28840,1.96774,0.28664
6,700,1.99155,0.28697,2.00868,0.28544
7,800,2.06238,0.28233,1.84520,0.28091
8,900,2.06547,0.28188,1.88011,0.28095
9,1000,1.99910,0.27913,1.87097,0.27637
10,1100,1.98435,0.27643,1.96042,0.27474
11,1200,2.03660,0.27542,1.89868,0.27504
12,1300,2.02834,0.27265,1.85052,0.26985
13,1400,2.02375,0.27220,1.94551,0.27094
14,1500,1.90330,0.26800,1.88196,0.27018
15,1600,1.89190,0.26645,1.83273,0.26672
16,1700,1.97125,0.26480,1.90612,0.26524
17,1800,1.92883,0.26520,1.83620,0.26607
18,1900,2.08722,0.26284,1.79895,0.26331
19,2000,2.00058,0.26062,1.82713,0.26023
20,2100,1.95144,0.25993,1.95094,0.26162
21,2200,1.90066,0.25773,1.74579,0.25736
22,2300,1.94436,0.25525,1.80446,0.25329
23,2400,2.04356,0.25379,1.81375,0.25482
24,2500,1.86181,0.25034,1.78066,0.24944
25,2600,1.90366,0.24877,1.76973,0.24976
26,2700,1.93678,0.24527,1.77971,0.24362
27,2800,1.90044,0.24661,1.70784,0.24320
28,2900,1.86994,0.24262,1.79044,0.24336
29,3000,1.74615,0.24023,1.75615,0.24200
30,3100,1.84951,0.23749,1.65795,0.23799
31,3200,1.88627,0.23592,1.64178,0.23448
32,3300,1.85263,0.23355,1.71147,0.23194
33,3400,1.89402,0.23192,1.75902,0.23161
34,3500,1.83296,0.22808,1.63618,0.22760
35,3600,1.83912,0.22851,1.62900,0.22623
36,3700,1.87471,0.22572,1.70796,0.22618
37,3800,1.87020,0.22373,1.76013,0.22353
38,3900,1.90897,0.22107,1.62555,0.21949
39,4000,1.77728,0.22006,1.56873,0.21975
40,4100,1.88340,0.21849,1.66794,0.21740
41,4200,1.71498,0.21486,1.60155,0.21908
42,4300,1.78264,0.21449,1.57889,0.21598
43,4400,1.73700,0.21649,1.64140,0.21404
44,4500,1.79447,0.21481,1.67374,0.21551
45,4600,1.88851,0.21583,1.67315,0.21267
46,4700,1.78875,0.21246,1.78664,0.21472
47,4800,1.94241,0.21422,1.53336,0.21295
48,4900,1.83947,0.21003,1.68582,0.21121
49,5000,1.84320,0.20866,1.63630,0.21138
50,5100,1.82275,0.21033,1.60749,0.21028
51,5200,1.81122,0.20970,1.66587,0.20895
52,5300,1.98185,0.20966,1.54994,0.20665
53,5400,1.97456,0.20702,1.60560,0.20933
54,5500,1.93035,0.20828,1.59918,0.20487
55,5600,1.83998,0.20702,1.60213,0.20701
56,5700,1.81630,0.20530,1.60135,0.20498
57,5800,1.94867,0.20393,1.60104,0.20557
58,5900,1.92659,0.20429,1.61950,0.20410
59,6000,1.83207,0.20421,1.60170,0.20181
60,6100,1.87755,0.20176,1.69850,0.20416
61,6200,1.89944,0.20443,1.66366,0.20155
62,6300,1.74985,0.19881,1.65703,0.20089
63,6400,1.76982,0.20146,1.68525,0.20072
64,6500,1.88730,0.20150,1.59714,0.20012
65,6600,1.87803,0.20036,1.61710,0.20192
66,6700,1.88108,0.20233,1.65809,0.19895
67,6800,1.78165,0.19932,1.66726,0.19978
68,6900,1.76298,0.20038,1.69743,0.20014
69,7000,1.86218,0.19920,1.60648,0.19968
70,7100,1.79129,0.19943,1.71594,0.20204
71,7200,1.89700,0.19920,1.64773,0.19931
72,7300,1.90661,0.19945,1.64065,0.20004
73,7400,1.88381,0.20079,1.58611,0.19949
74,7500,1.90884,0.20065,1.67441,0.20051
75,7600,1.79462,0.20060,1.60955,0.20019
76,7700,1.92018,0.20172,1.76313,0.20040
77,7800,1.92033,0.20412,1.67169,0.20133
78,7900,1.93721,0.20289,1.66387,0.20247
79,8000,1.87833,0.20082,1.61461,0.20072
80,8100,2.01959,0.20282,1.72164,0.20293
81,8200,1.90600,0.20205,1.67773,0.20199
82,8300,1.93563,0.20269,1.78340,0.20520
83,8400,1.80334,0.20205,1.63102,0.20229
84,8500,1.99097,0.20470,1.56422,0.20275
85,8600,1.93693,0.19800,1.65229,0.20244
86,8700,2.00369,0.20368,1.61838,0.20143
87,8800,1.83804,0.20362,1.69157,0.20073
88,8900,1.86406,0.20165,1.60302,0.20072
89,9000,1.85129,0.20138,1.68598,0.20165
90,9100,1.93517,0.20376,1.58287,0.20001
91,9200,1.86056,0.20122,1.66224,0.19987
92,9300,1.94129,0.20037,1.65497,0.20108
93,9400,1.91769,0.20063,1.55045,0.20187
94,9500,1.86314,0.19974,1.60444,0.19973
95,9600,1.86469,0.19879,1.60296,0.19902
96,9700,1.80446,0.19691,1.61503,0.19713
97,9800,1.77034,0.19766,1.65693,0.20061
98,9900,1.76765,0.19547,1.68446,0.19703
99,10000,1.70319,0.19807,1.54711,0.19593
100,10100,1.84301,0.19448,1.61470,0.19340
101,10200,1.70993,0.19581,1.60424,0.19381
102,10300,1.87556,0.19403,1.61420,0.19398
103,10400,1.75147,0.19337,1.64070,0.19465
104,10500,1.77583,0.19325,1.58618,0.19228
105,10600,1.90718,0.19263,1.58045,0.19366
106,10700,1.85292,0.19092,1.59091,0.19131
107,10800,1.79380,0.19118,1.59886,0.19433
108,10900,1.68616,0.19135,1.67733,0.19203
109,11000,1.67945,0.19018,1.59138,0.19195
110,11100,1.68585,0.18853,1.46371,0.19185
111,11200,1.69501,0.19226,1.59449,0.18887
112,11300,1.86994,0.19041,1.59176,0.19056
113,11400,1.84165,0.19028,1.57790,0.19044
114,11500,1.79067,0.18924,1.56144,0.18975
115,11600,1.85779,0.18839,1.55298,0.18991
116,11700,1.73739,0.18735,1.51460,0.18943
117,11800,1.76980,0.18956,1.58278,0.18803
118,11900,1.91930,0.19111,1.69963,0.18934
119,12000,1.71502,0.18911,1.57207,0.18827
120,12100,1.68464,0.18773,1.58916,0.18970
121,12200,1.90623,0.18828,1.52541,0.18917
122,12300,1.85272,0.18925,1.56422,0.18831
123,12400,1.89006,0.18869,1.56300,0.18958
124,12500,1.77352,0.18873,1.52806,0.18796
125,12600,1.82774,0.18668,1.57884,0.18664
126,12700,1.68280,0.18881,1.50725,0.18759
127,12800,1.72948,0.18690,1.46730,0.18530
128,12900,1.77484,0.18760,1.59471,0.18570
129,13000,1.76966,0.18823,1.59340,0.18680
130,13100,1.71294,0.18677,1.35739,0.18588
131,13200,1.77143,0.18530,1.60116,0.18539
