number,rewards,variances,exploration_value
0,[-2.64238 -2.64238],[5.91048 5.91048],0.9988953697090716
100,[-9.28164 -9.28164],[102.24032 102.24032],0.9797606658876263
200,[-4.62943 -4.62943],[7.02943 7.02943],0.9609925038496699
300,[-8.92424 -8.92424],[29.91787 29.91787],0.9425838621706605
400,[-6.68218 -6.68218],[7.25395 7.25395],0.9245278539275122
500,[-11.64022 -11.64022],[67.21065 67.21065],0.9068177241220878
600,[-11.65204 -11.65204],[10.37388 10.37388],0.889446847154093
700,[-11.28861 -11.28861],[34.79038 34.79038],0.8724087243423219
800,[-16.88559 -16.88559],[44.68841 44.68841],0.8556969814934174
900,[-13.28157 -13.28157],[28.19505 28.19505],0.8393053665172148
1000,[-8.91067 -8.91067],[5.60408 5.60408],0.8232277470877281
1100,[-14.28437 -14.28437],[27.83135 27.83135],0.8074581083489812
1200,[-11.17466 -11.17466],[32.06079 32.06079],0.7919905506647517
1300,[-11.06790 -11.06790],[9.79860 9.79860],0.7768192874114557
1400,[-10.28623 -10.28623],[19.23570 19.23570],0.7619386428132808
1500,[-7.97847 -7.97847],[20.30536 20.30536],0.7473430498187978
1600,[-8.15966 -8.15966],[14.94274 14.94274],0.7330270480182665
1700,[-11.11970 -11.11970],[30.02810 30.02810],0.7189852816008054
1800,[-10.30409 -10.30409],[40.61941 40.61941],0.705212497350724
1900,[-8.21148 -8.21148],[7.56992 7.56992],0.6917035426822101
2000,[-10.51974 -10.51974],[22.43955 22.43955],0.6784533637116886
2100,[-8.74918 -8.74918],[14.16963 14.16963],0.6654570033670938
2200,[-12.78454 -12.78454],[51.47036 51.47036],0.6527095995333525
2300,[-9.72822 -9.72822],[6.35650 6.35650],0.6402063832334086
2400,[-13.54810 -13.54810],[27.52229 27.52229],0.6279426768440843
2500,[-6.69246 -6.69246],[9.30815 9.30815],0.6159138923461105
2600,[-10.04248 -10.04248],[85.03649 85.03649],0.6041155296076918
2700,[-6.98014 -6.98014],[9.65981 9.65981],0.5925431747009424
2800,[-11.35614 -11.35614],[24.99789 24.99789],0.5811924982505915
2900,[-3.77520 -3.77520],[4.25213 4.25213],0.5700592538142826
3000,[-10.74902 -10.74902],[16.49763 16.49763],0.5591392762939287
3100,[-9.05567 -9.05567],[53.11781 53.11781],0.5484284803774964
3200,[-13.98583 -13.98583],[36.53190 36.53190],0.5379228590106419
3300,[-13.17268 -13.17268],[37.55292 37.55292],0.5276184818975981
3400,[-7.17490 -7.17490],[48.94484 48.94484],0.5175114940308205
3500,[-6.10485 -6.10485],[25.15064 25.15064],0.5075981142487541
3600,[-4.67952 -4.67952],[8.68754 8.68754],0.4978746338212661
3700,[-8.34209 -8.34209],[27.24920 27.24920],0.48833741506215295
3800,[-4.65002 -4.65002],[40.19077 40.19077],0.47898288996823385
3900,[-6.54617 -6.54617],[1.36922 1.36922],0.46980755888450715
4000,[-6.60940 -6.60940],[34.42905 34.42905],0.4608079891948918
4100,[-8.60592 -8.60592],[134.18920 134.18920],0.45198081403803075
4200,[-2.90791 -2.90791],[3.15080 3.15080],0.4433227310477052
4300,[-1.65201 -1.65201],[0.37067 0.37067],0.43483050111737453
4400,[-2.65763 -2.65763],[5.15587 5.15587],0.42650094718838294
4500,[-4.42638 -4.42638],[8.35211 8.35211],0.4183309530613763
4600,[-3.93523 -3.93523],[13.82302 13.82302],0.41031746223049576
4700,[-1.84795 -1.84795],[0.93388 0.93388],0.4024574767398885
4800,[-7.39939 -7.39939],[41.47243 41.47243],0.39474805606213775
4900,[-4.82092 -4.82092],[8.76766 8.76766],0.3871863159981707
5000,[-3.67205 -3.67205],[2.82838 2.82838],0.37976942759823823
5100,[-3.87067 -3.87067],[5.06839 5.06839],0.37249461610356654
5200,[-1.03436 -1.03436],[0.09087 0.09087],0.36535915990828843
5300,[-1.32531 -1.32531],[0.46732 0.46732],0.3583603895412437
5400,[-2.63311 -2.63311],[2.94125 2.94125],0.35149568666730197
5500,[-2.54554 -2.54554],[10.14962 10.14962],0.34476248310780105
5600,[-2.62959 -2.62959],[2.08417 2.08417],0.33815825987976045
5700,[-5.56397 -5.56397],[4.59205 4.59205],0.33168054625349885
5800,[-1.87889 -1.87889],[1.36462 1.36462],0.32532691882829134
5900,[-1.84064 -1.84064],[1.59718 1.59718],0.3190950006257518
6000,[-2.35003 -2.35003],[7.06435 7.06435],0.312982460200566
6100,[-2.23104 -2.23104],[2.83898 2.83898],0.3069870107682693
6200,[-3.29120 -3.29120],[2.20540 2.20540],0.30110640934973165
6300,[-1.57851 -1.57851],[0.29679 0.29679],0.29533845593202374
6400,[-2.45947 -2.45947],[3.09358 3.09358],0.2896809926453638
6500,[-2.75009 -2.75009],[2.11036 2.11036],0.2841319029558341
6600,[-1.21618 -1.21618],[1.47543 1.47543],0.27868911087355025
6700,[-1.39490 -1.39490],[1.78356 1.78356],0.27335058017600533
6800,[-1.76014 -1.76014],[0.56322 0.56322],0.26811431364629784
6900,[-1.87455 -1.87455],[0.51743 0.51743],0.26297835232593786
7000,[-1.13343 -1.13343],[0.58147 0.58147],0.25794077478198096
7100,[-1.91103 -1.91103],[1.04110 1.04110],0.2529996963881896
7200,[-2.09437 -2.09437],[2.19700 2.19700],0.24815326861997006
7300,[-1.85212 -1.85212],[0.64503 0.64503],0.2433996783628142
7400,[-0.61404 -0.61404],[0.20730 0.20730],0.23873714723398948
7500,[-1.26820 -1.26820],[0.56529 0.56529],0.23416393091721965
