number,rewards,variances,exploration_value
0,[-2.64238 -2.64238],[5.91048 5.91048],0.9988953697090716
100,[-12.22111 -12.22111],[73.79592 73.79592],0.9797606658876263
200,[-12.27954 -12.27954],[131.87951 131.87951],0.9609925038496699
300,[-11.12347 -11.12347],[28.00642 28.00642],0.9425838621706605
400,[-12.27443 -12.27443],[47.85009 47.85009],0.9245278539275122
500,[-16.24393 -16.24393],[40.01319 40.01319],0.9068177241220878
600,[-13.70494 -13.70494],[40.34870 40.34870],0.889446847154093
700,[-12.16219 -12.16219],[24.05873 24.05873],0.8724087243423219
800,[-17.63498 -17.63498],[51.77798 51.77798],0.8556969814934174
900,[-17.09754 -17.09754],[63.97004 63.97004],0.8393053665172148
1000,[-9.80122 -9.80122],[13.97805 13.97805],0.8232277470877281
1100,[-13.75402 -13.75402],[24.27820 24.27820],0.8074581083489812
1200,[-12.74903 -12.74903],[30.45995 30.45995],0.7919905506647517
1300,[-18.40440 -18.40440],[26.92405 26.92405],0.7768192874114557
1400,[-20.61927 -20.61927],[19.74779 19.74779],0.7619386428132808
1500,[-10.62560 -10.62560],[7.25477 7.25477],0.7473430498187978
1600,[-13.07847 -13.07847],[42.86995 42.86995],0.7330270480182665
1700,[-12.02811 -12.02811],[28.94073 28.94073],0.7189852816008054
1800,[-10.30409 -10.30409],[40.61941 40.61941],0.705212497350724
1900,[-11.77255 -11.77255],[34.12320 34.12320],0.6917035426822101
2000,[-13.92233 -13.92233],[9.90078 9.90078],0.6784533637116886
2100,[-15.31426 -15.31426],[35.38434 35.38434],0.6654570033670938
2200,[-14.88957 -14.88957],[40.74245 40.74245],0.6527095995333525
2300,[-16.19382 -16.19382],[39.77618 39.77618],0.6402063832334086
2400,[-15.46915 -15.46915],[21.08306 21.08306],0.6279426768440843
2500,[-9.81236 -9.81236],[10.78201 10.78201],0.6159138923461105
2600,[-15.74412 -15.74412],[88.70581 88.70581],0.6041155296076918
2700,[-10.27238 -10.27238],[9.77241 9.77241],0.5925431747009424
2800,[-13.43580 -13.43580],[31.47087 31.47087],0.5811924982505915
2900,[-10.00591 -10.00591],[34.91138 34.91138],0.5700592538142826
3000,[-12.24286 -12.24286],[3.60987 3.60987],0.5591392762939287
3100,[-11.00925 -11.00925],[99.87365 99.87365],0.5484284803774964
3200,[-13.35173 -13.35173],[24.56406 24.56406],0.5379228590106419
3300,[-14.41402 -14.41402],[56.81940 56.81940],0.5276184818975981
3400,[-14.94712 -14.94712],[83.86389 83.86389],0.5175114940308205
3500,[-9.69020 -9.69020],[19.10280 19.10280],0.5075981142487541
3600,[-10.51181 -10.51181],[3.18262 3.18262],0.4978746338212661
3700,[-12.65777 -12.65777],[59.91153 59.91153],0.48833741506215295
3800,[-12.54967 -12.54967],[32.38394 32.38394],0.47898288996823385
3900,[-13.71601 -13.71601],[11.49106 11.49106],0.46980755888450715
4000,[-12.65627 -12.65627],[41.63540 41.63540],0.4608079891948918
4100,[-16.01627 -16.01627],[31.66159 31.66159],0.45198081403803075
4200,[-12.00227 -12.00227],[73.44188 73.44188],0.4433227310477052
4300,[-11.23708 -11.23708],[8.39432 8.39432],0.43483050111737453
4400,[-12.56609 -12.56609],[55.95558 55.95558],0.42650094718838294
4500,[-13.24379 -13.24379],[22.18928 22.18928],0.4183309530613763
4600,[-9.33467 -9.33467],[15.69670 15.69670],0.41031746223049576
