iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss
0,100,25.45200,1.06668,26.56386,1.06845
1,200,9.56441,1.09896,8.57526,1.10094
2,300,1.14248,1.10021,2.11535,1.10108
3,400,1.01913,1.09092,1.23266,1.08931
4,500,0.97685,1.07889,1.17574,1.08542
5,600,1.02504,1.07423,1.05894,1.07581
6,700,0.97109,1.06337,1.08616,1.06669
7,800,1.14488,1.05845,0.99623,1.06157
8,900,1.06882,1.04871,1.01461,1.04679
9,1000,1.01211,1.04466,1.00928,1.04489
10,1100,1.02804,1.03766,1.14227,1.04090
11,1200,1.10613,1.03220,1.10269,1.03338
12,1300,1.06060,1.02747,1.07584,1.02958
13,1400,1.07255,1.01775,1.20834,1.02175
14,1500,0.97567,1.01177,1.05552,1.01018
15,1600,0.95270,1.00525,1.08572,1.00833
16,1700,1.06824,0.99713,1.13961,0.99594
17,1800,0.98872,0.98538,1.08950,0.98340
18,1900,1.15457,0.98188,1.15860,0.97813
19,2000,1.06415,0.97128,1.16409,0.97318
20,2100,1.03076,0.96457,1.21296,0.96788
21,2200,0.96679,0.95773,1.10157,0.95949
22,2300,1.03983,0.94745,1.23613,0.95430
23,2400,1.11843,0.94298,1.10404,0.93756
24,2500,0.99203,0.93593,1.19783,0.93702
25,2600,1.03116,0.92771,1.17764,0.92724
26,2700,1.06257,0.92027,1.26852,0.92375
27,2800,1.03559,0.91333,1.18528,0.91569
28,2900,1.02124,0.90611,1.31020,0.90798
29,3000,0.90133,0.90018,1.20857,0.90166
30,3100,1.00324,0.89485,1.19135,0.89957
31,3200,1.03557,0.89213,1.10018,0.88964
32,3300,1.02221,0.88432,1.22626,0.88354
33,3400,1.09877,0.87375,1.24004,0.87184
34,3500,0.99882,0.86967,1.27098,0.86633
35,3600,1.03958,0.86106,1.18997,0.85993
36,3700,1.01116,0.85444,1.26881,0.85118
37,3800,1.03986,0.84800,1.44370,0.84848
38,3900,1.09879,0.84004,1.28658,0.83914
39,4000,0.97713,0.82788,1.18983,0.83071
40,4100,1.08052,0.82694,1.40707,0.82689
41,4200,0.90134,0.82150,1.22726,0.81893
42,4300,1.04572,0.81893,1.21038,0.81583
43,4400,0.96031,0.80715,1.26202,0.80603
44,4500,1.00451,0.80250,1.32295,0.80114
45,4600,0.99519,0.79109,1.30863,0.79313
46,4700,0.99983,0.78478,1.34821,0.78695
47,4800,1.07564,0.77322,1.34833,0.77460
48,4900,1.02361,0.76768,1.43926,0.77135
49,5000,1.10308,0.76019,1.43198,0.76037
50,5100,0.97693,0.75402,1.22782,0.75290
51,5200,0.90923,0.74901,1.28802,0.74661
52,5300,1.10191,0.74225,1.26600,0.74106
53,5400,1.11425,0.73543,1.20784,0.73357
54,5500,1.09799,0.72791,1.15882,0.72363
55,5600,1.01319,0.71872,1.37425,0.71787
56,5700,0.97732,0.71451,1.34323,0.71427
57,5800,1.08036,0.70480,1.44657,0.70625
58,5900,1.14554,0.69874,1.28774,0.70166
59,6000,1.00280,0.69088,1.51526,0.69278
60,6100,1.05183,0.68250,1.26173,0.68836
61,6200,1.03261,0.67818,1.44093,0.67840
62,6300,0.98157,0.67055,1.32014,0.67219
63,6400,0.96634,0.66328,1.47612,0.66192
64,6500,1.03977,0.65456,1.36662,0.65583
65,6600,1.02103,0.64700,1.38826,0.64733
66,6700,1.01006,0.64127,1.34004,0.64019
67,6800,0.97236,0.63643,1.43052,0.63487
68,6900,0.93838,0.62692,1.39288,0.62718
69,7000,1.00297,0.62156,1.38400,0.62108
