iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,7.28030,0.56514,2.09618,7.82030,0.56572,2.09619
1,200,2.02415,0.56243,2.09687,2.33284,0.56209,2.09669
2,300,1.01657,0.55620,2.09580,1.25433,0.55519,2.09554
3,400,1.01699,0.54275,2.09438,1.02759,0.54319,2.09430
4,500,1.07471,0.53338,2.09329,0.95215,0.53324,2.09305
5,600,0.95323,0.52479,2.09259,0.95178,0.52487,2.09239
6,700,1.05909,0.51731,2.09158,1.00727,0.51642,2.09181
7,800,0.95291,0.50954,2.08995,1.02840,0.50830,2.09069
8,900,0.99442,0.49958,2.08959,1.12743,0.50019,2.08936
9,1000,1.07020,0.49061,2.08828,0.95065,0.48994,2.08881
10,1100,1.04489,0.48119,2.08836,0.93343,0.48099,2.08753
11,1200,1.08705,0.47251,2.08698,0.94466,0.47201,2.08724
12,1300,1.00443,0.46481,2.08617,1.06897,0.46478,2.08609
13,1400,1.05144,0.45658,2.08523,0.96125,0.45628,2.08559
14,1500,0.84487,0.44855,2.08440,0.98275,0.44848,2.08451
15,1600,1.01121,0.44054,2.08334,1.03539,0.44008,2.08380
16,1700,1.05597,0.43308,2.08243,0.95633,0.43270,2.08208
17,1800,0.81453,0.42574,2.08163,0.97022,0.42579,2.08153
18,1900,0.95241,0.41868,2.08050,1.01907,0.41925,2.08064
19,2000,0.95972,0.41269,2.07892,0.97485,0.41189,2.07913
20,2100,1.00844,0.40484,2.07788,1.01696,0.40518,2.07728
21,2200,0.98928,0.39862,2.07693,1.08166,0.39850,2.07654
22,2300,1.04735,0.39269,2.07492,0.98615,0.39216,2.07603
23,2400,0.96641,0.38577,2.07410,0.92380,0.38620,2.07402
24,2500,0.88713,0.37985,2.07312,1.03319,0.37842,2.07312
25,2600,0.95810,0.37326,2.07188,0.95798,0.37269,2.07174
26,2700,0.99049,0.36778,2.07099,0.99399,0.36751,2.07087
27,2800,0.84337,0.36070,2.06966,1.03051,0.36087,2.06923
28,2900,1.02994,0.35518,2.06846,1.02746,0.35471,2.06860
29,3000,0.96092,0.34944,2.06728,1.13004,0.34857,2.06733
30,3100,1.00237,0.34235,2.06498,1.05164,0.34259,2.06554
31,3200,0.98451,0.33718,2.06385,1.03096,0.33687,2.06422
32,3300,0.90244,0.33107,2.06296,0.91993,0.33077,2.06262
33,3400,1.00565,0.32613,2.06157,1.07147,0.32570,2.06117
34,3500,0.96644,0.31965,2.05998,1.00557,0.31985,2.06016
35,3600,1.18170,0.31445,2.05814,1.00572,0.31417,2.05771
36,3700,1.02106,0.30897,2.05728,1.00521,0.30825,2.05705
37,3800,1.00663,0.30362,2.05553,0.95410,0.30340,2.05529
38,3900,0.93777,0.29806,2.05431,1.07789,0.29828,2.05318
39,4000,1.08619,0.29235,2.05233,0.94776,0.29285,2.05232
40,4100,1.00583,0.28759,2.05065,0.89563,0.28745,2.05068
41,4200,0.92978,0.28194,2.04872,0.98120,0.28183,2.04899
42,4300,1.09368,0.27717,2.04741,0.97375,0.27685,2.04702
43,4400,1.05684,0.27208,2.04535,1.04580,0.27191,2.04572
44,4500,1.13495,0.26707,2.04408,0.92520,0.26728,2.04441
45,4600,1.16655,0.26249,2.04217,1.01315,0.26240,2.04271
46,4700,0.95652,0.25709,2.04062,0.99944,0.25713,2.04074
47,4800,0.94045,0.25271,2.03862,1.00519,0.25228,2.03900
48,4900,1.04145,0.24768,2.03713,1.10711,0.24748,2.03729
49,5000,1.02044,0.24297,2.03532,1.05140,0.24326,2.03568
50,5100,0.95456,0.23842,2.03404,0.93431,0.23816,2.03400
51,5200,1.07140,0.23425,2.03202,0.93793,0.23413,2.03196
52,5300,0.97526,0.22985,2.03002,1.07688,0.22914,2.03052
53,5400,1.08523,0.22494,2.02791,1.01978,0.22521,2.02886
54,5500,0.90210,0.22095,2.02705,0.95663,0.22094,2.02639
55,5600,0.87854,0.21645,2.02509,1.10244,0.21668,2.02454
56,5700,1.03965,0.21239,2.02274,1.10846,0.21230,2.02293
57,5800,0.94312,0.20824,2.02107,0.96859,0.20828,2.02089
58,5900,1.02441,0.20437,2.01893,1.05509,0.20414,2.01898
59,6000,1.03344,0.20037,2.01688,1.00374,0.20041,2.01667
60,6100,1.17772,0.19646,2.01586,1.09837,0.19660,2.01528
61,6200,0.99307,0.19274,2.01361,0.99915,0.19262,2.01269
62,6300,0.99244,0.18901,2.01129,0.98665,0.18895,2.01144
63,6400,1.05166,0.18544,2.00911,1.04466,0.18499,2.00912
64,6500,0.98768,0.18186,2.00659,0.92258,0.18139,2.00675
65,6600,0.99712,0.17836,2.00517,0.95666,0.17792,2.00537
66,6700,1.03715,0.17466,2.00390,0.99409,0.17438,2.00283
67,6800,0.98949,0.17113,2.00166,1.02679,0.17115,2.00187
68,6900,1.01633,0.16769,1.99898,0.91471,0.16780,1.99956
69,7000,1.08018,0.16427,1.99748,1.11555,0.16434,1.99679
70,7100,0.93760,0.16135,1.99500,1.05025,0.16130,1.99427
71,7200,0.92079,0.15811,1.99290,1.00934,0.15813,1.99276
72,7300,1.01420,0.15497,1.99035,1.06972,0.15514,1.99069
73,7400,1.11866,0.15181,1.98809,0.96238,0.15202,1.98865
74,7500,1.10194,0.14897,1.98648,1.07162,0.14877,1.98575
75,7600,0.94138,0.14601,1.98440,1.10274,0.14570,1.98424
76,7700,0.92088,0.14288,1.98278,1.03994,0.14293,1.98161
77,7800,0.99168,0.14049,1.97979,0.89444,0.13993,1.97953
78,7900,1.03205,0.13759,1.97711,0.99644,0.13730,1.97836
79,8000,1.01605,0.13458,1.97592,0.96874,0.13466,1.97486
80,8100,1.05167,0.13192,1.97341,1.01079,0.13174,1.97309
81,8200,1.14377,0.12953,1.97065,1.02837,0.12934,1.97053
82,8300,0.96908,0.12688,1.96903,0.96990,0.12690,1.96883
83,8400,1.11515,0.12433,1.96584,0.91201,0.12435,1.96665
84,8500,1.04690,0.12195,1.96275,0.91231,0.12188,1.96334
85,8600,1.00847,0.11962,1.96148,0.97262,0.11944,1.96142
86,8700,1.02854,0.11734,1.95858,0.82813,0.11726,1.95754
87,8800,0.93205,0.11489,1.95521,1.02397,0.11511,1.95578
88,8900,1.00454,0.11286,1.95392,1.03018,0.11292,1.95329
89,9000,1.10612,0.11082,1.95164,0.99274,0.11065,1.95109
90,9100,0.94865,0.10868,1.94833,1.07698,0.10867,1.94818
91,9200,0.97290,0.10630,1.94558,0.99751,0.10621,1.94588
92,9300,1.03692,0.10461,1.94277,0.89704,0.10449,1.94299
93,9400,0.99407,0.10227,1.94146,0.96260,0.10248,1.94065
94,9500,0.95223,0.10086,1.93823,0.99313,0.10041,1.93778
95,9600,0.87504,0.09884,1.93488,0.90191,0.09861,1.93445
96,9700,1.03491,0.09725,1.93195,0.95693,0.09705,1.93321
97,9800,1.04988,0.09529,1.92984,0.96078,0.09539,1.92990
98,9900,1.03050,0.09349,1.92584,0.98675,0.09352,1.92743
99,10000,1.05842,0.09217,1.92410,0.97408,0.09218,1.92315
100,10100,0.98872,0.09072,1.92098,0.91286,0.09059,1.92066
101,10200,1.10417,0.08928,1.91782,0.92793,0.08879,1.91732
102,10300,0.83715,0.08749,1.91652,0.87703,0.08721,1.91588
103,10400,0.92835,0.08623,1.91241,0.83707,0.08646,1.91341
104,10500,0.97611,0.08475,1.90785,0.91834,0.08471,1.90931
105,10600,0.96549,0.08374,1.90590,1.06180,0.08353,1.90622
106,10700,0.96751,0.08236,1.90248,1.07497,0.08205,1.90334
107,10800,1.13485,0.08140,1.89807,0.82469,0.08095,1.90022
108,10900,0.95900,0.08012,1.89698,1.00353,0.07993,1.89648
109,11000,1.05003,0.07892,1.89226,0.84270,0.07898,1.89425
110,11100,0.90978,0.07785,1.88976,0.92451,0.07729,1.88915
111,11200,0.95129,0.07669,1.88656,0.89494,0.07644,1.88624
112,11300,1.07825,0.07585,1.88275,0.94528,0.07549,1.88331
113,11400,1.02368,0.07471,1.88034,0.92263,0.07464,1.87900
114,11500,0.90069,0.07402,1.87578,0.94698,0.07384,1.87665
115,11600,0.93331,0.07296,1.87444,0.91340,0.07294,1.87361
116,11700,0.91510,0.07198,1.87070,0.94510,0.07193,1.87024
117,11800,1.16254,0.07117,1.86904,1.01963,0.07122,1.86795
118,11900,1.05808,0.07038,1.86290,0.91534,0.07046,1.86308
119,12000,1.18827,0.06984,1.86015,0.87286,0.06979,1.86024
120,12100,0.97218,0.06909,1.85675,0.92776,0.06909,1.85554
121,12200,1.06425,0.06852,1.85234,1.01799,0.06837,1.85153
122,12300,0.91866,0.06736,1.84858,0.97066,0.06738,1.85120
123,12400,1.11260,0.06698,1.84729,0.99214,0.06701,1.84665
124,12500,1.01981,0.06631,1.84402,0.96895,0.06606,1.84419
125,12600,0.96815,0.06554,1.84027,0.99292,0.06560,1.83895
126,12700,1.04525,0.06504,1.83842,0.92298,0.06517,1.83561
127,12800,1.15909,0.06430,1.83235,0.96657,0.06430,1.83335
128,12900,0.94648,0.06395,1.82770,0.99215,0.06402,1.82975
129,13000,0.98998,0.06331,1.82637,0.95146,0.06323,1.82641
