iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,5.58961,0.49186,1.09900,9.57966,0.62990,1.61145
1,200,1.62867,0.49083,1.10058,2.81847,0.61932,1.61147
2,300,1.01280,0.48453,1.10014,1.31382,0.61127,1.61058
3,400,1.01033,0.47967,1.09990,1.05241,0.60091,1.61001
4,500,1.07500,0.47348,1.09952,0.95929,0.59780,1.61009
5,600,0.95480,0.46871,1.09986,0.95594,0.58927,1.61079
6,700,1.05660,0.46286,1.09997,1.01292,0.58274,1.61135
7,800,0.95266,0.45767,1.09968,1.02811,0.57816,1.61125
8,900,0.99384,0.45259,1.09990,1.12890,0.57504,1.61106
9,1000,1.06795,0.44774,1.09956,0.95408,0.56849,1.61088
10,1100,1.03481,0.44273,1.10008,0.93627,0.56154,1.61107
11,1200,1.08502,0.43787,1.10002,0.94785,0.55473,1.61059
12,1300,1.00556,0.43293,1.10013,1.06507,0.54956,1.61068
13,1400,1.05912,0.42767,1.09973,0.95777,0.54324,1.61118
14,1500,0.84337,0.42337,1.09993,0.98734,0.53899,1.61114
15,1600,1.01462,0.41835,1.10018,1.03837,0.53407,1.61152
16,1700,1.05525,0.41401,1.10013,0.96353,0.52684,1.61095
17,1800,0.81765,0.40954,1.10000,0.97331,0.52245,1.61137
18,1900,0.93836,0.40473,1.10018,1.03230,0.51949,1.61077
19,2000,0.98180,0.39923,1.09910,0.98756,0.51464,1.61041
20,2100,1.00712,0.39453,1.09896,1.01691,0.50998,1.61131
21,2200,0.97745,0.39025,1.09932,1.07724,0.50533,1.61030
22,2300,1.04999,0.38564,1.09914,0.99475,0.49992,1.61035
23,2400,0.99187,0.38123,1.09924,0.93232,0.49628,1.61031
24,2500,0.91204,0.37671,1.09903,1.08574,0.49067,1.61069
25,2600,0.92797,0.37229,1.09901,0.97401,0.48680,1.61054
26,2700,0.96879,0.36797,1.09906,1.01523,0.48293,1.61017
27,2800,0.84333,0.36435,1.09937,1.04582,0.47770,1.60979
28,2900,1.01371,0.35950,1.09913,1.02133,0.47349,1.60998
29,3000,0.97443,0.35583,1.09975,1.14994,0.46893,1.60974
30,3100,1.00242,0.35111,1.09933,1.04546,0.46481,1.60948
31,3200,0.98930,0.34662,1.09895,1.03062,0.46042,1.60944
32,3300,0.91755,0.34308,1.09952,0.98903,0.45573,1.60905
33,3400,0.97202,0.33832,1.09927,1.06666,0.45149,1.60931
34,3500,0.99709,0.33406,1.09905,1.08272,0.44602,1.60877
35,3600,1.21069,0.32998,1.09892,1.03738,0.44239,1.60877
36,3700,0.97097,0.32620,1.09943,1.05731,0.43660,1.60925
37,3800,0.99525,0.32213,1.09924,0.96446,0.43285,1.60861
38,3900,0.93542,0.31839,1.09966,1.08826,0.42976,1.60917
39,4000,1.15754,0.31460,1.09970,0.99770,0.42510,1.60851
40,4100,1.01807,0.31031,1.09932,0.92705,0.42015,1.60848
41,4200,0.96414,0.30678,1.09956,1.03226,0.41580,1.60833
42,4300,1.10558,0.30312,1.09950,0.99429,0.41155,1.60816
43,4400,1.07963,0.29889,1.09941,1.06344,0.40855,1.60841
44,4500,1.12294,0.29549,1.09973,0.95313,0.40298,1.60791
45,4600,1.10023,0.29191,1.09975,1.05506,0.39998,1.60771
46,4700,0.93808,0.28815,1.09955,1.01623,0.39554,1.60783
47,4800,1.00437,0.28450,1.09961,1.05900,0.39079,1.60779
48,4900,1.03754,0.28063,1.09942,1.12536,0.38708,1.60784
49,5000,0.96323,0.27733,1.09958,1.15524,0.38264,1.60739
50,5100,0.99540,0.27388,1.09980,0.96231,0.37847,1.60699
51,5200,1.07269,0.26965,1.09925,0.98928,0.37523,1.60745
52,5300,0.92106,0.26643,1.09928,1.12897,0.37024,1.60681
53,5400,1.00291,0.26330,1.09972,1.08615,0.36790,1.60689
54,5500,0.94678,0.25980,1.09926,1.01839,0.36235,1.60702
55,5600,0.85974,0.25655,1.09950,1.09429,0.35882,1.60701
56,5700,1.00746,0.25312,1.09940,1.14099,0.35457,1.60644
57,5800,0.97503,0.24988,1.09962,1.01222,0.35135,1.60685
58,5900,0.99197,0.24638,1.09922,1.14904,0.34743,1.60674
59,6000,1.02488,0.24312,1.09939,1.04508,0.34362,1.60681
60,6100,1.20158,0.23969,1.09917,1.11772,0.33934,1.60718
61,6200,1.03592,0.23678,1.09941,1.02718,0.33627,1.60637
62,6300,0.99016,0.23329,1.09915,1.04886,0.33225,1.60651
63,6400,1.06259,0.23025,1.09917,1.01060,0.32778,1.60673
64,6500,0.99943,0.22705,1.09910,0.98547,0.32411,1.60654
65,6600,0.99601,0.22399,1.09916,1.05714,0.32040,1.60659
66,6700,1.07471,0.22113,1.09919,1.08022,0.31668,1.60643
67,6800,1.00297,0.21796,1.09904,1.04029,0.31235,1.60651
68,6900,1.10064,0.21502,1.09902,0.97677,0.30843,1.60650
69,7000,1.02514,0.21179,1.09898,1.13493,0.30567,1.60612
70,7100,0.95774,0.20903,1.09918,1.07663,0.30310,1.60583
71,7200,0.98166,0.20613,1.09904,1.04966,0.29918,1.60593
