number,rewards,variances,exploration_value
0,[-13.60166 -13.60166],[15.38795 15.38795],0.9988953697090716
100,[-1.87390 -1.87390],[6.06906 6.06906],0.9797606658876263
200,[-7.88451 -7.88451],[35.37801 35.37801],0.9609925038496699
300,[-4.22297 -4.22297],[5.19086 5.19086],0.9425838621706605
400,[-6.31467 -6.31467],[109.10324 109.10324],0.9245278539275122
500,[-5.49072 -5.49072],[12.91913 12.91913],0.9068177241220878
600,[-9.07619 -9.07619],[34.24879 34.24879],0.889446847154093
700,[-3.96449 -3.96449],[17.50999 17.50999],0.8724087243423219
800,[-3.98270 -3.98270],[7.18205 7.18205],0.8556969814934174
900,[-18.60303 -18.60303],[26.12874 26.12874],0.8393053665172148
1000,[-7.61412 -7.61412],[25.61696 25.61696],0.8232277470877281
1100,[-6.73048 -6.73048],[22.21071 22.21071],0.8074581083489812
1200,[-6.77557 -6.77557],[22.31840 22.31840],0.7919905506647517
1300,[-2.85303 -2.85303],[4.51713 4.51713],0.7768192874114557
1400,[-7.25537 -7.25537],[12.33707 12.33707],0.7619386428132808
1500,[-10.27374 -10.27374],[40.16050 40.16050],0.7473430498187978
1600,[-5.36155 -5.36155],[11.36818 11.36818],0.7330270480182665
1700,[-8.73261 -8.73261],[21.11027 21.11027],0.7189852816008054
1800,[-4.29993 -4.29993],[1.36551 1.36551],0.705212497350724
1900,[-3.71590 -3.71590],[12.67070 12.67070],0.6917035426822101
2000,[-5.11406 -5.11406],[16.96448 16.96448],0.6784533637116886
2100,[-3.78643 -3.78643],[11.34890 11.34890],0.6654570033670938
2200,[-11.88518 -11.88518],[48.92764 48.92764],0.6527095995333525
2300,[-7.46667 -7.46667],[19.78304 19.78304],0.6402063832334086
2400,[-9.87497 -9.87497],[45.53634 45.53634],0.6279426768440843
2500,[-2.76793 -2.76793],[0.60302 0.60302],0.6159138923461105
2600,[-9.33770 -9.33770],[6.96827 6.96827],0.6041155296076918
2700,[-7.80509 -7.80509],[3.36504 3.36504],0.5925431747009424
2800,[-6.59867 -6.59867],[33.83969 33.83969],0.5811924982505915
2900,[-2.22675 -2.22675],[0.88124 0.88124],0.5700592538142826
3000,[-2.16065 -2.16065],[0.23759 0.23759],0.5591392762939287
3100,[-1.91114 -1.91114],[2.08930 2.08930],0.5484284803774964
3200,[-1.49700 -1.49700],[3.20913 3.20913],0.5379228590106419
3300,[-9.52559 -9.52559],[16.74576 16.74576],0.5276184818975981
3400,[-5.44477 -5.44477],[15.40025 15.40025],0.5175114940308205
3500,[-3.57959 -3.57959],[3.85068 3.85068],0.5075981142487541
3600,[-4.50037 -4.50037],[14.10103 14.10103],0.4978746338212661
3700,[-4.26488 -4.26488],[3.37694 3.37694],0.48833741506215295
3800,[-4.17803 -4.17803],[3.07210 3.07210],0.47898288996823385
3900,[-5.30304 -5.30304],[25.29422 25.29422],0.46980755888450715
4000,[-2.61851 -2.61851],[1.41377 1.41377],0.4608079891948918
