iteration,episode,1_iql_loss,2_iql_loss
0,100,1.03317,1.00351
1,200,1.06865,0.90887
2,300,0.98484,0.94080
3,400,1.00442,0.89611
4,500,1.07148,0.87669
5,600,0.96732,0.90323
6,700,1.03775,0.97862
7,800,0.93972,0.98341
8,900,0.98946,1.07821
9,1000,1.08725,0.92227
10,1100,1.02524,0.89389
11,1200,1.08314,0.91162
12,1300,0.99596,1.04645
13,1400,1.02495,0.92390
14,1500,0.83767,0.92498
15,1600,0.99121,1.01341
16,1700,0.99398,0.90495
17,1800,0.83309,0.88710
18,1900,0.93119,0.95412
19,2000,0.97672,0.91569
20,2100,1.03362,0.93858
21,2200,0.98703,1.00603
22,2300,1.04242,0.94009
23,2400,0.98575,0.87406
24,2500,0.89366,0.99931
25,2600,0.92313,0.91616
26,2700,0.96714,0.89957
27,2800,0.83694,1.01805
28,2900,0.97430,0.93201
29,3000,0.90460,1.03984
30,3100,0.96527,0.95914
31,3200,0.99056,0.89230
32,3300,0.88975,0.85734
33,3400,1.02644,0.96739
34,3500,1.02024,0.92397
35,3600,1.11587,0.95595
36,3700,0.94666,1.00394
37,3800,1.02966,0.91516
38,3900,0.90366,1.01194
39,4000,1.05064,0.87672
40,4100,1.01724,0.88237
41,4200,0.99852,0.91474
42,4300,1.01917,0.96507
43,4400,1.05199,0.99015
44,4500,1.06553,0.84134
45,4600,1.20424,0.92623
46,4700,0.95258,0.90529
47,4800,1.04187,0.94154
48,4900,1.02855,0.98176
49,5000,0.96092,1.02757
50,5100,0.95268,0.83770
51,5200,0.98770,0.87060
52,5300,0.97846,1.01038
53,5400,1.16419,0.95133
54,5500,0.90874,0.89860
55,5600,0.98866,1.00123
56,5700,0.95437,1.01039
57,5800,0.97288,0.88699
58,5900,1.04839,0.93058
59,6000,1.11799,0.93751
60,6100,1.07486,1.02818
61,6200,1.02901,0.90777
62,6300,1.04788,0.93748
63,6400,1.04575,0.87973
64,6500,0.95566,0.90409
65,6600,1.04479,0.94536
66,6700,0.99219,1.02330
67,6800,0.84311,0.99921
68,6900,1.02115,0.94101
69,7000,1.05047,1.01974
70,7100,0.92146,1.00660
71,7200,1.00764,0.91762
72,7300,0.98561,1.01306
73,7400,1.08171,0.85323
74,7500,1.07234,1.01938
75,7600,0.95451,1.03606
76,7700,0.97704,0.90947
77,7800,0.97521,0.89057
78,7900,0.98307,0.97107
79,8000,0.91909,0.96046
80,8100,1.17171,0.93080
81,8200,1.06864,1.00969
82,8300,1.02067,0.96923
83,8400,1.08553,0.88317
84,8500,1.01951,0.91432
85,8600,1.01176,0.94762
86,8700,1.05031,0.85421
87,8800,0.92645,1.00404
88,8900,0.93171,0.95928
89,9000,1.06329,0.88328
90,9100,0.89375,0.99300
91,9200,0.89716,0.96865
92,9300,0.97024,0.85525
93,9400,0.99773,0.97074
94,9500,1.04355,0.92433
95,9600,0.89946,0.85754
96,9700,1.03833,0.93599
97,9800,1.15959,0.92542
98,9900,1.03292,0.87577
99,10000,1.04281,0.93544
100,10100,0.94730,0.96227
101,10200,1.10768,0.83697
102,10300,0.86269,0.93216
103,10400,0.99134,0.79940
104,10500,0.94078,0.93886
105,10600,0.85359,0.93905
106,10700,0.98261,1.01900
107,10800,1.07911,0.82789
108,10900,0.89949,0.95421
109,11000,1.12548,0.79828
110,11100,0.92272,0.93371
111,11200,0.94310,0.92466
112,11300,1.03402,0.83471
113,11400,1.21920,0.95109
114,11500,0.97078,0.91773
115,11600,0.99398,1.04824
116,11700,0.97408,0.98715
117,11800,1.15167,0.99207
118,11900,1.11801,0.88288
119,12000,1.03136,0.86144
120,12100,0.95641,0.97595
121,12200,0.96561,0.98596
122,12300,0.94083,1.01246
123,12400,1.18347,1.00801
124,12500,0.99954,0.93341
125,12600,0.85355,0.97868
126,12700,0.97496,1.00830
127,12800,1.17130,0.95174
128,12900,1.01998,1.00137
129,13000,0.96823,0.91678
130,13100,0.99955,1.03072
131,13200,1.00107,0.92276
132,13300,1.04329,0.98027
133,13400,1.17515,1.06469
134,13500,1.03045,1.02028
135,13600,1.03616,1.04701
136,13700,1.15545,0.98687
137,13800,0.89183,0.95361
138,13900,0.91640,0.98410
139,14000,1.06691,0.96277
140,14100,0.93780,0.86971
141,14200,0.98728,0.90828
142,14300,0.91241,0.87617
143,14400,1.06969,0.98146
144,14500,1.06722,0.94052
145,14600,1.04798,0.86638
146,14700,0.97861,0.90293
147,14800,1.04434,1.03425
148,14900,1.01670,0.90866
149,15000,1.06256,1.10382
150,15100,0.91336,1.10777
151,15200,0.89724,0.91792
152,15300,0.84238,0.89798
153,15400,1.01737,0.93193
154,15500,0.93722,0.91140
155,15600,0.97822,0.94445
156,15700,0.93346,1.09282
157,15800,0.94779,0.83706
158,15900,0.91350,0.91807
159,16000,0.89516,0.99995
160,16100,1.02587,1.01281
161,16200,1.04577,0.95103
162,16300,1.06149,0.97077
163,16400,1.05470,0.98554
164,16500,1.12310,0.94518
165,16600,1.03756,0.91104
166,16700,1.01132,0.99260
167,16800,1.03608,0.97110
168,16900,1.02119,1.08225
169,17000,1.03932,0.94619
170,17100,0.94455,0.80104
171,17200,1.00397,1.03024
172,17300,1.11137,1.04082
173,17400,0.90343,0.93068
174,17500,0.95847,0.94361
175,17600,0.98971,0.91359
176,17700,0.97455,0.93250
177,17800,0.99631,0.92282
178,17900,1.04987,0.93379
179,18000,1.18208,0.99244
180,18100,1.01514,0.98391
181,18200,0.93202,0.95291
182,18300,0.99850,0.95014
183,18400,1.13544,0.97485
184,18500,0.93735,0.92847
185,18600,0.99229,1.03863
186,18700,0.96179,0.98564
187,18800,0.95032,0.90092
188,18900,1.00979,1.02119
189,19000,1.08873,1.01081
190,19100,0.96103,1.01624
191,19200,1.06865,0.92428
192,19300,0.91138,1.04264
193,19400,1.18260,0.91236
194,19500,0.95608,0.95586
195,19600,1.06088,0.97412
196,19700,1.01159,0.92693
197,19800,1.05144,1.00332
198,19900,1.03638,0.85881
199,20000,1.10479,1.10724
200,20100,1.02412,0.90088
201,20200,1.06008,0.98812
202,20300,0.97479,0.93635
203,20400,0.89066,0.90431
204,20500,0.89368,0.96001
205,20600,1.08847,1.10731
206,20700,1.02320,0.87244
207,20800,0.95016,0.99583
208,20900,0.90366,1.04606
209,21000,0.92848,0.93540
210,21100,0.95934,1.05924
211,21200,0.91625,1.03425
212,21300,1.08148,0.83510
213,21400,1.06911,0.98707
214,21500,0.92246,0.92003
215,21600,1.02639,0.84911
216,21700,0.90585,1.03604
217,21800,0.91053,0.97936
218,21900,0.88296,0.88947
219,22000,1.02756,0.89589
220,22100,1.03186,1.02695
221,22200,0.88352,0.97231
222,22300,0.95713,1.00062
223,22400,1.06863,1.00618
224,22500,1.00572,0.95010
225,22600,0.93214,1.03550
226,22700,0.98651,0.96325
227,22800,1.01047,0.98185
228,22900,0.87025,0.86912
229,23000,0.96652,0.82658
230,23100,1.05281,0.91831
231,23200,0.95530,1.08528
232,23300,1.00927,0.93110
233,23400,1.06872,1.02045
234,23500,1.10155,0.90216
235,23600,0.84891,0.93583
236,23700,0.99676,0.88837
237,23800,0.97906,0.92323
238,23900,1.07674,0.97779
239,24000,0.83775,0.93368
240,24100,1.21545,0.86445
241,24200,1.16028,0.93291
242,24300,1.04357,0.88403
243,24400,1.15618,1.00323
244,24500,0.96371,1.03680
245,24600,0.90769,0.89174
246,24700,1.01663,1.01982
247,24800,1.13499,0.98492
248,24900,0.90538,0.94792
