iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
0,100,4.72943,0.31893,3.62434,0.28726,3.13664,0.26646
1,200,2.15751,0.23744,1.96888,0.23122,1.77632,0.22345
2,300,1.90160,0.22995,1.77480,0.22757,1.79180,0.22263
3,400,1.83291,0.23072,1.81858,0.22634,1.75303,0.22414
4,500,1.84347,0.22746,1.73796,0.22564,1.71350,0.22284
5,600,1.74866,0.22421,1.68567,0.22179,1.65757,0.22182
6,700,1.76392,0.22286,1.74471,0.22145,1.67730,0.21816
7,800,1.74095,0.22272,1.74671,0.22046,1.58560,0.21702
8,900,1.71043,0.22108,1.73390,0.22215,1.66571,0.21717
9,1000,1.67089,0.21759,1.67531,0.21919,1.62989,0.21799
10,1100,1.72704,0.21871,1.69813,0.21628,1.64697,0.21556
11,1200,1.76236,0.21941,1.66098,0.21765,1.68778,0.21538
12,1300,1.70580,0.21652,1.66478,0.21660,1.65525,0.21753
13,1400,1.65228,0.21920,1.62887,0.21463,1.63600,0.21632
14,1500,1.66507,0.21711,1.66442,0.21684,1.63455,0.21790
15,1600,1.72164,0.21615,1.67100,0.21546,1.69110,0.21597
16,1700,1.69300,0.21500,1.73784,0.21480,1.67795,0.21474
17,1800,1.61051,0.21457,1.68131,0.21599,1.67833,0.21439
18,1900,1.70714,0.21462,1.68084,0.21349,1.64417,0.21362
19,2000,1.61540,0.21637,1.63535,0.21467,1.60348,0.21264
20,2100,1.65231,0.21449,1.68032,0.21707,1.69504,0.21450
21,2200,1.74975,0.21617,1.69763,0.21397,1.61254,0.21386
22,2300,1.64201,0.21398,1.68208,0.21414,1.62006,0.21263
23,2400,1.60570,0.21398,1.60246,0.21161,1.64902,0.21301
24,2500,1.58568,0.21270,1.63677,0.21289,1.59369,0.21103
25,2600,1.56111,0.20997,1.57770,0.20975,1.61089,0.21364
26,2700,1.56185,0.20901,1.61984,0.21183,1.60873,0.21074
27,2800,1.65180,0.21073,1.56062,0.20929,1.63975,0.20992
28,2900,1.63153,0.21008,1.58190,0.21023,1.61483,0.21051
29,3000,1.59949,0.21069,1.55552,0.21086,1.50887,0.20903
30,3100,1.60184,0.20962,1.62454,0.21049,1.60659,0.20980
31,3200,1.58712,0.20870,1.60008,0.20792,1.56790,0.20795
32,3300,1.61474,0.20763,1.60702,0.20959,1.59176,0.20795
33,3400,1.61631,0.20934,1.56085,0.20703,1.59068,0.20596
34,3500,1.59153,0.20547,1.55452,0.20757,1.54918,0.20634
35,3600,1.59003,0.20527,1.56109,0.20422,1.62128,0.20625
36,3700,1.54570,0.20354,1.55744,0.20631,1.58965,0.20494
37,3800,1.59554,0.20632,1.52360,0.20391,1.63261,0.20531
38,3900,1.58837,0.20198,1.48637,0.20270,1.54948,0.20323
39,4000,1.54298,0.20309,1.56113,0.20280,1.53846,0.20512
40,4100,1.52627,0.20226,1.61987,0.20311,1.58853,0.20200
41,4200,1.52991,0.20256,1.57028,0.20253,1.54643,0.20149
42,4300,1.55053,0.20068,1.53465,0.20122,1.61342,0.20060
43,4400,1.54595,0.20128,1.55407,0.20058,1.55677,0.20203
44,4500,1.53950,0.19784,1.52022,0.19841,1.53946,0.20021
