number,rewards,variances,exploration_value
0,[-22.41520 -22.41520 -22.41520],[4.04800 4.04800 4.04800],0.9988953697090716
100,[-21.57274 -21.57274 -21.57274],[17.56614 17.56614 17.56614],0.9797606658876263
200,[-18.38163 -18.38163 -18.38163],[1.31053 1.31053 1.31053],0.9609925038496699
300,[-14.29385 -14.29385 -14.29385],[14.86007 14.86007 14.86007],0.9425838621706605
400,[-13.12726 -13.12726 -13.12726],[4.17801 4.17801 4.17801],0.9245278539275122
500,[-15.73928 -15.73928 -15.73928],[5.18895 5.18895 5.18895],0.9068177241220878
600,[-16.96366 -16.96366 -16.96366],[2.92845 2.92845 2.92845],0.889446847154093
700,[-14.40199 -14.40199 -14.40199],[8.64186 8.64186 8.64186],0.8724087243423219
800,[-13.98025 -13.98025 -13.98025],[9.86484 9.86484 9.86484],0.8556969814934174
900,[-16.86102 -16.86102 -16.86102],[6.02395 6.02395 6.02395],0.8393053665172148
1000,[-21.97598 -21.97598 -21.97598],[11.85375 11.85375 11.85375],0.8232277470877281
1100,[-15.77903 -15.77903 -15.77903],[5.33007 5.33007 5.33007],0.8074581083489812
1200,[-16.36665 -16.36665 -16.36665],[1.94493 1.94493 1.94493],0.7919905506647517
1300,[-20.05049 -20.05049 -20.05049],[21.10698 21.10698 21.10698],0.7768192874114557
1400,[-18.26681 -18.26681 -18.26681],[5.24544 5.24544 5.24544],0.7619386428132808
1500,[-19.34968 -19.34968 -19.34968],[8.44266 8.44266 8.44266],0.7473430498187978
1600,[-15.45969 -15.45969 -15.45969],[11.07108 11.07108 11.07108],0.7330270480182665
1700,[-19.16166 -19.16166 -19.16166],[9.78398 9.78398 9.78398],0.7189852816008054
1800,[-16.51703 -16.51703 -16.51703],[1.32454 1.32454 1.32454],0.705212497350724
1900,[-16.13506 -16.13506 -16.13506],[6.67944 6.67944 6.67944],0.6917035426822101
2000,[-15.92558 -15.92558 -15.92558],[7.78846 7.78846 7.78846],0.6784533637116886
2100,[-17.03703 -17.03703 -17.03703],[4.63351 4.63351 4.63351],0.6654570033670938
2200,[-16.91745 -16.91745 -16.91745],[6.18954 6.18954 6.18954],0.6527095995333525
2300,[-18.04319 -18.04319 -18.04319],[4.95139 4.95139 4.95139],0.6402063832334086
2400,[-17.37448 -17.37448 -17.37448],[14.83609 14.83609 14.83609],0.6279426768440843
2500,[-15.79283 -15.79283 -15.79283],[10.05053 10.05053 10.05053],0.6159138923461105
2600,[-14.54246 -14.54246 -14.54246],[8.49826 8.49826 8.49826],0.6041155296076918
2700,[-16.64343 -16.64343 -16.64343],[14.45379 14.45379 14.45379],0.5925431747009424
2800,[-13.31238 -13.31238 -13.31238],[5.74591 5.74591 5.74591],0.5811924982505915
2900,[-15.91369 -15.91369 -15.91369],[10.85426 10.85426 10.85426],0.5700592538142826
3000,[-13.47294 -13.47294 -13.47294],[7.56686 7.56686 7.56686],0.5591392762939287
