number,rewards,variances,exploration_value
0,[-22.41520 -22.41520 -22.41520],[4.04800 4.04800 4.04800],0.9988953697090716
100,[-21.74109 -21.74109 -21.74109],[15.41544 15.41544 15.41544],0.9797606658876263
200,[-14.05627 -14.05627 -14.05627],[7.77830 7.77830 7.77830],0.9609925038496699
300,[-13.41732 -13.41732 -13.41732],[14.31719 14.31719 14.31719],0.9425838621706605
400,[-15.67634 -15.67634 -15.67634],[11.29488 11.29488 11.29488],0.9245278539275122
500,[-17.75269 -17.75269 -17.75269],[9.85941 9.85941 9.85941],0.9068177241220878
600,[-17.12383 -17.12383 -17.12383],[5.33018 5.33018 5.33018],0.889446847154093
700,[-14.45506 -14.45506 -14.45506],[22.31921 22.31921 22.31921],0.8724087243423219
800,[-16.33092 -16.33092 -16.33092],[7.90569 7.90569 7.90569],0.8556969814934174
900,[-17.65625 -17.65625 -17.65625],[1.73849 1.73849 1.73849],0.8393053665172148
1000,[-17.71962 -17.71962 -17.71962],[5.06446 5.06446 5.06446],0.8232277470877281
1100,[-15.35836 -15.35836 -15.35836],[13.06587 13.06587 13.06587],0.8074581083489812
1200,[-14.33264 -14.33264 -14.33264],[8.91514 8.91514 8.91514],0.7919905506647517
1300,[-17.02275 -17.02275 -17.02275],[20.38192 20.38192 20.38192],0.7768192874114557
1400,[-17.69423 -17.69423 -17.69423],[14.63520 14.63520 14.63520],0.7619386428132808
1500,[-14.56046 -14.56046 -14.56046],[10.90449 10.90449 10.90449],0.7473430498187978
1600,[-16.92739 -16.92739 -16.92739],[1.19002 1.19002 1.19002],0.7330270480182665
1700,[-19.18229 -19.18229 -19.18229],[6.38563 6.38563 6.38563],0.7189852816008054
1800,[-12.49755 -12.49755 -12.49755],[7.87343 7.87343 7.87343],0.705212497350724
1900,[-17.00881 -17.00881 -17.00881],[11.15131 11.15131 11.15131],0.6917035426822101
2000,[-16.35226 -16.35226 -16.35226],[7.54230 7.54230 7.54230],0.6784533637116886
2100,[-20.36209 -20.36209 -20.36209],[1.71013 1.71013 1.71013],0.6654570033670938
