number,rewards,variances,exploration_value
0,[-14.28978 -14.28978 -14.28978],[15.99129 15.99129 15.99129],0.9988953697090716
100,[-12.76773 -12.76773 -12.76773],[10.17286 10.17286 10.17286],0.9797606658876263
200,[-13.02648 -13.02648 -13.02648],[7.27525 7.27525 7.27525],0.9609925038496699
300,[-14.06542 -14.06542 -14.06542],[1.06921 1.06921 1.06921],0.9425838621706605
400,[-17.14514 -17.14514 -17.14514],[19.73491 19.73491 19.73491],0.9245278539275122
500,[-13.32010 -13.32010 -13.32010],[7.45061 7.45061 7.45061],0.9068177241220878
600,[-11.95431 -11.95431 -11.95431],[13.18800 13.18800 13.18800],0.889446847154093
700,[-13.46478 -13.46478 -13.46478],[3.20488 3.20488 3.20488],0.8724087243423219
800,[-15.34041 -15.34041 -15.34041],[5.88562 5.88562 5.88562],0.8556969814934174
900,[-14.64974 -14.64974 -14.64974],[12.95025 12.95025 12.95025],0.8393053665172148
1000,[-15.72626 -15.72626 -15.72626],[2.20544 2.20544 2.20544],0.8232277470877281
1100,[-19.47076 -19.47076 -19.47076],[18.24852 18.24852 18.24852],0.8074581083489812
1200,[-17.72060 -17.72060 -17.72060],[8.61975 8.61975 8.61975],0.7919905506647517
1300,[-14.77382 -14.77382 -14.77382],[4.25009 4.25009 4.25009],0.7768192874114557
1400,[-15.62001 -15.62001 -15.62001],[0.93312 0.93312 0.93312],0.7619386428132808
1500,[-14.13757 -14.13757 -14.13757],[5.48922 5.48922 5.48922],0.7473430498187978
1600,[-15.93718 -15.93718 -15.93718],[19.16719 19.16719 19.16719],0.7330270480182665
1700,[-15.85673 -15.85673 -15.85673],[1.40185 1.40185 1.40185],0.7189852816008054
1800,[-17.51307 -17.51307 -17.51307],[14.95901 14.95901 14.95901],0.705212497350724
1900,[-19.25762 -19.25762 -19.25762],[24.71923 24.71923 24.71923],0.6917035426822101
2000,[-20.02264 -20.02264 -20.02264],[3.31498 3.31498 3.31498],0.6784533637116886
2100,[-15.32302 -15.32302 -15.32302],[4.99050 4.99050 4.99050],0.6654570033670938
2200,[-14.58450 -14.58450 -14.58450],[7.37538 7.37538 7.37538],0.6527095995333525
2300,[-14.95618 -14.95618 -14.95618],[10.51659 10.51659 10.51659],0.6402063832334086
2400,[-16.28361 -16.28361 -16.28361],[2.96725 2.96725 2.96725],0.6279426768440843
2500,[-14.37915 -14.37915 -14.37915],[4.83430 4.83430 4.83430],0.6159138923461105
2600,[-16.70867 -16.70867 -16.70867],[1.78288 1.78288 1.78288],0.6041155296076918
