number,rewards,variances,exploration_value
0,[-14.28978 -14.28978 -14.28978],[15.99129 15.99129 15.99129],0.9988953697090716
100,[-12.15379 -12.15379 -12.15379],[12.45820 12.45820 12.45820],0.9797606658876263
200,[-15.39232 -15.39232 -15.39232],[4.46007 4.46007 4.46007],0.9609925038496699
300,[-17.44777 -17.44777 -17.44777],[19.97768 19.97768 19.97768],0.9425838621706605
400,[-18.39280 -18.39280 -18.39280],[3.56654 3.56654 3.56654],0.9245278539275122
500,[-18.37007 -18.37007 -18.37007],[6.38380 6.38380 6.38380],0.9068177241220878
600,[-13.51709 -13.51709 -13.51709],[11.59982 11.59982 11.59982],0.889446847154093
700,[-17.22095 -17.22095 -17.22095],[5.85127 5.85127 5.85127],0.8724087243423219
800,[-17.56216 -17.56216 -17.56216],[15.45031 15.45031 15.45031],0.8556969814934174
900,[-16.24300 -16.24300 -16.24300],[17.31275 17.31275 17.31275],0.8393053665172148
1000,[-14.03689 -14.03689 -14.03689],[6.92074 6.92074 6.92074],0.8232277470877281
1100,[-16.32634 -16.32634 -16.32634],[6.30114 6.30114 6.30114],0.8074581083489812
1200,[-13.11716 -13.11716 -13.11716],[4.62758 4.62758 4.62758],0.7919905506647517
1300,[-15.52350 -15.52350 -15.52350],[4.61261 4.61261 4.61261],0.7768192874114557
1400,[-14.13932 -14.13932 -14.13932],[10.56169 10.56169 10.56169],0.7619386428132808
1500,[-17.90033 -17.90033 -17.90033],[4.59560 4.59560 4.59560],0.7473430498187978
1600,[-17.28779 -17.28779 -17.28779],[13.95076 13.95076 13.95076],0.7330270480182665
1700,[-16.54162 -16.54162 -16.54162],[1.80226 1.80226 1.80226],0.7189852816008054
1800,[-17.99006 -17.99006 -17.99006],[21.58043 21.58043 21.58043],0.705212497350724
1900,[-14.74982 -14.74982 -14.74982],[18.51922 18.51922 18.51922],0.6917035426822101
2000,[-16.55836 -16.55836 -16.55836],[5.56397 5.56397 5.56397],0.6784533637116886
2100,[-14.64851 -14.64851 -14.64851],[11.70884 11.70884 11.70884],0.6654570033670938
2200,[-13.68108 -13.68108 -13.68108],[0.55507 0.55507 0.55507],0.6527095995333525
2300,[-11.77832 -11.77832 -11.77832],[3.98030 3.98030 3.98030],0.6402063832334086
2400,[-13.90518 -13.90518 -13.90518],[5.36511 5.36511 5.36511],0.6279426768440843
2500,[-14.05189 -14.05189 -14.05189],[3.23446 3.23446 3.23446],0.6159138923461105
2600,[-10.37840 -10.37840 -10.37840],[2.30554 2.30554 2.30554],0.6041155296076918
2700,[-12.26772 -12.26772 -12.26772],[22.82126 22.82126 22.82126],0.5925431747009424
2800,[-13.14300 -13.14300 -13.14300],[2.35766 2.35766 2.35766],0.5811924982505915
2900,[-11.00805 -11.00805 -11.00805],[4.24254 4.24254 4.24254],0.5700592538142826
3000,[-14.26493 -14.26493 -14.26493],[19.46850 19.46850 19.46850],0.5591392762939287
3100,[-9.80557 -9.80557 -9.80557],[2.91719 2.91719 2.91719],0.5484284803774964
3200,[-12.35103 -12.35103 -12.35103],[3.14615 3.14615 3.14615],0.5379228590106419
3300,[-12.92884 -12.92884 -12.92884],[9.99910 9.99910 9.99910],0.5276184818975981
3400,[-10.98559 -10.98559 -10.98559],[3.22200 3.22200 3.22200],0.5175114940308205
3500,[-12.28222 -12.28222 -12.28222],[3.56084 3.56084 3.56084],0.5075981142487541
3600,[-10.36791 -10.36791 -10.36791],[1.70739 1.70739 1.70739],0.4978746338212661
3700,[-11.84183 -11.84183 -11.84183],[1.44915 1.44915 1.44915],0.48833741506215295
3800,[-10.91511 -10.91511 -10.91511],[3.07747 3.07747 3.07747],0.47898288996823385
3900,[-12.00705 -12.00705 -12.00705],[25.42819 25.42819 25.42819],0.46980755888450715
4000,[-12.27943 -12.27943 -12.27943],[14.28190 14.28190 14.28190],0.4608079891948918
4100,[-9.97656 -9.97656 -9.97656],[3.61709 3.61709 3.61709],0.45198081403803075
4200,[-9.92761 -9.92761 -9.92761],[7.74466 7.74466 7.74466],0.4433227310477052
4300,[-11.74960 -11.74960 -11.74960],[7.37961 7.37961 7.37961],0.43483050111737453
4400,[-8.75688 -8.75688 -8.75688],[0.25042 0.25042 0.25042],0.42650094718838294
4500,[-10.92494 -10.92494 -10.92494],[8.38899 8.38899 8.38899],0.4183309530613763
4600,[-11.03186 -11.03186 -11.03186],[2.00700 2.00700 2.00700],0.41031746223049576
4700,[-10.34064 -10.34064 -10.34064],[9.90088 9.90088 9.90088],0.4024574767398885
4800,[-11.04227 -11.04227 -11.04227],[7.65212 7.65212 7.65212],0.39474805606213775
4900,[-10.97127 -10.97127 -10.97127],[3.10474 3.10474 3.10474],0.3871863159981707
5000,[-11.09406 -11.09406 -11.09406],[13.18210 13.18210 13.18210],0.37976942759823823
5100,[-10.08325 -10.08325 -10.08325],[1.80797 1.80797 1.80797],0.37249461610356654
5200,[-10.31798 -10.31798 -10.31798],[2.21391 2.21391 2.21391],0.36535915990828843
5300,[-9.55776 -9.55776 -9.55776],[2.77772 2.77772 2.77772],0.3583603895412437
5400,[-9.59573 -9.59573 -9.59573],[0.49699 0.49699 0.49699],0.35149568666730197
5500,[-9.05248 -9.05248 -9.05248],[2.98472 2.98472 2.98472],0.34476248310780105
5600,[-9.17516 -9.17516 -9.17516],[3.00411 3.00411 3.00411],0.33815825987976045
5700,[-10.52978 -10.52978 -10.52978],[4.05179 4.05179 4.05179],0.33168054625349885
5800,[-9.50972 -9.50972 -9.50972],[1.73297 1.73297 1.73297],0.32532691882829134
5900,[-10.50431 -10.50431 -10.50431],[4.55281 4.55281 4.55281],0.3190950006257518
6000,[-9.75045 -9.75045 -9.75045],[4.54645 4.54645 4.54645],0.312982460200566
