iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,5.77427,0.49793,1.61075,5.82703,0.49828,1.61178,5.52280,0.48624,1.61016
1,200,1.83257,0.49266,1.61012,1.92244,0.48943,1.61108,1.83733,0.48182,1.61002
2,300,1.25919,0.48499,1.60989,1.23592,0.48545,1.61087,1.25064,0.47981,1.60993
3,400,1.13067,0.48270,1.61069,1.09310,0.48394,1.61170,1.12306,0.47890,1.61059
4,500,0.98455,0.47977,1.61033,0.99652,0.47835,1.61128,1.07783,0.47640,1.60972
5,600,0.97580,0.47194,1.61033,1.01305,0.47238,1.61112,1.02421,0.47305,1.60981
6,700,1.09635,0.46898,1.61038,1.01753,0.47036,1.61121,1.00740,0.46920,1.60959
7,800,1.03858,0.46663,1.60986,1.00618,0.46699,1.61145,0.99252,0.46805,1.60947
8,900,0.94511,0.46413,1.61012,1.00776,0.46466,1.61114,0.99255,0.46624,1.60928
9,1000,0.99631,0.46141,1.60995,0.96699,0.46167,1.61139,1.02498,0.46189,1.60924
10,1100,0.94527,0.45793,1.60972,0.98335,0.46015,1.61096,1.02620,0.45801,1.60899
11,1200,0.98094,0.45604,1.60956,1.03088,0.45900,1.61079,0.97933,0.45723,1.60935
12,1300,1.07693,0.45387,1.60946,0.97476,0.45386,1.61050,0.97730,0.45442,1.60890
13,1400,0.96356,0.45056,1.60932,0.99960,0.45030,1.61052,1.01475,0.45095,1.60893
14,1500,0.98186,0.44657,1.60955,1.03316,0.44768,1.61008,0.95470,0.44620,1.60838
15,1600,0.97301,0.44292,1.60904,0.98297,0.44390,1.61031,0.96277,0.44294,1.60862
16,1700,0.97434,0.44129,1.60923,1.00410,0.44110,1.60994,0.99658,0.43876,1.60856
17,1800,1.02890,0.43865,1.60902,0.98973,0.43831,1.60985,0.98683,0.43710,1.60788
18,1900,0.95637,0.43632,1.60892,0.99790,0.43474,1.61022,0.98751,0.43290,1.60858
19,2000,0.98840,0.43296,1.60818,1.02464,0.43144,1.60977,0.92535,0.43074,1.60812
20,2100,1.02494,0.43032,1.60844,0.97231,0.42796,1.60984,1.01547,0.42672,1.60851
21,2200,1.02047,0.42734,1.60806,0.97329,0.42566,1.60956,1.02926,0.42500,1.60822
22,2300,0.94365,0.42458,1.60795,0.98235,0.42237,1.60953,0.97287,0.42069,1.60820
23,2400,0.93562,0.42251,1.60810,0.90989,0.41992,1.60916,0.97553,0.41734,1.60831
24,2500,0.96917,0.41946,1.60786,1.01893,0.41604,1.60942,0.97116,0.41692,1.60847
25,2600,0.99051,0.41837,1.60770,0.96572,0.41324,1.60929,1.00144,0.41347,1.60865
26,2700,0.93919,0.41605,1.60747,0.97271,0.41075,1.60909,0.95748,0.40904,1.60865
27,2800,0.91707,0.41198,1.60790,0.93676,0.40670,1.60973,1.03528,0.40682,1.60848
28,2900,0.96917,0.40968,1.60764,0.94459,0.40394,1.60949,0.92775,0.40434,1.60831
29,3000,0.96452,0.40658,1.60768,0.95821,0.40171,1.60931,1.00901,0.40119,1.60814
30,3100,0.97985,0.40500,1.60727,0.96517,0.39695,1.60888,0.92863,0.39762,1.60881
31,3200,0.99707,0.40165,1.60756,1.00339,0.39301,1.60882,0.93777,0.39377,1.60926
32,3300,0.90316,0.39686,1.60782,0.96569,0.38975,1.60918,0.96061,0.39088,1.60853
33,3400,0.95475,0.39362,1.60751,0.97972,0.38581,1.60892,0.94562,0.38784,1.60869
34,3500,0.98952,0.39180,1.60764,0.96946,0.38240,1.60930,0.96229,0.38301,1.60887
35,3600,0.99650,0.38788,1.60773,0.88258,0.37738,1.60901,0.93751,0.38065,1.60865
36,3700,0.93009,0.38284,1.60754,0.97131,0.37493,1.60901,0.94400,0.37839,1.60887
37,3800,0.91471,0.37948,1.60696,0.90682,0.37099,1.60934,0.99963,0.37453,1.60892
38,3900,0.92606,0.37740,1.60730,0.97027,0.36867,1.60906,0.91709,0.36992,1.60927
39,4000,0.97270,0.37503,1.60724,0.94982,0.36508,1.60953,0.93478,0.36778,1.60877
40,4100,0.91448,0.36917,1.60760,1.00113,0.36283,1.60882,0.97299,0.36410,1.60887
41,4200,0.92711,0.36675,1.60701,0.92597,0.35890,1.60945,0.94697,0.36027,1.60837
42,4300,1.00825,0.36508,1.60744,0.95178,0.35465,1.60878,0.95387,0.35854,1.60863
43,4400,0.92715,0.36175,1.60674,0.91650,0.35156,1.60912,0.93920,0.35426,1.60856
44,4500,0.93781,0.35898,1.60738,0.95180,0.34824,1.60940,0.98520,0.35181,1.60841
45,4600,0.94346,0.35508,1.60673,0.93827,0.34600,1.60877,0.95888,0.34837,1.60885
46,4700,0.96919,0.35181,1.60675,0.93739,0.34167,1.60948,0.92676,0.34498,1.60925
47,4800,0.97751,0.34888,1.60692,0.94944,0.33849,1.60906,0.94659,0.34147,1.60866
48,4900,0.96186,0.34479,1.60661,0.93279,0.33525,1.60929,0.97988,0.33930,1.60917
49,5000,0.98319,0.34240,1.60675,0.95404,0.33289,1.60910,0.95181,0.33479,1.60879
50,5100,0.94735,0.33867,1.60668,0.93519,0.32914,1.60933,0.98339,0.33236,1.60892
51,5200,0.98514,0.33611,1.60648,0.93164,0.32673,1.60931,0.89722,0.32770,1.60903
52,5300,0.92599,0.33265,1.60648,0.96103,0.32308,1.60903,0.91829,0.32574,1.60902
53,5400,0.95111,0.33017,1.60619,0.97369,0.31903,1.60872,0.94500,0.32174,1.60938
54,5500,0.91912,0.32583,1.60615,0.92271,0.31591,1.60838,0.98735,0.31940,1.60930
55,5600,0.94106,0.32352,1.60632,0.99999,0.31290,1.60876,0.95286,0.31556,1.60911
56,5700,0.95040,0.31929,1.60628,0.93486,0.30949,1.60845,0.99326,0.31371,1.60868
57,5800,0.95776,0.31675,1.60596,0.95792,0.30655,1.60875,0.94087,0.30977,1.60927
58,5900,0.90193,0.31452,1.60591,0.98018,0.30354,1.60815,0.92128,0.30684,1.60937
59,6000,0.96268,0.31116,1.60543,1.03001,0.30094,1.60853,0.95728,0.30516,1.60870
60,6100,0.97700,0.30823,1.60536,0.90866,0.29733,1.60824,0.97674,0.30211,1.60857
61,6200,0.93156,0.30501,1.60567,0.96125,0.29569,1.60807,0.89866,0.29847,1.60887
62,6300,1.00067,0.30202,1.60537,0.91318,0.29225,1.60825,0.94377,0.29626,1.60879
63,6400,0.92692,0.29807,1.60547,0.89819,0.28911,1.60840,0.91980,0.29304,1.60883
64,6500,1.00638,0.29675,1.60620,0.93591,0.28612,1.60831,0.96293,0.29055,1.60844
65,6600,0.94709,0.29302,1.60596,0.97765,0.28393,1.60810,0.90314,0.28693,1.60957
66,6700,0.92299,0.28884,1.60621,0.92982,0.28027,1.60827,0.94407,0.28456,1.60913
67,6800,0.89520,0.28656,1.60570,0.94771,0.27768,1.60840,0.95589,0.28216,1.60884
68,6900,0.92282,0.28379,1.60650,0.91516,0.27468,1.60801,0.86590,0.27857,1.60929
69,7000,0.96480,0.28141,1.60581,0.99488,0.27156,1.60837,0.94062,0.27610,1.60882
70,7100,1.02018,0.27914,1.60589,0.94622,0.26836,1.60832,0.91387,0.27253,1.60931
71,7200,0.91796,0.27512,1.60605,0.93993,0.26614,1.60840,0.94559,0.26987,1.60924
72,7300,0.93102,0.27249,1.60595,0.97050,0.26405,1.60840,0.95244,0.26714,1.60892
73,7400,0.93918,0.26951,1.60655,0.89495,0.26060,1.60809,0.96780,0.26445,1.60946
