number,rewards,variances,exploration_value
0,[-14.28978 -14.28978 -14.28978],[15.99129 15.99129 15.99129],0.9988953697090716
100,[-10.56239 -10.56239 -10.56239],[0.53950 0.53950 0.53950],0.9797606658876263
200,[-9.44972 -9.44972 -9.44972],[2.44278 2.44278 2.44278],0.9609925038496699
300,[-11.29740 -11.29740 -11.29740],[4.46485 4.46485 4.46485],0.9425838621706605
400,[-9.48157 -9.48157 -9.48157],[6.66463 6.66463 6.66463],0.9245278539275122
500,[-9.40955 -9.40955 -9.40955],[1.87050 1.87050 1.87050],0.9068177241220878
600,[-8.62992 -8.62992 -8.62992],[2.08196 2.08196 2.08196],0.889446847154093
700,[-9.76433 -9.76433 -9.76433],[1.22098 1.22098 1.22098],0.8724087243423219
800,[-8.26323 -8.26323 -8.26323],[0.15799 0.15799 0.15799],0.8556969814934174
900,[-8.35465 -8.35465 -8.35465],[1.23886 1.23886 1.23886],0.8393053665172148
1000,[-8.83085 -8.83085 -8.83085],[1.08953 1.08953 1.08953],0.8232277470877281
1100,[-7.77101 -7.77101 -7.77101],[0.33000 0.33000 0.33000],0.8074581083489812
1200,[-8.11215 -8.11215 -8.11215],[1.25992 1.25992 1.25992],0.7919905506647517
1300,[-8.32489 -8.32489 -8.32489],[3.55130 3.55130 3.55130],0.7768192874114557
1400,[-8.71229 -8.71229 -8.71229],[1.15125 1.15125 1.15125],0.7619386428132808
1500,[-6.96957 -6.96957 -6.96957],[1.75223 1.75223 1.75223],0.7473430498187978
1600,[-7.59576 -7.59576 -7.59576],[1.22938 1.22938 1.22938],0.7330270480182665
1700,[-8.51094 -8.51094 -8.51094],[3.11833 3.11833 3.11833],0.7189852816008054
1800,[-7.69621 -7.69621 -7.69621],[2.03353 2.03353 2.03353],0.705212497350724
1900,[-8.10195 -8.10195 -8.10195],[4.31161 4.31161 4.31161],0.6917035426822101
2000,[-8.21336 -8.21336 -8.21336],[1.59092 1.59092 1.59092],0.6784533637116886
2100,[-8.47198 -8.47198 -8.47198],[1.02298 1.02298 1.02298],0.6654570033670938
2200,[-7.82084 -7.82084 -7.82084],[2.50553 2.50553 2.50553],0.6527095995333525
2300,[-7.44554 -7.44554 -7.44554],[0.29951 0.29951 0.29951],0.6402063832334086
2400,[-7.50875 -7.50875 -7.50875],[2.79002 2.79002 2.79002],0.6279426768440843
2500,[-7.04732 -7.04732 -7.04732],[1.49855 1.49855 1.49855],0.6159138923461105
2600,[-6.78225 -6.78225 -6.78225],[0.69937 0.69937 0.69937],0.6041155296076918
2700,[-7.66325 -7.66325 -7.66325],[3.13533 3.13533 3.13533],0.5925431747009424
2800,[-8.17720 -8.17720 -8.17720],[1.34860 1.34860 1.34860],0.5811924982505915
2900,[-7.75122 -7.75122 -7.75122],[1.26734 1.26734 1.26734],0.5700592538142826
3000,[-7.64838 -7.64838 -7.64838],[0.84418 0.84418 0.84418],0.5591392762939287
3100,[-6.77225 -6.77225 -6.77225],[0.57158 0.57158 0.57158],0.5484284803774964
3200,[-8.28609 -8.28609 -8.28609],[0.35977 0.35977 0.35977],0.5379228590106419
3300,[-8.43130 -8.43130 -8.43130],[0.39567 0.39567 0.39567],0.5276184818975981
3400,[-7.82202 -7.82202 -7.82202],[4.17880 4.17880 4.17880],0.5175114940308205
3500,[-8.09211 -8.09211 -8.09211],[2.57108 2.57108 2.57108],0.5075981142487541
3600,[-7.95961 -7.95961 -7.95961],[1.04055 1.04055 1.04055],0.4978746338212661
3700,[-7.28491 -7.28491 -7.28491],[1.54180 1.54180 1.54180],0.48833741506215295
3800,[-9.36157 -9.36157 -9.36157],[1.30544 1.30544 1.30544],0.47898288996823385
3900,[-7.77489 -7.77489 -7.77489],[1.84168 1.84168 1.84168],0.46980755888450715
4000,[-7.87738 -7.87738 -7.87738],[0.64563 0.64563 0.64563],0.4608079891948918
4100,[-7.45209 -7.45209 -7.45209],[0.91482 0.91482 0.91482],0.45198081403803075
4200,[-7.81010 -7.81010 -7.81010],[2.14667 2.14667 2.14667],0.4433227310477052
4300,[-7.01071 -7.01071 -7.01071],[1.02227 1.02227 1.02227],0.43483050111737453
4400,[-7.08726 -7.08726 -7.08726],[0.47933 0.47933 0.47933],0.42650094718838294
4500,[-7.73365 -7.73365 -7.73365],[1.89522 1.89522 1.89522],0.4183309530613763
4600,[-7.78754 -7.78754 -7.78754],[1.06942 1.06942 1.06942],0.41031746223049576
4700,[-7.56012 -7.56012 -7.56012],[0.69731 0.69731 0.69731],0.4024574767398885
4800,[-7.37013 -7.37013 -7.37013],[2.37312 2.37312 2.37312],0.39474805606213775
4900,[-7.22906 -7.22906 -7.22906],[1.12975 1.12975 1.12975],0.3871863159981707
5000,[-7.22828 -7.22828 -7.22828],[0.95973 0.95973 0.95973],0.37976942759823823
5100,[-7.63574 -7.63574 -7.63574],[2.79268 2.79268 2.79268],0.37249461610356654
5200,[-7.96415 -7.96415 -7.96415],[0.63052 0.63052 0.63052],0.36535915990828843
5300,[-7.20168 -7.20168 -7.20168],[2.59212 2.59212 2.59212],0.3583603895412437
5400,[-7.27233 -7.27233 -7.27233],[1.49311 1.49311 1.49311],0.35149568666730197
5500,[-6.40575 -6.40575 -6.40575],[1.16145 1.16145 1.16145],0.34476248310780105
5600,[-7.27733 -7.27733 -7.27733],[0.86962 0.86962 0.86962],0.33815825987976045
5700,[-7.09695 -7.09695 -7.09695],[0.99809 0.99809 0.99809],0.33168054625349885
5800,[-6.66879 -6.66879 -6.66879],[0.36588 0.36588 0.36588],0.32532691882829134
5900,[-8.69849 -8.69849 -8.69849],[2.98885 2.98885 2.98885],0.3190950006257518
6000,[-7.91318 -7.91318 -7.91318],[0.79103 0.79103 0.79103],0.312982460200566
6100,[-7.54726 -7.54726 -7.54726],[1.06345 1.06345 1.06345],0.3069870107682693
6200,[-7.55821 -7.55821 -7.55821],[0.79780 0.79780 0.79780],0.30110640934973165
6300,[-8.44517 -8.44517 -8.44517],[2.04472 2.04472 2.04472],0.29533845593202374
6400,[-7.09359 -7.09359 -7.09359],[0.65022 0.65022 0.65022],0.2896809926453638
6500,[-6.64165 -6.64165 -6.64165],[0.49474 0.49474 0.49474],0.2841319029558341
6600,[-7.34488 -7.34488 -7.34488],[0.30869 0.30869 0.30869],0.27868911087355025
6700,[-6.65047 -6.65047 -6.65047],[0.06366 0.06366 0.06366],0.27335058017600533
6800,[-6.83758 -6.83758 -6.83758],[0.48973 0.48973 0.48973],0.26811431364629784
6900,[-7.42198 -7.42198 -7.42198],[0.55466 0.55466 0.55466],0.26297835232593786
7000,[-6.99506 -6.99506 -6.99506],[1.41260 1.41260 1.41260],0.25794077478198096
7100,[-6.91738 -6.91738 -6.91738],[0.91911 0.91911 0.91911],0.2529996963881896
7200,[-6.93715 -6.93715 -6.93715],[0.31220 0.31220 0.31220],0.24815326861997006
7300,[-7.91046 -7.91046 -7.91046],[1.02462 1.02462 1.02462],0.2433996783628142
7400,[-7.03608 -7.03608 -7.03608],[1.32173 1.32173 1.32173],0.23873714723398948
7500,[-6.89007 -6.89007 -6.89007],[0.13824 0.13824 0.13824],0.23416393091721965
7600,[-7.39298 -7.39298 -7.39298],[1.54993 1.54993 1.54993],0.2296783185101154
7700,[-7.73403 -7.73403 -7.73403],[1.50524 1.50524 1.50524],0.2252786318840993
7800,[-6.51602 -6.51602 -6.51602],[1.62759 1.62759 1.62759],0.2209632250565976
7900,[-7.25001 -7.25001 -7.25001],[3.46582 3.46582 3.46582],0.2167304835752537
8000,[-6.65627 -6.65627 -6.65627],[0.20957 0.20957 0.20957],0.21257882391394362
8100,[-7.11792 -7.11792 -7.11792],[0.83735 0.83735 0.83735],0.208506692880351
8200,[-6.64903 -6.64903 -6.64903],[0.43114 0.43114 0.43114],0.20451256703490245
8300,[-7.36501 -7.36501 -7.36501],[1.06568 1.06568 1.06568],0.20059495212082465
8400,[-6.67048 -6.67048 -6.67048],[0.43173 0.43173 0.43173],0.196752382505123
8500,[-6.51614 -6.51614 -6.51614],[0.49752 0.49752 0.49752],0.19298342063027152
8600,[-7.65760 -7.65760 -7.65760],[1.76507 1.76507 1.76507],0.18928665647639956
8700,[-7.03799 -7.03799 -7.03799],[0.52523 0.52523 0.52523],0.18566070703378476
8800,[-6.91093 -6.91093 -6.91093],[0.34227 0.34227 0.34227],0.18210421578545158
8900,[-6.56046 -6.56046 -6.56046],[0.55091 0.55091 0.55091],0.17861585219967707
9000,[-7.51261 -7.51261 -7.51261],[1.09911 1.09911 1.09911],0.17519431123222665
9100,[-7.07579 -7.07579 -7.07579],[1.85053 1.85053 1.85053],0.17183831283811357
9200,[-7.23905 -7.23905 -7.23905],[0.99135 0.99135 0.99135],0.1685466014927179
9300,[-7.48428 -7.48428 -7.48428],[1.03930 1.03930 1.03930],0.16531794572208017
9400,[-6.56137 -6.56137 -6.56137],[0.72940 0.72940 0.72940],0.16215113764218753
9500,[-6.78743 -6.78743 -6.78743],[0.96401 0.96401 0.96401],0.15904499250708942
9600,[-6.39170 -6.39170 -6.39170],[0.26186 0.26186 0.26186],0.15599834826566805
9700,[-7.36842 -7.36842 -7.36842],[1.28758 1.28758 1.28758],0.1530100651268971
9800,[-6.72966 -6.72966 -6.72966],[0.20069 0.20069 0.20069],0.15007902513343338
9900,[-6.59798 -6.59798 -6.59798],[0.24839 0.24839 0.24839],0.14720413174337166
10000,[-6.87655 -6.87655 -6.87655],[0.73740 0.73740 0.73740],0.14438430942001573
10100,[-7.01145 -7.01145 -7.01145],[1.16780 1.16780 1.16780],0.14161850322950267
10200,[-6.36691 -6.36691 -6.36691],[1.44935 1.44935 1.44935],0.13890567844613977
10300,[-6.44814 -6.44814 -6.44814],[0.21657 0.21657 0.21657],0.13624482016529874
10400,[-6.80896 -6.80896 -6.80896],[0.66954 0.66954 0.66954],0.1336349329237267
10500,[-7.10239 -7.10239 -7.10239],[1.35856 1.35856 1.35856],0.13107504032712913
10600,[-6.90733 -6.90733 -6.90733],[0.60915 0.60915 0.60915],0.1285641846848873
