iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss
0,100,0.93460,0.96673,0.94368
1,200,0.88500,0.84485,0.85704
2,300,0.74965,0.73252,0.75230
3,400,0.65489,0.64742,0.66371
4,500,0.59395,0.58259,0.58865
5,600,0.53559,0.52611,0.52712
6,700,0.48184,0.48315,0.48988
7,800,0.46568,0.47947,0.47727
8,900,0.44562,0.47500,0.46942
9,1000,0.44601,0.46893,0.45539
10,1100,0.44589,0.47143,0.44429
11,1200,0.45306,0.46403,0.45419
12,1300,0.45032,0.47117,0.45920
13,1400,0.44614,0.47377,0.45878
14,1500,0.44912,0.47045,0.46362
15,1600,0.45111,0.46233,0.45395
16,1700,0.46311,0.46689,0.47038
17,1800,0.45870,0.48021,0.46299
18,1900,0.45416,0.47383,0.46228
19,2000,0.45612,0.47791,0.46825
20,2100,0.47261,0.48854,0.47021
21,2200,0.46942,0.47932,0.47808
22,2300,0.47176,0.48034,0.47235
23,2400,0.47223,0.48880,0.47683
24,2500,0.47114,0.48389,0.46916
25,2600,0.47069,0.48902,0.47743
26,2700,0.46885,0.48657,0.48632
27,2800,0.46290,0.49356,0.47251
28,2900,0.46569,0.49060,0.48942
29,3000,0.47463,0.49498,0.48505
30,3100,0.46475,0.49233,0.48783
31,3200,0.48669,0.50858,0.48417
32,3300,0.47724,0.49944,0.49985
33,3400,0.48552,0.51524,0.49579
34,3500,0.47293,0.50273,0.51009
35,3600,0.48241,0.52433,0.49830
36,3700,0.49026,0.51338,0.50387
37,3800,0.50336,0.52498,0.49326
38,3900,0.50902,0.52467,0.49921
39,4000,0.50277,0.52850,0.50487
40,4100,0.51614,0.53190,0.53206
41,4200,0.51467,0.53443,0.50726
42,4300,0.51064,0.53040,0.51454
43,4400,0.51194,0.53028,0.52358
44,4500,0.53061,0.54795,0.52332
45,4600,0.52116,0.54305,0.54881
46,4700,0.52753,0.54229,0.52384
47,4800,0.54206,0.55575,0.52930
48,4900,0.55817,0.55721,0.53949
49,5000,0.53450,0.56462,0.54613
50,5100,0.55580,0.55946,0.55944
51,5200,0.55339,0.57190,0.56220
52,5300,0.55430,0.56566,0.57393
53,5400,0.55803,0.57010,0.58609
54,5500,0.58712,0.56806,0.56942
55,5600,0.59424,0.56779,0.56967
56,5700,0.57437,0.58726,0.57539
57,5800,0.56976,0.57946,0.58732
58,5900,0.58595,0.59115,0.59036
59,6000,0.58998,0.58270,0.56802
60,6100,0.58042,0.60328,0.58172
61,6200,0.58546,0.59277,0.57822
62,6300,0.59154,0.58210,0.59598
63,6400,0.58747,0.59089,0.59593
64,6500,0.61372,0.59984,0.59235
65,6600,0.59809,0.58774,0.59822
66,6700,0.60206,0.59030,0.58640
67,6800,0.62189,0.57850,0.59832
68,6900,0.61642,0.58451,0.61714
69,7000,0.61312,0.59818,0.60802
70,7100,0.60430,0.59944,0.61940
71,7200,0.60225,0.60954,0.62043
72,7300,0.60717,0.60458,0.61398
73,7400,0.61057,0.60263,0.63087
74,7500,0.61645,0.59300,0.62416
75,7600,0.60547,0.63990,0.64417
76,7700,0.59655,0.60534,0.62892
77,7800,0.61260,0.61498,0.63137
78,7900,0.61725,0.60410,0.61994
79,8000,0.61710,0.61537,0.64573
80,8100,0.61637,0.61233,0.62819
81,8200,0.61877,0.61381,0.63472
82,8300,0.62119,0.61201,0.63413
83,8400,0.61094,0.61682,0.65271
84,8500,0.61050,0.59274,0.64641
85,8600,0.61418,0.62111,0.62280
86,8700,0.61356,0.61123,0.65022
87,8800,0.61208,0.62545,0.63566
88,8900,0.63450,0.60089,0.64643
89,9000,0.60866,0.63651,0.66150
90,9100,0.62611,0.62775,0.65682
91,9200,0.60873,0.63423,0.64497
92,9300,0.63468,0.60930,0.63447
93,9400,0.62429,0.63467,0.64197
94,9500,0.62817,0.63425,0.64883
95,9600,0.63102,0.62618,0.63978
96,9700,0.62023,0.62218,0.65691
97,9800,0.63062,0.63084,0.65313
98,9900,0.65544,0.62505,0.67176
99,10000,0.62256,0.62402,0.65354
100,10100,0.62627,0.62534,0.65428
101,10200,0.65296,0.61295,0.63949
102,10300,0.64010,0.60237,0.63984
103,10400,0.63152,0.62672,0.63810
104,10500,0.62303,0.62340,0.66117
105,10600,0.61356,0.61748,0.63788
106,10700,0.64771,0.63280,0.64150
107,10800,0.61284,0.62655,0.67341
108,10900,0.63255,0.62751,0.65786
109,11000,0.65989,0.62563,0.63568
110,11100,0.68018,0.64109,0.65499
111,11200,0.64291,0.61895,0.68288
112,11300,0.63094,0.62466,0.65022
113,11400,0.65412,0.62824,0.65696
114,11500,0.63707,0.63360,0.65260
115,11600,0.65060,0.62940,0.65014
116,11700,0.63812,0.61145,0.65511
117,11800,0.65784,0.63542,0.63397
118,11900,0.63947,0.62278,0.67078
119,12000,0.61763,0.62283,0.64858
120,12100,0.62873,0.65367,0.65410
121,12200,0.63252,0.60618,0.65389
122,12300,0.64521,0.61819,0.66440
123,12400,0.62941,0.64478,0.64061
124,12500,0.61632,0.63000,0.63951
125,12600,0.63001,0.63515,0.65789
126,12700,0.63739,0.65618,0.64493
127,12800,0.65333,0.64268,0.65146
128,12900,0.64498,0.61878,0.64480
129,13000,0.65399,0.64944,0.65808
130,13100,0.62353,0.67654,0.64351
131,13200,0.63711,0.64768,0.64765
132,13300,0.63264,0.61572,0.67885
133,13400,0.65374,0.63064,0.64448
134,13500,0.65471,0.63061,0.64453
135,13600,0.62389,0.63717,0.64769
136,13700,0.63793,0.63251,0.64941
137,13800,0.64597,0.62439,0.64254
138,13900,0.62322,0.63777,0.65397
139,14000,0.64840,0.63429,0.64844
140,14100,0.64970,0.65256,0.66221
141,14200,0.63543,0.65359,0.64460
142,14300,0.62502,0.64799,0.65969
143,14400,0.64654,0.63027,0.67173
144,14500,0.63607,0.63862,0.64915
145,14600,0.63764,0.64449,0.63591
146,14700,0.62584,0.63959,0.63980
147,14800,0.63634,0.61988,0.65216
148,14900,0.65413,0.64382,0.64208
149,15000,0.63441,0.62574,0.64669
150,15100,0.64696,0.66679,0.65549
151,15200,0.62354,0.63367,0.65526
152,15300,0.64410,0.63640,0.65662
153,15400,0.64305,0.63037,0.64784
154,15500,0.64118,0.64613,0.64614
155,15600,0.64198,0.67811,0.64016
156,15700,0.63896,0.63367,0.64889
157,15800,0.64327,0.62303,0.64723
158,15900,0.66043,0.65608,0.62844
159,16000,0.63175,0.66258,0.65755
160,16100,0.62959,0.65415,0.63519
161,16200,0.63642,0.67008,0.66082
162,16300,0.65390,0.62072,0.64981
163,16400,0.64531,0.64828,0.65567
164,16500,0.63949,0.63948,0.66059
165,16600,0.65528,0.64855,0.64683
166,16700,0.65106,0.65156,0.65130
167,16800,0.63861,0.64095,0.67069
168,16900,0.64735,0.63419,0.67009
169,17000,0.65278,0.65422,0.64597
170,17100,0.63356,0.64451,0.64700
171,17200,0.64196,0.65104,0.63939
172,17300,0.64983,0.63506,0.65959
173,17400,0.64532,0.65929,0.64937
174,17500,0.64013,0.64233,0.64483
175,17600,0.64497,0.65786,0.64505
176,17700,0.68162,0.62826,0.64295
177,17800,0.65362,0.66295,0.64126
178,17900,0.65288,0.64154,0.62937
179,18000,0.64119,0.64455,0.64208
180,18100,0.63129,0.63916,0.65713
181,18200,0.63232,0.65329,0.64036
182,18300,0.64948,0.67373,0.66552
183,18400,0.64966,0.64675,0.66858
184,18500,0.65290,0.64712,0.63457
185,18600,0.64001,0.64959,0.67912
186,18700,0.64667,0.64989,0.69312
187,18800,0.64757,0.65196,0.68483
188,18900,0.63434,0.67963,0.67205
189,19000,0.63451,0.66796,0.64211
190,19100,0.65785,0.66382,0.64185
191,19200,0.63903,0.65279,0.64813
192,19300,0.65685,0.63987,0.66364
193,19400,0.64796,0.64322,0.65006
194,19500,0.65260,0.66586,0.65823
195,19600,0.63884,0.65694,0.64879
196,19700,0.64388,0.65723,0.65650
197,19800,0.64600,0.63597,0.70072
198,19900,0.67148,0.65387,0.66303
199,20000,0.64591,0.68453,0.66822
200,20100,0.66108,0.66968,0.66339
201,20200,0.64228,0.66112,0.65520
202,20300,0.63017,0.66550,0.67472
203,20400,0.64844,0.64166,0.66167
204,20500,0.65682,0.66241,0.68753
205,20600,0.64416,0.64858,0.72304
206,20700,0.65194,0.67072,0.66491
207,20800,0.65786,0.66374,0.69618
208,20900,0.64053,0.67847,0.65115
209,21000,0.66406,0.67918,0.64156
210,21100,0.64281,0.64852,0.65346
211,21200,0.66422,0.68140,0.66735
212,21300,0.67122,0.65476,0.66466
213,21400,0.65603,0.64630,0.68718
214,21500,0.66630,0.64796,0.67413
215,21600,0.66167,0.67618,0.66613
216,21700,0.63629,0.63170,0.69624
217,21800,0.67002,0.66080,0.68319
218,21900,0.64752,0.66151,0.68815
219,22000,0.65026,0.65557,0.66278
220,22100,0.65516,0.64023,0.66098
221,22200,0.63627,0.66159,0.65647
222,22300,0.64993,0.66741,0.66245
223,22400,0.65198,0.64946,0.64931
224,22500,0.66185,0.67714,0.64854
225,22600,0.64674,0.64859,0.68721
226,22700,0.65969,0.67081,0.68174
227,22800,0.64969,0.66366,0.66243
228,22900,0.65231,0.67402,0.65731
229,23000,0.62793,0.65290,0.66396
230,23100,0.65755,0.68966,0.67867
231,23200,0.63240,0.67675,0.67620
232,23300,0.63449,0.65603,0.66039
233,23400,0.65458,0.65487,0.66215
234,23500,0.63964,0.67023,0.66183
235,23600,0.65417,0.66417,0.67354
236,23700,0.64045,0.64720,0.65713
237,23800,0.67777,0.65876,0.64579
238,23900,0.64251,0.65939,0.66876
239,24000,0.67692,0.63930,0.64994
240,24100,0.63212,0.67805,0.65493
241,24200,0.64450,0.67165,0.71523
242,24300,0.62990,0.67437,0.72465
243,24400,0.66833,0.67362,0.66307
244,24500,0.66282,0.65713,0.70753
245,24600,0.64654,0.67405,0.71033
246,24700,0.64947,0.68358,0.66110
247,24800,0.65695,0.66606,0.68312
248,24900,0.67349,0.66414,0.67173
