number,rewards,variances,exploration_value
0,[-14.28978 -14.28978 -14.28978],[15.99129 15.99129 15.99129],0.9988953697090716
100,[-11.64414 -11.64414 -11.64414],[9.56175 9.56175 9.56175],0.9797606658876263
200,[-14.03307 -14.03307 -14.03307],[2.72271 2.72271 2.72271],0.9609925038496699
300,[-18.94409 -18.94409 -18.94409],[24.34529 24.34529 24.34529],0.9425838621706605
400,[-16.17003 -16.17003 -16.17003],[13.58641 13.58641 13.58641],0.9245278539275122
500,[-18.80593 -18.80593 -18.80593],[0.70972 0.70972 0.70972],0.9068177241220878
600,[-18.64346 -18.64346 -18.64346],[1.36521 1.36521 1.36521],0.889446847154093
700,[-19.57932 -19.57932 -19.57932],[2.22513 2.22513 2.22513],0.8724087243423219
800,[-19.60654 -19.60654 -19.60654],[4.50961 4.50961 4.50961],0.8556969814934174
900,[-16.69771 -16.69771 -16.69771],[2.49356 2.49356 2.49356],0.8393053665172148
1000,[-19.33964 -19.33964 -19.33964],[6.98484 6.98484 6.98484],0.8232277470877281
1100,[-20.45624 -20.45624 -20.45624],[8.42971 8.42971 8.42971],0.8074581083489812
1200,[-18.57816 -18.57816 -18.57816],[3.44716 3.44716 3.44716],0.7919905506647517
1300,[-19.65483 -19.65483 -19.65483],[1.74339 1.74339 1.74339],0.7768192874114557
1400,[-20.95981 -20.95981 -20.95981],[7.89663 7.89663 7.89663],0.7619386428132808
1500,[-18.91892 -18.91892 -18.91892],[7.59340 7.59340 7.59340],0.7473430498187978
1600,[-19.57056 -19.57056 -19.57056],[8.37042 8.37042 8.37042],0.7330270480182665
1700,[-17.93801 -17.93801 -17.93801],[2.77498 2.77498 2.77498],0.7189852816008054
1800,[-16.88882 -16.88882 -16.88882],[2.77750 2.77750 2.77750],0.705212497350724
1900,[-21.51835 -21.51835 -21.51835],[4.60267 4.60267 4.60267],0.6917035426822101
2000,[-20.76696 -20.76696 -20.76696],[3.33172 3.33172 3.33172],0.6784533637116886
2100,[-19.60944 -19.60944 -19.60944],[3.07140 3.07140 3.07140],0.6654570033670938
2200,[-16.45609 -16.45609 -16.45609],[15.72549 15.72549 15.72549],0.6527095995333525
2300,[-11.16596 -11.16596 -11.16596],[5.26926 5.26926 5.26926],0.6402063832334086
2400,[-16.47026 -16.47026 -16.47026],[8.68440 8.68440 8.68440],0.6279426768440843
2500,[-20.36205 -20.36205 -20.36205],[10.18992 10.18992 10.18992],0.6159138923461105
2600,[-18.57486 -18.57486 -18.57486],[3.06022 3.06022 3.06022],0.6041155296076918
2700,[-16.80010 -16.80010 -16.80010],[15.94166 15.94166 15.94166],0.5925431747009424
2800,[-18.37759 -18.37759 -18.37759],[9.87289 9.87289 9.87289],0.5811924982505915
2900,[-20.21250 -20.21250 -20.21250],[31.48177 31.48177 31.48177],0.5700592538142826
3000,[-20.82240 -20.82240 -20.82240],[8.86902 8.86902 8.86902],0.5591392762939287
3100,[-16.88263 -16.88263 -16.88263],[26.07982 26.07982 26.07982],0.5484284803774964
3200,[-16.86778 -16.86778 -16.86778],[0.76758 0.76758 0.76758],0.5379228590106419
3300,[-21.68783 -21.68783 -21.68783],[25.15693 25.15693 25.15693],0.5276184818975981
3400,[-18.44764 -18.44764 -18.44764],[14.32088 14.32088 14.32088],0.5175114940308205
3500,[-16.33887 -16.33887 -16.33887],[9.11294 9.11294 9.11294],0.5075981142487541
3600,[-17.89090 -17.89090 -17.89090],[5.05903 5.05903 5.05903],0.4978746338212661
3700,[-19.30571 -19.30571 -19.30571],[15.02578 15.02578 15.02578],0.48833741506215295
3800,[-20.10570 -20.10570 -20.10570],[11.54156 11.54156 11.54156],0.47898288996823385
3900,[-19.48751 -19.48751 -19.48751],[50.55813 50.55813 50.55813],0.46980755888450715
4000,[-20.43979 -20.43979 -20.43979],[7.08058 7.08058 7.08058],0.4608079891948918
4100,[-18.35916 -18.35916 -18.35916],[9.20948 9.20948 9.20948],0.45198081403803075
4200,[-18.70900 -18.70900 -18.70900],[5.77541 5.77541 5.77541],0.4433227310477052
4300,[-9.86395 -9.86395 -9.86395],[2.56523 2.56523 2.56523],0.43483050111737453
4400,[-17.16484 -17.16484 -17.16484],[5.40545 5.40545 5.40545],0.42650094718838294
4500,[-20.90864 -20.90864 -20.90864],[9.77966 9.77966 9.77966],0.4183309530613763
4600,[-18.13216 -18.13216 -18.13216],[17.98499 17.98499 17.98499],0.41031746223049576
4700,[-15.30190 -15.30190 -15.30190],[9.57963 9.57963 9.57963],0.4024574767398885
4800,[-14.21398 -14.21398 -14.21398],[10.92121 10.92121 10.92121],0.39474805606213775
4900,[-12.44250 -12.44250 -12.44250],[4.04319 4.04319 4.04319],0.3871863159981707
5000,[-17.02323 -17.02323 -17.02323],[7.04050 7.04050 7.04050],0.37976942759823823
5100,[-10.11134 -10.11134 -10.11134],[4.21621 4.21621 4.21621],0.37249461610356654
5200,[-13.01195 -13.01195 -13.01195],[13.95127 13.95127 13.95127],0.36535915990828843
5300,[-16.95198 -16.95198 -16.95198],[1.75211 1.75211 1.75211],0.3583603895412437
5400,[-13.85316 -13.85316 -13.85316],[13.83579 13.83579 13.83579],0.35149568666730197
5500,[-9.80544 -9.80544 -9.80544],[7.01114 7.01114 7.01114],0.34476248310780105
5600,[-13.99822 -13.99822 -13.99822],[16.03605 16.03605 16.03605],0.33815825987976045
5700,[-15.94640 -15.94640 -15.94640],[12.86757 12.86757 12.86757],0.33168054625349885
5800,[-13.64432 -13.64432 -13.64432],[3.21496 3.21496 3.21496],0.32532691882829134
5900,[-12.13833 -12.13833 -12.13833],[2.69983 2.69983 2.69983],0.3190950006257518
6000,[-12.37406 -12.37406 -12.37406],[3.10435 3.10435 3.10435],0.312982460200566
6100,[-11.34437 -11.34437 -11.34437],[1.39764 1.39764 1.39764],0.3069870107682693
6200,[-14.58052 -14.58052 -14.58052],[8.30587 8.30587 8.30587],0.30110640934973165
6300,[-10.43597 -10.43597 -10.43597],[2.79354 2.79354 2.79354],0.29533845593202374
6400,[-11.88783 -11.88783 -11.88783],[5.01566 5.01566 5.01566],0.2896809926453638
6500,[-9.28770 -9.28770 -9.28770],[2.06120 2.06120 2.06120],0.2841319029558341
6600,[-17.65340 -17.65340 -17.65340],[21.61373 21.61373 21.61373],0.27868911087355025
6700,[-10.21422 -10.21422 -10.21422],[5.34303 5.34303 5.34303],0.27335058017600533
6800,[-14.54449 -14.54449 -14.54449],[5.50385 5.50385 5.50385],0.26811431364629784
6900,[-10.81514 -10.81514 -10.81514],[7.45771 7.45771 7.45771],0.26297835232593786
7000,[-12.02126 -12.02126 -12.02126],[5.45121 5.45121 5.45121],0.25794077478198096
7100,[-17.62105 -17.62105 -17.62105],[17.94075 17.94075 17.94075],0.2529996963881896
7200,[-13.58013 -13.58013 -13.58013],[5.65584 5.65584 5.65584],0.24815326861997006
7300,[-11.43455 -11.43455 -11.43455],[5.46697 5.46697 5.46697],0.2433996783628142
7400,[-10.97244 -10.97244 -10.97244],[1.98687 1.98687 1.98687],0.23873714723398948
