number,rewards,variances,exploration_value
0,[-14.28978 -14.28978 -14.28978],[15.99129 15.99129 15.99129],0.9988953697090716
100,[-11.64414 -11.64414 -11.64414],[9.56175 9.56175 9.56175],0.9797606658876263
200,[-14.20895 -14.20895 -14.20895],[3.65605 3.65605 3.65605],0.9609925038496699
300,[-19.57559 -19.57559 -19.57559],[21.82816 21.82816 21.82816],0.9425838621706605
400,[-17.74170 -17.74170 -17.74170],[6.40615 6.40615 6.40615],0.9245278539275122
500,[-19.12189 -19.12189 -19.12189],[3.42570 3.42570 3.42570],0.9068177241220878
600,[-20.22341 -20.22341 -20.22341],[3.95415 3.95415 3.95415],0.889446847154093
700,[-19.50762 -19.50762 -19.50762],[2.00121 2.00121 2.00121],0.8724087243423219
800,[-18.91464 -18.91464 -18.91464],[3.39791 3.39791 3.39791],0.8556969814934174
900,[-17.82928 -17.82928 -17.82928],[1.69618 1.69618 1.69618],0.8393053665172148
1000,[-17.80314 -17.80314 -17.80314],[4.79185 4.79185 4.79185],0.8232277470877281
1100,[-21.40626 -21.40626 -21.40626],[8.21386 8.21386 8.21386],0.8074581083489812
1200,[-20.93258 -20.93258 -20.93258],[7.93351 7.93351 7.93351],0.7919905506647517
1300,[-19.99653 -19.99653 -19.99653],[1.19843 1.19843 1.19843],0.7768192874114557
1400,[-20.36580 -20.36580 -20.36580],[11.18145 11.18145 11.18145],0.7619386428132808
1500,[-19.72236 -19.72236 -19.72236],[7.07907 7.07907 7.07907],0.7473430498187978
1600,[-18.10652 -18.10652 -18.10652],[4.81904 4.81904 4.81904],0.7330270480182665
1700,[-17.98055 -17.98055 -17.98055],[2.67377 2.67377 2.67377],0.7189852816008054
1800,[-16.99844 -16.99844 -16.99844],[0.76240 0.76240 0.76240],0.705212497350724
1900,[-20.10608 -20.10608 -20.10608],[4.19749 4.19749 4.19749],0.6917035426822101
2000,[-21.63267 -21.63267 -21.63267],[5.69180 5.69180 5.69180],0.6784533637116886
2100,[-18.10425 -18.10425 -18.10425],[11.65045 11.65045 11.65045],0.6654570033670938
2200,[-21.12154 -21.12154 -21.12154],[6.99172 6.99172 6.99172],0.6527095995333525
2300,[-21.39104 -21.39104 -21.39104],[5.41317 5.41317 5.41317],0.6402063832334086
2400,[-18.41280 -18.41280 -18.41280],[9.31363 9.31363 9.31363],0.6279426768440843
2500,[-21.69222 -21.69222 -21.69222],[16.31747 16.31747 16.31747],0.6159138923461105
2600,[-19.17859 -19.17859 -19.17859],[8.80163 8.80163 8.80163],0.6041155296076918
2700,[-14.56975 -14.56975 -14.56975],[11.94203 11.94203 11.94203],0.5925431747009424
2800,[-18.46828 -18.46828 -18.46828],[9.59682 9.59682 9.59682],0.5811924982505915
2900,[-12.42610 -12.42610 -12.42610],[6.30584 6.30584 6.30584],0.5700592538142826
3000,[-15.38405 -15.38405 -15.38405],[13.20040 13.20040 13.20040],0.5591392762939287
3100,[-19.38010 -19.38010 -19.38010],[8.63782 8.63782 8.63782],0.5484284803774964
3200,[-12.29050 -12.29050 -12.29050],[1.18345 1.18345 1.18345],0.5379228590106419
3300,[-13.79833 -13.79833 -13.79833],[19.72157 19.72157 19.72157],0.5276184818975981
3400,[-17.86114 -17.86114 -17.86114],[22.30601 22.30601 22.30601],0.5175114940308205
3500,[-12.85013 -12.85013 -12.85013],[9.96050 9.96050 9.96050],0.5075981142487541
3600,[-18.67044 -18.67044 -18.67044],[4.78920 4.78920 4.78920],0.4978746338212661
3700,[-19.04811 -19.04811 -19.04811],[14.13815 14.13815 14.13815],0.48833741506215295
3800,[-16.78359 -16.78359 -16.78359],[20.41481 20.41481 20.41481],0.47898288996823385
3900,[-18.18851 -18.18851 -18.18851],[5.44329 5.44329 5.44329],0.46980755888450715
4000,[-22.12232 -22.12232 -22.12232],[13.63668 13.63668 13.63668],0.4608079891948918
4100,[-19.95460 -19.95460 -19.95460],[14.68132 14.68132 14.68132],0.45198081403803075
4200,[-14.18385 -14.18385 -14.18385],[18.85451 18.85451 18.85451],0.4433227310477052
4300,[-12.53775 -12.53775 -12.53775],[11.62969 11.62969 11.62969],0.43483050111737453
4400,[-16.49039 -16.49039 -16.49039],[22.88001 22.88001 22.88001],0.42650094718838294
4500,[-10.05482 -10.05482 -10.05482],[3.21897 3.21897 3.21897],0.4183309530613763
4600,[-18.28668 -18.28668 -18.28668],[11.88488 11.88488 11.88488],0.41031746223049576
4700,[-20.54520 -20.54520 -20.54520],[12.07470 12.07470 12.07470],0.4024574767398885
4800,[-11.09935 -11.09935 -11.09935],[6.35286 6.35286 6.35286],0.39474805606213775
4900,[-18.51809 -18.51809 -18.51809],[17.53086 17.53086 17.53086],0.3871863159981707
5000,[-18.09474 -18.09474 -18.09474],[6.85112 6.85112 6.85112],0.37976942759823823
5100,[-17.08496 -17.08496 -17.08496],[9.41791 9.41791 9.41791],0.37249461610356654
5200,[-16.99107 -16.99107 -16.99107],[7.69054 7.69054 7.69054],0.36535915990828843
5300,[-9.70940 -9.70940 -9.70940],[1.55793 1.55793 1.55793],0.3583603895412437
5400,[-17.68343 -17.68343 -17.68343],[16.93173 16.93173 16.93173],0.35149568666730197
5500,[-9.83200 -9.83200 -9.83200],[5.34796 5.34796 5.34796],0.34476248310780105
5600,[-16.23343 -16.23343 -16.23343],[24.99371 24.99371 24.99371],0.33815825987976045
5700,[-18.97581 -18.97581 -18.97581],[13.20047 13.20047 13.20047],0.33168054625349885
5800,[-11.68387 -11.68387 -11.68387],[10.28800 10.28800 10.28800],0.32532691882829134
5900,[-15.28468 -15.28468 -15.28468],[5.42551 5.42551 5.42551],0.3190950006257518
6000,[-19.67169 -19.67169 -19.67169],[7.64910 7.64910 7.64910],0.312982460200566
6100,[-8.75645 -8.75645 -8.75645],[0.46316 0.46316 0.46316],0.3069870107682693
6200,[-10.73463 -10.73463 -10.73463],[3.46968 3.46968 3.46968],0.30110640934973165
6300,[-18.18581 -18.18581 -18.18581],[5.54003 5.54003 5.54003],0.29533845593202374
6400,[-18.36567 -18.36567 -18.36567],[9.30792 9.30792 9.30792],0.2896809926453638
6500,[-10.81571 -10.81571 -10.81571],[10.91460 10.91460 10.91460],0.2841319029558341
6600,[-9.42226 -9.42226 -9.42226],[3.26819 3.26819 3.26819],0.27868911087355025
6700,[-15.35047 -15.35047 -15.35047],[1.42763 1.42763 1.42763],0.27335058017600533
6800,[-9.86436 -9.86436 -9.86436],[4.31963 4.31963 4.31963],0.26811431364629784
6900,[-12.12496 -12.12496 -12.12496],[4.74410 4.74410 4.74410],0.26297835232593786
7000,[-14.61730 -14.61730 -14.61730],[19.34084 19.34084 19.34084],0.25794077478198096
7100,[-13.03428 -13.03428 -13.03428],[31.56423 31.56423 31.56423],0.2529996963881896
7200,[-19.12868 -19.12868 -19.12868],[25.65600 25.65600 25.65600],0.24815326861997006
7300,[-10.94251 -10.94251 -10.94251],[3.99492 3.99492 3.99492],0.2433996783628142
7400,[-14.30815 -14.30815 -14.30815],[1.91340 1.91340 1.91340],0.23873714723398948
