iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss
0,100,0.93339,0.99439,0.96319
1,200,0.93938,1.00423,1.00624
2,300,0.93400,0.94346,0.96613
3,400,0.99468,0.95555,0.99190
4,500,0.91195,0.92849,0.99812
5,600,0.92469,0.96228,0.96891
6,700,1.05320,0.98712,0.97377
7,800,1.00581,0.97912,0.96358
8,900,0.92243,0.99021,0.97623
9,1000,0.98006,0.94676,1.00492
10,1100,0.92627,0.96127,1.00142
11,1200,0.96378,1.01782,0.95223
12,1300,1.04577,0.94326,0.96509
13,1400,0.94460,0.97730,0.98870
14,1500,0.95913,1.01367,0.92939
15,1600,0.96264,0.96010,0.93899
16,1700,0.96999,0.97511,0.98010
17,1800,1.00984,0.96447,0.97482
18,1900,0.93245,0.98346,0.97734
19,2000,0.97109,1.00441,0.90351
20,2100,1.00080,0.95309,0.98916
21,2200,0.99821,0.95953,1.01125
22,2300,0.92761,0.95962,0.96481
23,2400,0.92715,0.88602,0.96684
24,2500,0.97040,1.00044,0.95050
25,2600,0.98523,0.96172,0.98706
26,2700,0.93196,0.96301,0.93962
27,2800,0.91665,0.92397,1.03275
28,2900,0.95102,0.94312,0.92485
29,3000,0.94248,0.93859,0.99412
30,3100,0.95091,0.95943,0.93653
31,3200,0.96591,0.99030,0.93101
32,3300,0.90045,0.96068,0.96163
33,3400,0.94596,0.97417,0.94159
34,3500,0.99303,0.96016,0.96144
35,3600,0.98776,0.90402,0.93579
36,3700,0.93622,0.96243,0.94470
37,3800,0.91620,0.91816,0.98686
38,3900,0.91204,0.96747,0.91432
39,4000,0.98977,0.95112,0.92277
40,4100,0.91269,0.99524,0.95489
41,4200,0.93436,0.94050,0.93544
42,4300,0.99009,0.94720,0.95671
43,4400,0.92710,0.91433,0.94895
44,4500,0.91452,0.95245,0.98088
45,4600,0.92900,0.95195,0.97290
46,4700,0.97574,0.93864,0.90109
47,4800,0.97459,0.96941,0.95955
48,4900,0.95845,0.94347,0.96837
49,5000,0.98115,0.94804,0.95884
50,5100,0.93758,0.92931,0.98634
51,5200,0.99041,0.92138,0.89700
52,5300,0.93959,0.94319,0.92858
53,5400,0.96891,0.97288,0.95000
54,5500,0.91035,0.93488,0.97130
55,5600,0.96385,1.00165,0.94532
56,5700,0.95367,0.95041,1.00493
57,5800,0.97740,0.97199,0.93523
58,5900,0.92228,0.99810,0.92208
59,6000,0.98649,1.03817,0.93909
60,6100,1.00762,0.92747,0.98206
61,6200,0.92390,0.95737,0.92249
62,6300,1.02015,0.93662,0.93933
63,6400,0.94556,0.92547,0.93774
64,6500,1.00585,0.93205,0.99543
65,6600,0.96822,0.97650,0.91898
66,6700,0.92797,0.94922,0.94094
67,6800,0.91191,0.94238,0.95544
68,6900,0.92854,0.92052,0.88874
69,7000,0.98376,0.99393,0.93983
70,7100,1.03834,0.94498,0.92405
71,7200,0.94050,0.95639,0.97350
72,7300,0.94827,0.96585,0.96098
73,7400,0.95679,0.90461,0.99817
74,7500,0.96480,0.95532,0.99618
75,7600,0.95696,0.95032,0.94278
76,7700,0.96818,0.90724,0.98080
77,7800,0.94404,1.01312,0.93594
78,7900,0.98570,0.93612,0.94583
79,8000,0.97081,0.99600,0.96753
80,8100,1.00413,0.95784,0.98063
81,8200,1.00380,0.90909,1.01188
82,8300,0.93359,0.99462,0.98338
83,8400,0.95798,0.95115,1.01371
84,8500,0.96941,0.94889,0.98459
85,8600,0.95676,0.99841,1.00838
86,8700,1.04303,0.92382,0.99092
87,8800,0.99606,0.94712,1.03864
88,8900,0.93494,0.96798,0.96604
89,9000,0.97053,0.99924,1.02633
90,9100,0.98912,0.96364,0.96545
91,9200,0.98254,0.97355,0.96493
92,9300,0.96514,0.94353,0.94467
93,9400,0.99025,0.98607,0.94220
94,9500,0.96690,0.94314,0.92993
95,9600,0.92649,0.95718,0.96812
96,9700,0.92495,0.96522,0.98004
97,9800,0.94805,1.00874,0.94572
98,9900,0.97758,1.02185,0.94324
99,10000,1.00256,0.96192,0.97212
100,10100,0.97053,1.02451,0.96233
101,10200,0.96864,0.92957,0.96878
102,10300,0.94864,1.01513,0.97016
103,10400,0.93195,0.97750,0.95041
104,10500,0.91105,0.98026,0.95425
105,10600,0.95300,0.98962,0.95141
106,10700,0.98573,0.99923,0.94857
107,10800,0.98979,0.98595,0.91201
108,10900,0.95270,1.00559,0.96218
109,11000,0.93954,1.01725,0.99315
110,11100,0.98454,0.95474,0.98762
111,11200,1.01724,0.97376,1.00489
112,11300,1.00222,0.98406,0.93348
113,11400,0.98630,0.96319,0.98621
114,11500,0.98786,0.95367,0.99141
115,11600,0.97934,0.96741,0.94942
116,11700,0.93958,0.94952,0.95823
117,11800,0.96245,0.98320,0.94387
118,11900,0.97870,0.98278,0.93240
119,12000,0.93240,0.95660,1.00047
120,12100,0.95734,0.97419,0.93634
121,12200,1.01164,0.95026,0.98281
122,12300,0.94565,0.97733,0.99512
123,12400,0.95857,0.98613,1.04260
124,12500,0.98477,0.97318,1.01479
125,12600,0.97575,0.95427,0.98314
126,12700,0.98459,0.98319,0.95171
127,12800,0.96007,0.95577,1.06800
128,12900,0.95915,0.93321,0.92889
129,13000,1.01177,0.94919,0.96412
130,13100,0.97745,0.98976,0.96752
131,13200,0.98318,0.98090,0.92787
132,13300,0.99570,0.98854,0.95399
133,13400,0.99128,0.97389,1.01388
134,13500,0.99096,0.92760,0.91992
135,13600,0.98058,0.97242,0.96929
136,13700,0.96504,0.91716,0.96952
137,13800,0.99962,1.04799,0.99504
138,13900,0.94209,0.98774,0.96808
139,14000,0.99722,0.94082,0.99502
140,14100,0.94783,0.98636,0.96939
141,14200,0.99425,0.95855,0.95615
142,14300,0.94544,0.98925,0.98739
143,14400,0.99884,0.98743,0.95997
144,14500,0.98895,1.00914,0.93748
145,14600,0.99207,0.99709,0.97642
146,14700,1.00884,1.00656,1.00290
147,14800,0.98161,0.96553,0.93679
148,14900,0.99043,0.99888,0.97598
149,15000,0.99104,0.99830,0.96845
150,15100,0.98292,0.97567,0.99545
151,15200,1.00090,0.97973,1.03304
152,15300,1.00889,0.93347,1.02762
153,15400,0.98965,1.03268,1.00308
154,15500,0.98642,0.95495,0.96919
155,15600,0.93589,1.01481,1.01783
156,15700,0.96751,0.97954,1.04484
157,15800,1.00284,0.98554,1.04235
158,15900,0.96400,0.98804,0.95454
159,16000,1.01823,1.04321,0.99374
160,16100,0.94694,0.95322,1.01955
161,16200,0.98742,1.01505,0.98413
162,16300,1.00528,0.97169,0.98517
163,16400,0.98182,1.02601,0.99999
164,16500,0.94642,0.98426,0.95210
165,16600,1.01774,1.00160,1.03173
166,16700,0.95909,0.95052,0.97248
167,16800,0.96335,1.02669,0.93643
168,16900,0.95331,0.97248,1.00458
169,17000,0.93567,0.99629,0.94811
170,17100,0.95371,0.94911,0.99821
171,17200,1.00123,0.95239,0.99155
172,17300,1.01262,0.96030,0.98737
173,17400,0.93971,0.97745,0.96323
174,17500,1.03343,0.94045,1.01103
175,17600,0.99784,0.95328,0.97340
176,17700,1.01359,1.03472,0.99073
177,17800,0.95044,0.97820,0.94001
178,17900,0.95226,0.94984,0.99175
179,18000,1.01081,1.00523,0.97713
180,18100,0.96606,0.98135,0.90996
181,18200,0.98746,0.99414,1.00124
182,18300,0.97409,0.96626,0.94919
183,18400,0.95652,0.96569,0.91524
184,18500,0.95767,1.00316,0.99257
185,18600,0.91326,0.97193,0.98290
186,18700,0.98315,0.98519,0.99219
187,18800,1.02993,0.99178,1.02362
188,18900,1.00682,0.97534,0.92913
189,19000,1.00495,0.99754,0.96958
190,19100,0.98355,0.98830,0.93857
191,19200,0.96968,0.99005,1.03352
192,19300,0.97134,0.91423,1.04277
193,19400,0.98063,0.98310,0.99264
194,19500,0.99437,0.98305,1.02229
195,19600,0.98879,0.96931,0.98366
196,19700,0.96050,1.03214,1.00324
197,19800,0.93134,0.99155,0.95971
198,19900,1.00509,0.96216,0.95126
199,20000,0.97735,0.97004,0.99404
200,20100,0.93580,0.96971,1.01190
201,20200,0.98616,0.98879,0.99901
202,20300,0.99317,1.02366,0.96448
203,20400,0.98474,0.99008,0.94008
204,20500,0.98108,0.97136,1.04164
205,20600,0.98903,0.98850,0.97535
206,20700,1.03201,0.96503,0.94688
207,20800,0.98584,1.02185,0.98425
208,20900,0.96508,0.99152,0.96319
209,21000,0.98033,1.00042,1.00029
210,21100,0.99573,0.97921,0.93370
211,21200,0.96588,0.98649,1.00392
212,21300,0.96038,0.99174,1.00043
213,21400,0.92086,0.98713,0.90889
214,21500,1.00451,0.97455,0.96572
215,21600,1.00783,1.06962,0.96705
216,21700,0.97341,1.00819,0.98761
217,21800,0.91498,0.97771,0.93713
218,21900,0.96869,0.97991,1.04187
219,22000,1.00227,0.99669,0.95912
220,22100,1.02112,0.98892,1.01539
221,22200,0.92772,0.97501,1.00379
222,22300,0.95007,1.02083,0.93512
223,22400,0.98768,1.02710,0.97488
224,22500,0.99741,0.97037,0.98538
225,22600,0.99391,1.02759,1.03416
226,22700,0.92105,0.98279,0.97831
227,22800,0.98881,0.99997,0.99777
228,22900,0.97822,0.97106,0.97720
229,23000,0.95269,0.94544,0.99061
230,23100,0.99401,0.98446,0.99337
231,23200,0.91241,0.97720,0.97839
232,23300,0.95389,1.00090,1.00476
233,23400,0.91476,0.98775,1.00235
234,23500,0.94508,0.99573,1.00964
235,23600,0.96595,0.94304,0.98630
236,23700,0.98843,1.00171,0.99178
237,23800,1.01591,1.00675,1.02132
238,23900,0.96988,1.00441,0.97333
239,24000,1.00052,0.96907,0.98559
240,24100,0.96898,0.97562,0.90310
241,24200,0.99632,0.94885,0.94786
242,24300,0.94175,0.96215,0.98807
243,24400,0.95679,0.93501,1.02021
244,24500,0.95764,0.98776,0.99794
245,24600,1.00414,0.99145,0.99902
246,24700,1.04034,0.96998,0.96312
247,24800,1.01203,0.98671,0.98283
248,24900,0.93549,0.92671,0.98069
