iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
0,100,6.53759,0.44758,6.24413,0.43943,6.23906,0.44073
1,200,2.59198,0.35335,2.60834,0.35570,2.63131,0.35928
2,300,2.31565,0.34708,2.38224,0.34669,2.26054,0.34871
3,400,2.27770,0.34646,2.20488,0.34287,2.22593,0.34573
4,500,2.14592,0.34339,2.11009,0.33945,2.20641,0.34206
5,600,2.16033,0.34378,2.06148,0.33838,2.10788,0.33928
6,700,2.14128,0.34338,2.12184,0.33873,2.17828,0.34116
7,800,2.08694,0.34346,2.13102,0.33754,2.07921,0.33636
8,900,2.11123,0.34103,2.10970,0.33540,2.08569,0.33631
9,1000,2.14148,0.33673,2.12044,0.33526,2.04774,0.32857
10,1100,2.07512,0.34212,2.07232,0.33166,2.06957,0.32727
11,1200,2.13796,0.33965,2.14410,0.33109,2.09590,0.32860
12,1300,2.09653,0.33888,2.08606,0.32851,2.04047,0.32881
13,1400,2.13582,0.33723,2.07149,0.32460,2.06268,0.32305
14,1500,2.17404,0.33525,2.10070,0.32487,2.12577,0.32562
15,1600,2.10438,0.33199,2.11410,0.32556,2.07829,0.32480
16,1700,2.08732,0.33273,2.14385,0.32579,2.03920,0.32399
17,1800,2.13591,0.33507,2.09828,0.32462,2.12735,0.32280
18,1900,2.16459,0.33146,2.06101,0.32256,2.02556,0.32086
19,2000,2.14932,0.33371,2.09159,0.32522,2.04925,0.32008
20,2100,2.12369,0.33543,2.07656,0.32448,2.05093,0.32012
21,2200,2.08017,0.33134,2.05001,0.32416,2.09568,0.31884
22,2300,2.08471,0.32972,2.12071,0.32393,2.03244,0.31845
23,2400,2.03989,0.32948,2.09318,0.32135,2.08342,0.31579
24,2500,2.09946,0.33057,2.10004,0.32213,1.96838,0.31338
25,2600,2.05177,0.33008,1.99507,0.31913,2.03905,0.31108
26,2700,2.05888,0.32842,2.07596,0.31978,2.06318,0.31082
27,2800,2.11293,0.32769,2.08805,0.32329,1.99886,0.30908
28,2900,2.06274,0.32622,2.11700,0.31952,2.01400,0.30837
29,3000,1.96024,0.32604,2.02784,0.32108,1.99663,0.30728
30,3100,2.15767,0.32713,2.08313,0.31828,1.99503,0.30640
31,3200,2.10172,0.32555,2.02303,0.32013,1.92997,0.30430
32,3300,2.07056,0.32436,2.06241,0.31857,2.00187,0.30328
33,3400,2.07585,0.32221,2.03255,0.31610,1.94614,0.30395
34,3500,2.10239,0.32412,2.04907,0.31800,1.93893,0.29933
35,3600,2.03580,0.32166,2.03155,0.31516,2.04130,0.29992
36,3700,1.97899,0.31913,2.08374,0.31709,1.96633,0.29704
37,3800,2.03816,0.32061,1.99352,0.31391,1.98718,0.29849
38,3900,2.06741,0.32097,2.05735,0.31448,1.97926,0.29611
39,4000,2.10192,0.32247,2.02024,0.31594,1.92217,0.29280
40,4100,2.07048,0.32034,2.02352,0.31303,1.88143,0.29495
41,4200,2.06195,0.32068,1.97934,0.31404,2.04260,0.29649
42,4300,2.06369,0.31947,2.08079,0.31455,1.93919,0.29423
43,4400,2.08873,0.32021,2.02727,0.31346,2.00516,0.29128
44,4500,1.98676,0.32061,2.05361,0.31375,1.97613,0.29182
45,4600,2.03185,0.31941,1.98865,0.31433,1.93043,0.29069
46,4700,2.00900,0.32006,1.96188,0.31497,1.98905,0.29108
47,4800,1.98909,0.31791,1.97153,0.31489,1.96428,0.29143
