iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,13.23936,0.75048,2.72737,13.24050,0.75136,2.72779,13.23713,0.75085,2.72764
1,200,3.92442,0.72561,2.72692,3.89813,0.72493,2.72698,3.85964,0.72308,2.72664
2,300,1.64540,0.69723,2.72623,1.65762,0.69790,2.72593,1.57364,0.69599,2.72598
3,400,1.25669,0.67659,2.72386,1.22292,0.67792,2.72436,1.17818,0.67615,2.72357
4,500,1.04247,0.65723,2.72271,1.04354,0.65724,2.72321,1.09752,0.65782,2.72288
5,600,1.00483,0.63846,2.72240,0.94539,0.63812,2.72205,0.99855,0.63991,2.72199
6,700,0.99518,0.62218,2.72059,0.99288,0.62140,2.72102,1.03588,0.62051,2.71933
7,800,0.96520,0.60432,2.71941,0.99739,0.60402,2.71904,0.99597,0.60317,2.71950
8,900,0.97011,0.58847,2.71843,0.99449,0.59003,2.71871,0.98711,0.58869,2.71815
9,1000,1.01076,0.57390,2.71763,0.95942,0.57350,2.71702,0.98558,0.57349,2.71697
10,1100,0.90620,0.56019,2.71557,0.97572,0.55978,2.71552,0.97565,0.56056,2.71526
11,1200,1.00099,0.54769,2.71453,0.99958,0.54668,2.71480,0.96620,0.54702,2.71397
12,1300,0.94729,0.53367,2.71301,0.96529,0.53394,2.71311,0.91550,0.53284,2.71307
13,1400,0.98472,0.52030,2.71163,0.97287,0.51941,2.71125,0.95670,0.51897,2.71190
14,1500,1.04827,0.50604,2.71097,0.96932,0.50530,2.71077,0.98636,0.50553,2.71013
15,1600,0.95162,0.49275,2.70832,0.96754,0.49267,2.70874,0.98803,0.49358,2.70869
16,1700,0.95576,0.48078,2.70814,0.99281,0.48056,2.70799,0.92256,0.47967,2.70775
17,1800,0.97683,0.46733,2.70672,0.98733,0.46750,2.70614,1.00228,0.46739,2.70659
18,1900,1.01418,0.45487,2.70516,0.91563,0.45376,2.70591,0.94517,0.45428,2.70571
19,2000,0.97498,0.44406,2.70372,0.99069,0.44203,2.70420,0.95509,0.44266,2.70440
20,2100,0.95186,0.43070,2.70255,0.93052,0.43085,2.70284,0.95588,0.43055,2.70242
21,2200,0.96384,0.41916,2.70106,0.97413,0.41964,2.70175,0.99616,0.41905,2.70189
22,2300,0.95389,0.40700,2.69967,0.98651,0.40777,2.69949,0.96935,0.40678,2.70010
23,2400,0.92526,0.39597,2.69866,0.98936,0.39638,2.69830,0.99011,0.39643,2.69777
24,2500,0.94823,0.38682,2.69663,0.96814,0.38581,2.69686,0.90338,0.38543,2.69679
25,2600,0.93202,0.37576,2.69561,0.91921,0.37535,2.69518,0.96756,0.37546,2.69535
26,2700,0.97103,0.36410,2.69405,0.97271,0.36387,2.69454,0.97797,0.36490,2.69463
27,2800,0.99246,0.35330,2.69224,0.96562,0.35365,2.69174,0.96109,0.35364,2.69275
28,2900,0.93845,0.34356,2.69153,0.98722,0.34350,2.69131,0.94982,0.34368,2.69127
29,3000,0.86792,0.33295,2.68986,0.93063,0.33351,2.68993,0.95659,0.33285,2.68960
30,3100,0.99847,0.32410,2.68866,0.99523,0.32379,2.68845,0.92710,0.32281,2.68900
31,3200,1.00088,0.31379,2.68683,0.89922,0.31335,2.68770,0.92272,0.31328,2.68737
32,3300,0.94065,0.30413,2.68530,0.98768,0.30445,2.68519,0.95787,0.30384,2.68580
