iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
0,100,46.92884,1.40857,46.92458,1.40896,46.97440,1.40980
1,200,19.80496,1.38579,19.82891,1.38589,19.67081,1.38359
2,300,4.39769,1.35095,4.26331,1.35099,4.22030,1.34793
3,400,2.29929,1.31493,2.14453,1.31929,2.14657,1.31629
4,500,1.35487,1.30004,1.32724,1.30210,1.44007,1.30249
5,600,1.13569,1.28598,1.04891,1.28604,1.16573,1.28710
6,700,1.05661,1.27334,1.06560,1.27186,1.11601,1.26746
7,800,1.00644,1.25738,1.04318,1.25672,1.03954,1.25698
8,900,0.99103,1.24209,1.04000,1.24629,1.02592,1.24340
9,1000,1.04898,1.23114,0.99503,1.22690,1.01244,1.22895
10,1100,0.93612,1.21827,0.99580,1.21884,1.01625,1.22123
11,1200,1.03550,1.21428,1.03027,1.21294,1.00179,1.20859
12,1300,0.97499,1.19937,1.00261,1.19893,0.94951,1.19845
13,1400,1.01701,1.19027,1.00226,1.18728,0.98996,1.18847
14,1500,1.07417,1.17705,0.98752,1.17793,1.01516,1.17968
15,1600,0.98000,1.16147,1.00771,1.16560,1.00712,1.16953
16,1700,0.96742,1.15904,1.02968,1.15934,0.94460,1.15605
17,1800,0.99678,1.14498,1.01712,1.14430,1.01838,1.14414
18,1900,1.03190,1.13366,0.94318,1.13253,0.96678,1.13413
19,2000,1.00126,1.12604,1.03019,1.12536,0.96841,1.12254
20,2100,0.97331,1.11595,0.96200,1.11665,0.97620,1.11363
21,2200,0.99153,1.10735,0.99363,1.10730,1.00408,1.10629
22,2300,0.98349,1.09697,1.00226,1.10086,0.99665,1.09466
23,2400,0.94041,1.08577,1.02238,1.08895,1.01683,1.08782
24,2500,0.97435,1.08599,0.99880,1.07800,0.94113,1.08032
25,2600,0.95699,1.07304,0.94763,1.06948,0.99623,1.07476
26,2700,0.99496,1.05827,0.98756,1.05829,0.99680,1.05927
27,2800,1.00048,1.04654,0.98326,1.04906,0.99948,1.04801
28,2900,0.96267,1.03946,1.01184,1.04205,0.96158,1.04224
29,3000,0.89109,1.02792,0.94039,1.03252,0.99718,1.03001
30,3100,1.01196,1.02524,1.01527,1.02171,0.94890,1.01528
31,3200,1.01153,1.01574,0.93416,1.01625,0.94968,1.01332
32,3300,0.96970,1.00149,0.99376,1.00788,0.97835,1.00279
33,3400,1.01837,0.99191,0.97822,0.99332,0.94887,0.99018
34,3500,1.02524,0.98056,1.00032,0.98291,0.93698,0.98041
35,3600,0.98155,0.97048,1.01303,0.97364,1.02046,0.97316
36,3700,0.95309,0.96640,1.02372,0.96669,0.98162,0.96672
37,3800,0.92711,0.95180,0.95015,0.95386,0.99243,0.95803
38,3900,0.97323,0.94512,0.99341,0.94151,0.96129,0.94405
39,4000,0.98878,0.93280,0.98531,0.93713,0.94360,0.93452
40,4100,0.98358,0.92526,0.97142,0.92123,0.91084,0.92198
41,4200,0.97456,0.91035,0.94612,0.90858,1.00511,0.91649
42,4300,0.98642,0.90311,0.97956,0.90254,0.92310,0.90434
43,4400,1.00775,0.89078,0.97747,0.89346,1.00954,0.89156
44,4500,0.92692,0.88276,0.99588,0.88457,1.00315,0.88550
45,4600,0.98401,0.87217,0.92789,0.87168,0.95981,0.87082
46,4700,0.95242,0.86178,0.89258,0.85883,0.95713,0.85947
47,4800,0.92091,0.85265,0.93249,0.85401,0.98011,0.84882
48,4900,0.99300,0.84243,0.97398,0.84145,1.06226,0.84507
49,5000,0.93596,0.83638,0.96753,0.83261,0.95303,0.82989
50,5100,0.94636,0.82213,0.92879,0.82249,0.97418,0.82538
51,5200,0.95308,0.80896,0.87495,0.81306,0.91134,0.82019
52,5300,0.94236,0.80369,0.96296,0.80566,0.94077,0.80515
53,5400,0.95139,0.79709,0.93315,0.79265,0.95668,0.79498
54,5500,0.89653,0.78502,0.95790,0.78506,0.94560,0.78603
55,5600,0.97777,0.77260,0.93324,0.77587,0.97668,0.77640
56,5700,0.94492,0.76674,0.91864,0.76224,0.91316,0.76415
57,5800,0.98973,0.75541,0.98636,0.75400,0.95790,0.75867
58,5900,0.94160,0.74230,0.92264,0.74723,0.90021,0.74707
59,6000,0.94938,0.73493,0.91513,0.73734,0.95009,0.73589
60,6100,0.95434,0.72767,0.95620,0.72576,0.94622,0.72515
61,6200,0.94959,0.71760,0.91926,0.71243,0.91859,0.71604
62,6300,0.96066,0.70798,0.94682,0.70655,0.98120,0.70697
63,6400,0.93633,0.70089,1.02167,0.70201,0.91820,0.69770
64,6500,0.91840,0.68609,0.95108,0.69056,0.98391,0.69104
65,6600,0.92459,0.68079,0.97142,0.68284,0.91795,0.68174
66,6700,0.90864,0.67502,0.97300,0.67745,0.91480,0.67562
67,6800,0.91179,0.66885,1.02020,0.67050,0.97734,0.66784
68,6900,0.95906,0.65867,0.92989,0.65857,0.93254,0.65718
69,7000,0.91096,0.65061,0.90458,0.65046,0.93590,0.65009
70,7100,0.95237,0.64046,0.93895,0.64149,0.95436,0.64241
71,7200,0.91753,0.63264,0.91771,0.63042,0.90839,0.63367
72,7300,0.89784,0.62781,0.89267,0.62673,1.03374,0.62804
73,7400,1.03746,0.61848,0.92866,0.61935,0.90608,0.61809
74,7500,0.93805,0.61154,1.03741,0.61495,0.90036,0.61232
75,7600,0.95732,0.60361,0.93428,0.60634,0.97259,0.60471
76,7700,0.92052,0.59888,0.96434,0.59731,0.88893,0.59770
77,7800,0.99737,0.59097,0.92888,0.59111,0.91875,0.59248
78,7900,0.92043,0.58545,0.97668,0.58219,0.87389,0.58502
79,8000,0.91365,0.57872,0.85919,0.57754,0.96307,0.57637
80,8100,0.92602,0.57085,0.87508,0.56978,0.94528,0.57337
81,8200,0.95484,0.56581,0.94703,0.56722,0.91734,0.56341
82,8300,0.95714,0.55440,0.93286,0.55689,0.89070,0.55859
83,8400,0.91358,0.55282,0.90289,0.54838,0.91237,0.55054
84,8500,0.95460,0.54672,0.92898,0.54719,0.91478,0.54479
85,8600,1.00058,0.53550,0.96162,0.53640,0.90304,0.53548
86,8700,0.94594,0.53211,0.95875,0.53326,0.93570,0.52863
87,8800,0.88159,0.52152,1.02433,0.52755,0.92244,0.52748
88,8900,0.95769,0.51767,0.91124,0.51527,0.94048,0.52003
89,9000,0.93260,0.51228,0.94704,0.51576,0.97952,0.51382
90,9100,1.03689,0.50931,0.93986,0.50652,0.90371,0.50827
91,9200,0.89896,0.49903,0.88137,0.50224,0.95686,0.50138
92,9300,0.94035,0.49694,0.94627,0.49796,0.88191,0.49568
93,9400,0.95669,0.49496,0.89474,0.49151,0.90101,0.49270
94,9500,0.91323,0.48852,0.86496,0.49127,0.86327,0.48523
95,9600,0.92352,0.48243,0.96572,0.48683,0.90825,0.48324
96,9700,0.94982,0.47423,0.91207,0.47796,0.92814,0.47815
97,9800,0.91866,0.47210,0.91487,0.46958,0.90676,0.47229
98,9900,0.94833,0.46706,0.92624,0.46763,0.90640,0.46478
99,10000,0.91441,0.46422,0.89139,0.46230,0.93377,0.46311
100,10100,0.96618,0.45848,0.92036,0.45800,0.91243,0.46107
101,10200,0.90722,0.45433,0.91468,0.45347,0.95132,0.45752
102,10300,0.90079,0.44798,0.90698,0.44865,0.86018,0.44937
103,10400,0.89445,0.44339,0.90863,0.44319,0.85979,0.44336
104,10500,0.89051,0.44128,0.92938,0.44536,0.93926,0.44041
105,10600,0.82023,0.43405,0.92981,0.43644,0.95494,0.43683
106,10700,0.91292,0.42976,1.01691,0.42967,0.93531,0.43060
107,10800,0.90074,0.42985,0.91768,0.43139,0.89976,0.42560
108,10900,0.92500,0.42675,0.90087,0.42246,0.92144,0.42353
109,11000,0.95438,0.42170,0.91489,0.42305,0.88988,0.41813
110,11100,0.91199,0.41614,0.90504,0.41666,0.90143,0.41675
111,11200,0.88458,0.41573,0.90303,0.41047,0.95113,0.41593
112,11300,0.85185,0.40834,0.87891,0.40794,0.89512,0.40809
113,11400,0.87205,0.40696,0.90283,0.40945,0.90441,0.40932
114,11500,0.89326,0.40085,0.92930,0.40096,0.89098,0.40190
115,11600,0.95700,0.39928,0.93387,0.39977,0.88482,0.39975
116,11700,0.91123,0.39711,0.91457,0.39723,0.88339,0.39564
117,11800,0.90694,0.39390,0.85531,0.39295,0.87179,0.39071
118,11900,0.88182,0.38775,0.86943,0.38916,0.89349,0.39006
119,12000,0.84937,0.38448,0.85401,0.38630,0.87616,0.38793
120,12100,0.85029,0.38164,0.89411,0.38512,0.93516,0.38610
121,12200,0.91124,0.37968,0.91974,0.38166,0.92906,0.38071
122,12300,0.92959,0.37939,0.85912,0.37696,0.91849,0.37877
123,12400,0.88832,0.37707,0.93970,0.37623,0.90871,0.37616
124,12500,0.89471,0.37385,0.89710,0.37640,0.93062,0.37738
125,12600,0.85519,0.37227,0.91092,0.36915,0.83331,0.37012
