iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,8.78770,0.59810,2.96373,8.70773,0.59872,2.96381,8.87184,0.59771,2.96352,8.35415,0.59839,2.96391
1,200,2.69506,0.57816,2.96328,2.74028,0.57721,2.96315,2.72844,0.57749,2.96342,2.49926,0.57786,2.96275
2,300,1.09712,0.55101,2.96293,1.39439,0.55058,2.96234,1.33608,0.55011,2.96296,1.27383,0.55024,2.96220
3,400,0.95955,0.52612,2.96066,0.99231,0.52557,2.96082,1.12691,0.52530,2.96071,1.01148,0.52461,2.95971
4,500,1.08687,0.49984,2.95950,1.17458,0.50159,2.95945,0.82624,0.49992,2.95922,1.17939,0.49959,2.95855
5,600,0.85117,0.47844,2.95675,1.04655,0.47772,2.95763,0.92929,0.47681,2.95780,0.91380,0.47643,2.95805
6,700,0.90360,0.45491,2.95654,1.17794,0.45564,2.95592,1.11906,0.45482,2.95625,1.00688,0.45555,2.95634
7,800,1.03695,0.43479,2.95403,1.12099,0.43426,2.95466,0.77455,0.43345,2.95450,1.05841,0.43294,2.95458
8,900,0.97329,0.41607,2.95238,1.08938,0.41494,2.95277,0.94255,0.41487,2.95334,1.00879,0.41461,2.95297
9,1000,0.96849,0.39716,2.95146,1.00662,0.39712,2.95180,1.15779,0.39651,2.95183,0.95527,0.39628,2.95116
10,1100,1.04386,0.38024,2.94967,0.86388,0.37932,2.94988,0.95926,0.37923,2.94933,1.05648,0.37934,2.94901
11,1200,1.00096,0.36376,2.94815,0.88727,0.36365,2.94837,1.04799,0.36386,2.94759,0.89276,0.36286,2.94810
12,1300,1.02141,0.34821,2.94628,0.98021,0.34723,2.94593,1.07413,0.34822,2.94555,0.97865,0.34825,2.94536
13,1400,0.99615,0.33215,2.94374,1.16131,0.33228,2.94403,1.09153,0.33277,2.94394,0.90923,0.33261,2.94355
14,1500,0.92938,0.31757,2.94146,1.00869,0.31715,2.94241,0.85672,0.31676,2.94142,0.94848,0.31721,2.94142
15,1600,0.96406,0.30275,2.93955,0.98661,0.30371,2.94024,0.86033,0.30293,2.94021,0.98146,0.30337,2.93998
16,1700,0.87624,0.29072,2.93850,1.07155,0.29022,2.93802,0.73328,0.29070,2.93728,1.03577,0.29026,2.93852
17,1800,1.07233,0.27764,2.93501,1.12784,0.27756,2.93545,1.14913,0.27743,2.93542,0.98740,0.27769,2.93612
18,1900,0.83589,0.26609,2.93389,1.10940,0.26550,2.93424,0.91264,0.26564,2.93555,1.02608,0.26532,2.93361
19,2000,0.99128,0.25471,2.93144,0.93561,0.25458,2.93179,1.06799,0.25452,2.93163,1.00273,0.25423,2.93194
20,2100,1.04290,0.24304,2.93003,1.01713,0.24347,2.92980,0.87158,0.24310,2.93023,1.00845,0.24334,2.92988
21,2200,1.01043,0.23284,2.92933,1.05100,0.23313,2.92847,0.89717,0.23254,2.92755,0.83381,0.23280,2.92808
22,2300,1.03163,0.22239,2.92524,1.04006,0.22240,2.92628,1.12833,0.22233,2.92561,0.95849,0.22223,2.92613
23,2400,0.99278,0.21287,2.92342,0.84747,0.21317,2.92323,0.97646,0.21300,2.92327,0.91868,0.21265,2.92350
24,2500,0.90770,0.20435,2.92099,0.90365,0.20464,2.92117,1.08629,0.20425,2.92002,0.95954,0.20371,2.92138
25,2600,0.88611,0.19463,2.91838,1.02703,0.19499,2.91834,0.88196,0.19540,2.91937,1.02073,0.19492,2.91822
26,2700,0.98777,0.18689,2.91656,0.94541,0.18675,2.91614,1.17153,0.18683,2.91512,0.97752,0.18647,2.91565
27,2800,1.12384,0.17875,2.91239,1.16212,0.17920,2.91276,0.85408,0.17898,2.91278,0.98201,0.17864,2.91209
28,2900,1.08913,0.17141,2.90971,0.89257,0.17183,2.91053,1.13968,0.17198,2.90959,1.08683,0.17157,2.91008
29,3000,1.04262,0.16504,2.90680,0.92474,0.16521,2.90755,0.94298,0.16470,2.90746,0.96915,0.16460,2.90574
30,3100,1.04557,0.15841,2.90310,1.13232,0.15838,2.90443,0.90910,0.15837,2.90388,0.81286,0.15791,2.90221
31,3200,0.96872,0.15276,2.90091,1.06091,0.15279,2.89960,0.95277,0.15195,2.90078,0.97561,0.15216,2.90084
32,3300,1.04529,0.14672,2.89735,1.15539,0.14700,2.89712,1.18088,0.14661,2.89674,0.94606,0.14639,2.89694
