iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss,4_iql_loss
0,100,1.00867,0.95872,0.96397,0.89760
1,200,0.97251,1.00136,1.00536,0.87417
2,300,0.93963,0.89743,1.01781,0.76740
3,400,0.91789,0.88727,1.05407,0.77156
4,500,0.91557,1.01710,0.93038,0.71424
5,600,0.98797,0.97366,0.91939,0.76830
6,700,0.95846,0.97072,0.92933,0.76018
7,800,1.03161,0.92514,0.94882,0.74549
8,900,1.01549,1.02165,1.02818,0.69262
9,1000,1.00948,0.94760,0.96071,0.73936
10,1100,0.92725,0.96874,1.02971,0.77798
11,1200,0.99562,0.93034,0.99769,0.75597
12,1300,0.86182,0.99088,1.03019,0.78997
13,1400,1.01783,1.01393,1.01067,0.72798
14,1500,0.85179,0.92635,1.03027,0.77159
15,1600,0.98482,0.95336,1.02355,0.79568
16,1700,1.00621,0.95172,1.03917,0.75756
17,1800,0.91113,0.96487,1.01186,0.86047
18,1900,0.98259,0.92244,1.02793,0.71548
19,2000,0.95139,0.89754,0.92212,0.81148
20,2100,0.92730,1.01308,0.93830,0.80642
21,2200,0.97008,0.91294,1.03783,0.83999
22,2300,1.02230,0.94039,0.96302,0.81856
23,2400,0.92078,0.95611,0.95704,0.87157
24,2500,1.02593,0.89047,0.99825,0.90210
25,2600,1.03487,1.07289,0.94461,0.87680
26,2700,0.94788,0.90663,0.90122,0.85581
27,2800,0.94484,0.95861,1.08725,0.92194
28,2900,0.96279,0.95901,0.90021,0.80966
29,3000,1.01270,0.93712,0.89988,0.86835
30,3100,0.98064,0.97405,1.04322,0.94096
31,3200,1.00184,0.97492,1.01503,0.83297
32,3300,1.07585,0.99514,0.98562,0.87136
33,3400,1.00459,0.97075,1.01563,0.96237
34,3500,0.98751,0.96923,0.96629,0.95394
35,3600,1.08592,0.97901,0.98876,0.84125
36,3700,0.98836,1.05349,0.98466,0.90954
37,3800,0.96696,0.92242,0.91908,0.92589
38,3900,1.02831,0.93752,0.99297,0.90434
39,4000,0.94930,1.01071,1.01697,0.84911
40,4100,0.99187,0.94157,0.91823,0.91314
41,4200,1.02319,0.95228,0.96356,0.92315
42,4300,1.00431,0.95789,0.94521,0.85860
43,4400,0.97763,0.94153,1.03370,0.89034
44,4500,0.93516,1.00234,0.97744,0.91674
45,4600,1.02458,0.92225,0.98258,0.94269
46,4700,1.08229,1.06121,1.05468,0.92342
47,4800,0.93484,0.92201,0.95218,0.95921
48,4900,0.97131,0.92263,0.96640,0.92531
49,5000,0.96002,1.02183,0.99379,0.89005
50,5100,0.97481,1.00579,0.99552,0.88806
51,5200,0.93192,1.02288,1.07355,0.93311
52,5300,0.97560,0.98738,0.96641,0.98610
53,5400,0.96488,0.95330,0.98337,0.91909
54,5500,1.00745,0.99767,1.02356,0.91793
55,5600,1.06951,0.96794,1.01604,0.94543
56,5700,0.94475,0.96309,0.97161,0.94459
57,5800,1.02531,1.01146,1.01281,0.91271
58,5900,0.93410,0.92201,1.00003,0.93876
59,6000,1.00842,1.01877,1.01655,0.89386
60,6100,0.99280,0.98366,0.98479,1.00438
61,6200,1.01909,0.97449,0.97407,1.00210
62,6300,1.01206,1.01677,1.09008,0.97514
63,6400,1.03661,0.96678,0.97432,0.92408
64,6500,0.96634,0.93774,0.96116,1.00160
65,6600,0.98460,1.01120,0.96895,0.95076
66,6700,1.01513,0.96986,0.99659,0.95739
67,6800,0.98027,0.97468,0.90682,0.98022
68,6900,0.99768,0.92268,0.95841,0.93625
69,7000,0.99404,1.00622,0.92634,0.92322
70,7100,0.99563,0.91867,1.03710,0.94739
