number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.95295],[0.00000 0.00000 0.00000 0.47518],0.9988953697090716
100,[0.00000 0.00000 0.00000 -0.14103],[0.00000 0.00000 0.00000 0.07955],0.9797606658876263
200,[0.00000 0.00000 0.00000 -4.95397],[0.00000 0.00000 0.00000 4.34444],0.9609925038496699
300,[0.16000 0.16000 0.16000 -4.50642],[0.10240 0.10240 0.10240 6.46754],0.9425838621706605
400,[0.00000 0.00000 0.00000 -2.78313],[0.00000 0.00000 0.00000 6.83054],0.9245278539275122
500,[0.00000 0.00000 0.00000 -1.77707],[0.00000 0.00000 0.00000 0.43241],0.9068177241220878
600,[0.32000 0.32000 0.32000 -4.06914],[0.15360 0.15360 0.15360 3.16800],0.889446847154093
700,[0.00000 0.00000 0.00000 -5.24773],[0.00000 0.00000 0.00000 2.87458],0.8724087243423219
800,[0.16000 0.16000 0.16000 -3.34954],[0.10240 0.10240 0.10240 1.08751],0.8556969814934174
900,[0.08000 0.08000 0.08000 -2.85209],[0.02560 0.02560 0.02560 0.90660],0.8393053665172148
1000,[0.00000 0.00000 0.00000 -2.25788],[0.00000 0.00000 0.00000 0.50857],0.8232277470877281
1100,[0.00000 0.00000 0.00000 -5.27392],[0.00000 0.00000 0.00000 2.86258],0.8074581083489812
1200,[0.00000 0.00000 0.00000 -3.39113],[0.00000 0.00000 0.00000 2.51177],0.7919905506647517
1300,[0.00000 0.00000 0.00000 -4.11639],[0.00000 0.00000 0.00000 2.93905],0.7768192874114557
1400,[0.00000 0.00000 0.00000 -6.35382],[0.00000 0.00000 0.00000 1.37584],0.7619386428132808
1500,[0.24000 0.24000 0.24000 -4.45093],[0.10240 0.10240 0.10240 4.68469],0.7473430498187978
1600,[0.24000 0.24000 0.24000 -5.99528],[0.23040 0.23040 0.23040 0.31601],0.7330270480182665
1700,[0.00000 0.00000 0.00000 -3.36406],[0.00000 0.00000 0.00000 0.59560],0.7189852816008054
1800,[0.24000 0.24000 0.24000 -3.99433],[0.23040 0.23040 0.23040 6.93053],0.705212497350724
1900,[0.00000 0.00000 0.00000 -4.69486],[0.00000 0.00000 0.00000 4.54557],0.6917035426822101
2000,[0.16000 0.16000 0.16000 -5.38086],[0.10240 0.10240 0.10240 2.07775],0.6784533637116886
2100,[0.16000 0.16000 0.16000 -3.79467],[0.10240 0.10240 0.10240 0.42476],0.6654570033670938
2200,[0.00000 0.00000 0.00000 -3.93748],[0.00000 0.00000 0.00000 3.89214],0.6527095995333525
2300,[0.32000 0.32000 0.32000 -4.61848],[0.15360 0.15360 0.15360 7.06001],0.6402063832334086
2400,[0.16000 0.16000 0.16000 -5.69964],[0.10240 0.10240 0.10240 3.39709],0.6279426768440843
2500,[0.08000 0.08000 0.08000 -3.34355],[0.02560 0.02560 0.02560 3.49736],0.6159138923461105
2600,[0.08000 0.08000 0.08000 -3.97891],[0.02560 0.02560 0.02560 5.59534],0.6041155296076918
2700,[0.16000 0.16000 0.16000 -4.46312],[0.10240 0.10240 0.10240 3.32890],0.5925431747009424
2800,[0.00000 0.00000 0.00000 -4.54911],[0.00000 0.00000 0.00000 5.43829],0.5811924982505915
2900,[0.16000 0.16000 0.16000 -3.84257],[0.10240 0.10240 0.10240 4.33085],0.5700592538142826
3000,[0.00000 0.00000 0.00000 -3.98228],[0.00000 0.00000 0.00000 3.77465],0.5591392762939287
3100,[0.00000 0.00000 0.00000 -5.38950],[0.00000 0.00000 0.00000 1.36145],0.5484284803774964
3200,[0.00000 0.00000 0.00000 -6.47687],[0.00000 0.00000 0.00000 0.91837],0.5379228590106419
3300,[0.16000 0.16000 0.16000 -5.35796],[0.10240 0.10240 0.10240 1.54302],0.5276184818975981
3400,[0.24000 0.24000 0.24000 -4.67706],[0.10240 0.10240 0.10240 2.20908],0.5175114940308205
3500,[0.00000 0.00000 0.00000 -5.47279],[0.00000 0.00000 0.00000 3.00231],0.5075981142487541
3600,[0.24000 0.24000 0.24000 -5.42952],[0.10240 0.10240 0.10240 2.24741],0.4978746338212661
3700,[0.08000 0.08000 0.08000 -5.91807],[0.02560 0.02560 0.02560 7.55753],0.48833741506215295
3800,[0.00000 0.00000 0.00000 -7.50188],[0.00000 0.00000 0.00000 1.18265],0.47898288996823385
3900,[0.24000 0.24000 0.24000 -6.51246],[0.10240 0.10240 0.10240 2.16033],0.46980755888450715
4000,[0.88000 0.88000 0.88000 -6.27987],[1.94560 1.94560 1.94560 4.93175],0.4608079891948918
4100,[0.00000 0.00000 0.00000 -7.35557],[0.00000 0.00000 0.00000 0.38777],0.45198081403803075
4200,[0.00000 0.00000 0.00000 -3.44171],[0.00000 0.00000 0.00000 3.06342],0.4433227310477052
4300,[0.16000 0.16000 0.16000 -4.72407],[0.03840 0.03840 0.03840 7.64432],0.43483050111737453
4400,[0.00000 0.00000 0.00000 -4.63537],[0.00000 0.00000 0.00000 7.61430],0.42650094718838294
4500,[0.00000 0.00000 0.00000 -3.72019],[0.00000 0.00000 0.00000 9.35878],0.4183309530613763
4600,[0.08000 0.08000 0.08000 -6.22485],[0.02560 0.02560 0.02560 0.42784],0.41031746223049576
4700,[0.40000 0.40000 0.40000 -4.67591],[0.38400 0.38400 0.38400 3.52267],0.4024574767398885
4800,[0.16000 0.16000 0.16000 -6.27489],[0.10240 0.10240 0.10240 1.57449],0.39474805606213775
4900,[0.00000 0.00000 0.00000 -1.67035],[0.00000 0.00000 0.00000 0.81076],0.3871863159981707
5000,[0.00000 0.00000 0.00000 -5.24801],[0.00000 0.00000 0.00000 0.52942],0.37976942759823823
5100,[0.08000 0.08000 0.08000 -4.65150],[0.02560 0.02560 0.02560 1.15722],0.37249461610356654
5200,[0.32000 0.32000 0.32000 -3.86840],[0.15360 0.15360 0.15360 6.43995],0.36535915990828843
5300,[0.48000 0.48000 0.48000 -2.27851],[0.60160 0.60160 0.60160 4.96886],0.3583603895412437
5400,[0.40000 0.40000 0.40000 -4.54856],[0.12800 0.12800 0.12800 3.21182],0.35149568666730197
5500,[0.00000 0.00000 0.00000 -3.21993],[0.00000 0.00000 0.00000 7.48768],0.34476248310780105
5600,[0.00000 0.00000 0.00000 -3.70911],[0.00000 0.00000 0.00000 8.41247],0.33815825987976045
5700,[0.00000 0.00000 0.00000 -0.31287],[0.00000 0.00000 0.00000 0.31138],0.33168054625349885
5800,[0.40000 0.40000 0.40000 -4.62738],[0.25600 0.25600 0.25600 5.98272],0.32532691882829134
