iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
0,100,70.17202,1.70436,71.46246,1.72351,76.56352,1.77785,57.85961,1.56896
1,200,39.45587,1.71061,39.88609,1.72532,42.02616,1.75347,28.95897,1.59201
2,300,6.54658,1.69879,6.13554,1.71583,7.16742,1.72434,5.45256,1.58503
3,400,3.25178,1.70553,3.39708,1.73161,3.64810,1.71186,3.17144,1.58619
4,500,2.19048,1.70325,2.39372,1.72539,2.10269,1.68469,2.22410,1.58630
5,600,1.84941,1.69681,1.84956,1.71869,1.54711,1.68333,1.48896,1.59638
6,700,1.50537,1.70114,1.59992,1.71318,1.56146,1.67738,1.39561,1.60221
7,800,1.44685,1.70537,1.46405,1.70582,1.24751,1.67001,1.29518,1.60092
8,900,1.18840,1.69884,1.50520,1.70008,1.17217,1.66565,1.19784,1.59672
9,1000,1.03978,1.69773,1.28014,1.68759,1.36576,1.65767,1.17424,1.58129
10,1100,1.23729,1.68910,1.19337,1.68843,1.15142,1.65207,1.15534,1.56681
11,1200,1.21375,1.68019,1.14022,1.68248,1.22048,1.65657,0.97788,1.56159
12,1300,1.13023,1.67470,1.10833,1.67571,1.08082,1.65059,1.10003,1.57029
13,1400,1.20619,1.65891,1.34125,1.66913,1.10769,1.65248,1.01847,1.56606
14,1500,0.94976,1.65343,1.34118,1.66334,1.17422,1.63924,1.12310,1.56457
15,1600,1.15007,1.64583,1.30033,1.65347,1.00425,1.63475,1.10154,1.55897
16,1700,1.22786,1.65194,1.11929,1.64802,0.96901,1.63595,1.08243,1.55413
17,1800,1.13352,1.64439,1.15659,1.64587,1.33507,1.63163,1.01748,1.54736
18,1900,1.14112,1.64400,1.37363,1.65115,1.35785,1.63528,1.10038,1.54643
19,2000,1.28002,1.64188,1.10469,1.65275,1.17373,1.62541,1.08012,1.55744
20,2100,1.04058,1.64576,1.11073,1.65193,0.85698,1.63092,0.99058,1.55291
21,2200,1.11911,1.64952,1.04010,1.65050,1.13932,1.63139,0.97115,1.54950
22,2300,0.91193,1.64575,1.25675,1.65340,1.04749,1.63013,1.02772,1.54296
23,2400,1.06978,1.64451,0.98949,1.65085,1.03649,1.63257,0.98515,1.55200
24,2500,1.00132,1.64135,1.10852,1.65439,1.02952,1.63631,1.05165,1.55242
25,2600,0.99203,1.64623,1.17492,1.65528,0.85978,1.63506,1.17705,1.54504
26,2700,1.31039,1.64336,1.18515,1.65628,1.10995,1.63698,1.01233,1.54974
27,2800,1.01516,1.64364,1.10934,1.65435,0.91982,1.64169,1.04916,1.55752
28,2900,1.14722,1.64401,1.01964,1.65271,1.05037,1.64328,1.05966,1.56070
29,3000,1.28444,1.64260,1.13356,1.65503,1.14508,1.63990,1.14046,1.56479
30,3100,1.05313,1.64278,1.23097,1.65817,1.05864,1.63411,1.04959,1.56588
31,3200,1.30736,1.65054,0.90496,1.66334,1.05533,1.63529,1.06869,1.56289
32,3300,0.95162,1.64511,1.45454,1.66317,1.31129,1.64246,1.05996,1.57387
33,3400,1.13889,1.64169,1.12416,1.65660,0.97561,1.63686,0.92037,1.57145
34,3500,1.00346,1.64937,0.96045,1.66074,1.24904,1.64355,1.02008,1.57416
35,3600,1.13332,1.64597,1.26437,1.65750,1.04695,1.64544,0.98225,1.58179
36,3700,0.96632,1.64607,0.96460,1.66515,1.24895,1.64264,0.98903,1.58062
37,3800,1.01837,1.63749,1.35753,1.66743,1.28091,1.64433,0.99919,1.57682
38,3900,1.05947,1.64053,0.89549,1.66164,1.15529,1.64521,1.00364,1.58625
39,4000,1.17386,1.64611,0.86481,1.66146,1.32168,1.64957,1.00025,1.58317
40,4100,1.21751,1.64137,0.99852,1.65391,0.95299,1.65252,1.00949,1.59004
41,4200,1.14810,1.64076,1.04028,1.66613,1.13795,1.65114,1.10100,1.59742
42,4300,0.90680,1.64094,1.15513,1.65908,1.12106,1.65209,1.07579,1.60510
43,4400,1.04856,1.64764,1.14972,1.65743,1.00739,1.65487,0.94066,1.59301
44,4500,1.54991,1.63805,1.03833,1.66237,1.01099,1.65317,0.95958,1.59066
45,4600,0.96094,1.64076,1.14833,1.66413,1.30041,1.65540,1.23591,1.60308
46,4700,1.17112,1.63898,0.92868,1.65381,1.23423,1.64438,1.05308,1.59504
47,4800,1.28615,1.63867,1.00548,1.65952,0.99724,1.64850,1.00373,1.59818
48,4900,1.15576,1.64054,1.03207,1.65398,0.93298,1.65492,0.96544,1.59967
49,5000,1.06222,1.63843,1.20247,1.65972,1.09747,1.65422,0.96411,1.59896
50,5100,1.06229,1.64434,1.00852,1.65213,1.33036,1.65590,0.97235,1.59339
51,5200,0.94624,1.63322,0.92456,1.65620,1.06712,1.64917,0.96234,1.61059
52,5300,0.98524,1.63205,0.96236,1.65035,0.96251,1.64330,1.10743,1.60019
53,5400,1.12530,1.62608,1.21686,1.65020,1.18666,1.64311,0.91391,1.59029
54,5500,0.80289,1.62293,1.14989,1.64393,1.10770,1.63629,1.09253,1.60308
55,5600,1.01549,1.62249,1.00523,1.64923,1.03273,1.62809,0.98808,1.60953
56,5700,0.94926,1.62096,1.11248,1.64522,1.10956,1.63622,1.07778,1.59822
57,5800,0.81800,1.61395,1.29140,1.64238,0.98733,1.63267,0.97238,1.60120
58,5900,1.01035,1.61522,0.92614,1.64124,0.95997,1.63354,1.10651,1.60113
59,6000,1.11519,1.61582,1.31727,1.63496,1.03476,1.63338,0.98887,1.58927
60,6100,1.08810,1.61529,0.96666,1.63780,1.02886,1.61659,0.97537,1.58408
61,6200,0.89293,1.61156,0.96455,1.63063,1.30085,1.61726,0.90609,1.58718
62,6300,0.95168,1.60215,1.09204,1.61720,1.07858,1.61586,0.86774,1.57885
63,6400,1.21011,1.60292,1.04098,1.62019,0.92171,1.62044,0.96870,1.57635
64,6500,1.17442,1.60343,1.17628,1.62140,1.25472,1.61043,0.98104,1.57436
65,6600,1.18083,1.59723,1.15947,1.61731,1.49932,1.61122,0.88545,1.56930
66,6700,1.17049,1.58819,1.28700,1.61403,1.00774,1.59931,0.96871,1.57053
67,6800,0.84230,1.59366,1.13086,1.61308,1.02482,1.59544,1.02574,1.56907
68,6900,1.05890,1.58935,0.90751,1.59154,1.01901,1.59790,0.98316,1.56015
69,7000,1.11394,1.58025,1.18094,1.59637,1.16740,1.59427,0.92268,1.53940
70,7100,0.85405,1.57800,1.23855,1.60121,1.04987,1.58709,1.01081,1.54451
71,7200,0.89668,1.57471,1.10273,1.59533,1.03403,1.58273,0.96762,1.53715
72,7300,1.03133,1.56936,1.24705,1.58884,1.19781,1.57436,0.94335,1.52569
73,7400,0.82329,1.56135,0.91125,1.58070,1.10191,1.56500,0.99927,1.52312
74,7500,0.82731,1.55538,0.91765,1.57351,1.23893,1.56850,1.07162,1.52097
75,7600,0.94369,1.55425,1.35566,1.57637,0.73646,1.55691,0.91581,1.50711
76,7700,0.93283,1.54834,0.92295,1.56822,0.95411,1.56358,0.94713,1.49744
77,7800,1.15467,1.54515,0.91053,1.56098,1.09104,1.55179,1.06990,1.50081
78,7900,0.90809,1.53688,0.79712,1.55438,1.16945,1.54777,0.85000,1.48605
79,8000,1.31038,1.52890,1.18934,1.55649,1.08492,1.54466,1.02718,1.47615
80,8100,1.59965,1.51661,1.06367,1.54175,1.07789,1.53539,1.15079,1.46274
81,8200,1.07133,1.51278,0.98799,1.53668,0.86962,1.53086,0.95186,1.47090
82,8300,1.25895,1.50549,1.12956,1.54324,1.21507,1.52414,0.94212,1.46391
83,8400,1.15212,1.50002,1.32241,1.53164,1.05411,1.51745,0.85238,1.44755
84,8500,1.06846,1.49721,1.20142,1.52495,1.06830,1.50954,1.11751,1.44490
85,8600,1.06694,1.48919,1.30794,1.51990,0.77797,1.51092,0.96288,1.43076
86,8700,1.41012,1.48947,1.02656,1.50959,1.49069,1.49606,0.95356,1.41690
87,8800,1.02805,1.48442,0.81405,1.50492,1.24663,1.49617,0.91418,1.42208
88,8900,0.91402,1.48372,0.91422,1.49381,0.74777,1.48685,0.93294,1.40515
89,9000,1.10960,1.47100,1.41715,1.49062,1.63630,1.47876,1.00657,1.39785
90,9100,1.01389,1.47251,1.01502,1.48855,0.98263,1.47272,1.12113,1.39883
91,9200,1.21919,1.46457,0.94182,1.48049,0.81656,1.47370,0.82920,1.38973
92,9300,0.93103,1.45551,1.13290,1.47386,1.03606,1.46174,0.90327,1.37524
93,9400,1.03110,1.45286,1.33859,1.46050,0.93482,1.45468,0.82050,1.36621
94,9500,1.10689,1.44050,1.32000,1.45525,0.83407,1.44564,0.94998,1.35583
95,9600,0.90328,1.43821,0.92079,1.45386,0.82749,1.44797,0.88808,1.35899
96,9700,0.93860,1.42749,1.02273,1.44435,1.03779,1.43729,1.06573,1.34344
97,9800,0.91439,1.42443,0.78477,1.43505,1.11232,1.43996,0.91773,1.34611
98,9900,1.01557,1.41854,0.84114,1.42621,1.23362,1.42860,0.96681,1.33015
99,10000,1.50922,1.40699,1.06994,1.42428,1.20834,1.42033,0.97955,1.32355
100,10100,1.03455,1.39958,1.25444,1.42034,0.98235,1.41597,0.87038,1.30643
101,10200,1.16276,1.39173,1.20172,1.40847,0.92349,1.40860,0.90520,1.30357
102,10300,1.57216,1.39071,0.92459,1.40696,1.04575,1.40541,0.87294,1.29764
103,10400,1.05116,1.37575,0.77534,1.40055,1.23618,1.39299,0.92464,1.29259
104,10500,1.09823,1.37521,1.15193,1.39364,1.49065,1.39099,0.89269,1.28478
105,10600,1.24385,1.37065,1.11830,1.38755,1.42694,1.39183,1.10376,1.28061
106,10700,1.05933,1.36746,1.82539,1.38143,1.25984,1.38090,0.95409,1.26344
107,10800,1.27427,1.35600,1.10462,1.37362,1.32867,1.37955,0.97820,1.25831
108,10900,1.10777,1.35140,1.10855,1.37313,1.11051,1.36509,0.91909,1.25650
109,11000,1.01049,1.34156,1.19731,1.35872,1.37084,1.36084,0.97791,1.25038
110,11100,0.95492,1.33920,1.11221,1.35658,0.94230,1.35812,0.93719,1.23876
111,11200,1.15131,1.32947,0.91746,1.35088,1.44211,1.35528,1.23571,1.23643
112,11300,1.71987,1.32877,1.09876,1.34773,1.24723,1.34418,0.92025,1.22947
113,11400,1.02744,1.32575,0.82779,1.33494,1.25418,1.34306,0.92680,1.22424
114,11500,1.11839,1.31462,1.39890,1.33585,1.79430,1.33869,0.95582,1.20554
115,11600,0.82788,1.31151,0.80723,1.32538,1.26097,1.32782,0.97039,1.20632
116,11700,0.80902,1.30656,1.08133,1.32334,1.68391,1.32261,0.85208,1.19595
117,11800,1.41986,1.29710,0.91472,1.31543,0.95901,1.32098,0.87164,1.18863
118,11900,1.14683,1.29334,0.86495,1.31365,0.99346,1.30492,1.16627,1.18333
119,12000,1.37320,1.28710,1.03385,1.30793,0.88055,1.30036,0.97849,1.17773
120,12100,0.99050,1.28601,1.10930,1.30010,1.48141,1.29752,0.97896,1.16541
121,12200,1.23772,1.27769,1.13381,1.28554,0.77923,1.29314,0.86257,1.16664
122,12300,1.35649,1.27425,0.78824,1.28541,0.90572,1.28787,1.41489,1.15828
123,12400,1.17414,1.27055,1.31600,1.27896,0.83147,1.28218,1.04801,1.14374
124,12500,0.94193,1.26063,1.05712,1.27743,1.20853,1.27392,0.99607,1.13643
125,12600,1.38440,1.25709,0.88424,1.26404,1.11733,1.27117,0.88774,1.13795
126,12700,1.06152,1.25261,1.16069,1.25639,1.49600,1.26092,1.08282,1.12942
127,12800,0.98964,1.25149,0.74124,1.25897,1.20388,1.25549,1.19576,1.12712
128,12900,1.53157,1.24064,0.99394,1.24705,1.09509,1.25508,1.12772,1.11953
129,13000,1.47082,1.22871,1.23955,1.25111,1.23448,1.24956,0.87314,1.10864
130,13100,1.00729,1.22911,0.93094,1.24095,1.51733,1.24091,1.18376,1.11162
131,13200,0.77743,1.22639,1.04912,1.23732,1.99171,1.23523,0.93818,1.10150
132,13300,1.21878,1.21758,1.11485,1.22949,0.98788,1.23246,1.00403,1.09333
133,13400,1.08233,1.21025,1.21479,1.22045,0.92075,1.23468,0.92562,1.09545
134,13500,1.02438,1.21047,1.35216,1.21354,1.57449,1.21665,0.93561,1.09537
135,13600,1.14179,1.19306,1.13604,1.21168,1.02514,1.21496,1.08655,1.07619
136,13700,0.92150,1.19278,0.82570,1.20470,1.04311,1.21068,1.15169,1.07168
137,13800,0.91795,1.19506,0.85537,1.20035,1.20946,1.20056,0.91524,1.07214
138,13900,1.42973,1.18540,1.45377,1.19673,0.92175,1.19790,0.98322,1.06200
139,14000,1.24118,1.18146,0.87363,1.18895,1.21052,1.19261,0.86861,1.05532
140,14100,1.30814,1.17119,0.97048,1.18552,1.08249,1.18864,0.91059,1.05246
141,14200,1.25571,1.17460,1.30071,1.18100,1.01305,1.18047,1.00290,1.03899
142,14300,1.60810,1.16818,1.37930,1.17041,0.83810,1.17551,0.92741,1.03910
143,14400,1.34404,1.15637,0.96671,1.17257,1.04450,1.17597,0.88699,1.03545
144,14500,0.86829,1.15078,1.12686,1.16033,1.08751,1.16463,1.02776,1.02896
145,14600,0.89217,1.14911,0.84103,1.15683,0.85610,1.15971,1.11500,1.02242
146,14700,0.97127,1.14869,0.95930,1.15872,1.36536,1.15663,1.30860,1.01940
147,14800,1.39954,1.14436,1.34819,1.15274,1.64347,1.14429,0.98505,1.01677
148,14900,0.84648,1.13699,1.28960,1.14365,1.50661,1.14128,0.96446,1.00487
149,15000,1.10581,1.13352,0.87534,1.13688,1.09824,1.13287,1.09067,1.00851
150,15100,0.93928,1.12236,0.87376,1.13599,0.90908,1.12668,1.09574,1.00270
151,15200,0.84005,1.11808,1.22050,1.12613,1.08595,1.12256,1.04164,0.99092
152,15300,1.66242,1.11222,0.98197,1.12781,0.97703,1.11628,0.94336,0.98553
153,15400,1.53154,1.10940,1.28773,1.11939,0.86404,1.11260,0.99188,0.98099
154,15500,1.57511,1.10273,1.07905,1.11151,0.87931,1.11143,0.86122,0.97121
155,15600,1.14633,1.09837,1.11750,1.10902,1.21841,1.10141,0.89875,0.97484
156,15700,1.69704,1.09494,1.07917,1.10540,1.29299,1.10718,1.11222,0.97056
157,15800,0.92181,1.08530,1.16289,1.09319,0.87906,1.09350,1.04930,0.96240
158,15900,0.80792,1.07886,0.87164,1.09486,1.28864,1.09000,0.97319,0.95916
159,16000,1.03352,1.08440,1.30941,1.08678,1.40483,1.08410,0.93974,0.95662
160,16100,1.32780,1.07977,1.20785,1.08149,0.87852,1.07964,1.03201,0.95095
161,16200,1.09187,1.06873,1.11403,1.07727,1.06731,1.07770,0.88524,0.94472
162,16300,1.18933,1.06777,0.90185,1.07084,1.22203,1.07058,1.00335,0.94002
163,16400,1.02603,1.06205,1.05207,1.06949,1.05602,1.06285,0.92041,0.93817
164,16500,1.01506,1.05498,0.99873,1.06297,1.43782,1.05548,1.18404,0.93345
165,16600,1.14035,1.05128,1.18402,1.06123,0.87046,1.05033,0.90292,0.92710
166,16700,0.94798,1.04860,1.27559,1.05096,1.02744,1.04738,1.00595,0.92105
167,16800,1.05523,1.04212,1.31091,1.04664,0.98379,1.04497,1.02701,0.92012
168,16900,1.12784,1.03906,0.99771,1.04186,1.02196,1.04051,0.90158,0.91577
