number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.95295],[0.00000 0.00000 0.00000 0.47518],0.9988953697090716
100,[0.08000 0.08000 0.08000 -4.12690],[0.02560 0.02560 0.02560 6.57211],0.9797606658876263
200,[0.00000 0.00000 0.00000 -3.64615],[0.00000 0.00000 0.00000 8.30931],0.9609925038496699
300,[0.00000 0.00000 0.00000 -1.69386],[0.00000 0.00000 0.00000 6.99739],0.9425838621706605
400,[0.24000 0.24000 0.24000 -0.25743],[0.10240 0.10240 0.10240 0.09525],0.9245278539275122
500,[0.00000 0.00000 0.00000 -0.75379],[0.00000 0.00000 0.00000 0.92133],0.9068177241220878
600,[0.00000 0.00000 0.00000 -1.48858],[0.00000 0.00000 0.00000 8.07104],0.889446847154093
700,[0.08000 0.08000 0.08000 -2.04553],[0.02560 0.02560 0.02560 5.00833],0.8724087243423219
800,[0.40000 0.40000 0.40000 -2.71723],[0.12800 0.12800 0.12800 8.14908],0.8556969814934174
900,[0.16000 0.16000 0.16000 -3.18700],[0.10240 0.10240 0.10240 4.00033],0.8393053665172148
1000,[0.00000 0.00000 0.00000 -2.47225],[0.00000 0.00000 0.00000 0.41869],0.8232277470877281
1100,[0.64000 0.64000 0.64000 -1.53630],[0.87040 0.87040 0.87040 0.53585],0.8074581083489812
1200,[0.24000 0.24000 0.24000 -2.43188],[0.10240 0.10240 0.10240 4.36059],0.7919905506647517
1300,[0.00000 0.00000 0.00000 -1.63084],[0.00000 0.00000 0.00000 6.67064],0.7768192874114557
1400,[0.08000 0.08000 0.08000 -3.23767],[0.02560 0.02560 0.02560 8.32346],0.7619386428132808
1500,[0.40000 0.40000 0.40000 -1.02240],[0.38400 0.38400 0.38400 0.51124],0.7473430498187978
1600,[0.24000 0.24000 0.24000 -3.23709],[0.23040 0.23040 0.23040 5.74167],0.7330270480182665
1700,[0.00000 0.00000 0.00000 -0.48740],[0.00000 0.00000 0.00000 0.31406],0.7189852816008054
1800,[0.16000 0.16000 0.16000 -0.77234],[0.10240 0.10240 0.10240 0.88098],0.705212497350724
1900,[0.40000 0.40000 0.40000 -1.77938],[0.25600 0.25600 0.25600 1.92584],0.6917035426822101
2000,[0.00000 0.00000 0.00000 -1.70369],[0.00000 0.00000 0.00000 1.30197],0.6784533637116886
2100,[0.00000 0.00000 0.00000 -0.51027],[0.00000 0.00000 0.00000 0.26315],0.6654570033670938
2200,[0.00000 0.00000 0.00000 -2.08202],[0.00000 0.00000 0.00000 6.67265],0.6527095995333525
2300,[0.08000 0.08000 0.08000 -2.99267],[0.02560 0.02560 0.02560 12.23264],0.6402063832334086
2400,[0.00000 0.00000 0.00000 -4.23426],[0.00000 0.00000 0.00000 8.77480],0.6279426768440843
2500,[0.00000 0.00000 0.00000 -0.62886],[0.00000 0.00000 0.00000 0.16730],0.6159138923461105
2600,[0.08000 0.08000 0.08000 -0.79004],[0.02560 0.02560 0.02560 0.56919],0.6041155296076918
2700,[0.00000 0.00000 0.00000 -2.24821],[0.00000 0.00000 0.00000 5.18913],0.5925431747009424
2800,[0.00000 0.00000 0.00000 -0.50069],[0.00000 0.00000 0.00000 0.33113],0.5811924982505915
2900,[0.16000 0.16000 0.16000 -0.43941],[0.10240 0.10240 0.10240 0.52007],0.5700592538142826
3000,[0.24000 0.24000 0.24000 -0.44511],[0.23040 0.23040 0.23040 0.27577],0.5591392762939287
3100,[0.32000 0.32000 0.32000 -0.88725],[0.15360 0.15360 0.15360 1.10117],0.5484284803774964
3200,[0.00000 0.00000 0.00000 -0.56239],[0.00000 0.00000 0.00000 0.98518],0.5379228590106419
3300,[0.16000 0.16000 0.16000 -2.72627],[0.10240 0.10240 0.10240 7.40191],0.5276184818975981
3400,[0.16000 0.16000 0.16000 -0.67174],[0.10240 0.10240 0.10240 0.27812],0.5175114940308205
3500,[0.16000 0.16000 0.16000 -0.30779],[0.10240 0.10240 0.10240 0.10354],0.5075981142487541
3600,[0.32000 0.32000 0.32000 -1.35337],[0.08960 0.08960 0.08960 1.01259],0.4978746338212661
3700,[0.16000 0.16000 0.16000 -1.46923],[0.10240 0.10240 0.10240 6.14418],0.48833741506215295
3800,[0.32000 0.32000 0.32000 -4.16378],[0.40960 0.40960 0.40960 8.50989],0.47898288996823385
3900,[0.00000 0.00000 0.00000 -3.49701],[0.00000 0.00000 0.00000 7.63072],0.46980755888450715
4000,[0.16000 0.16000 0.16000 -0.97425],[0.10240 0.10240 0.10240 0.85695],0.4608079891948918
4100,[0.16000 0.16000 0.16000 -1.20932],[0.10240 0.10240 0.10240 2.01350],0.45198081403803075
