number,rewards,variances,exploration_value
0,[0.08000 0.08000 0.08000 -1.89159],[0.02560 0.02560 0.02560 6.00308],0.9988953697090716
100,[0.08000 0.08000 0.08000 -3.92712],[0.02560 0.02560 0.02560 0.57137],0.9797606658876263
200,[0.00000 0.00000 0.00000 -5.04979],[0.00000 0.00000 0.00000 4.55873],0.9609925038496699
300,[0.08000 0.08000 0.08000 -4.55711],[0.02560 0.02560 0.02560 3.46948],0.9425838621706605
400,[0.00000 0.00000 0.00000 -5.07626],[0.00000 0.00000 0.00000 3.97201],0.9245278539275122
500,[0.00000 0.00000 0.00000 -3.53306],[0.00000 0.00000 0.00000 8.06176],0.9068177241220878
600,[0.08000 0.08000 0.08000 -4.63027],[0.02560 0.02560 0.02560 6.21443],0.889446847154093
700,[0.00000 0.00000 0.00000 -4.49991],[0.00000 0.00000 0.00000 7.51992],0.8724087243423219
800,[0.00000 0.00000 0.00000 -3.52580],[0.00000 0.00000 0.00000 8.75367],0.8556969814934174
900,[0.16000 0.16000 0.16000 -2.78008],[0.03840 0.03840 0.03840 3.47344],0.8393053665172148
1000,[0.08000 0.08000 0.08000 -2.53376],[0.02560 0.02560 0.02560 1.88400],0.8232277470877281
1100,[0.08000 0.08000 0.08000 -4.14732],[0.02560 0.02560 0.02560 4.23490],0.8074581083489812
1200,[0.16000 0.16000 0.16000 -1.68709],[0.10240 0.10240 0.10240 4.33237],0.7919905506647517
1300,[0.08000 0.08000 0.08000 -2.57479],[0.02560 0.02560 0.02560 1.46637],0.7768192874114557
1400,[0.08000 0.08000 0.08000 -3.57192],[0.02560 0.02560 0.02560 2.61791],0.7619386428132808
1500,[0.08000 0.08000 0.08000 -4.06800],[0.02560 0.02560 0.02560 2.60377],0.7473430498187978
1600,[0.16000 0.16000 0.16000 -4.25026],[0.10240 0.10240 0.10240 1.01775],0.7330270480182665
1700,[0.16000 0.16000 0.16000 -1.23743],[0.10240 0.10240 0.10240 0.20413],0.7189852816008054
1800,[0.16000 0.16000 0.16000 -3.85495],[0.10240 0.10240 0.10240 3.67572],0.705212497350724
1900,[0.08000 0.08000 0.08000 -2.50566],[0.02560 0.02560 0.02560 3.61955],0.6917035426822101
2000,[0.00000 0.00000 0.00000 -3.32179],[0.00000 0.00000 0.00000 5.47908],0.6784533637116886
2100,[0.00000 0.00000 0.00000 -4.57190],[0.00000 0.00000 0.00000 6.13776],0.6654570033670938
2200,[0.56000 0.56000 0.56000 -1.73475],[0.61440 0.61440 0.61440 1.85815],0.6527095995333525
2300,[0.24000 0.24000 0.24000 -1.50910],[0.10240 0.10240 0.10240 1.61580],0.6402063832334086
2400,[0.08000 0.08000 0.08000 -1.32889],[0.02560 0.02560 0.02560 1.67107],0.6279426768440843
2500,[0.16000 0.16000 0.16000 -2.95365],[0.10240 0.10240 0.10240 1.16285],0.6159138923461105
2600,[0.16000 0.16000 0.16000 -0.79939],[0.10240 0.10240 0.10240 0.10396],0.6041155296076918
2700,[0.16000 0.16000 0.16000 -2.15638],[0.10240 0.10240 0.10240 6.08738],0.5925431747009424
2800,[0.48000 0.48000 0.48000 -2.47907],[0.15360 0.15360 0.15360 2.15115],0.5811924982505915
2900,[0.00000 0.00000 0.00000 -2.02784],[0.00000 0.00000 0.00000 2.95737],0.5700592538142826
3000,[0.40000 0.40000 0.40000 -2.10503],[0.06400 0.06400 0.06400 0.73368],0.5591392762939287
3100,[0.00000 0.00000 0.00000 -2.71773],[0.00000 0.00000 0.00000 3.89762],0.5484284803774964
3200,[0.00000 0.00000 0.00000 -1.70108],[0.00000 0.00000 0.00000 3.16279],0.5379228590106419
3300,[0.00000 0.00000 0.00000 -2.34992],[0.00000 0.00000 0.00000 3.91561],0.5276184818975981
3400,[0.00000 0.00000 0.00000 -0.59013],[0.00000 0.00000 0.00000 0.54205],0.5175114940308205
3500,[0.00000 0.00000 0.00000 -0.77229],[0.00000 0.00000 0.00000 0.28518],0.5075981142487541
3600,[0.00000 0.00000 0.00000 -1.49808],[0.00000 0.00000 0.00000 2.44519],0.4978746338212661
3700,[0.08000 0.08000 0.08000 -2.12742],[0.02560 0.02560 0.02560 3.16914],0.48833741506215295
3800,[0.24000 0.24000 0.24000 -1.63631],[0.10240 0.10240 0.10240 2.39176],0.47898288996823385
3900,[0.16000 0.16000 0.16000 -1.77585],[0.03840 0.03840 0.03840 2.63015],0.46980755888450715
4000,[0.56000 0.56000 0.56000 -1.24243],[0.23040 0.23040 0.23040 1.07219],0.4608079891948918
4100,[0.08000 0.08000 0.08000 -0.93603],[0.02560 0.02560 0.02560 0.54952],0.45198081403803075
