iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
0,100,6.48292,0.46341,6.61791,0.45989,6.32000,0.46446,5.67864,0.42782
1,200,2.47049,0.36698,2.37082,0.36383,2.44193,0.36761,2.32114,0.33763
2,300,1.89717,0.35500,2.19466,0.35869,2.16994,0.35854,2.17261,0.32508
3,400,2.35216,0.35673,2.53862,0.35831,2.33061,0.35537,2.19771,0.32502
4,500,2.02121,0.35619,2.16400,0.35694,2.40685,0.35524,1.97421,0.32308
5,600,2.11698,0.35019,2.36817,0.35601,2.28396,0.35281,1.98805,0.32430
6,700,1.93157,0.34972,2.28964,0.35144,2.39548,0.34859,2.19805,0.32106
7,800,2.22929,0.35186,2.10658,0.35140,2.33972,0.34809,2.00231,0.32270
8,900,2.14847,0.34597,2.26959,0.35362,2.36381,0.34941,2.06026,0.32134
9,1000,2.24793,0.34826,2.15538,0.35288,2.24581,0.35115,1.93808,0.32043
10,1100,2.03610,0.34438,2.08014,0.35328,2.32421,0.35019,2.17728,0.32209
11,1200,2.30713,0.34576,2.42658,0.35124,2.18196,0.34739,1.95260,0.31910
12,1300,2.23472,0.34383,2.22151,0.34983,2.32708,0.34405,2.15077,0.32181
13,1400,2.21563,0.34260,2.48698,0.34925,2.32464,0.34740,2.16120,0.32199
14,1500,2.41591,0.34411,2.44417,0.35044,2.18721,0.34710,2.05845,0.32206
15,1600,2.49353,0.34196,2.32401,0.35084,2.23263,0.34442,2.18456,0.32015
16,1700,2.08747,0.34398,2.35818,0.35201,2.42999,0.34475,2.05287,0.32106
17,1800,2.12844,0.34362,2.15041,0.35107,2.13671,0.34322,2.09367,0.32138
18,1900,2.44609,0.33959,2.44365,0.34805,2.15402,0.34382,2.06030,0.32301
19,2000,2.12071,0.34313,2.13436,0.34692,2.22881,0.34162,2.09742,0.32273
20,2100,2.28529,0.34457,2.31667,0.34632,2.08277,0.33915,1.98579,0.32037
21,2200,2.01241,0.34435,2.24027,0.34880,2.11777,0.33859,1.99600,0.31991
22,2300,2.31454,0.34198,2.28715,0.34458,2.27638,0.33835,2.07557,0.32449
23,2400,2.36347,0.34402,2.10586,0.34413,2.24259,0.33692,2.10443,0.32025
24,2500,2.13446,0.34219,2.28876,0.34458,2.23886,0.33427,2.06340,0.32059
25,2600,2.18328,0.34096,2.28766,0.34434,2.26434,0.33231,2.12930,0.32335
26,2700,2.18188,0.34000,2.08478,0.34339,2.16434,0.33105,2.08561,0.32262
27,2800,2.24060,0.34001,2.51489,0.34188,2.14539,0.33022,2.08534,0.32283
28,2900,2.18107,0.34154,2.29474,0.34057,2.14291,0.32977,1.96264,0.32099
29,3000,2.25084,0.33945,2.03581,0.34033,2.42178,0.33004,1.94329,0.32516
30,3100,2.25525,0.34089,1.95078,0.33785,2.13986,0.32794,2.08406,0.32510
31,3200,2.13939,0.33928,2.18187,0.33682,2.30213,0.32664,2.26386,0.32543
32,3300,2.16137,0.33889,2.23519,0.33602,1.99295,0.32532,2.17019,0.32715
33,3400,2.29626,0.34050,2.18741,0.33898,2.37480,0.32557,1.99792,0.32501
