number,rewards,variances,exploration_value
0,[0.08000 0.08000 0.08000 -1.89159],[0.02560 0.02560 0.02560 6.00308],0.9988953697090716
100,[0.08000 0.08000 0.08000 -2.66223],[0.02560 0.02560 0.02560 1.92352],0.9797606658876263
200,[0.16000 0.16000 0.16000 -1.11088],[0.10240 0.10240 0.10240 0.76047],0.9609925038496699
300,[0.08000 0.08000 0.08000 -3.84942],[0.02560 0.02560 0.02560 5.91912],0.9425838621706605
400,[0.00000 0.00000 0.00000 -4.61355],[0.00000 0.00000 0.00000 6.37118],0.9245278539275122
500,[0.16000 0.16000 0.16000 -3.43250],[0.10240 0.10240 0.10240 8.94929],0.9068177241220878
600,[0.00000 0.00000 0.00000 -3.12707],[0.00000 0.00000 0.00000 9.02431],0.889446847154093
700,[0.08000 0.08000 0.08000 -4.54044],[0.02560 0.02560 0.02560 7.29617],0.8724087243423219
800,[0.00000 0.00000 0.00000 -2.86898],[0.00000 0.00000 0.00000 1.69473],0.8556969814934174
900,[0.32000 0.32000 0.32000 -4.56847],[0.15360 0.15360 0.15360 2.30029],0.8393053665172148
1000,[0.16000 0.16000 0.16000 -3.51870],[0.10240 0.10240 0.10240 3.26385],0.8232277470877281
1100,[0.00000 0.00000 0.00000 -2.93938],[0.00000 0.00000 0.00000 0.88394],0.8074581083489812
1200,[0.00000 0.00000 0.00000 -4.41618],[0.00000 0.00000 0.00000 7.20747],0.7919905506647517
1300,[0.16000 0.16000 0.16000 -3.51068],[0.03840 0.03840 0.03840 4.94331],0.7768192874114557
1400,[0.00000 0.00000 0.00000 -3.60054],[0.00000 0.00000 0.00000 3.21563],0.7619386428132808
1500,[0.08000 0.08000 0.08000 -4.50293],[0.02560 0.02560 0.02560 2.10227],0.7473430498187978
1600,[0.32000 0.32000 0.32000 -2.30359],[0.40960 0.40960 0.40960 2.08508],0.7330270480182665
1700,[0.00000 0.00000 0.00000 -1.44655],[0.00000 0.00000 0.00000 0.49331],0.7189852816008054
1800,[0.08000 0.08000 0.08000 -2.25973],[0.02560 0.02560 0.02560 4.22726],0.705212497350724
1900,[0.08000 0.08000 0.08000 -3.21763],[0.02560 0.02560 0.02560 7.01176],0.6917035426822101
2000,[0.00000 0.00000 0.00000 -5.36655],[0.00000 0.00000 0.00000 3.32480],0.6784533637116886
2100,[0.08000 0.08000 0.08000 -2.47925],[0.02560 0.02560 0.02560 6.16267],0.6654570033670938
