number,rewards,variances,exploration_value
0,[0.08000 0.08000 0.08000 -1.89159],[0.02560 0.02560 0.02560 6.00308],0.9988953697090716
100,[0.08000 0.08000 0.08000 -2.62569],[0.02560 0.02560 0.02560 1.87982],0.9797606658876263
200,[0.40000 0.40000 0.40000 -1.16316],[0.19200 0.19200 0.19200 0.62558],0.9609925038496699
300,[0.08000 0.08000 0.08000 -3.38716],[0.02560 0.02560 0.02560 7.95343],0.9425838621706605
400,[0.00000 0.00000 0.00000 -4.92813],[0.00000 0.00000 0.00000 4.08301],0.9245278539275122
500,[0.00000 0.00000 0.00000 -3.91446],[0.00000 0.00000 0.00000 6.92341],0.9068177241220878
600,[0.32000 0.32000 0.32000 -2.80411],[0.15360 0.15360 0.15360 3.40094],0.889446847154093
700,[0.00000 0.00000 0.00000 -4.64177],[0.00000 0.00000 0.00000 4.25769],0.8724087243423219
800,[0.08000 0.08000 0.08000 -4.85401],[0.02560 0.02560 0.02560 5.87606],0.8556969814934174
900,[0.32000 0.32000 0.32000 -3.75689],[0.15360 0.15360 0.15360 1.11992],0.8393053665172148
1000,[0.08000 0.08000 0.08000 -4.10311],[0.02560 0.02560 0.02560 2.47641],0.8232277470877281
1100,[0.00000 0.00000 0.00000 -2.92854],[0.00000 0.00000 0.00000 0.87709],0.8074581083489812
1200,[0.08000 0.08000 0.08000 -3.36637],[0.02560 0.02560 0.02560 4.21649],0.7919905506647517
1300,[0.24000 0.24000 0.24000 -2.59508],[0.10240 0.10240 0.10240 1.59628],0.7768192874114557
1400,[0.08000 0.08000 0.08000 -2.94773],[0.02560 0.02560 0.02560 4.11803],0.7619386428132808
1500,[0.00000 0.00000 0.00000 -4.77306],[0.00000 0.00000 0.00000 1.20798],0.7473430498187978
1600,[0.24000 0.24000 0.24000 -4.04901],[0.10240 0.10240 0.10240 0.89070],0.7330270480182665
1700,[0.00000 0.00000 0.00000 -1.91074],[0.00000 0.00000 0.00000 0.07525],0.7189852816008054
1800,[0.00000 0.00000 0.00000 -4.25759],[0.00000 0.00000 0.00000 5.03814],0.705212497350724
1900,[0.00000 0.00000 0.00000 -4.07518],[0.00000 0.00000 0.00000 5.47807],0.6917035426822101
2000,[0.00000 0.00000 0.00000 -3.51173],[0.00000 0.00000 0.00000 2.67310],0.6784533637116886
2100,[0.16000 0.16000 0.16000 -4.16858],[0.10240 0.10240 0.10240 5.84287],0.6654570033670938
2200,[0.24000 0.24000 0.24000 -3.86762],[0.10240 0.10240 0.10240 2.90591],0.6527095995333525
2300,[0.40000 0.40000 0.40000 -4.45461],[0.25600 0.25600 0.25600 4.33568],0.6402063832334086
2400,[0.00000 0.00000 0.00000 -3.09671],[0.00000 0.00000 0.00000 3.80789],0.6279426768440843
2500,[0.08000 0.08000 0.08000 -3.36071],[0.02560 0.02560 0.02560 1.90937],0.6159138923461105
2600,[0.08000 0.08000 0.08000 -4.13935],[0.02560 0.02560 0.02560 4.71228],0.6041155296076918
2700,[0.00000 0.00000 0.00000 -5.03945],[0.00000 0.00000 0.00000 3.08434],0.5925431747009424
2800,[0.48000 0.48000 0.48000 -5.76117],[0.15360 0.15360 0.15360 1.60600],0.5811924982505915
2900,[0.00000 0.00000 0.00000 -3.31127],[0.00000 0.00000 0.00000 1.16970],0.5700592538142826
3000,[0.16000 0.16000 0.16000 -3.85999],[0.10240 0.10240 0.10240 1.18174],0.5591392762939287
3100,[0.00000 0.00000 0.00000 -4.00142],[0.00000 0.00000 0.00000 2.83638],0.5484284803774964
3200,[0.08000 0.08000 0.08000 -1.26037],[0.02560 0.02560 0.02560 2.25503],0.5379228590106419
3300,[0.00000 0.00000 0.00000 -5.14176],[0.00000 0.00000 0.00000 7.90684],0.5276184818975981
3400,[0.00000 0.00000 0.00000 -5.08278],[0.00000 0.00000 0.00000 1.10516],0.5175114940308205
3500,[0.00000 0.00000 0.00000 -5.80910],[0.00000 0.00000 0.00000 1.78773],0.5075981142487541
3600,[0.00000 0.00000 0.00000 -1.84655],[0.00000 0.00000 0.00000 2.05759],0.4978746338212661
3700,[0.08000 0.08000 0.08000 -2.92664],[0.02560 0.02560 0.02560 6.35923],0.48833741506215295
3800,[0.24000 0.24000 0.24000 -4.78308],[0.10240 0.10240 0.10240 2.40647],0.47898288996823385
3900,[0.00000 0.00000 0.00000 -3.21654],[0.00000 0.00000 0.00000 1.35553],0.46980755888450715
4000,[0.00000 0.00000 0.00000 -2.11993],[0.00000 0.00000 0.00000 6.67880],0.4608079891948918
4100,[0.16000 0.16000 0.16000 -3.91506],[0.03840 0.03840 0.03840 1.24905],0.45198081403803075
4200,[0.00000 0.00000 0.00000 -0.09460],[0.00000 0.00000 0.00000 0.01309],0.4433227310477052
4300,[0.00000 0.00000 0.00000 -4.23513],[0.00000 0.00000 0.00000 4.84592],0.43483050111737453
4400,[0.00000 0.00000 0.00000 -5.12546],[0.00000 0.00000 0.00000 5.59315],0.42650094718838294
4500,[0.00000 0.00000 0.00000 -3.30657],[0.00000 0.00000 0.00000 6.74230],0.4183309530613763
4600,[0.08000 0.08000 0.08000 -2.82630],[0.02560 0.02560 0.02560 2.44089],0.41031746223049576
4700,[0.40000 0.40000 0.40000 -4.67480],[0.38400 0.38400 0.38400 4.89108],0.4024574767398885
4800,[0.00000 0.00000 0.00000 -5.25519],[0.00000 0.00000 0.00000 6.30133],0.39474805606213775
4900,[0.00000 0.00000 0.00000 -2.73568],[0.00000 0.00000 0.00000 2.14912],0.3871863159981707
5000,[0.00000 0.00000 0.00000 -3.30700],[0.00000 0.00000 0.00000 5.81209],0.37976942759823823
5100,[0.56000 0.56000 0.56000 -3.39497],[0.61440 0.61440 0.61440 4.67097],0.37249461610356654
5200,[0.00000 0.00000 0.00000 -2.05082],[0.00000 0.00000 0.00000 8.08518],0.36535915990828843
5300,[0.00000 0.00000 0.00000 -2.54035],[0.00000 0.00000 0.00000 5.33359],0.3583603895412437
5400,[0.00000 0.00000 0.00000 -4.35583],[0.00000 0.00000 0.00000 4.25237],0.35149568666730197
