iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss,4_iql_loss
0,100,0.91520,1.11124,0.75628,0.99454
1,200,0.87213,0.98922,0.94921,0.92016
2,300,0.53480,0.81246,0.82444,0.94552
3,400,0.99407,1.08654,0.98431,0.98311
4,500,0.83555,0.94063,1.06931,0.77827
5,600,0.78259,1.24428,1.06978,0.84470
6,700,0.83750,1.04155,1.19534,1.06772
7,800,0.92706,0.99674,0.94822,0.88137
8,900,0.95007,0.75324,0.99266,1.01460
9,1000,1.12098,1.10989,1.08814,0.86342
10,1100,0.84289,0.84549,1.05306,1.00455
11,1200,0.93770,1.08081,0.93559,0.79655
12,1300,0.98272,0.98408,1.15404,0.99225
13,1400,1.01092,1.13236,0.98830,0.96174
14,1500,1.04415,1.06294,0.88752,0.88342
15,1600,1.28264,1.22660,1.13644,1.05048
16,1700,0.86619,1.20570,1.00128,1.07647
17,1800,0.97617,0.76809,0.85607,0.98366
18,1900,1.15376,1.14571,0.98937,0.91177
19,2000,0.98130,1.00547,0.84889,1.03677
20,2100,0.89517,1.15249,0.96372,0.92579
21,2200,0.62205,0.85211,1.06371,0.83010
22,2300,1.04371,0.98073,0.93585,0.95382
23,2400,0.82048,1.06586,0.94393,1.03813
24,2500,0.86601,0.73552,1.19433,0.93707
25,2600,0.96739,1.00877,1.09863,1.01932
26,2700,0.94766,1.05079,0.93156,0.95012
27,2800,0.89808,1.06200,0.92258,1.02925
28,2900,0.82566,1.07021,0.93951,0.94772
29,3000,0.96054,0.86525,1.08950,0.80959
30,3100,1.08553,1.11153,0.85989,1.06141
31,3200,0.79195,1.11860,1.13199,1.12585
32,3300,1.04242,1.02110,0.88586,0.85869
33,3400,0.97821,1.06831,0.92973,0.99467
34,3500,1.02447,0.99491,1.02601,0.88062
35,3600,0.80040,1.06572,0.93585,0.98812
36,3700,1.01155,1.15497,0.93526,1.07713
37,3800,1.15590,1.06059,0.98628,0.92788
38,3900,0.96133,0.98722,1.16948,0.98978
39,4000,1.17278,0.83756,0.99983,0.88477
40,4100,1.18899,1.01796,0.72220,1.02896
41,4200,1.16651,1.03034,0.92957,0.92274
42,4300,1.11413,0.97328,0.74338,0.90530
43,4400,1.04295,1.08670,0.93365,0.87108
44,4500,0.94103,1.15769,1.06529,1.08763
45,4600,0.97883,0.95115,1.11653,1.04615
46,4700,0.76873,1.12987,1.21190,0.79352
47,4800,1.04656,1.19973,1.04199,1.08570
48,4900,1.23009,0.90173,0.98344,0.90734
49,5000,0.97000,0.88772,0.82864,0.91882
50,5100,0.84789,0.85642,0.99327,1.01151
51,5200,1.04615,0.98175,0.97969,0.98070
52,5300,1.23468,0.95926,1.12082,0.97575
53,5400,1.09465,0.92179,0.94422,0.92112
54,5500,0.98753,1.02374,1.03907,0.86949
55,5600,0.90437,0.87275,0.91579,1.12898
56,5700,1.25715,0.92327,0.94163,0.92522
57,5800,1.00269,0.97828,0.97145,0.89121
58,5900,0.85997,0.91259,1.01406,0.88274
59,6000,1.22131,1.23987,1.09126,0.85038
60,6100,0.95471,0.89603,0.83023,0.91619
61,6200,0.99541,0.92207,0.74172,0.90491
62,6300,1.00456,1.00356,1.10069,0.95410
63,6400,1.03290,0.90354,0.87542,0.86152
64,6500,0.85741,1.07188,1.15034,0.74839
65,6600,1.11578,1.10136,0.95198,0.89742
66,6700,1.11286,0.91268,0.99630,0.97775
67,6800,0.79140,1.06065,0.95079,0.90432
68,6900,0.79735,0.99956,1.13513,1.04643
69,7000,0.93158,0.99944,0.99043,1.09741
70,7100,0.93689,0.76217,0.92257,0.98218
71,7200,1.01494,1.28188,1.02402,0.96220
72,7300,1.04030,0.99063,0.90236,0.81336
73,7400,0.95158,1.18061,0.83948,0.97009
74,7500,1.11704,0.88768,1.10499,0.89892
75,7600,0.86337,1.07686,1.01174,0.97575
76,7700,1.43298,0.82757,1.07671,1.07443
77,7800,1.09245,0.98195,1.17650,0.89013
78,7900,1.01174,1.01452,0.95477,0.98229
79,8000,0.96569,1.23639,1.08905,1.16435
80,8100,1.08858,1.00615,0.94764,0.77682
81,8200,0.81027,1.19460,0.79881,0.91721
82,8300,1.02490,0.94422,1.13133,1.05040
83,8400,1.04130,0.91313,1.09713,0.90804
84,8500,0.98503,1.09037,1.07083,0.96693
85,8600,0.79458,1.09328,1.09633,0.85453
86,8700,0.86510,0.91295,1.08876,0.99420
87,8800,0.87123,0.92858,1.08256,0.84614
88,8900,1.09864,1.11092,0.82004,0.89650
89,9000,0.88349,0.95547,1.38214,0.82210
90,9100,0.86718,0.81585,0.95278,0.79762
91,9200,1.02761,0.77066,0.86958,0.91769
92,9300,0.72668,1.25814,0.95710,0.79523
93,9400,0.90490,1.20845,0.87444,1.10402
94,9500,0.98414,1.11069,0.98089,0.96701
95,9600,1.07755,0.85538,0.98429,0.98131
96,9700,1.06896,1.11181,1.27806,0.78662
97,9800,1.06312,0.70299,1.01086,0.77444
98,9900,0.80684,0.84686,0.88298,0.95047
99,10000,1.04006,1.08951,0.81553,0.77756
100,10100,0.84460,0.89449,1.12410,0.99286
101,10200,0.91849,0.90641,1.22704,1.03353
102,10300,0.90518,1.08023,0.91128,0.88180
103,10400,1.01072,1.03616,0.79204,0.98769
104,10500,0.91130,0.99608,0.61042,0.95552
105,10600,1.15498,0.92870,0.98669,1.07002
106,10700,1.03737,0.86410,1.17361,0.97303
107,10800,1.22761,1.05921,1.20575,1.13823
108,10900,0.95375,1.21142,0.91083,0.89320
109,11000,0.88917,1.01390,1.14819,0.78484
110,11100,1.04377,0.95601,0.88205,0.89089
111,11200,1.01170,0.72893,1.14041,0.95169
112,11300,1.21301,1.05454,1.09342,0.83738
113,11400,0.87781,1.09643,1.20249,0.89804
114,11500,1.11868,1.02498,1.03520,0.87027
115,11600,0.88090,1.08236,1.16979,1.07912
116,11700,1.28112,1.14419,1.04639,0.88575
117,11800,0.92024,0.99280,1.16137,0.82625
118,11900,1.08177,1.03440,0.82671,1.04241
119,12000,0.87650,0.91868,0.95951,1.03511
120,12100,0.90284,0.77340,0.72181,0.97319
121,12200,1.20423,0.96540,1.18774,0.96096
122,12300,1.04514,0.91296,1.09598,0.92204
123,12400,1.00621,0.85045,0.85695,1.06162
124,12500,1.00966,1.10221,1.02960,0.71988
125,12600,1.02199,0.91921,0.96086,1.11067
126,12700,1.22747,1.09974,1.02613,0.95861
127,12800,0.77618,1.16101,1.14662,0.91499
128,12900,1.01673,0.93311,1.15457,1.08592
129,13000,0.90382,0.97105,1.04594,0.99260
130,13100,0.89929,0.91347,1.07512,1.08884
131,13200,0.91998,0.99451,0.87523,0.96107
132,13300,0.82768,0.94116,0.92316,1.12083
133,13400,1.10286,1.08714,1.03153,0.90654
134,13500,1.23271,0.92953,0.88216,0.83967
135,13600,0.85199,1.01791,1.20696,1.03503
136,13700,0.58649,0.86147,1.10238,0.72457
137,13800,1.07270,1.05465,1.02315,0.75611
138,13900,1.19081,1.01745,0.88828,0.85703
139,14000,1.04891,0.86236,0.97514,0.90547
140,14100,1.14101,0.90033,1.03776,0.81620
