number,rewards,variances,exploration_value
0,[1.04000 1.04000 1.04000 -2.46897],[1.31840 1.31840 1.31840 2.94489],0.9988953697090716
100,[0.24000 0.24000 0.24000 -2.93127],[0.10240 0.10240 0.10240 2.92773],0.9797606658876263
200,[0.08000 0.08000 0.08000 -0.31162],[0.02560 0.02560 0.02560 0.15854],0.9609925038496699
300,[0.00000 0.00000 0.00000 -0.51586],[0.00000 0.00000 0.00000 0.18926],0.9425838621706605
400,[0.00000 0.00000 0.00000 -1.50433],[0.00000 0.00000 0.00000 1.18285],0.9245278539275122
500,[0.08000 0.08000 0.08000 -3.51072],[0.02560 0.02560 0.02560 8.72935],0.9068177241220878
600,[0.00000 0.00000 0.00000 -1.14574],[0.00000 0.00000 0.00000 0.42050],0.889446847154093
700,[0.00000 0.00000 0.00000 -2.14996],[0.00000 0.00000 0.00000 2.28718],0.8724087243423219
800,[0.24000 0.24000 0.24000 -2.51795],[0.10240 0.10240 0.10240 3.71543],0.8556969814934174
900,[0.24000 0.24000 0.24000 -3.04054],[0.10240 0.10240 0.10240 1.51740],0.8393053665172148
1000,[0.08000 0.08000 0.08000 -2.66623],[0.02560 0.02560 0.02560 2.65917],0.8232277470877281
1100,[0.00000 0.00000 0.00000 -2.67727],[0.00000 0.00000 0.00000 2.92280],0.8074581083489812
1200,[0.16000 0.16000 0.16000 -4.65284],[0.10240 0.10240 0.10240 2.64049],0.7919905506647517
1300,[0.32000 0.32000 0.32000 -4.75300],[0.21760 0.21760 0.21760 2.87938],0.7768192874114557
1400,[0.16000 0.16000 0.16000 -3.19128],[0.10240 0.10240 0.10240 1.47861],0.7619386428132808
1500,[0.00000 0.00000 0.00000 -4.36703],[0.00000 0.00000 0.00000 5.84960],0.7473430498187978
1600,[0.08000 0.08000 0.08000 -2.64121],[0.02560 0.02560 0.02560 2.12277],0.7330270480182665
1700,[0.00000 0.00000 0.00000 -3.99789],[0.00000 0.00000 0.00000 5.97965],0.7189852816008054
1800,[0.00000 0.00000 0.00000 -1.91790],[0.00000 0.00000 0.00000 1.28162],0.705212497350724
1900,[0.00000 0.00000 0.00000 -5.04814],[0.00000 0.00000 0.00000 6.53847],0.6917035426822101
2000,[0.08000 0.08000 0.08000 -3.07595],[0.02560 0.02560 0.02560 4.03613],0.6784533637116886
2100,[0.16000 0.16000 0.16000 -2.37302],[0.03840 0.03840 0.03840 1.21941],0.6654570033670938
2200,[0.40000 0.40000 0.40000 -3.47210],[0.12800 0.12800 0.12800 3.65196],0.6527095995333525
2300,[0.00000 0.00000 0.00000 -3.92600],[0.00000 0.00000 0.00000 6.33199],0.6402063832334086
2400,[0.00000 0.00000 0.00000 -3.19954],[0.00000 0.00000 0.00000 5.70882],0.6279426768440843
2500,[0.16000 0.16000 0.16000 -3.33638],[0.10240 0.10240 0.10240 1.70799],0.6159138923461105
2600,[0.00000 0.00000 0.00000 -2.85387],[0.00000 0.00000 0.00000 5.32244],0.6041155296076918
2700,[0.32000 0.32000 0.32000 -2.21352],[0.15360 0.15360 0.15360 4.79386],0.5925431747009424
2800,[0.16000 0.16000 0.16000 -2.89117],[0.10240 0.10240 0.10240 2.38823],0.5811924982505915
2900,[0.08000 0.08000 0.08000 -3.26678],[0.02560 0.02560 0.02560 3.62356],0.5700592538142826
3000,[0.00000 0.00000 0.00000 -3.22127],[0.00000 0.00000 0.00000 5.02549],0.5591392762939287
3100,[0.64000 0.64000 0.64000 -3.81786],[0.16640 0.16640 0.16640 5.19612],0.5484284803774964
3200,[0.00000 0.00000 0.00000 -3.02256],[0.00000 0.00000 0.00000 4.60881],0.5379228590106419
3300,[0.08000 0.08000 0.08000 -3.50540],[0.02560 0.02560 0.02560 7.12526],0.5276184818975981
3400,[0.16000 0.16000 0.16000 -3.16640],[0.10240 0.10240 0.10240 2.22657],0.5175114940308205
3500,[0.08000 0.08000 0.08000 -3.38806],[0.02560 0.02560 0.02560 2.44659],0.5075981142487541
3600,[0.24000 0.24000 0.24000 -2.93634],[0.10240 0.10240 0.10240 3.23536],0.4978746338212661
3700,[0.08000 0.08000 0.08000 -3.32948],[0.02560 0.02560 0.02560 4.79076],0.48833741506215295
3800,[0.48000 0.48000 0.48000 -1.56347],[0.34560 0.34560 0.34560 0.66125],0.47898288996823385
3900,[0.00000 0.00000 0.00000 -0.73973],[0.00000 0.00000 0.00000 0.51290],0.46980755888450715
4000,[0.08000 0.08000 0.08000 -1.90137],[0.02560 0.02560 0.02560 0.75778],0.4608079891948918
