iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,10.05463,0.67420,1.61262,10.61057,0.69223,1.61697,10.16080,0.67710,1.61398,8.03486,0.59570,1.61030
1,200,2.42713,0.67637,1.61314,2.79463,0.69906,1.61353,2.74582,0.67428,1.61346,2.30537,0.58507,1.61269
2,300,1.40739,0.67236,1.61447,1.56522,0.68092,1.61316,1.49178,0.66942,1.61486,1.36693,0.58036,1.61195
3,400,0.97926,0.67329,1.61437,1.33123,0.67611,1.61404,1.12702,0.66514,1.61569,1.36211,0.57964,1.61350
4,500,1.16921,0.66583,1.61405,0.89464,0.66837,1.61488,1.03200,0.65923,1.61645,1.15017,0.57455,1.61344
5,600,1.14060,0.65672,1.61652,1.41399,0.66000,1.61648,0.82617,0.65861,1.61658,0.99202,0.56965,1.61353
6,700,1.13930,0.64800,1.61662,0.89163,0.65530,1.61611,0.84749,0.65485,1.61720,1.00530,0.56494,1.61498
7,800,0.90291,0.64228,1.61630,1.10206,0.64951,1.61826,0.88773,0.65009,1.61718,1.04477,0.56058,1.61483
8,900,0.95500,0.63726,1.61655,0.80873,0.64123,1.61869,1.04024,0.64265,1.61676,1.04606,0.55542,1.61464
9,1000,0.87555,0.63204,1.61803,1.04161,0.63779,1.61996,1.03423,0.64063,1.61662,1.07842,0.55058,1.61451
10,1100,1.00593,0.63084,1.61848,1.11044,0.63422,1.61826,0.95420,0.63440,1.61813,0.87569,0.54719,1.61422
11,1200,1.10757,0.62562,1.61821,1.18491,0.63013,1.61794,0.85021,0.62721,1.61874,1.03597,0.54209,1.61467
12,1300,0.84710,0.62315,1.61815,1.02339,0.62497,1.61966,1.13640,0.62005,1.61919,0.87102,0.53902,1.61517
13,1400,1.06591,0.61708,1.61952,0.89318,0.61985,1.61992,0.72564,0.61507,1.62061,0.96647,0.53238,1.61476
