iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
0,100,44.33910,1.38960,44.41176,1.39006,44.36503,1.39012,44.43394,1.38698
1,200,14.55133,1.31922,14.44091,1.32157,14.78803,1.31764,15.52582,1.31907
2,300,3.18439,1.28052,3.49775,1.28385,3.34406,1.28209,3.83370,1.28128
3,400,1.80217,1.27816,2.18874,1.27504,2.02559,1.28032,2.59318,1.27649
4,500,1.59671,1.25514,1.43542,1.24993,1.46822,1.25361,1.68968,1.25382
5,600,1.46329,1.21852,1.72378,1.21897,1.09953,1.22024,1.25820,1.21903
6,700,1.41708,1.19622,1.07360,1.19238,1.05592,1.18794,1.16726,1.19300
7,800,1.03010,1.16125,1.20605,1.16265,1.06489,1.16271,1.15166,1.16065
8,900,1.24084,1.13291,0.93437,1.13583,1.08162,1.13296,1.09093,1.13189
9,1000,0.99457,1.10289,1.16737,1.10258,1.20181,1.10108,1.15407,1.10153
10,1100,1.15976,1.07647,1.28147,1.07766,1.14554,1.07759,0.98826,1.07716
11,1200,1.23687,1.05310,1.14427,1.05151,0.96113,1.05277,0.98352,1.05185
12,1300,0.82158,1.02758,1.15981,1.02673,1.09741,1.02533,0.91477,1.02655
13,1400,0.94165,1.00097,0.97649,1.00281,0.87385,1.00286,1.06328,1.00191
14,1500,0.88573,0.97860,0.92195,0.98023,1.04913,0.97746,1.01305,0.97786
15,1600,1.03604,0.95683,0.95067,0.95558,0.99735,0.95785,1.04429,0.95573
16,1700,1.20191,0.93504,0.86821,0.93573,1.02030,0.93449,1.10608,0.93477
17,1800,0.84952,0.91327,0.91600,0.91396,1.12180,0.91153,0.79869,0.91267
18,1900,1.14152,0.89342,0.85949,0.89048,1.11131,0.89299,1.00732,0.89218
19,2000,1.25764,0.87057,0.92538,0.86928,1.00080,0.87392,0.98063,0.86925
20,2100,0.89944,0.85264,0.95354,0.85204,0.99057,0.85052,1.03676,0.84963
21,2200,0.76202,0.83391,0.89527,0.83203,0.96275,0.83223,0.95406,0.83170
22,2300,1.09480,0.81356,0.98828,0.81152,1.10424,0.81114,1.03212,0.81274
23,2400,0.95243,0.79346,1.08613,0.79503,0.93062,0.79427,0.96886,0.79601
24,2500,1.10177,0.77685,0.72888,0.77567,1.04150,0.77729,0.95011,0.77799
25,2600,1.29812,0.76180,1.12095,0.75882,1.03292,0.75790,0.93342,0.75900
26,2700,0.93510,0.74056,0.89088,0.73992,1.30872,0.74203,0.98805,0.74037
27,2800,0.99998,0.72746,1.14891,0.72462,0.78525,0.72575,0.87291,0.72333
28,2900,0.88815,0.70886,1.10742,0.70812,1.02700,0.70968,0.99933,0.70689
29,3000,0.93814,0.69435,0.72636,0.69656,0.75028,0.69516,0.96992,0.69346
30,3100,0.75097,0.67965,0.89303,0.68131,1.11550,0.67901,0.78966,0.67926
31,3200,1.28640,0.66623,1.47449,0.66598,1.23243,0.66654,0.91808,0.66542
32,3300,1.29184,0.65068,0.92393,0.65043,0.93890,0.65209,0.97021,0.64959
33,3400,1.03273,0.63821,1.09676,0.63611,1.16437,0.63522,0.95246,0.63737
34,3500,0.87862,0.62510,0.76939,0.62453,0.89631,0.62368,0.91277,0.62407
35,3600,1.15561,0.61223,1.36658,0.61250,1.00670,0.61290,0.85161,0.61266
36,3700,0.74947,0.59989,0.94389,0.59751,1.00674,0.60025,1.01410,0.59970
37,3800,0.85938,0.58747,0.75416,0.58862,1.13891,0.58931,0.91967,0.58795
38,3900,0.92720,0.57824,1.17059,0.57790,0.96897,0.57457,0.93589,0.57467
39,4000,0.77506,0.56515,0.82859,0.56518,1.12240,0.56690,0.94254,0.56585
40,4100,1.35386,0.55485,0.96789,0.55460,1.14690,0.55350,0.99692,0.55499
41,4200,1.01506,0.54808,1.16695,0.54697,0.82039,0.54662,0.85238,0.54278
42,4300,1.09367,0.53602,1.25067,0.53418,0.96387,0.53304,0.83638,0.53402
43,4400,1.22541,0.52412,0.96702,0.52367,0.85310,0.52522,0.94994,0.52335
44,4500,0.99775,0.51171,1.11034,0.51214,1.18737,0.51694,0.85767,0.51254
45,4600,0.85820,0.50421,0.91918,0.50797,0.93536,0.50603,0.94950,0.50635
46,4700,0.86961,0.49664,1.08973,0.49740,1.10983,0.49624,0.93591,0.49599
47,4800,0.95070,0.48470,1.20523,0.48649,0.90481,0.48917,0.89005,0.48664
48,4900,1.18120,0.48043,0.97967,0.47959,1.18827,0.47944,0.94585,0.48005
49,5000,1.16934,0.47069,1.20719,0.47115,1.09758,0.47098,0.85792,0.47142
50,5100,1.33986,0.46294,0.90851,0.46161,1.10136,0.46172,0.80504,0.46484
51,5200,1.18327,0.45600,1.40417,0.45653,1.16050,0.45592,0.96634,0.45707
52,5300,1.02083,0.44846,0.94365,0.44955,1.03273,0.44954,0.93507,0.44878
53,5400,1.11950,0.44181,0.94929,0.44236,0.95059,0.44216,0.96444,0.44156
54,5500,0.85491,0.43428,1.08690,0.43415,0.96653,0.43428,0.89927,0.43472
55,5600,0.86535,0.42608,1.01044,0.42842,1.02768,0.42761,0.91884,0.42857
56,5700,1.33234,0.42439,0.85989,0.41806,0.93037,0.41973,0.92379,0.42167
57,5800,1.06452,0.41375,1.07518,0.41464,1.01010,0.41242,0.87802,0.41500
58,5900,1.32587,0.40873,1.17951,0.40735,1.10664,0.40768,0.83411,0.40795
