number,rewards,variances,exploration_value
0,[-2.60158 -0.40800 -0.40800],[1.53093 0.17872 0.17872],0.3
100,[-5.00373 1.02164 1.02164],[20.33180 0.87130 0.87130],0.2988
200,[-2.47126 0.60061 0.60061],[2.79952 0.37724 0.37724],0.2976
300,[-4.88154 1.09881 1.09881],[0.85376 0.31637 0.31637],0.2964
400,[-4.99431 0.81630 0.81630],[9.42989 0.87470 0.87470],0.29519999999999996
500,[-4.69600 0.94680 0.94680],[4.80236 1.08085 1.08085],0.294
600,[-2.34986 -0.20464 -0.20464],[1.50903 0.21240 0.21240],0.2928
700,[-2.44807 0.42775 0.42775],[4.72393 0.98308 0.98308],0.29159999999999997
800,[-3.33683 -0.41443 -0.41443],[8.13858 0.16128 0.16128],0.2904
900,[-2.26164 0.08359 0.08359],[0.94138 0.76784 0.76784],0.28919999999999996
1000,[-1.11968 -0.48448 -0.48448],[0.29259 0.24188 0.24188],0.288
1100,[-3.48517 0.53943 0.53943],[3.56823 0.46320 0.46320],0.2868
1200,[-6.10916 1.01127 1.01127],[11.83903 0.55595 0.55595],0.28559999999999997
1300,[-1.53740 -0.74485 -0.74485],[1.54973 0.28781 0.28781],0.2844
1400,[-2.97065 -0.20361 -0.20361],[11.25268 1.41274 1.41274],0.28319999999999995
1500,[-1.23994 -0.31945 -0.31945],[0.47103 0.20153 0.20153],0.282
1600,[-4.75018 0.31483 0.31483],[13.55087 1.49286 1.49286],0.2808
1700,[-2.64231 0.29505 0.29505],[5.32441 0.25091 0.25091],0.2796
1800,[-1.26433 -0.80720 -0.80720],[1.16392 0.58251 0.58251],0.2784
1900,[-1.19976 -1.34583 -1.34583],[1.10092 0.23344 0.23344],0.2772
2000,[-1.62450 -0.32357 -0.32357],[2.06545 0.43650 0.43650],0.276
2100,[-1.37812 -0.42005 -0.42005],[0.83771 0.27969 0.27969],0.2748
2200,[-0.98142 -0.54293 -0.54293],[0.29270 0.13542 0.13542],0.2736
2300,[-2.83700 0.46469 0.46469],[2.51997 0.31991 0.31991],0.2724
2400,[-3.38339 -0.09113 -0.09113],[13.35917 0.43756 0.43756],0.2712
2500,[-1.93536 -0.17014 -0.17014],[1.81072 0.15389 0.15389],0.27
2600,[-1.14146 -0.12188 -0.12188],[0.09463 0.20887 0.20887],0.2688
2700,[-2.47692 0.17873 0.17873],[3.34009 0.24272 0.24272],0.2676
2800,[-1.23868 0.07667 0.07667],[0.55916 0.23281 0.23281],0.26639999999999997
2900,[-1.88599 0.23878 0.23878],[1.92032 0.37315 0.37315],0.2652
3000,[-0.57599 -0.22554 -0.22554],[0.14053 0.32740 0.32740],0.264
3100,[-2.27027 -0.01098 -0.01098],[2.78915 0.44643 0.44643],0.2628
3200,[-1.37366 -0.07480 -0.07480],[1.03116 0.19661 0.19661],0.2616
3300,[-1.00943 -0.41523 -0.41523],[0.09760 0.26627 0.26627],0.26039999999999996
3400,[-0.76135 -0.20702 -0.20702],[0.26790 0.24315 0.24315],0.2592
3500,[-2.09517 0.24693 0.24693],[2.39471 0.08499 0.08499],0.258
3600,[-1.68765 -0.39161 -0.39161],[1.53251 0.15440 0.15440],0.2568
3700,[-3.68988 0.28781 0.28781],[12.75897 0.31891 0.31891],0.2556
3800,[-1.16444 -0.36445 -0.36445],[0.15276 0.33373 0.33373],0.25439999999999996
3900,[-0.66209 -0.10533 -0.10533],[0.07858 0.19853 0.19853],0.2532
4000,[-1.24078 -0.03563 -0.03563],[1.29550 0.48363 0.48363],0.252
4100,[-1.33483 0.10891 0.10891],[2.16027 0.75955 0.75955],0.25079999999999997
4200,[-1.12429 -0.13052 -0.13052],[0.41448 0.27068 0.27068],0.2496
4300,[-1.06528 -0.26520 -0.26520],[0.85470 0.68748 0.68748],0.24839999999999998
4400,[-0.57576 -0.72815 -0.72815],[0.15950 0.02820 0.02820],0.24719999999999998
4500,[-1.42111 0.05920 0.05920],[0.91649 0.13758 0.13758],0.24599999999999997
4600,[-1.77454 -0.16762 -0.16762],[2.06512 0.46776 0.46776],0.24479999999999996
4700,[-1.23580 -0.10415 -0.10415],[0.07044 0.22471 0.22471],0.2436
4800,[-1.68563 -0.24119 -0.24119],[0.98826 0.78689 0.78689],0.2424
4900,[-1.77596 -0.42658 -0.42658],[1.77010 0.44608 0.44608],0.2412
5000,[-2.13392 0.35890 0.35890],[0.57264 0.66488 0.66488],0.24
5100,[-2.21851 0.08654 0.08654],[1.30013 0.29863 0.29863],0.2388
