iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,-5.02562,5.03336,0.92816,2.69557,-5.07497,4.57976,0.92832,2.69520,-5.07972,4.62646,0.93438,2.69540
1,200,-5.86430,1.37271,0.99669,2.69603,-5.93337,1.09827,0.99996,2.69626,-5.86558,1.37054,1.00015,2.69644
2,300,-6.22685,1.28983,0.96695,2.69016,-6.31885,0.95900,0.96222,2.69044,-6.29809,1.45051,0.96669,2.69061
3,400,-6.78518,1.22706,0.94598,2.68920,-6.94328,1.13007,0.94730,2.68867,-6.87714,1.28716,0.94704,2.68910
4,500,-7.36190,1.32833,0.93188,2.68997,-7.56139,1.15217,0.93322,2.68970,-7.55089,1.21503,0.93528,2.69070
5,600,-7.90889,1.37673,0.91403,2.69093,-8.27358,1.12758,0.91394,2.69119,-8.25218,1.20571,0.91564,2.69122
6,700,-8.75755,1.32057,0.89125,2.69161,-8.91336,1.07647,0.89244,2.69094,-8.96246,1.42205,0.89575,2.69095
7,800,-9.24381,1.38280,0.86264,2.69101,-9.52843,1.13001,0.86151,2.69112,-9.42696,1.19497,0.85977,2.69072
8,900,-9.56241,1.67414,0.83140,2.69018,-10.00167,1.38905,0.83305,2.68999,-9.96106,1.47240,0.83005,2.69004
9,1000,-10.20126,1.78524,0.81233,2.68925,-10.50659,1.49543,0.81162,2.68941,-10.44789,1.49967,0.80828,2.68970
10,1100,-10.71152,1.77709,0.79353,2.68851,-11.03047,1.53143,0.79226,2.68837,-11.00139,1.78637,0.79364,2.68915
11,1200,-11.05541,1.90601,0.77335,2.68782,-11.61651,1.82122,0.77429,2.68710,-11.26471,2.45164,0.77328,2.68721
