iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
0,100,-12.75380,38.40200,2.39138,-12.88062,35.72058,2.39420,-12.76488,36.51970,2.40836
1,200,-15.11611,3.61079,2.65740,-15.33040,3.70407,2.67552,-15.30360,3.72719,2.67491
2,300,-15.38478,2.87217,2.63581,-15.47916,3.57735,2.62893,-15.83558,3.01513,2.64625
3,400,-16.82718,3.17280,2.67760,-16.87633,3.54956,2.67372,-17.20834,3.28384,2.68568
4,500,-19.08612,3.66071,2.71183,-19.18501,4.22502,2.70610,-19.42496,4.99023,2.71612
5,600,-21.59028,5.59009,2.79098,-21.71848,7.77948,2.77825,-21.91260,5.51326,2.80694
6,700,-23.92161,5.11597,2.86560,-23.90858,6.47192,2.83774,-24.19405,6.26404,2.85674
7,800,-25.78250,9.30826,2.90489,-25.85900,7.88551,2.91221,-25.92439,7.30229,2.90189
8,900,-27.65313,11.92283,2.94897,-28.39627,11.33356,2.92699,-28.35460,10.33608,2.93567
9,1000,-30.30782,15.89850,2.93605,-30.94625,12.13796,2.93211,-31.19951,13.36531,2.94111
10,1100,-32.51878,11.41072,2.88896,-32.98246,7.63077,2.87089,-32.91080,9.28205,2.89876
11,1200,-35.10603,10.55920,2.84632,-34.85785,9.15682,2.85208,-35.86906,10.83845,2.83967
12,1300,-36.95650,14.29136,2.82502,-37.33897,12.37441,2.84077,-37.55751,12.52715,2.85147
13,1400,-39.16228,14.10319,2.83424,-39.07958,14.72676,2.80480,-39.19812,13.71670,2.81756
14,1500,-41.45865,12.10650,2.76854,-40.94615,11.23681,2.77242,-41.53554,11.28185,2.75220
15,1600,-43.34177,12.47152,2.69270,-42.69668,10.28578,2.70486,-43.24754,11.53232,2.71466
16,1700,-44.32842,13.65364,2.65030,-44.46595,11.78829,2.65108,-45.53093,11.85061,2.65309
17,1800,-46.10995,12.84846,2.64894,-45.54548,17.24083,2.63411,-46.69088,13.57787,2.63625
18,1900,-47.38488,14.86195,2.61104,-47.36464,13.41001,2.57805,-47.88160,13.45187,2.57102
19,2000,-49.07113,13.92969,2.54065,-48.38612,11.64756,2.53510,-49.64376,14.12307,2.54942
20,2100,-50.71734,14.81403,2.49599,-50.03070,12.08670,2.49317,-50.66530,14.85542,2.49320
21,2200,-51.91517,16.06389,2.47764,-50.64579,14.88860,2.44699,-51.48600,18.34455,2.46954
22,2300,-53.66848,21.50294,2.42238,-52.01876,16.42552,2.41723,-52.51419,20.76926,2.40265
23,2400,-53.70047,22.07589,2.35355,-52.72109,15.66014,2.36318,-53.51606,18.12623,2.35322
24,2500,-54.55127,23.17945,2.32458,-53.84626,18.57854,2.34504,-53.77709,20.83619,2.34019
25,2600,-55.59576,20.97042,2.28869,-55.29658,19.93960,2.28189,-55.59543,17.85947,2.30155
26,2700,-57.24357,16.22842,2.26464,-56.01888,11.62586,2.25189,-56.58574,15.45664,2.26193
27,2800,-58.08281,17.40306,2.24660,-56.62183,14.04055,2.26210,-57.34899,13.71776,2.24285
28,2900,-58.62132,13.07180,2.24196,-57.14684,11.20195,2.24262,-58.08572,9.50060,2.24457
29,3000,-59.65137,9.23800,2.23352,-58.23885,8.72751,2.23886,-58.79640,10.13449,2.20124
30,3100,-60.28925,10.12157,2.18851,-59.11509,8.84684,2.18855,-59.97038,12.31437,2.19621
31,3200,-61.37196,13.02535,2.14966,-59.61705,14.59325,2.15655,-60.83375,10.95338,2.16432
32,3300,-62.64087,11.43963,2.10260,-60.42516,9.76013,2.12111,-61.37026,10.48569,2.11064
33,3400,-64.12420,13.06847,2.07622,-61.52993,7.32994,2.09632,-61.91199,9.02836,2.08371
34,3500,-64.54350,10.36946,2.04232,-61.73973,14.17238,2.04678,-62.47488,9.76599,2.04113
35,3600,-65.26643,9.76983,2.00277,-62.93991,22.50635,2.00460,-62.90665,10.74830,1.97052
36,3700,-65.66075,7.41475,1.95667,-62.75850,13.01249,1.95297,-64.09431,9.33973,1.95504
37,3800,-66.11624,10.23130,1.90528,-63.86053,7.22556,1.92012,-63.95853,6.45130,1.90765
38,3900,-66.56293,9.88901,1.87590,-64.43352,7.92352,1.86971,-65.02669,5.83393,1.87670
39,4000,-67.09063,10.81302,1.83122,-65.36078,8.59115,1.84919,-65.50899,9.03787,1.84520
40,4100,-67.89781,14.21170,1.82515,-65.64412,9.87017,1.80791,-65.66455,9.65538,1.80864
41,4200,-67.82116,12.93779,1.77917,-65.56708,9.75190,1.77529,-65.93601,9.04632,1.77085
42,4300,-68.64606,8.99869,1.74386,-65.75682,9.41632,1.74015,-67.04103,9.70410,1.74558
43,4400,-68.89906,9.54400,1.73727,-66.22869,14.16739,1.73436,-67.28955,10.52716,1.73039
44,4500,-68.69932,11.34501,1.69555,-66.13600,11.13790,1.68214,-67.10289,15.62168,1.69030
45,4600,-69.00044,12.99002,1.68156,-66.16628,15.53061,1.67322,-67.60906,12.88520,1.66881
46,4700,-69.16066,13.12544,1.65440,-67.14352,15.97158,1.62656,-67.67620,6.42979,1.66405
47,4800,-69.33951,16.07943,1.62689,-66.88565,11.87218,1.63515,-68.00048,5.15385,1.64162
48,4900,-69.73266,7.35366,1.62884,-66.43224,10.95474,1.61912,-68.00862,4.29105,1.61540
49,5000,-69.98807,4.98488,1.59486,-67.15788,9.40375,1.60696,-67.98594,3.94405,1.60468
50,5100,-70.57246,4.60472,1.57612,-67.09629,6.72601,1.56833,-68.59934,3.53856,1.58479
51,5200,-70.04150,3.88504,1.54870,-67.04105,8.27962,1.54753,-68.35935,5.45488,1.54996
52,5300,-70.50286,3.62178,1.51820,-67.63153,7.55346,1.53523,-68.74376,4.90824,1.53337
