number,rewards,variances,exploration_value
0,[-2.60158 -0.40800 -0.40800],[1.53093 0.17872 0.17872],0.3
100,[-6.11757 0.96308 0.96308],[15.33996 0.77137 0.77137],0.2988
200,[-3.73225 0.98126 0.98126],[2.53477 0.31531 0.31531],0.2976
300,[-3.61322 0.28045 0.28045],[0.77906 0.09078 0.09078],0.2964
400,[-3.52426 0.83198 0.83198],[3.28396 0.07406 0.07406],0.29519999999999996
500,[-2.48756 -0.23578 -0.23578],[8.37198 0.47680 0.47680],0.294
600,[-0.89458 -1.25607 -1.25607],[0.79553 0.59843 0.59843],0.2928
700,[-3.54747 0.37832 0.37832],[8.56107 0.16603 0.16603],0.29159999999999997
800,[-5.79321 0.70814 0.70814],[13.95612 1.07117 1.07117],0.2904
900,[-7.13799 0.87815 0.87815],[9.98048 0.10081 0.10081],0.28919999999999996
1000,[-2.60416 0.08705 0.08705],[3.32004 0.73491 0.73491],0.288
1100,[-4.19806 0.53867 0.53867],[9.51179 0.18255 0.18255],0.2868
1200,[-5.00186 0.76251 0.76251],[13.61812 0.77019 0.77019],0.28559999999999997
1300,[-4.95579 0.74118 0.74118],[14.96402 1.02790 1.02790],0.2844
1400,[-2.10997 0.17390 0.17390],[4.63391 0.42625 0.42625],0.28319999999999995
1500,[-1.10793 -0.47916 -0.47916],[0.35026 0.35254 0.35254],0.282
1600,[-2.18584 -0.25117 -0.25117],[2.16036 0.64306 0.64306],0.2808
1700,[-8.86715 1.14758 1.14758],[28.34400 0.71356 0.71356],0.2796
1800,[-1.45283 0.00060 0.00060],[0.67593 0.64021 0.64021],0.2784
1900,[-0.92497 -0.61818 -0.61818],[0.48803 0.72988 0.72988],0.2772
2000,[-0.44642 -0.98258 -0.98258],[0.12145 0.74925 0.74925],0.276
2100,[-0.61414 -0.80670 -0.80670],[0.34691 0.09566 0.09566],0.2748
2200,[-9.61642 1.39332 1.39332],[25.22056 1.07908 1.07908],0.2736
2300,[-1.30000 -0.23610 -0.23610],[1.40864 0.54471 0.54471],0.2724
2400,[-3.90708 0.24741 0.24741],[9.28415 0.81206 0.81206],0.2712
2500,[-3.71641 0.06360 0.06360],[8.24685 1.18900 1.18900],0.27
2600,[-3.33113 -0.30731 -0.30731],[7.59905 0.61927 0.61927],0.2688
2700,[-5.22136 0.78710 0.78710],[12.95829 1.00989 1.00989],0.2676
2800,[-2.50603 -0.38302 -0.38302],[1.36709 0.82492 0.82492],0.26639999999999997
2900,[-3.17359 0.32279 0.32279],[3.68805 0.26787 0.26787],0.2652
3000,[-4.70293 0.64420 0.64420],[7.63066 1.23446 1.23446],0.264
