number,rewards,variances,exploration_value
0,[-2.60158 -0.40800 -0.40800],[1.53093 0.17872 0.17872],0.3
100,[-5.96667 0.74061 0.74061],[16.81907 0.33854 0.33854],0.2988
200,[-7.66257 1.52883 1.52883],[13.56258 0.62030 0.62030],0.2976
300,[-3.50441 0.54715 0.54715],[4.69356 0.66424 0.66424],0.2964
400,[-6.46605 1.13236 1.13236],[8.97373 0.32551 0.32551],0.29519999999999996
500,[-7.12817 0.95148 0.95148],[4.46604 0.58001 0.58001],0.294
600,[-6.12777 1.14731 1.14731],[2.99853 0.23993 0.23993],0.2928
700,[-7.14391 1.08051 1.08051],[2.81889 0.09903 0.09903],0.29159999999999997
800,[-7.67183 1.08629 1.08629],[5.45508 0.24522 0.24522],0.2904
900,[-6.29858 0.68798 0.68798],[16.59737 0.93930 0.93930],0.28919999999999996
1000,[-5.56737 0.75548 0.75548],[3.85747 0.29355 0.29355],0.288
1100,[-3.61603 -0.01526 -0.01526],[6.90997 0.31753 0.31753],0.2868
1200,[-7.07180 1.23740 1.23740],[7.33340 0.38664 0.38664],0.28559999999999997
1300,[-8.16642 1.09789 1.09789],[11.90584 0.08673 0.08673],0.2844
1400,[-7.47033 1.20862 1.20862],[8.23071 0.87203 0.87203],0.28319999999999995
1500,[-8.27194 0.84890 0.84890],[8.54600 0.38626 0.38626],0.282
1600,[-9.96404 0.72153 0.72153],[12.25303 0.88268 0.88268],0.2808
1700,[-11.32991 2.09689 2.09689],[15.66067 0.80984 0.80984],0.2796
1800,[-7.11492 0.78787 0.78787],[13.57468 0.91746 0.91746],0.2784
1900,[-7.35929 0.46806 0.46806],[11.79463 1.28436 1.28436],0.2772
2000,[-6.39582 0.68460 0.68460],[5.29035 0.05013 0.05013],0.276
2100,[-7.05053 1.19864 1.19864],[8.26527 0.56824 0.56824],0.2748
2200,[-10.26514 1.03906 1.03906],[16.25287 0.92102 0.92102],0.2736
2300,[-5.51130 1.02396 1.02396],[6.97523 0.72938 0.72938],0.2724
2400,[-7.78347 0.22190 0.22190],[6.41953 0.25971 0.25971],0.2712
2500,[-5.97464 0.34298 0.34298],[5.92742 1.47369 1.47369],0.27
2600,[-5.34763 1.09534 1.09534],[5.96389 0.33856 0.33856],0.2688
2700,[-7.19532 0.86993 0.86993],[10.45982 1.50027 1.50027],0.2676
2800,[-7.35931 1.14280 1.14280],[1.37810 0.04787 0.04787],0.26639999999999997
2900,[-9.13034 0.94726 0.94726],[41.73844 1.15786 1.15786],0.2652
3000,[-6.23637 1.30972 1.30972],[6.80635 0.40107 0.40107],0.264
3100,[-7.49294 1.13385 1.13385],[8.47647 0.77262 0.77262],0.2628
3200,[-7.81356 1.71249 1.71249],[5.76816 0.04735 0.04735],0.2616
3300,[-5.64868 0.70868 0.70868],[6.95620 1.75787 1.75787],0.26039999999999996
3400,[-5.60089 0.92885 0.92885],[4.73135 0.48871 0.48871],0.2592
3500,[-7.70793 1.54013 1.54013],[10.06404 0.60625 0.60625],0.258
3600,[-6.56473 0.57899 0.57899],[0.20176 0.21206 0.21206],0.2568
3700,[-10.94596 2.04438 2.04438],[21.71896 0.33630 0.33630],0.2556
3800,[-5.34670 1.13904 1.13904],[3.84212 0.06895 0.06895],0.25439999999999996
3900,[-8.72112 1.38092 1.38092],[3.11615 0.32524 0.32524],0.2532
4000,[-4.29695 0.20907 0.20907],[3.53023 0.25352 0.25352],0.252
