number,rewards,variances,exploration_value
0,[-3.76074 -0.27251 -0.27251],[2.18928 0.49960 0.49960],0.3
100,[-4.57831 0.69267 0.69267],[9.29645 0.10523 0.10523],0.2988
200,[-7.83828 0.96624 0.96624],[17.40313 1.24018 1.24018],0.2976
300,[-4.65251 0.78671 0.78671],[9.63830 0.61887 0.61887],0.2964
400,[-3.68112 0.96052 0.96052],[2.79584 0.19633 0.19633],0.29519999999999996
500,[-5.15760 0.83430 0.83430],[7.66861 0.25174 0.25174],0.294
600,[-3.92609 0.69484 0.69484],[10.71606 0.37071 0.37071],0.2928
700,[-5.47457 0.93896 0.93896],[15.49983 0.80077 0.80077],0.29159999999999997
800,[-4.20773 0.32294 0.32294],[7.46916 0.27790 0.27790],0.2904
900,[-6.39238 0.66966 0.66966],[9.05030 0.97632 0.97632],0.28919999999999996
1000,[-5.58079 0.68791 0.68791],[39.82869 0.80914 0.80914],0.288
1100,[-4.87156 0.70985 0.70985],[12.87299 0.82719 0.82719],0.2868
1200,[-3.89595 0.08105 0.08105],[9.60260 1.80615 1.80615],0.28559999999999997
1300,[-10.53151 1.42857 1.42857],[19.02826 0.91314 0.91314],0.2844
1400,[-5.93163 1.34237 1.34237],[18.10764 0.30005 0.30005],0.28319999999999995
1500,[-7.95852 1.40720 1.40720],[17.55778 0.90350 0.90350],0.282
1600,[-4.92024 0.90043 0.90043],[7.51541 1.05487 1.05487],0.2808
1700,[-4.36669 0.81150 0.81150],[10.36611 0.71768 0.71768],0.2796
1800,[-5.61115 0.68108 0.68108],[7.94939 0.58821 0.58821],0.2784
1900,[-2.02827 -0.15804 -0.15804],[5.51434 1.43126 1.43126],0.2772
2000,[-6.70955 1.08017 1.08017],[17.94027 0.93420 0.93420],0.276
2100,[-10.55969 1.83178 1.83178],[30.22315 0.94474 0.94474],0.2748
2200,[-5.64206 0.67854 0.67854],[10.43586 0.74375 0.74375],0.2736
2300,[-2.18252 -0.09300 -0.09300],[6.37249 0.98226 0.98226],0.2724
2400,[-6.45557 0.82818 0.82818],[20.04531 1.25656 1.25656],0.2712
2500,[-2.63019 0.28933 0.28933],[3.29405 0.33750 0.33750],0.27
2600,[-7.16141 0.67116 0.67116],[27.15430 1.91765 1.91765],0.2688
2700,[-2.57844 0.27974 0.27974],[2.74487 0.07301 0.07301],0.2676
2800,[-3.32025 0.74437 0.74437],[4.18580 0.25615 0.25615],0.26639999999999997
2900,[-4.33033 0.70804 0.70804],[14.93563 0.44670 0.44670],0.2652
3000,[-5.53429 0.96303 0.96303],[5.76358 0.35215 0.35215],0.264
3100,[-6.10078 1.47700 1.47700],[4.89758 0.16226 0.16226],0.2628
3200,[-4.24338 0.84166 0.84166],[9.75819 0.17184 0.17184],0.2616
3300,[-6.10234 1.19065 1.19065],[17.01914 0.46451 0.46451],0.26039999999999996
3400,[-5.51608 0.95554 0.95554],[13.07538 0.17596 0.17596],0.2592
3500,[-5.42218 0.98884 0.98884],[35.09100 0.71749 0.71749],0.258
3600,[-2.46244 0.41633 0.41633],[1.78943 0.21622 0.21622],0.2568
3700,[-2.72655 0.66927 0.66927],[3.54021 0.21208 0.21208],0.2556
3800,[-5.19647 0.62564 0.62564],[15.00908 1.07596 1.07596],0.25439999999999996
3900,[-2.73171 0.02216 0.02216],[4.16328 0.45961 0.45961],0.2532
4000,[-1.75088 0.22567 0.22567],[1.62880 0.39193 0.39193],0.252
4100,[-5.48400 1.13813 1.13813],[11.78454 0.54624 0.54624],0.25079999999999997
4200,[-5.74670 1.11782 1.11782],[9.24122 0.34872 0.34872],0.2496
4300,[-1.95900 0.30795 0.30795],[1.57275 0.17989 0.17989],0.24839999999999998
4400,[-7.94042 1.72584 1.72584],[10.51463 0.67197 0.67197],0.24719999999999998
4500,[-3.43963 0.53594 0.53594],[3.78458 0.62620 0.62620],0.24599999999999997
4600,[-1.96248 0.21255 0.21255],[1.06955 0.02952 0.02952],0.24479999999999996
4700,[-5.49957 0.83743 0.83743],[16.31786 0.53789 0.53789],0.2436
