number,rewards,variances,exploration_value
0,[-3.76074 -0.27251 -0.27251],[2.18928 0.49960 0.49960],0.3
100,[-4.42103 0.45583 0.45583],[8.31992 0.17372 0.17372],0.2988
200,[-7.60648 1.51520 1.51520],[18.42091 1.32510 1.32510],0.2976
300,[-5.07828 1.04556 1.04556],[8.51936 0.33026 0.33026],0.2964
400,[-4.05807 0.82677 0.82677],[3.01775 0.46780 0.46780],0.29519999999999996
500,[-3.16970 0.58074 0.58074],[1.93400 0.21808 0.21808],0.294
600,[-0.80176 0.12849 0.12849],[0.09830 0.05491 0.05491],0.2928
700,[-2.35096 0.32284 0.32284],[2.42694 0.67222 0.67222],0.29159999999999997
800,[-0.90427 -0.11943 -0.11943],[0.27552 0.06798 0.06798],0.2904
900,[-3.00360 0.65634 0.65634],[2.78798 0.28621 0.28621],0.28919999999999996
1000,[-1.23524 -0.16978 -0.16978],[2.31034 0.57977 0.57977],0.288
1100,[-9.33135 1.40905 1.40905],[12.56593 0.39056 0.39056],0.2868
1200,[-3.78000 0.71705 0.71705],[11.19407 0.72037 0.72037],0.28559999999999997
1300,[-3.66951 0.27432 0.27432],[12.60290 1.13920 1.13920],0.2844
1400,[-5.32451 1.18706 1.18706],[11.10338 0.38970 0.38970],0.28319999999999995
1500,[-2.65887 0.18089 0.18089],[2.38552 0.16550 0.16550],0.282
1600,[-2.91179 0.42349 0.42349],[3.29007 0.31050 0.31050],0.2808
1700,[-2.49289 0.28632 0.28632],[1.12788 0.12105 0.12105],0.2796
1800,[-3.18435 0.16041 0.16041],[2.56532 0.68200 0.68200],0.2784
1900,[-1.79483 0.08293 0.08293],[0.76285 0.14764 0.14764],0.2772
2000,[-4.82131 0.54891 0.54891],[14.27127 1.01268 1.01268],0.276
2100,[-4.78030 0.77351 0.77351],[12.99212 0.85575 0.85575],0.2748
2200,[-2.27707 0.18886 0.18886],[6.62063 0.47243 0.47243],0.2736
2300,[-1.62216 -0.04155 -0.04155],[0.18547 0.19820 0.19820],0.2724
2400,[-2.22862 -0.27498 -0.27498],[1.65173 1.39363 1.39363],0.2712
2500,[-2.62722 0.14867 0.14867],[2.75461 0.03278 0.03278],0.27
2600,[-1.81822 -0.23229 -0.23229],[0.64872 0.42892 0.42892],0.2688
2700,[-1.34178 0.02690 0.02690],[0.97471 0.53759 0.53759],0.2676
2800,[-0.65063 -0.03887 -0.03887],[0.17896 0.30325 0.30325],0.26639999999999997
2900,[-1.07547 0.26518 0.26518],[0.23722 0.07524 0.07524],0.2652
3000,[-0.90451 -0.05225 -0.05225],[0.40217 0.13762 0.13762],0.264
3100,[-0.94176 0.18901 0.18901],[0.45747 0.10075 0.10075],0.2628
3200,[-0.68721 0.09341 0.09341],[0.14592 0.19683 0.19683],0.2616
3300,[-0.72230 0.11114 0.11114],[0.04527 0.01758 0.01758],0.26039999999999996
3400,[-0.92841 0.30163 0.30163],[0.23229 0.04830 0.04830],0.2592
3500,[-1.54268 0.59969 0.59969],[1.44929 0.32894 0.32894],0.258
3600,[-1.35862 0.57420 0.57420],[1.58195 0.41702 0.41702],0.2568
3700,[-0.86001 0.29023 0.29023],[0.34815 0.03134 0.03134],0.2556
3800,[-1.19642 0.33120 0.33120],[1.77647 0.36569 0.36569],0.25439999999999996
3900,[-0.89429 0.20297 0.20297],[0.88423 0.21609 0.21609],0.2532
4000,[-0.38545 0.03908 0.03908],[0.12078 0.06362 0.06362],0.252
4100,[-0.47615 0.21079 0.21079],[0.24553 0.13402 0.13402],0.25079999999999997
4200,[-1.06852 0.35201 0.35201],[0.68981 0.29701 0.29701],0.2496
4300,[-0.44848 0.07824 0.07824],[0.12830 0.13055 0.13055],0.24839999999999998
4400,[-0.53997 0.19055 0.19055],[0.17272 0.23597 0.23597],0.24719999999999998
4500,[-1.22537 0.35804 0.35804],[0.62321 0.15232 0.15232],0.24599999999999997
4600,[-0.73778 0.32196 0.32196],[0.61392 0.17819 0.17819],0.24479999999999996
4700,[-0.80690 0.27869 0.27869],[0.05951 0.02334 0.02334],0.2436
4800,[-1.00887 0.42023 0.42023],[0.13502 0.05258 0.05258],0.2424
4900,[-0.31395 0.17829 0.17829],[0.01199 0.01147 0.01147],0.2412
5000,[-0.58721 0.21560 0.21560],[0.41391 0.14445 0.14445],0.24
5100,[-0.93623 0.37603 0.37603],[1.06960 0.23627 0.23627],0.2388
5200,[-1.01660 0.48847 0.48847],[0.26522 0.10579 0.10579],0.2376
5300,[-1.15861 0.51409 0.51409],[0.28189 0.07806 0.07806],0.2364
5400,[-0.46632 0.12308 0.12308],[0.05973 0.04881 0.04881],0.2352
5500,[-0.42139 0.05763 0.05763],[0.04827 0.01946 0.01946],0.23399999999999999
5600,[-0.72047 0.27900 0.27900],[0.09674 0.02474 0.02474],0.2328
5700,[-0.92496 0.39189 0.39189],[0.80480 0.27044 0.27044],0.2316
5800,[-0.94706 0.27681 0.27681],[0.08783 0.00732 0.00732],0.2304
5900,[-0.95127 0.42510 0.42510],[0.35741 0.05136 0.05136],0.2292
6000,[-0.51869 0.05143 0.05143],[0.18497 0.05112 0.05112],0.22799999999999998
6100,[-0.31957 -0.07904 -0.07904],[0.07234 0.00329 0.00329],0.2268
6200,[-0.65459 0.30832 0.30832],[0.21112 0.13867 0.13867],0.2256
6300,[-0.37653 0.21076 0.21076],[0.01516 0.02536 0.02536],0.2244
6400,[-0.76749 0.38446 0.38446],[0.81737 0.09418 0.09418],0.22319999999999998
6500,[-0.40971 0.26848 0.26848],[0.08770 0.02263 0.02263],0.222
6600,[-1.31766 0.50311 0.50311],[0.48692 0.11866 0.11866],0.2208
6700,[-0.67542 0.29050 0.29050],[0.11515 0.04418 0.04418],0.2196
6800,[-1.03984 0.44271 0.44271],[0.76039 0.14277 0.14277],0.21839999999999998
6900,[-0.62545 0.22937 0.22937],[0.14980 0.07697 0.07697],0.21719999999999998
7000,[-0.74895 0.34217 0.34217],[0.30590 0.07310 0.07310],0.216
7100,[-1.16783 0.36447 0.36447],[1.59673 0.38672 0.38672],0.2148
7200,[-0.43460 0.07968 0.07968],[0.05212 0.01721 0.01721],0.21359999999999998
7300,[-0.73291 0.20072 0.20072],[0.03899 0.11937 0.11937],0.21239999999999998
7400,[-0.56637 0.19631 0.19631],[0.11777 0.04732 0.04732],0.21119999999999997
7500,[-0.86821 0.52962 0.52962],[0.97073 0.10438 0.10438],0.21
7600,[-2.04814 0.81641 0.81641],[3.49866 0.32968 0.32968],0.20879999999999999
7700,[-0.26431 0.03322 0.03322],[0.00616 0.01923 0.01923],0.20759999999999998
7800,[-0.33253 0.08851 0.08851],[0.01923 0.04144 0.04144],0.20639999999999997
7900,[-0.51406 0.07802 0.07802],[0.03342 0.00393 0.00393],0.20520000000000002
8000,[-1.38204 0.69860 0.69860],[1.13073 0.12008 0.12008],0.20400000000000001
8100,[-1.02264 0.49229 0.49229],[0.04460 0.04762 0.04762],0.2028
8200,[-0.67527 0.31304 0.31304],[0.16595 0.10841 0.10841],0.2016
8300,[-0.55206 0.19727 0.19727],[0.40905 0.25265 0.25265],0.2004
8400,[-1.42226 0.63564 0.63564],[0.40170 0.12991 0.12991],0.19920000000000002
8500,[-1.33072 0.60131 0.60131],[0.56961 0.15852 0.15852],0.198
8600,[-0.94255 0.37971 0.37971],[1.39998 0.17387 0.17387],0.1968
8700,[-1.35697 0.69537 0.69537],[1.48394 0.26831 0.26831],0.1956
8800,[-1.13856 0.54780 0.54780],[0.30924 0.09891 0.09891],0.1944
8900,[-0.81311 0.44157 0.44157],[0.43364 0.06144 0.06144],0.1932
9000,[-0.73900 0.42391 0.42391],[0.31495 0.12297 0.12297],0.192
9100,[-1.14120 0.58714 0.58714],[0.45449 0.13477 0.13477],0.1908
9200,[-1.26391 0.26311 0.26311],[1.57927 0.21129 0.21129],0.1896
9300,[-1.36686 0.66217 0.66217],[1.17777 0.14363 0.14363],0.18839999999999998
9400,[-0.52678 0.31678 0.31678],[0.38786 0.15234 0.15234],0.1872
9500,[-1.34268 0.42456 0.42456],[0.94447 0.12323 0.12323],0.186
9600,[-0.92233 0.34835 0.34835],[0.96483 0.10503 0.10503],0.1848
9700,[-0.87968 0.30069 0.30069],[0.38909 0.10340 0.10340],0.18359999999999999
9800,[-1.84967 0.66802 0.66802],[2.55354 0.30600 0.30600],0.18239999999999998
9900,[-0.67677 0.05625 0.05625],[0.21582 0.06226 0.06226],0.1812
10000,[-0.93093 0.34331 0.34331],[1.50698 0.31848 0.31848],0.18
10100,[-1.16429 0.58334 0.58334],[1.00276 0.11770 0.11770],0.1788
10200,[-0.99145 0.53390 0.53390],[0.43644 0.20098 0.20098],0.17759999999999998
10300,[-0.74586 0.16268 0.16268],[0.46019 0.06924 0.06924],0.17639999999999997
10400,[-0.71066 0.23182 0.23182],[0.02032 0.05247 0.05247],0.1752
10500,[-0.53105 0.17526 0.17526],[0.11580 0.04693 0.04693],0.174
10600,[-0.88178 0.38530 0.38530],[0.45851 0.15163 0.15163],0.17279999999999998
10700,[-0.76320 0.30910 0.30910],[0.12009 0.05342 0.05342],0.17159999999999997
10800,[-1.43519 0.34351 0.34351],[4.01042 0.52499 0.52499],0.17039999999999997
10900,[-0.83688 0.30850 0.30850],[0.53096 0.16321 0.16321],0.1692
11000,[-0.55128 0.21532 0.21532],[0.18305 0.06484 0.06484],0.168
11100,[-0.46304 0.16314 0.16314],[0.04077 0.02592 0.02592],0.1668
11200,[-0.83581 0.40421 0.40421],[0.67995 0.17407 0.17407],0.1656
11300,[-0.70266 0.28941 0.28941],[0.37112 0.07365 0.07365],0.16440000000000002
11400,[-0.64763 0.26663 0.26663],[0.03122 0.02874 0.02874],0.1632
11500,[-0.68212 0.27572 0.27572],[0.35073 0.17220 0.17220],0.162
11600,[-0.50398 0.31821 0.31821],[0.02941 0.03733 0.03733],0.1608
11700,[-1.13529 0.45034 0.45034],[0.88194 0.25457 0.25457],0.1596
11800,[-1.01014 0.51284 0.51284],[0.42777 0.19305 0.19305],0.1584
11900,[-0.45284 0.07572 0.07572],[0.01772 0.11195 0.11195],0.1572
12000,[-1.01644 0.46185 0.46185],[0.70243 0.09766 0.09766],0.156
12100,[-0.31964 0.12531 0.12531],[0.05799 0.03972 0.03972],0.1548
12200,[-0.69906 0.07302 0.07302],[0.83625 0.08557 0.08557],0.1536
12300,[-0.84649 0.24622 0.24622],[0.21312 0.09154 0.09154],0.1524
12400,[-0.54569 0.20093 0.20093],[0.29585 0.16564 0.16564],0.1512
12500,[-0.71402 0.35698 0.35698],[0.24612 0.16487 0.16487],0.15
12600,[-0.75453 0.13694 0.13694],[0.48489 0.27239 0.27239],0.1488
12700,[-1.24438 0.43762 0.43762],[2.03761 0.20393 0.20393],0.14759999999999998
12800,[-0.63109 0.13285 0.13285],[0.11751 0.12246 0.12246],0.1464
12900,[-0.38250 -0.09126 -0.09126],[0.02019 0.02449 0.02449],0.1452
13000,[-0.55937 0.25371 0.25371],[0.06494 0.05629 0.05629],0.144
13100,[-1.09943 0.48593 0.48593],[0.39380 0.09045 0.09045],0.14279999999999998
13200,[-0.36518 -0.03217 -0.03217],[0.06896 0.07487 0.07487],0.14159999999999998
13300,[-0.63275 0.33918 0.33918],[0.12516 0.03575 0.03575],0.1404
13400,[-0.29860 0.06496 0.06496],[0.04315 0.03561 0.03561],0.1392
13500,[-0.42391 -0.12628 -0.12628],[0.19472 0.07520 0.07520],0.138
13600,[-1.36147 0.40662 0.40662],[1.59708 0.45064 0.45064],0.1368
13700,[-0.39551 0.10824 0.10824],[0.03805 0.03753 0.03753],0.1356
13800,[-0.61726 0.14002 0.14002],[0.51235 0.28659 0.28659],0.1344
13900,[-0.51952 0.06656 0.06656],[0.06391 0.03034 0.03034],0.13319999999999999
14000,[-0.92669 0.25622 0.25622],[0.09616 0.09559 0.09559],0.132
14100,[-0.84792 0.25179 0.25179],[0.22621 0.08029 0.08029],0.1308
14200,[-1.09389 0.22819 0.22819],[0.47036 0.17560 0.17560],0.1296
14300,[-0.48330 -0.02656 -0.02656],[0.08254 0.11173 0.11173],0.1284
14400,[-0.28330 0.01926 0.01926],[0.01398 0.01494 0.01494],0.12719999999999998
