iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,-4.39664,4.33770,0.76674,1.61544,-4.86511,5.02556,0.92477,1.61809,-5.60876,4.03145,1.03777,1.61579
1,200,-5.27760,1.25259,0.91317,1.62481,-5.82783,1.27315,1.00064,1.61710,-6.85749,1.48065,1.20048,1.61636
2,300,-5.81277,1.07756,0.91073,1.63503,-6.63013,1.20134,1.01038,1.61427,-7.44253,1.24198,1.16580,1.61168
3,400,-6.49082,1.22800,0.90951,1.63618,-7.84121,1.19571,1.11099,1.61397,-8.08447,1.30434,1.13010,1.61103
4,500,-7.40002,1.33484,0.97066,1.64509,-8.85617,1.68173,1.16469,1.61445,-8.54876,1.35344,1.11553,1.60965
5,600,-8.16243,1.78250,0.99669,1.64896,-9.91612,1.72294,1.19062,1.61615,-9.45019,1.42388,1.10910,1.60949
6,700,-8.83604,1.32166,1.00363,1.65038,-10.81025,1.51292,1.19570,1.61577,-10.08370,1.44493,1.11017,1.60885
7,800,-9.53686,1.73448,0.99762,1.64665,-11.59969,1.93200,1.17896,1.61635,-10.95589,1.64687,1.09524,1.60929
8,900,-10.24188,1.36671,0.97286,1.64394,-12.66754,2.31522,1.18965,1.61637,-11.90332,1.38094,1.08511,1.60950
9,1000,-10.81577,1.92775,0.93843,1.64389,-13.54852,2.32421,1.19917,1.61477,-12.70520,1.97868,1.08063,1.60959
10,1100,-11.40318,1.98168,0.92517,1.64375,-14.40852,2.55685,1.21348,1.61401,-13.40499,1.80297,1.07634,1.60941
11,1200,-12.14018,2.26259,0.92344,1.64267,-15.23891,2.50916,1.20755,1.61375,-14.11812,2.36024,1.06641,1.60993
12,1300,-12.67572,2.60530,0.90405,1.63917,-16.05653,2.67358,1.17761,1.61550,-15.15088,2.86786,1.05670,1.60743
13,1400,-13.42624,2.48077,0.88848,1.63666,-17.17680,3.40001,1.15704,1.61562,-15.90013,3.18635,1.06532,1.60519
14,1500,-13.91750,2.86495,0.88184,1.63473,-17.91442,2.86338,1.15931,1.61418,-16.67738,2.87847,1.05491,1.60472
15,1600,-14.45953,3.12775,0.86959,1.63280,-18.80992,3.63866,1.16790,1.61415,-17.07073,3.70334,1.04835,1.60464
16,1700,-15.18614,2.70712,0.85008,1.63081,-19.57241,3.92023,1.16457,1.61374,-18.08072,3.03721,1.04135,1.60308
17,1800,-15.43155,2.61970,0.83415,1.63158,-20.20881,2.99839,1.15218,1.61436,-18.58482,2.60641,1.02914,1.60151
18,1900,-15.85798,2.41309,0.84019,1.63265,-20.54812,3.26718,1.14924,1.61397,-18.86493,2.69877,1.02070,1.60146
19,2000,-16.49504,2.86359,0.83907,1.63299,-21.32916,3.17030,1.11456,1.61476,-19.71951,3.48868,1.00417,1.60157
20,2100,-17.08778,3.49362,0.84207,1.63462,-22.29461,4.16786,1.11579,1.61401,-20.38021,4.15211,0.99441,1.60115
21,2200,-17.63826,3.58702,0.84309,1.63354,-23.07796,4.37237,1.11382,1.61366,-21.00469,4.78163,0.99196,1.59980
22,2300,-18.30719,3.70497,0.83426,1.63355,-23.77468,5.23613,1.10494,1.61247,-21.68538,4.61444,0.99440,1.59883
23,2400,-18.62660,3.35627,0.82896,1.63342,-24.60741,4.68602,1.11277,1.61163,-22.17570,4.27405,0.99699,1.59828
24,2500,-19.29391,3.78585,0.82021,1.63291,-25.14030,4.18684,1.09641,1.61110,-22.95403,3.93459,1.00253,1.59705
25,2600,-19.41654,3.28920,0.82472,1.63412,-25.26928,3.39941,1.07086,1.61132,-23.29035,4.76652,0.98575,1.59699
26,2700,-19.88111,1.92474,0.82632,1.63457,-25.63965,3.46899,1.06016,1.61158,-23.44356,3.30792,0.97352,1.59715
27,2800,-20.36067,2.60362,0.81871,1.63471,-26.20512,3.36391,1.05365,1.61127,-24.16304,2.84831,0.97140,1.59720
28,2900,-20.85358,1.94044,0.81136,1.63519,-27.22290,2.89105,1.04614,1.61038,-24.59947,2.55779,0.96630,1.59748
29,3000,-21.40524,2.00815,0.80479,1.63497,-27.49170,2.01100,1.02136,1.61006,-25.08912,2.78163,0.95353,1.59688
