iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
0,100,-12.50711,32.78780,2.42502,-12.51801,37.79551,2.36388,-15.08927,30.58492,2.94944
1,200,-14.87431,4.87179,2.61356,-14.12921,3.28043,2.49343,-19.70824,5.58174,3.50624
2,300,-15.29947,2.64881,2.44724,-15.08833,2.16969,2.45833,-18.79271,3.21185,3.09030
3,400,-16.58897,2.44272,2.46159,-17.14746,2.87043,2.58043,-19.88060,5.31407,2.93598
4,500,-17.71752,2.50640,2.53238,-20.04866,3.65416,2.80977,-22.61252,5.40424,3.14048
5,600,-19.83078,3.31815,2.51975,-22.80611,4.43792,2.94536,-24.50509,5.37459,3.17735
6,700,-20.94346,5.36290,2.45597,-24.05952,4.79405,2.88757,-26.51667,9.70428,3.23831
7,800,-23.06410,7.52598,2.49160,-27.28509,9.35605,2.96712,-30.16673,11.34372,3.24663
8,900,-24.84319,8.60764,2.51523,-28.93912,7.09730,2.93579,-31.75056,17.85771,3.25656
9,1000,-27.99864,10.63070,2.58435,-31.45464,9.82566,2.92750,-36.33717,14.06044,3.34744
10,1100,-30.01468,12.86785,2.68906,-33.74904,10.44834,2.96483,-37.14774,21.24678,3.27416
11,1200,-31.69766,8.34420,2.68227,-35.82353,7.92052,2.96073,-39.88597,13.34039,3.20875
12,1300,-34.16405,8.40209,2.66660,-38.05024,8.22163,2.90655,-41.75906,8.42007,3.17186
13,1400,-36.56308,7.03334,2.69220,-40.47510,6.26781,2.95980,-44.64876,11.77664,3.19585
14,1500,-38.57834,9.21517,2.73132,-42.99055,7.10640,3.02179,-46.66695,16.55910,3.12643
15,1600,-40.09831,10.24536,2.70865,-45.49698,12.70210,3.00464,-48.37403,25.22234,3.07723
16,1700,-42.55551,15.96206,2.71139,-47.20549,17.15248,2.97780,-51.15910,26.88941,3.07351
17,1800,-44.47704,13.34658,2.68041,-49.93504,15.31574,2.97592,-53.02196,28.25561,3.02831
18,1900,-46.38676,19.45098,2.67720,-51.87971,17.27080,2.95827,-54.50985,27.77721,2.97882
19,2000,-48.16785,15.44420,2.68119,-53.88414,18.15733,2.94483,-56.59433,26.81231,2.98253
20,2100,-50.68017,11.43387,2.67876,-56.11861,10.48854,2.96077,-59.18050,13.66134,3.04620
21,2200,-52.47376,12.26972,2.68699,-58.13335,12.71466,2.93987,-60.92259,27.51570,3.05775
22,2300,-54.07268,14.40039,2.70311,-59.77264,14.59282,2.91521,-62.86031,30.17314,3.13650
23,2400,-54.59402,20.22012,2.69304,-60.70879,30.34105,2.92596,-63.66219,37.64770,3.11537
24,2500,-56.53481,21.17996,2.72238,-62.92626,22.18184,2.96053,-66.16056,35.92776,3.18084
25,2600,-57.61667,26.96861,2.75005,-64.92762,22.30347,2.98412,-67.50568,45.85327,3.16105
26,2700,-60.18950,30.73928,2.69245,-66.25579,31.50035,2.96565,-69.91203,52.22126,3.14457
27,2800,-61.09955,35.09625,2.70233,-68.82967,35.12508,3.03037,-71.21531,59.55342,3.15622
28,2900,-62.90859,33.53702,2.68035,-70.60852,34.55099,3.03939,-73.62621,72.85692,3.19733
29,3000,-64.04605,32.89574,2.64323,-72.82051,29.83543,3.00179,-75.77250,56.35605,3.15499
30,3100,-66.38875,20.84546,2.60975,-74.20605,15.66622,3.00834,-78.10199,42.41830,3.16053
31,3200,-66.87068,17.00662,2.60206,-75.29593,14.73234,2.94953,-80.15865,30.28416,3.19916
32,3300,-68.14983,16.00271,2.56250,-77.22079,17.92202,3.01987,-81.81453,25.41244,3.18157
33,3400,-69.37922,17.39135,2.58331,-79.42929,12.58233,2.99893,-83.59975,18.28104,3.24729
34,3500,-70.58407,16.92177,2.56269,-81.02638,10.40262,3.05812,-85.30290,16.82021,3.25433
35,3600,-71.84378,10.32129,2.55879,-82.35154,16.44032,3.07047,-87.50904,19.22157,3.24810
36,3700,-74.01984,21.14147,2.56012,-84.02276,14.64685,3.05408,-89.09101,13.98538,3.29359
37,3800,-74.04169,15.56429,2.56959,-85.03519,13.23501,3.07422,-90.09813,16.83279,3.25678
38,3900,-75.98458,15.25019,2.55181,-86.59131,14.28523,3.10259,-92.53367,24.92939,3.32251
39,4000,-76.86052,9.10230,2.54382,-88.09186,20.38111,3.11249,-94.04978,31.00084,3.36097
40,4100,-77.88143,9.09490,2.54531,-89.61893,20.77123,3.06881,-96.58898,24.88868,3.38218
41,4200,-80.17178,13.92192,2.54313,-91.37458,10.31050,3.15354,-97.42779,21.33589,3.40687
42,4300,-80.46079,12.12785,2.52826,-91.93967,14.16425,3.11788,-99.40400,18.72644,3.45857
43,4400,-81.03824,15.63525,2.52118,-94.36721,21.72327,3.09983,-101.10728,34.92598,3.49147
44,4500,-82.40665,16.28409,2.51498,-94.90981,17.47960,3.10483,-102.61564,32.71010,3.48943
45,4600,-83.53161,9.22780,2.48070,-96.65537,18.64979,3.11318,-104.26219,27.05125,3.51047
46,4700,-84.60238,11.09166,2.49249,-98.33911,24.00654,3.08073,-106.07993,29.66419,3.51455
47,4800,-85.98276,6.85168,2.48819,-99.30591,15.43447,3.07395,-109.18729,17.16495,3.56852
48,4900,-87.21175,9.22730,2.50601,-101.09880,16.18144,3.04028,-109.87466,15.74588,3.57618
49,5000,-87.86675,9.75276,2.50568,-100.86122,18.04411,3.01445,-111.81863,15.76126,3.52486
50,5100,-88.96157,8.85441,2.48415,-103.71663,14.00342,3.00426,-112.58884,12.92486,3.51300
51,5200,-89.23864,12.56194,2.46365,-104.04766,19.03458,3.06317,-114.85171,16.29479,3.51342
52,5300,-89.62526,10.26955,2.46685,-104.84113,21.66864,2.99981,-115.90311,35.31138,3.46140
53,5400,-90.23477,8.25911,2.44651,-106.20049,19.77058,2.97358,-116.53991,21.88341,3.45599
54,5500,-90.79951,7.72234,2.41669,-107.15604,11.57669,2.97710,-118.91934,19.00551,3.43882
55,5600,-92.37164,8.40155,2.42476,-109.48396,8.69002,2.99131,-121.10114,18.96239,3.44999
56,5700,-92.07040,10.67288,2.41496,-109.61579,11.43265,2.90397,-121.23713,13.11627,3.40890
57,5800,-93.35486,5.53660,2.38847,-109.58009,8.10020,2.91716,-122.40427,8.14661,3.38351
58,5900,-93.60568,2.65899,2.40099,-110.63067,7.07194,2.86609,-124.16572,18.39277,3.37298
59,6000,-94.01466,3.80075,2.37155,-112.47798,11.32177,2.85414,-124.33320,14.12056,3.39826
60,6100,-94.59771,9.84298,2.35648,-112.14148,12.45091,2.80322,-125.79870,16.59012,3.32700
61,6200,-96.13030,18.15271,2.37306,-113.89420,18.00022,2.81213,-124.83199,27.04228,3.30076
62,6300,-96.83235,6.77351,2.32969,-114.07669,19.98636,2.81004,-130.14932,52.96480,3.28406
63,6400,-96.37430,5.76440,2.34399,-114.59218,17.23825,2.75536,-127.16225,36.58083,3.20495
64,6500,-96.79081,11.96783,2.30027,-115.63950,29.61869,2.74673,-127.91003,31.12524,3.18147
65,6600,-96.79789,7.95786,2.29730,-115.55946,13.15194,2.67688,-129.44339,17.47416,3.17613
66,6700,-97.26874,9.79994,2.26173,-115.22674,11.62477,2.63645,-129.20782,27.50609,3.10455
67,6800,-97.89487,10.37335,2.26129,-114.71120,14.37039,2.61130,-130.69933,9.40711,3.09462
68,6900,-97.56485,7.02855,2.22100,-115.93862,8.27066,2.61004,-130.64086,5.40302,3.05991
69,7000,-98.20452,18.26604,2.20352,-115.81695,14.31493,2.56470,-130.04312,6.69593,3.01080
70,7100,-99.20025,12.36341,2.20090,-116.78132,18.12034,2.57245,-130.69856,8.16847,3.03145
71,7200,-99.09716,4.92585,2.16700,-115.82688,22.40003,2.55460,-131.15388,8.62288,2.99816
72,7300,-98.90558,8.76385,2.17680,-115.85770,23.19097,2.51902,-131.71871,12.08357,2.99270
73,7400,-98.81094,5.32337,2.11771,-116.62346,17.10591,2.51790,-131.60817,13.61251,2.94428
74,7500,-98.51022,6.10380,2.13110,-116.67335,16.19257,2.51030,-131.59924,13.44536,2.88390
75,7600,-99.66105,11.54161,2.11311,-117.07533,23.47867,2.46960,-132.79444,16.34917,2.89659
76,7700,-100.33886,14.57024,2.08617,-116.58849,19.95561,2.43353,-132.38269,37.32740,2.85311
77,7800,-99.02978,12.06252,2.07236,-115.76930,16.15851,2.44266,-132.07229,35.23692,2.84152
78,7900,-100.01375,9.63102,2.06477,-116.38261,16.36953,2.42739,-132.03657,22.20944,2.84946
79,8000,-99.84868,4.77893,2.04765,-115.98016,17.93355,2.39675,-133.32529,35.70217,2.82434
80,8100,-100.57037,29.72851,2.04347,-115.24151,11.91864,2.39279,-132.62278,18.53572,2.79990
81,8200,-100.01655,15.18943,2.01828,-115.81931,4.12245,2.37806,-132.74667,32.19306,2.77541
82,8300,-100.48515,9.12314,2.00993,-115.08452,3.88558,2.35186,-131.79999,18.28834,2.70786
83,8400,-99.64154,4.77641,1.99445,-115.88974,5.86276,2.32384,-131.27969,16.07602,2.73626
84,8500,-99.89157,10.98731,1.99961,-115.97755,9.75916,2.31071,-131.37900,11.82511,2.69588
85,8600,-100.17399,7.02271,1.95866,-115.85076,10.08245,2.30142,-132.41486,10.59574,2.72659
86,8700,-98.91421,7.03988,1.98122,-114.83983,10.90647,2.27605,-132.79687,10.22949,2.72389
87,8800,-98.71680,6.80821,1.96170,-114.83917,7.36598,2.29967,-131.61566,11.97876,2.68940
88,8900,-99.48653,6.01514,1.95425,-115.06458,5.94280,2.31880,-131.47929,10.33241,2.67183
89,9000,-99.86609,9.23757,1.94695,-114.87135,4.10432,2.29180,-131.29073,10.30086,2.66182
90,9100,-99.43236,6.49642,1.92127,-114.75008,3.87970,2.26868,-132.46877,9.49914,2.60707
91,9200,-99.00647,4.93081,1.90865,-114.83250,13.74706,2.22308,-131.78084,8.78415,2.62897
92,9300,-99.27538,9.10069,1.88854,-114.47753,8.67983,2.25005,-130.76861,6.95062,2.62653
93,9400,-98.46800,3.94714,1.87128,-114.47551,6.68220,2.19175,-132.00591,10.94749,2.59866
94,9500,-98.45160,3.08468,1.86739,-113.63669,7.22755,2.19600,-130.95321,9.86210,2.58910
95,9600,-98.14491,2.88133,1.84018,-114.01043,8.67614,2.18760,-130.61508,12.63139,2.56814
96,9700,-97.67633,3.23323,1.85767,-113.60193,10.72143,2.17804,-131.35133,9.61479,2.55652
97,9800,-98.20761,10.62250,1.84198,-112.90785,7.28731,2.17627,-130.54974,8.21983,2.51532
98,9900,-99.18781,13.06252,1.81846,-113.17790,8.09996,2.14003,-129.62098,8.89252,2.52650
99,10000,-98.09674,12.37179,1.81716,-112.82985,6.51159,2.14537,-130.35258,8.32001,2.52784
100,10100,-96.73261,9.82054,1.78409,-112.09662,6.67211,2.11317,-129.50359,7.75215,2.50152
101,10200,-97.07617,7.71371,1.78809,-111.77702,6.86193,2.10469,-129.55265,11.51900,2.50008
102,10300,-97.01118,9.03130,1.76862,-111.52175,6.64080,2.10222,-128.79994,27.02277,2.46367
103,10400,-97.33752,18.39308,1.76300,-110.67358,6.79912,2.08149,-128.43198,18.46873,2.47525
104,10500,-95.99787,16.85248,1.75479,-110.45826,5.49382,2.04948,-128.39589,18.14505,2.43968
105,10600,-96.77642,5.93049,1.73964,-111.20673,13.76502,2.05266,-128.19419,9.37103,2.40598
106,10700,-96.74109,4.84929,1.72503,-109.61026,14.49833,2.03654,-128.16600,11.55922,2.40200
107,10800,-95.88400,9.53165,1.71098,-111.19508,14.51671,2.01343,-128.04722,10.73645,2.35324
108,10900,-95.98427,11.07128,1.71134,-109.99885,7.75678,2.04520,-126.60130,8.22475,2.36147
109,11000,-95.56576,7.54535,1.68397,-109.86105,4.52266,2.01531,-126.07032,7.40425,2.35662
110,11100,-94.72952,7.42105,1.68581,-109.46688,2.70835,2.01495,-126.65635,6.73477,2.33073
111,11200,-95.40999,10.86740,1.67280,-108.75187,2.77910,1.98440,-126.68973,16.22244,2.34137
112,11300,-94.02036,10.39987,1.66887,-108.23599,2.43982,1.94784,-125.19963,9.79995,2.32744
113,11400,-94.09764,7.12802,1.65285,-107.80574,2.50060,1.95189,-124.95337,7.23232,2.29970
114,11500,-93.55305,5.89153,1.63557,-107.35022,2.86707,1.92713,-124.68624,6.65310,2.30717
115,11600,-93.32539,4.16261,1.63007,-106.89588,2.69559,1.92583,-124.83184,8.07796,2.28519
116,11700,-93.57986,3.32943,1.63190,-106.61300,2.71688,1.90225,-124.10074,17.07259,2.27894
117,11800,-92.53356,4.93818,1.63169,-106.17606,2.76820,1.90554,-123.76989,13.35228,2.23097
118,11900,-92.30392,4.78439,1.60397,-105.88834,2.71073,1.88159,-122.70425,12.59142,2.21105
119,12000,-91.98743,7.06328,1.60333,-105.75542,2.67370,1.88340,-122.25929,7.29589,2.21488
120,12100,-91.09147,6.62152,1.60207,-105.42324,2.43517,1.88688,-122.31464,23.03887,2.22137
121,12200,-91.20795,7.07464,1.60224,-105.03017,2.52547,1.89118,-122.74594,7.18787,2.18801
122,12300,-90.97469,15.53293,1.59276,-104.60083,2.50465,1.88203,-122.35076,7.21816,2.18916
123,12400,-90.67508,4.76387,1.59239,-104.43950,2.18434,1.89079,-121.08237,4.97666,2.14109
124,12500,-90.29495,7.35899,1.57439,-104.03819,2.59832,1.90173,-121.46989,9.69104,2.17283
