iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
0,100,0.12505,0.88065,0.01384,0.94752,0.01268,0.98434
1,200,0.10368,0.83661,0.01919,0.78438,-0.00558,0.83959
2,300,0.11067,0.82972,0.01726,0.77369,0.01004,0.83331
3,400,0.06298,0.83564,-0.01449,0.92186,0.04138,0.80782
4,500,0.02642,0.91803,0.01864,0.90105,0.02276,0.82424
5,600,0.03440,0.84046,0.00895,0.88767,0.02405,0.86504
6,700,0.01611,0.79097,-0.02347,0.85966,-0.00892,0.85139
7,800,0.00238,0.82848,-0.04580,1.08272,-0.00263,0.88235
8,900,-0.00047,0.84178,-0.04375,0.89802,0.00655,0.90035
9,1000,-0.00318,0.81896,-0.02223,0.82625,0.02929,0.89723
10,1100,-0.01916,0.89425,-0.05734,0.91033,0.02690,0.84606
11,1200,-0.00575,0.98202,-0.02399,0.87363,0.04519,0.88317
12,1300,-0.02033,1.01463,-0.04795,0.89629,0.01359,0.90183
13,1400,-0.01043,0.90839,-0.02763,0.81206,0.03343,0.93725
14,1500,-0.02008,1.00315,-0.02831,0.86883,0.06311,0.88744
15,1600,0.00326,0.83671,-0.06449,0.85464,-0.03159,0.86683
16,1700,0.00344,0.93931,-0.00847,0.87890,0.05649,0.97821
17,1800,0.00369,0.87770,-0.08291,1.01710,0.08293,0.91324
18,1900,-0.01057,0.87628,-0.11334,0.91985,-0.05021,0.92562
19,2000,-0.01118,0.84930,-0.04212,0.87250,-0.04486,0.98780
20,2100,0.04342,0.79568,-0.08113,0.85997,-0.01359,0.92743
21,2200,0.00589,0.97849,-0.04116,0.91371,-0.01094,0.93610
22,2300,0.05012,1.02208,-0.08813,0.92844,0.00366,0.94358
23,2400,0.03519,0.81842,-0.08244,0.95456,-0.01618,0.89191
24,2500,-0.01085,0.85488,-0.15856,0.93226,-0.04045,0.89333
25,2600,-0.02362,0.83454,-0.11425,0.93305,0.00194,0.93884
26,2700,0.00631,0.87649,-0.14033,0.98040,-0.02696,0.84386
27,2800,0.01269,0.84907,-0.10363,0.97144,-0.02291,0.89416
28,2900,0.03117,0.87981,-0.10645,0.96696,-0.04773,0.99646
29,3000,0.04474,0.85700,-0.10886,0.90335,-0.00702,0.93273
30,3100,-0.03345,0.82668,-0.07491,0.91124,0.00031,0.85637
31,3200,-0.00587,0.93733,-0.05318,0.89419,-0.00764,0.92448
32,3300,-0.06731,0.81552,-0.05077,0.99739,0.00695,0.91945
33,3400,0.02998,0.90721,-0.03830,0.86340,-0.02457,0.91867
34,3500,0.01553,0.88767,-0.04094,0.85792,-0.00858,0.95886
35,3600,-0.03325,0.84576,-0.03456,0.87549,0.01387,0.86105
36,3700,-0.01291,0.91696,-0.07790,0.98210,0.01110,0.92639
37,3800,0.04371,0.98081,-0.10087,0.91609,-0.01507,0.91783
38,3900,0.00662,0.98856,-0.11762,0.96284,-0.05744,0.98247
39,4000,-0.06527,0.87851,-0.14932,0.96136,-0.00280,0.89814
40,4100,-0.05266,0.93906,-0.10668,0.93417,-0.01708,0.84907
41,4200,-0.01885,1.04341,-0.11176,0.95292,-0.01194,0.86332
42,4300,-0.05527,0.89533,-0.12508,0.89214,-0.02333,0.94526
43,4400,-0.06352,0.94474,-0.20934,0.93135,-0.03492,0.95961
44,4500,-0.02982,0.95117,-0.19588,1.01568,-0.00957,0.92335
45,4600,0.00740,1.00687,-0.14881,0.90492,-0.00069,0.92174
46,4700,0.01529,1.02975,-0.16160,0.93305,-0.03730,0.89076
47,4800,0.05964,0.90741,-0.20122,1.00204,-0.10819,0.95471
48,4900,0.06558,1.03526,-0.22620,0.90588,-0.09482,0.95425
49,5000,0.06247,1.04863,-0.19182,0.98768,-0.12612,0.98613
50,5100,0.03036,0.98728,-0.23257,0.95567,-0.12165,0.95864
51,5200,0.02650,0.99884,-0.20264,0.92007,-0.11791,0.90262
52,5300,0.01035,0.90198,-0.22190,0.97318,-0.16874,0.94799
53,5400,0.01605,0.91780,-0.23242,0.97117,-0.13661,0.94412
54,5500,0.01816,1.02675,-0.24748,0.96151,-0.11775,0.91116
55,5600,0.03720,0.94424,-0.24393,1.04816,-0.15949,0.95330
56,5700,0.04027,1.03635,-0.23704,0.89101,-0.17986,0.90229
57,5800,0.01497,0.97521,-0.28289,0.95240,-0.18193,0.94623
58,5900,0.00584,1.16894,-0.27916,0.86465,-0.25956,0.98297
59,6000,-0.01401,1.18865,-0.29483,0.96287,-0.19149,0.89324
60,6100,0.04871,1.16232,-0.34877,0.94663,-0.23287,0.88281
61,6200,0.02366,1.08512,-0.41115,0.94392,-0.27894,0.87358
62,6300,0.00179,1.12295,-0.33305,0.92131,-0.26205,0.94973
63,6400,0.01428,0.88646,-0.29732,0.93564,-0.28077,0.88860
64,6500,0.01005,0.84699,-0.27974,0.95854,-0.26447,0.97642
65,6600,0.00468,0.84873,-0.25806,0.94190,-0.20681,0.96037
66,6700,-0.03492,0.87071,-0.30020,0.99639,-0.21393,0.91775
67,6800,-0.05186,0.87414,-0.27948,1.06778,-0.16604,0.88006
68,6900,-0.04888,0.89706,-0.25520,0.89363,-0.11199,0.92893
69,7000,-0.03426,0.97383,-0.25421,0.91385,-0.14614,0.89259
70,7100,-0.08109,0.89899,-0.25929,1.01038,-0.15132,1.00259
71,7200,-0.16878,0.90612,-0.30096,1.06239,-0.14901,0.90150
72,7300,-0.12973,0.97102,-0.26547,0.94105,-0.11159,0.95402
73,7400,-0.16816,0.87884,-0.27648,0.97112,-0.11990,0.89411
74,7500,-0.19965,0.88062,-0.25106,0.94500,-0.11420,0.91974
75,7600,-0.17846,0.88938,-0.20632,0.88129,-0.10354,0.91127
76,7700,-0.18881,0.91021,-0.22071,1.02334,-0.09533,0.97707
77,7800,-0.18357,0.92559,-0.17113,0.95592,-0.06353,0.91331
78,7900,-0.20876,0.89260,-0.22536,1.06027,-0.08005,0.94124
79,8000,-0.20381,0.82160,-0.24726,0.96210,-0.11679,0.93208
80,8100,-0.28063,0.88916,-0.21283,0.91886,-0.06796,0.95245
81,8200,-0.27221,0.90868,-0.20369,1.03893,-0.05563,0.95962
82,8300,-0.28142,0.82683,-0.25477,1.02961,-0.05260,0.95599
83,8400,-0.27067,0.95851,-0.22612,0.93892,-0.05707,0.92045
84,8500,-0.26250,0.97402,-0.18388,0.99250,-0.03582,0.94993
85,8600,-0.24543,0.85104,-0.17192,0.96964,-0.01538,0.94815
86,8700,-0.20977,0.94233,-0.22041,0.89287,-0.06645,1.03873
87,8800,-0.26230,0.90213,-0.20035,0.93230,-0.02875,0.98345
88,8900,-0.28875,0.84083,-0.17730,1.01931,-0.04312,0.91332
89,9000,-0.29387,0.94754,-0.17837,1.03141,-0.05854,1.02796
90,9100,-0.25839,0.88332,-0.11355,0.98888,0.02157,0.87213
91,9200,-0.35797,0.94352,-0.11723,0.94652,0.02516,0.95889
92,9300,-0.31371,0.87605,-0.09208,0.98804,-0.00680,0.95755
93,9400,-0.37788,0.83195,-0.10364,0.94972,-0.00755,0.93172
94,9500,-0.35479,0.86223,-0.08250,0.99462,0.02897,0.92348
95,9600,-0.37423,0.91122,-0.09551,0.98709,0.00596,0.93686
96,9700,-0.34642,1.01249,-0.13609,1.07885,0.00543,0.95171
97,9800,-0.37318,0.93646,-0.08850,0.96283,0.00353,0.96502
98,9900,-0.39595,0.99172,-0.10018,0.94454,0.00577,0.94205
99,10000,-0.40646,0.85776,-0.10664,1.01331,0.03123,0.96471
100,10100,-0.41150,0.94486,-0.08423,0.97636,0.02555,0.94761
101,10200,-0.39912,0.91166,-0.11613,1.00459,0.01583,0.99939
102,10300,-0.40641,0.89751,-0.11034,0.96293,0.00316,0.98337
103,10400,-0.40485,0.98724,-0.09862,0.94369,0.03163,0.91774
104,10500,-0.47439,0.82083,-0.08755,1.01925,0.06527,0.94398
105,10600,-0.44428,0.96118,-0.07090,1.06179,0.03069,1.03169
106,10700,-0.48666,0.83794,-0.09715,1.06501,0.03825,0.90296
107,10800,-0.45448,0.96804,-0.09875,0.99287,0.03706,0.92921
108,10900,-0.45087,0.92760,-0.09902,0.91270,0.03646,0.89935
109,11000,-0.47569,0.87712,-0.13440,1.09404,0.02889,0.88139
110,11100,-0.45602,0.98620,-0.11038,0.96239,0.06257,0.87605
111,11200,-0.47786,0.78802,-0.16943,0.97789,0.02614,0.90996
112,11300,-0.42316,0.97889,-0.12271,0.87803,0.00700,0.98714
113,11400,-0.44486,0.97529,-0.15346,0.98713,0.03291,0.97287
114,11500,-0.46860,0.88369,-0.12859,1.03398,0.01227,0.97765
115,11600,-0.49950,0.87982,-0.12071,1.00503,0.05927,0.91664
116,11700,-0.45472,1.00436,-0.18082,0.92304,0.02578,0.92922
117,11800,-0.43293,0.95828,-0.16294,0.93306,0.00887,0.91392
118,11900,-0.39291,0.94733,-0.12580,0.87358,0.02373,0.92757
119,12000,-0.42082,0.90638,-0.16926,0.97563,0.03214,0.88825
120,12100,-0.42204,0.86051,-0.18336,0.96475,0.04090,0.99065
121,12200,-0.43682,0.92096,-0.16197,0.88255,0.04626,0.99694
122,12300,-0.44040,0.84269,-0.19637,0.99238,0.01018,0.96864
123,12400,-0.41861,0.81754,-0.22316,1.02395,0.03678,0.89674
124,12500,-0.44735,0.76917,-0.16956,0.92621,0.04224,0.86893
125,12600,-0.41425,0.92688,-0.19588,0.97051,0.01267,0.88300
126,12700,-0.39904,0.89977,-0.21015,0.91924,-0.00137,0.92161
127,12800,-0.40012,0.92349,-0.20315,0.88968,0.00473,1.02961
128,12900,-0.42124,0.90160,-0.15827,0.89789,0.04092,1.00577
129,13000,-0.41619,1.01743,-0.13552,0.91667,0.03279,1.03110
130,13100,-0.43516,0.89075,-0.15507,0.97632,0.05920,0.89519
131,13200,-0.42600,0.89354,-0.14145,0.97697,0.07984,0.95862
132,13300,-0.47494,0.88648,-0.08445,0.96534,0.05939,0.96642
133,13400,-0.47432,0.89514,-0.10440,0.87651,0.09287,0.94011
134,13500,-0.46255,0.90034,-0.08779,0.96991,0.06870,0.87685
135,13600,-0.45555,0.93587,-0.11183,1.00891,0.10530,0.97055
136,13700,-0.46392,0.85818,-0.05987,0.93150,0.09891,0.94668
137,13800,-0.46338,0.86639,-0.06484,0.94810,0.10179,0.90752
138,13900,-0.45911,1.00967,-0.05199,0.95625,0.09462,0.93636
139,14000,-0.47651,0.86941,-0.06471,1.02776,0.10153,0.82796
140,14100,-0.42804,0.94539,-0.06404,0.97963,0.09320,0.94577
141,14200,-0.48400,0.92357,-0.07544,0.99300,0.15047,0.93894
142,14300,-0.48211,0.87295,-0.01444,0.87731,0.13184,0.99831
143,14400,-0.43330,1.01665,-0.01666,0.93576,0.15902,1.00313
144,14500,-0.45866,0.98079,-0.03248,0.95389,0.15874,0.95946
145,14600,-0.48166,0.89002,-0.01718,0.94214,0.10460,0.94131
146,14700,-0.47837,0.96000,-0.05824,1.01653,0.13966,0.99786
147,14800,-0.48858,0.96027,-0.04183,0.96143,0.11943,0.98277
148,14900,-0.50246,0.85474,-0.04678,0.92190,0.13945,0.94282
149,15000,-0.48592,0.95852,-0.04145,0.99516,0.12753,0.89492
150,15100,-0.51595,0.88905,-0.02209,0.94707,0.09525,1.00827
151,15200,-0.49305,0.93793,-0.06147,0.97535,0.11790,0.94297
152,15300,-0.49740,0.93512,-0.09161,1.03060,0.12624,0.98185
153,15400,-0.51085,0.93806,-0.03106,0.98553,0.10786,0.90358
154,15500,-0.51023,0.83294,-0.01898,0.93869,0.14574,0.91333
155,15600,-0.50192,0.94006,-0.02296,0.90813,0.15183,0.95340
156,15700,-0.49476,0.90709,-0.07012,1.09160,0.12850,0.95592
157,15800,-0.49139,0.93473,-0.06053,1.01118,0.14464,0.93335
158,15900,-0.48369,0.92956,-0.03155,0.93807,0.10620,1.01900
159,16000,-0.50061,0.96096,-0.02918,0.95600,0.12272,0.96153
160,16100,-0.49558,0.89677,-0.06494,1.01272,0.12115,0.93700
161,16200,-0.49860,0.91688,-0.05278,1.00927,0.16688,0.95743
162,16300,-0.51533,0.86030,0.02342,0.88429,0.12279,0.97250
163,16400,-0.48111,0.94488,-0.01949,0.90056,0.11334,0.92207
164,16500,-0.50040,0.90682,-0.06269,1.04927,0.11226,0.95780
165,16600,-0.53945,0.81088,-0.01148,0.96830,0.12949,0.91425
166,16700,-0.52961,0.83111,-0.00283,0.96033,0.07724,1.02054
167,16800,-0.52566,0.85262,-0.00800,0.97717,0.11186,0.97496
168,16900,-0.51473,0.86190,-0.04782,1.02878,0.09848,0.97683
169,17000,-0.52179,0.90875,0.01166,0.88015,0.11504,0.91710
170,17100,-0.51585,0.98452,0.01815,0.95150,0.09833,1.02049
171,17200,-0.50817,0.99898,0.03754,0.93545,0.12426,1.03142
172,17300,-0.50889,0.86236,-0.00770,1.01885,0.14415,0.93773
173,17400,-0.52662,0.89578,-0.01607,0.96640,0.18376,0.88701
174,17500,-0.51779,0.93183,0.00396,1.02779,0.13211,0.96598
175,17600,-0.52501,0.86906,0.00121,0.91065,0.14138,0.97602
176,17700,-0.51340,0.93396,-0.02034,0.95668,0.14634,0.87673
177,17800,-0.49134,0.97260,-0.00009,0.95720,0.10612,0.88894
178,17900,-0.51968,0.86542,0.03850,0.95340,0.15138,1.01386
179,18000,-0.50268,0.89986,0.01552,0.97348,0.10286,0.93355
180,18100,-0.51533,0.99990,0.06261,0.91074,0.10830,0.96541
181,18200,-0.52260,0.86365,0.01382,0.90323,0.12616,0.98232
182,18300,-0.51037,0.88444,0.02317,0.99645,0.11649,1.00036
183,18400,-0.49487,0.87315,0.01823,1.00918,0.11644,0.97906
184,18500,-0.50046,0.92729,0.02617,1.06157,0.13160,0.90155
185,18600,-0.51366,0.94844,0.06232,0.92408,0.12153,0.94163
186,18700,-0.49211,0.88529,0.08256,1.01825,0.12080,0.94080
187,18800,-0.51643,0.96185,0.04210,0.98297,0.10505,0.95535
188,18900,-0.49529,0.97730,0.06177,0.90172,0.12574,1.02978
189,19000,-0.51119,0.80805,0.01762,1.02681,0.10265,0.85375
190,19100,-0.51955,0.88156,0.03621,0.92488,0.07427,1.05778
191,19200,-0.50287,0.95298,0.05539,0.96341,0.10255,0.90133
192,19300,-0.50962,0.87099,0.04090,1.03622,0.08945,0.89245
193,19400,-0.53461,0.83237,0.06000,0.96689,0.11757,0.93758
194,19500,-0.51709,0.86366,0.04307,0.94287,0.13787,0.95404
195,19600,-0.50117,0.91043,0.04506,0.96528,0.12483,0.95117
196,19700,-0.50167,0.84878,0.02568,1.00638,0.09466,0.97536
197,19800,-0.49000,0.92950,0.04882,0.99218,0.13348,0.90360
198,19900,-0.50437,0.82177,0.05903,0.93510,0.10339,0.92464
199,20000,-0.49385,0.87739,0.02195,0.96762,0.12079,0.96409
200,20100,-0.49046,0.94325,0.06002,0.96640,0.09623,0.93998
201,20200,-0.48284,0.86244,0.08109,1.04944,0.06809,1.05081
202,20300,-0.47609,0.91183,0.03640,0.99520,0.10618,0.97780
203,20400,-0.50424,0.85810,0.04608,0.95761,0.08658,0.92500
204,20500,-0.47699,0.87061,0.04671,0.96059,0.09516,0.98500
205,20600,-0.49559,0.87199,0.04799,0.93588,0.08723,0.95229
206,20700,-0.50170,0.92730,0.05631,0.91347,0.09349,0.90108
207,20800,-0.50556,0.85282,0.08629,0.92622,0.08525,0.88247
208,20900,-0.50541,0.90473,0.10205,0.96170,0.10305,0.92599
209,21000,-0.49473,0.88134,0.10344,0.95574,0.07233,1.03912
210,21100,-0.52184,0.90047,0.09627,0.91111,0.08917,0.96611
211,21200,-0.49365,0.86579,0.07316,0.89784,0.08600,0.91011
212,21300,-0.49934,0.91263,0.09688,1.01521,0.10537,0.89823
213,21400,-0.49408,0.87580,0.09380,1.04407,0.10130,0.95023
214,21500,-0.52439,0.86103,0.07722,0.95790,0.10627,0.96138
215,21600,-0.50820,0.85761,0.08693,0.97334,0.10626,0.91820
216,21700,-0.50847,0.91355,0.11243,0.92879,0.08209,0.98342
217,21800,-0.50650,0.93030,0.06967,1.06032,0.09913,0.99091
