iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
0,100,-1.56708,2.72553,0.25224,-1.47707,2.39327,0.22532,-1.34645,1.97993,0.20769
1,200,-1.48888,1.54674,0.18917,-1.50208,1.46791,0.18291,-1.47622,1.38749,0.17600
2,300,-1.71342,1.39093,0.17597,-1.66100,1.41338,0.17012,-1.61186,1.32743,0.16672
3,400,-1.91840,1.35164,0.16757,-1.84823,1.45456,0.16598,-1.80071,1.33924,0.16270
4,500,-2.09313,1.31317,0.16259,-2.09622,1.38064,0.15866,-2.10364,1.34328,0.15803
5,600,-2.22767,1.22793,0.15305,-2.25970,1.35374,0.15286,-2.19340,1.44096,0.15129
6,700,-2.32705,1.30350,0.14808,-2.34008,1.34173,0.14780,-2.27087,1.38762,0.14683
7,800,-2.49116,1.23967,0.14606,-2.53108,1.32767,0.14634,-2.48129,1.33940,0.14687
8,900,-2.61809,1.22014,0.14559,-2.75603,1.36689,0.14538,-2.65035,1.29363,0.14191
9,1000,-2.90333,1.23183,0.14601,-2.94614,1.30196,0.14502,-2.93774,1.29314,0.14454
10,1100,-2.99255,1.30009,0.14501,-3.28732,1.55283,0.14439,-3.12481,1.39643,0.14388
11,1200,-3.16072,1.30149,0.14471,-3.32941,1.34886,0.14400,-3.30146,1.29555,0.14431
12,1300,-3.46559,1.28175,0.14878,-3.49756,1.32489,0.14695,-3.55899,1.36383,0.14914
13,1400,-3.53563,1.25580,0.15285,-3.70621,1.37970,0.14981,-3.64479,1.39648,0.14947
14,1500,-3.72003,1.39809,0.15244,-3.84488,1.36708,0.15257,-3.85407,1.31252,0.14999
15,1600,-3.93875,1.33245,0.15003,-4.01985,1.29956,0.15049,-3.94707,1.47027,0.15083
16,1700,-4.12886,1.34029,0.15185,-4.18177,1.41768,0.15052,-4.10656,1.45176,0.15015
17,1800,-4.28728,1.34244,0.15028,-4.28147,1.41292,0.15412,-4.35000,1.40056,0.14962
18,1900,-4.56179,1.39291,0.15498,-4.56194,1.41453,0.15322,-4.54036,1.40896,0.15219
19,2000,-4.66221,1.27040,0.15600,-4.68885,1.40250,0.15343,-4.68637,1.44313,0.15382
20,2100,-4.79590,1.43282,0.15615,-4.83172,1.43465,0.15689,-4.89584,1.42329,0.15545
21,2200,-4.91529,1.44511,0.15730,-5.00379,1.39675,0.15464,-5.21406,1.38371,0.15667
22,2300,-5.20609,1.27952,0.15566,-5.12111,1.36762,0.15460,-5.33377,1.56570,0.15459
23,2400,-5.30042,1.33873,0.15326,-5.25402,1.39422,0.15397,-5.46327,1.40341,0.15177
24,2500,-5.57350,1.33371,0.15413,-5.40991,1.31384,0.15257,-5.75155,1.56795,0.15453
25,2600,-5.67344,1.31193,0.15242,-5.51112,1.35649,0.15080,-5.87194,1.43657,0.15253
26,2700,-5.70668,1.46924,0.15055,-5.69627,1.40471,0.15252,-5.88123,1.41272,0.14994
27,2800,-5.96302,1.45852,0.15197,-5.83365,1.44733,0.15076,-6.05498,1.50751,0.15009
28,2900,-6.14294,1.32692,0.14971,-5.94173,1.32998,0.14950,-6.18470,1.44182,0.14957
29,3000,-6.29376,1.43580,0.15019,-6.13246,1.35855,0.15048,-6.31304,1.52778,0.14933
30,3100,-6.40875,1.58181,0.15091,-6.26323,1.37727,0.14923,-6.40607,1.49514,0.14801
31,3200,-6.53676,1.31117,0.14847,-6.41636,1.41688,0.14932,-6.58011,1.44787,0.14637
32,3300,-6.62894,1.45494,0.14766,-6.47685,1.39254,0.14803,-6.69647,1.50533,0.14908
33,3400,-6.72275,1.60759,0.14975,-6.63470,1.45568,0.15049,-6.80705,1.44498,0.14949
34,3500,-6.94450,1.40800,0.14903,-6.83000,1.27458,0.14862,-7.00484,1.54717,0.14770
35,3600,-7.08905,1.46406,0.14800,-6.91820,1.46243,0.14708,-7.14317,1.61667,0.14808
36,3700,-7.23071,1.42150,0.14786,-7.17801,1.41278,0.14956,-7.22912,1.52598,0.14752
37,3800,-7.47271,1.36757,0.15030,-7.26804,1.44272,0.14937,-7.40258,1.66942,0.14880
38,3900,-7.45195,1.44274,0.14871,-7.41090,1.40231,0.15015,-7.50329,1.80186,0.15073
39,4000,-7.66340,1.44083,0.15077,-7.54355,1.42922,0.15163,-7.78723,1.73601,0.15032
40,4100,-7.81445,1.57002,0.14999,-7.75051,1.41162,0.15019,-7.86953,1.69212,0.14982
41,4200,-7.93395,1.52701,0.15072,-7.86486,1.42046,0.14959,-7.99166,1.62925,0.14801
42,4300,-8.06026,1.61770,0.15139,-8.05061,1.49719,0.14969,-8.27525,1.66159,0.14977
43,4400,-8.18560,1.56904,0.15112,-8.15432,1.39742,0.15061,-8.34802,1.65723,0.15211
44,4500,-8.36736,1.43445,0.15109,-8.29625,1.48065,0.15230,-8.49023,1.55423,0.15068
45,4600,-8.55191,1.35682,0.15129,-8.49131,1.44739,0.15103,-8.66520,1.59301,0.14828
46,4700,-8.61195,1.52196,0.14947,-8.53836,1.44460,0.15088,-8.75744,1.63677,0.15108
47,4800,-8.85320,1.58616,0.14808,-8.65664,1.46592,0.14901,-8.94211,1.45085,0.14710
48,4900,-8.81188,1.63967,0.14992,-8.84476,1.50209,0.14668,-9.03884,1.51003,0.14674
49,5000,-8.92803,1.45735,0.14731,-8.90223,1.44967,0.14699,-9.24167,1.52626,0.14937
50,5100,-9.05476,1.36341,0.14726,-9.03004,1.51875,0.14832,-9.33860,1.48686,0.14857
51,5200,-9.18893,1.55357,0.14715,-9.14189,1.42860,0.14749,-9.47671,1.58992,0.14671
52,5300,-9.26927,1.60770,0.14779,-9.22659,1.35403,0.14700,-9.59865,1.43382,0.14769
53,5400,-9.36190,1.44613,0.14739,-9.29618,1.47317,0.14655,-9.69272,1.46321,0.14765
54,5500,-9.50281,1.60651,0.14993,-9.47342,1.44525,0.14922,-9.85516,1.48257,0.14809
55,5600,-9.54035,1.46068,0.14632,-9.46863,1.51905,0.14765,-9.92277,1.46794,0.14755
56,5700,-9.79962,1.70232,0.14837,-9.62102,1.48377,0.14854,-9.97752,1.45958,0.14759
57,5800,-9.77627,1.46712,0.14816,-9.65270,1.48454,0.14650,-10.10312,1.52453,0.14734
58,5900,-9.83583,1.40910,0.14699,-9.76692,1.44206,0.14736,-10.21090,1.60167,0.14632
59,6000,-10.03420,1.51743,0.14787,-9.79700,1.43289,0.14607,-10.28275,1.64867,0.14595
60,6100,-10.09011,1.55055,0.14656,-9.86670,1.46322,0.14653,-10.39330,1.57577,0.14815
61,6200,-10.05344,1.49842,0.14643,-10.01554,1.46042,0.14826,-10.41711,1.55899,0.14651
62,6300,-10.13963,1.39823,0.14644,-10.10952,1.45458,0.14893,-10.56994,1.51853,0.14639
63,6400,-10.15487,1.39336,0.14825,-10.18380,1.56959,0.14795,-10.63413,1.53362,0.14976
64,6500,-10.32183,1.45905,0.14849,-10.25083,1.63555,0.14830,-10.66421,1.54358,0.14753
65,6600,-10.38876,1.58564,0.14939,-10.25837,1.44988,0.14907,-10.75437,1.47912,0.14892
66,6700,-10.46392,1.46591,0.15016,-10.34510,1.39192,0.14769,-10.86524,1.43156,0.14975
67,6800,-10.57537,1.48245,0.14986,-10.44376,1.52121,0.14964,-10.95929,1.52368,0.15144
68,6900,-10.63790,1.49907,0.15065,-10.55526,1.51500,0.14936,-11.01802,1.40635,0.15066
69,7000,-10.66561,1.59753,0.15106,-10.61920,1.54059,0.15082,-11.14920,1.53889,0.15203
70,7100,-10.76944,1.46453,0.14875,-10.75037,1.54602,0.15083,-11.13438,1.45928,0.14964
71,7200,-10.86010,1.46422,0.15133,-10.71285,1.45267,0.14933,-11.24438,1.52587,0.15013
72,7300,-10.85041,1.47075,0.14999,-10.78726,1.46297,0.14912,-11.26357,1.52085,0.14973
73,7400,-10.93032,1.50442,0.15288,-10.96232,1.65120,0.15218,-11.28404,1.56834,0.14933
74,7500,-10.98537,1.48281,0.15107,-11.02663,1.49254,0.15140,-11.43016,1.50344,0.15115
75,7600,-11.03125,1.41324,0.14989,-11.04194,1.47666,0.15000,-11.42148,1.59124,0.15209
76,7700,-11.05412,1.63724,0.15281,-11.14965,1.51307,0.15226,-11.56683,1.51314,0.15146
77,7800,-11.20275,1.47110,0.15207,-11.15391,1.56195,0.15111,-11.68088,1.59611,0.15154
78,7900,-11.17089,1.43581,0.15117,-11.21319,1.55764,0.14956,-11.63534,1.67612,0.15245
79,8000,-11.21669,1.51585,0.15268,-11.29405,1.51372,0.14928,-11.71880,1.39269,0.15232
80,8100,-11.24692,1.57520,0.15124,-11.36365,1.54430,0.15103,-11.77392,1.52250,0.15265
81,8200,-11.33095,1.47641,0.15126,-11.45449,1.44126,0.15153,-11.82673,1.51756,0.15067
82,8300,-11.43222,1.44801,0.15183,-11.52474,1.56756,0.15128,-11.83972,1.46143,0.15257
83,8400,-11.51243,1.59192,0.15170,-11.53865,1.56563,0.15094,-11.90595,1.39596,0.15079
84,8500,-11.49717,1.79655,0.15279,-11.67442,1.48524,0.15347,-11.97000,1.49515,0.15217
85,8600,-11.59327,1.51904,0.15242,-11.68308,1.50087,0.15338,-12.05491,1.61072,0.15132
86,8700,-11.67875,1.52944,0.15234,-11.72967,1.42174,0.15284,-12.11280,1.49230,0.15288
87,8800,-11.76349,1.52646,0.15224,-11.85481,1.56758,0.15292,-12.17393,1.52360,0.15114
88,8900,-11.73574,1.61208,0.15216,-11.81372,1.48853,0.15119,-12.21193,1.54010,0.15186
89,9000,-11.74888,1.50038,0.15054,-11.94895,1.58573,0.15177,-12.32965,1.53342,0.15209
90,9100,-11.83559,1.53783,0.15168,-11.97722,1.51837,0.15299,-12.41145,1.47838,0.15209
91,9200,-11.86692,1.52231,0.15153,-12.00003,1.41570,0.15021,-12.44783,1.70738,0.15356
92,9300,-11.89624,1.62431,0.15122,-12.06603,1.48305,0.15190,-12.47951,1.52333,0.15246
93,9400,-11.98788,1.52015,0.15215,-12.09630,1.49212,0.15100,-12.49078,1.44202,0.15065
94,9500,-12.10984,1.37178,0.15221,-12.13437,1.42829,0.15002,-12.63929,1.48665,0.15152
95,9600,-12.17902,1.53727,0.15307,-12.24895,1.54716,0.15112,-12.60216,1.58316,0.14949
96,9700,-12.22064,1.60775,0.15196,-12.28440,1.66074,0.14988,-12.67323,1.46724,0.14972
97,9800,-12.17659,1.53322,0.14984,-12.28224,1.47747,0.15247,-12.66165,1.49816,0.15091
98,9900,-12.20944,1.54464,0.14983,-12.40049,1.51850,0.15091,-12.78113,1.49351,0.14982
99,10000,-12.25832,1.51230,0.15081,-12.36668,1.51367,0.14927,-12.78614,1.46904,0.14859
100,10100,-12.32653,1.59455,0.15058,-12.45895,1.49210,0.14890,-12.84924,1.59430,0.15050
101,10200,-12.37069,1.64889,0.15168,-12.46785,1.51858,0.15095,-12.79876,1.46794,0.14876
