number,rewards,variances,exploration_value
0,[-5.88063 1.44386 1.44386],[8.34893 0.15135 0.15135],0.3
100,[-2.56769 0.51939 0.51939],[0.72539 0.35712 0.35712],0.2988
200,[-5.02441 0.51600 0.51600],[12.39803 0.83358 0.83358],0.2976
300,[-4.70170 0.70272 0.70272],[11.76407 0.85758 0.85758],0.2964
400,[-2.51473 0.57522 0.57522],[1.13676 0.18343 0.18343],0.29519999999999996
500,[-1.85201 0.11336 0.11336],[0.22684 0.08564 0.08564],0.294
600,[-2.27175 0.18549 0.18549],[1.92682 0.45496 0.45496],0.2928
700,[-2.58589 0.31607 0.31607],[0.77367 0.33016 0.33016],0.29159999999999997
800,[-5.36358 0.79746 0.79746],[8.87716 0.51365 0.51365],0.2904
900,[-1.36671 0.00713 0.00713],[1.01401 0.09853 0.09853],0.28919999999999996
1000,[-2.51743 0.25451 0.25451],[1.53129 0.44775 0.44775],0.288
1100,[-2.25990 0.19770 0.19770],[1.85491 0.38170 0.38170],0.2868
1200,[-1.75648 -0.00158 -0.00158],[0.54799 0.52891 0.52891],0.28559999999999997
1300,[-1.95990 -0.18219 -0.18219],[1.43254 0.62470 0.62470],0.2844
1400,[-2.87773 0.41543 0.41543],[2.59514 0.32778 0.32778],0.28319999999999995
1500,[-6.69848 0.77171 0.77171],[32.22391 0.55214 0.55214],0.282
1600,[-1.27144 -0.14581 -0.14581],[0.66755 0.16165 0.16165],0.2808
1700,[-2.80278 0.29416 0.29416],[1.59779 0.02580 0.02580],0.2796
1800,[-2.52942 0.02165 0.02165],[10.10028 1.30213 1.30213],0.2784
1900,[-1.31891 0.15425 0.15425],[0.29654 0.08048 0.08048],0.2772
2000,[-3.41454 0.77754 0.77754],[6.74186 0.62969 0.62969],0.276
2100,[-3.60846 0.19792 0.19792],[4.32816 1.07707 1.07707],0.2748
2200,[-3.50790 0.18009 0.18009],[4.31246 0.17227 0.17227],0.2736
2300,[-2.60145 0.05461 0.05461],[12.15923 0.43260 0.43260],0.2724
2400,[-2.31471 0.41307 0.41307],[2.83727 1.11488 1.11488],0.2712
2500,[-1.82558 -0.38388 -0.38388],[0.32005 0.05328 0.05328],0.27
2600,[-1.78408 -0.25616 -0.25616],[1.39222 0.04682 0.04682],0.2688
2700,[-2.03666 -0.16717 -0.16717],[2.50385 0.26307 0.26307],0.2676
2800,[-1.88711 0.19954 0.19954],[4.28982 0.41312 0.41312],0.26639999999999997
2900,[-2.20262 0.36533 0.36533],[2.61587 0.03778 0.03778],0.2652
3000,[-1.62291 0.03552 0.03552],[0.62144 0.21472 0.21472],0.264
3100,[-0.99562 0.19928 0.19928],[0.25191 0.18476 0.18476],0.2628
3200,[-2.08410 0.07395 0.07395],[2.58712 0.52852 0.52852],0.2616
3300,[-2.18935 -0.26180 -0.26180],[1.55103 0.63979 0.63979],0.26039999999999996
3400,[-0.86942 0.00101 0.00101],[0.33126 0.08206 0.08206],0.2592
3500,[-6.15280 1.18941 1.18941],[24.79641 0.89500 0.89500],0.258
3600,[-2.07687 0.56766 0.56766],[1.39353 0.46033 0.46033],0.2568
3700,[-2.30274 0.56396 0.56396],[2.05923 0.27646 0.27646],0.2556
3800,[-1.71406 0.33188 0.33188],[0.87489 0.06807 0.06807],0.25439999999999996
3900,[-1.28824 0.04460 0.04460],[1.03212 0.73014 0.73014],0.2532
4000,[-1.54443 0.01809 0.01809],[0.91254 0.06757 0.06757],0.252
4100,[-1.72566 -0.01927 -0.01927],[2.18621 0.11819 0.11819],0.25079999999999997
4200,[-2.54959 0.62895 0.62895],[5.15296 0.15914 0.15914],0.2496
4300,[-2.06042 0.25985 0.25985],[0.20009 0.07037 0.07037],0.24839999999999998
4400,[-1.08388 -0.01520 -0.01520],[0.48809 0.40101 0.40101],0.24719999999999998
4500,[-1.68515 0.32486 0.32486],[0.76588 0.26514 0.26514],0.24599999999999997
4600,[-5.01959 0.89004 0.89004],[26.38087 0.29472 0.29472],0.24479999999999996
4700,[-2.65859 0.04826 0.04826],[3.03322 0.38827 0.38827],0.2436
4800,[-2.07101 0.15129 0.15129],[1.29824 0.35525 0.35525],0.2424
4900,[-1.33539 0.00806 0.00806],[0.04848 0.19877 0.19877],0.2412
5000,[-3.37687 0.06182 0.06182],[5.80414 0.15339 0.15339],0.24
5100,[-1.11445 0.10701 0.10701],[0.14406 0.05784 0.05784],0.2388
5200,[-2.49286 0.76710 0.76710],[1.81912 0.29597 0.29597],0.2376
5300,[-4.01965 0.40452 0.40452],[1.25047 0.16823 0.16823],0.2364
5400,[-2.82295 0.16468 0.16468],[2.92420 0.14995 0.14995],0.2352
