number,rewards,variances,exploration_value
0,[-5.88063 1.44386 1.44386],[8.34893 0.15135 0.15135],0.3
100,[-2.43589 0.68037 0.68037],[0.29874 0.19703 0.19703],0.2988
200,[-2.72505 0.67572 0.67572],[1.29434 0.29626 0.29626],0.2976
300,[-3.14121 0.43376 0.43376],[3.33268 0.21264 0.21264],0.2964
400,[-2.52285 0.24873 0.24873],[1.22980 0.32236 0.32236],0.29519999999999996
500,[-5.94984 0.97499 0.97499],[5.68679 0.34657 0.34657],0.294
600,[-3.45215 0.59941 0.59941],[7.91406 0.41911 0.41911],0.2928
700,[-4.85092 0.37697 0.37697],[5.46325 1.09710 1.09710],0.29159999999999997
800,[-3.63635 0.28022 0.28022],[1.96436 0.39507 0.39507],0.2904
900,[-1.83291 -1.11511 -1.11511],[5.15542 1.46170 1.46170],0.28919999999999996
1000,[-0.80466 -0.42980 -0.42980],[0.17418 0.20627 0.20627],0.288
1100,[-1.42539 0.08287 0.08287],[0.17013 0.18151 0.18151],0.2868
1200,[-3.09238 -0.04745 -0.04745],[3.81976 0.46412 0.46412],0.28559999999999997
1300,[-5.07857 -0.25387 -0.25387],[1.73901 0.76675 0.76675],0.2844
1400,[-5.62052 0.84163 0.84163],[19.48588 1.52370 1.52370],0.28319999999999995
1500,[-3.92996 -0.19641 -0.19641],[19.06126 1.71376 1.71376],0.282
1600,[-5.25341 1.05811 1.05811],[15.96509 1.54745 1.54745],0.2808
1700,[-4.93468 0.41213 0.41213],[14.65470 0.78737 0.78737],0.2796
1800,[-2.28029 -0.17403 -0.17403],[2.20265 0.21626 0.21626],0.2784
1900,[-1.72702 -0.80985 -0.80985],[0.89963 0.26829 0.26829],0.2772
2000,[-2.77365 -0.59062 -0.59062],[0.84940 0.23737 0.23737],0.276
2100,[-1.60742 -0.16355 -0.16355],[1.66048 0.17392 0.17392],0.2748
2200,[-3.78850 0.21860 0.21860],[4.22280 0.59077 0.59077],0.2736
2300,[-2.67743 0.10498 0.10498],[1.70398 0.15430 0.15430],0.2724
2400,[-2.04596 0.03429 0.03429],[2.96371 0.38546 0.38546],0.2712
2500,[-3.16727 0.53608 0.53608],[2.78178 0.65872 0.65872],0.27
2600,[-5.87378 0.36655 0.36655],[13.32781 1.21997 1.21997],0.2688
2700,[-4.86320 0.43659 0.43659],[8.75837 0.33241 0.33241],0.2676
2800,[-4.47941 0.33335 0.33335],[6.62190 0.86964 0.86964],0.26639999999999997
2900,[-3.83079 0.67553 0.67553],[3.35801 0.07340 0.07340],0.2652
3000,[-6.15207 1.07533 1.07533],[6.22901 0.44879 0.44879],0.264
3100,[-3.24923 0.50618 0.50618],[3.25367 0.34074 0.34074],0.2628
3200,[-2.77835 -0.23376 -0.23376],[1.31203 0.10693 0.10693],0.2616
3300,[-5.45259 -0.08041 -0.08041],[15.70345 0.14557 0.14557],0.26039999999999996
3400,[-2.24550 -0.83705 -0.83705],[3.58186 0.58804 0.58804],0.2592
3500,[-3.07285 -0.81740 -0.81740],[3.67459 0.28794 0.28794],0.258
3600,[-1.46421 -0.69945 -0.69945],[1.74395 0.81995 0.81995],0.2568
3700,[-7.64425 1.20386 1.20386],[18.92188 2.10393 2.10393],0.2556
