iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
0,100,-2.09115,3.41455,0.39401,-1.97938,2.49553,0.35157
1,200,-2.00481,1.54385,0.25865,-1.91732,1.46217,0.25211
2,300,-2.20038,1.63975,0.23488,-2.08316,1.70473,0.23074
3,400,-2.58619,1.58527,0.23339,-2.41870,1.53878,0.22949
4,500,-2.78973,1.51037,0.22395,-2.67022,1.50316,0.22087
5,600,-3.04085,1.42913,0.21753,-2.87318,1.41189,0.21580
6,700,-3.17295,1.48678,0.20999,-3.07230,1.38755,0.20928
7,800,-3.32187,1.44076,0.20377,-3.27713,1.50884,0.20466
8,900,-3.55414,1.47620,0.20469,-3.46113,1.45800,0.20115
9,1000,-3.80094,1.47204,0.20079,-3.66455,1.45026,0.19958
10,1100,-3.87586,1.55720,0.19463,-3.69415,1.52279,0.19519
11,1200,-3.99820,1.49984,0.19149,-3.89188,1.51602,0.18842
12,1300,-4.18218,1.61206,0.18659,-4.06953,1.50298,0.18709
13,1400,-4.39539,1.46469,0.18575,-4.24253,1.47126,0.18413
14,1500,-4.51825,1.55379,0.18201,-4.34632,1.50160,0.18018
15,1600,-4.65359,1.50993,0.18038,-4.47988,1.48729,0.17815
16,1700,-4.78539,1.46706,0.17833,-4.63569,1.42935,0.17584
17,1800,-4.97154,1.47112,0.17517,-4.75668,1.42935,0.17358
18,1900,-5.04414,1.38418,0.17165,-4.86358,1.53677,0.17141
19,2000,-5.17351,1.40758,0.16832,-4.97114,1.45010,0.16914
20,2100,-5.26536,1.61177,0.16799,-5.05070,1.49736,0.16807
21,2200,-5.40127,1.33618,0.16701,-5.16579,1.47394,0.16578
22,2300,-5.49138,1.39180,0.16624,-5.28754,1.52636,0.16664
23,2400,-5.59400,1.49823,0.16351,-5.33035,1.58854,0.16219
24,2500,-5.72265,1.50807,0.16474,-5.48214,1.50361,0.16437
25,2600,-5.80239,1.53090,0.16605,-5.58478,1.55851,0.16567
26,2700,-5.95405,1.58017,0.16641,-5.74158,1.45118,0.16604
27,2800,-6.09663,1.48318,0.16921,-5.84201,1.52500,0.16807
28,2900,-6.15835,1.51101,0.16834,-5.97054,1.46602,0.17106
29,3000,-6.28157,1.56087,0.17032,-6.02348,1.66195,0.16879
30,3100,-6.39136,1.50572,0.17110,-6.21639,1.51603,0.16965
