number,rewards,variances,exploration_value
0,[-4.49832 -4.49832],[9.00127 9.00127],0.3
100,[-13.60321 -13.60321],[31.30836 31.30836],0.2988
200,[-6.61048 -6.61048],[2.53622 2.53622],0.2976
300,[-9.47368 -9.47368],[27.23651 27.23651],0.2964
400,[-5.05752 -5.05752],[5.52950 5.52950],0.29519999999999996
500,[-2.03954 -2.03954],[0.48414 0.48414],0.294
600,[-4.66271 -4.66271],[6.62168 6.62168],0.2928
700,[-4.56478 -4.56478],[27.77483 27.77483],0.29159999999999997
800,[-10.44276 -10.44276],[13.51238 13.51238],0.2904
900,[-12.03241 -12.03241],[142.87514 142.87514],0.28919999999999996
1000,[-2.11593 -2.11593],[3.06337 3.06337],0.288
1100,[-4.94979 -4.94979],[11.65160 11.65160],0.2868
1200,[-9.79207 -9.79207],[50.71551 50.71551],0.28559999999999997
1300,[-9.83867 -9.83867],[99.41781 99.41781],0.2844
1400,[-6.14663 -6.14663],[8.16023 8.16023],0.28319999999999995
1500,[-7.36984 -7.36984],[28.55622 28.55622],0.282
1600,[-5.65932 -5.65932],[21.61053 21.61053],0.2808
1700,[-4.51426 -4.51426],[8.94015 8.94015],0.2796
1800,[-4.86034 -4.86034],[37.00934 37.00934],0.2784
1900,[-5.55320 -5.55320],[29.80803 29.80803],0.2772
2000,[-3.70736 -3.70736],[2.10246 2.10246],0.276
2100,[-5.23546 -5.23546],[5.46670 5.46670],0.2748
2200,[-5.32891 -5.32891],[18.52749 18.52749],0.2736
2300,[-3.93987 -3.93987],[1.52292 1.52292],0.2724
2400,[-5.57952 -5.57952],[4.10185 4.10185],0.2712
2500,[-4.67805 -4.67805],[8.10287 8.10287],0.27
2600,[-7.70742 -7.70742],[9.72905 9.72905],0.2688
2700,[-6.97763 -6.97763],[23.91503 23.91503],0.2676
2800,[-5.70795 -5.70795],[22.62833 22.62833],0.26639999999999997
2900,[-4.90482 -4.90482],[7.00806 7.00806],0.2652
3000,[-5.16746 -5.16746],[3.58336 3.58336],0.264
3100,[-4.95421 -4.95421],[1.89173 1.89173],0.2628
3200,[-7.10100 -7.10100],[13.75798 13.75798],0.2616
3300,[-3.36909 -3.36909],[1.32416 1.32416],0.26039999999999996
3400,[-4.33715 -4.33715],[3.11360 3.11360],0.2592
3500,[-2.72627 -2.72627],[2.07724 2.07724],0.258
3600,[-4.42996 -4.42996],[12.56671 12.56671],0.2568
3700,[-2.14857 -2.14857],[1.53030 1.53030],0.2556
3800,[-3.76404 -3.76404],[2.40556 2.40556],0.25439999999999996
3900,[-3.42108 -3.42108],[4.29389 4.29389],0.2532
4000,[-1.80424 -1.80424],[1.20225 1.20225],0.252
4100,[-2.47083 -2.47083],[1.56796 1.56796],0.25079999999999997
4200,[-3.06842 -3.06842],[6.89062 6.89062],0.2496
4300,[-1.49331 -1.49331],[1.14827 1.14827],0.24839999999999998
4400,[-1.70391 -1.70391],[1.39607 1.39607],0.24719999999999998
4500,[-2.06190 -2.06190],[1.81765 1.81765],0.24599999999999997
4600,[-2.69313 -2.69313],[7.58183 7.58183],0.24479999999999996
4700,[-2.37865 -2.37865],[3.49870 3.49870],0.2436
4800,[-2.40546 -2.40546],[0.75823 0.75823],0.2424
4900,[-1.30124 -1.30124],[1.09685 1.09685],0.2412
5000,[-2.38693 -2.38693],[1.69030 1.69030],0.24
5100,[-2.79094 -2.79094],[2.35179 2.35179],0.2388
5200,[-1.62182 -1.62182],[0.53539 0.53539],0.2376
5300,[-1.51713 -1.51713],[0.59151 0.59151],0.2364
5400,[-1.26356 -1.26356],[1.63872 1.63872],0.2352
5500,[-2.43360 -2.43360],[1.13511 1.13511],0.23399999999999999
5600,[-1.35833 -1.35833],[0.54027 0.54027],0.2328
5700,[-1.21073 -1.21073],[0.64394 0.64394],0.2316
5800,[-1.40655 -1.40655],[0.06252 0.06252],0.2304
5900,[-0.91155 -0.91155],[0.18022 0.18022],0.2292
6000,[-2.07176 -2.07176],[0.18345 0.18345],0.22799999999999998
6100,[-2.36720 -2.36720],[1.94794 1.94794],0.2268
6200,[-1.74455 -1.74455],[0.13757 0.13757],0.2256
6300,[-1.71944 -1.71944],[2.22035 2.22035],0.2244
6400,[-0.64984 -0.64984],[0.24255 0.24255],0.22319999999999998
6500,[-1.07095 -1.07095],[0.37581 0.37581],0.222
6600,[-1.32392 -1.32392],[1.02492 1.02492],0.2208
6700,[-1.10115 -1.10115],[0.29433 0.29433],0.2196
6800,[-2.73479 -2.73479],[1.99286 1.99286],0.21839999999999998
6900,[-1.84455 -1.84455],[1.21771 1.21771],0.21719999999999998
7000,[-2.25678 -2.25678],[5.54989 5.54989],0.216
7100,[-3.09564 -3.09564],[6.43404 6.43404],0.2148
7200,[-1.15879 -1.15879],[0.53189 0.53189],0.21359999999999998
7300,[-1.78978 -1.78978],[4.49044 4.49044],0.21239999999999998
7400,[-1.70321 -1.70321],[0.96155 0.96155],0.21119999999999997
7500,[-1.52154 -1.52154],[2.20702 2.20702],0.21
7600,[-1.07247 -1.07247],[1.25228 1.25228],0.20879999999999999
7700,[-2.36257 -2.36257],[1.62784 1.62784],0.20759999999999998
7800,[-2.09220 -2.09220],[1.50723 1.50723],0.20639999999999997
7900,[-2.35337 -2.35337],[1.08690 1.08690],0.20520000000000002
8000,[-0.86608 -0.86608],[0.28124 0.28124],0.20400000000000001
8100,[-1.77754 -1.77754],[0.85303 0.85303],0.2028
8200,[-1.89722 -1.89722],[3.72672 3.72672],0.2016
8300,[-2.44473 -2.44473],[2.66636 2.66636],0.2004
8400,[-3.26047 -3.26047],[5.29988 5.29988],0.19920000000000002
8500,[-1.96437 -1.96437],[1.75963 1.75963],0.198
8600,[-1.51090 -1.51090],[0.83463 0.83463],0.1968
8700,[-1.83707 -1.83707],[1.44560 1.44560],0.1956
8800,[-1.71318 -1.71318],[1.38085 1.38085],0.1944
8900,[-1.88319 -1.88319],[1.12525 1.12525],0.1932
9000,[-1.90979 -1.90979],[1.11584 1.11584],0.192
9100,[-1.13458 -1.13458],[0.18134 0.18134],0.1908
9200,[-2.93093 -2.93093],[1.94008 1.94008],0.1896
9300,[-1.64531 -1.64531],[2.12801 2.12801],0.18839999999999998
9400,[-2.37870 -2.37870],[2.35532 2.35532],0.1872
9500,[-1.48340 -1.48340],[0.30985 0.30985],0.186
9600,[-1.14047 -1.14047],[0.06522 0.06522],0.1848
9700,[-2.47501 -2.47501],[4.20710 4.20710],0.18359999999999999
9800,[-2.31554 -2.31554],[1.69063 1.69063],0.18239999999999998
9900,[-2.33044 -2.33044],[2.10657 2.10657],0.1812
10000,[-1.91518 -1.91518],[1.08882 1.08882],0.18
10100,[-1.95027 -1.95027],[1.45701 1.45701],0.1788
10200,[-1.32423 -1.32423],[0.38216 0.38216],0.17759999999999998
10300,[-2.72606 -2.72606],[1.54890 1.54890],0.17639999999999997
10400,[-1.23178 -1.23178],[0.12905 0.12905],0.1752
10500,[-2.50237 -2.50237],[3.14892 3.14892],0.174
10600,[-2.05461 -2.05461],[0.88300 0.88300],0.17279999999999998
10700,[-2.39316 -2.39316],[2.30926 2.30926],0.17159999999999997
10800,[-1.71693 -1.71693],[1.56592 1.56592],0.17039999999999997
10900,[-1.48409 -1.48409],[0.37880 0.37880],0.1692
11000,[-1.46882 -1.46882],[0.78007 0.78007],0.168
11100,[-1.82844 -1.82844],[1.91054 1.91054],0.1668
11200,[-4.55289 -4.55289],[15.62297 15.62297],0.1656
11300,[-2.75872 -2.75872],[1.12689 1.12689],0.16440000000000002
11400,[-1.71252 -1.71252],[1.33187 1.33187],0.1632
11500,[-0.47575 -0.47575],[0.04917 0.04917],0.162
11600,[-1.65312 -1.65312],[0.14990 0.14990],0.1608
11700,[-1.63009 -1.63009],[2.63487 2.63487],0.1596
11800,[-1.40860 -1.40860],[1.68737 1.68737],0.1584
11900,[-1.76449 -1.76449],[0.92617 0.92617],0.1572
12000,[-2.04694 -2.04694],[0.66110 0.66110],0.156
12100,[-1.84504 -1.84504],[1.34403 1.34403],0.1548
12200,[-2.22971 -2.22971],[2.33456 2.33456],0.1536
12300,[-1.40487 -1.40487],[2.04142 2.04142],0.1524
12400,[-2.04341 -2.04341],[1.94227 1.94227],0.1512
12500,[-2.05310 -2.05310],[2.57677 2.57677],0.15
12600,[-0.65348 -0.65348],[0.14163 0.14163],0.1488
12700,[-1.67188 -1.67188],[0.62997 0.62997],0.14759999999999998
12800,[-1.33303 -1.33303],[0.40293 0.40293],0.1464
12900,[-2.29450 -2.29450],[3.28903 3.28903],0.1452
13000,[-0.95658 -0.95658],[0.10869 0.10869],0.144
13100,[-2.36364 -2.36364],[0.18220 0.18220],0.14279999999999998
13200,[-1.66740 -1.66740],[4.10763 4.10763],0.14159999999999998
13300,[-2.31315 -2.31315],[0.04175 0.04175],0.1404
13400,[-2.00226 -2.00226],[0.46140 0.46140],0.1392
13500,[-2.74646 -2.74646],[2.45524 2.45524],0.138
13600,[-1.80217 -1.80217],[0.50895 0.50895],0.1368
13700,[-1.82259 -1.82259],[0.28708 0.28708],0.1356
13800,[-1.67228 -1.67228],[0.60576 0.60576],0.1344
13900,[-0.98965 -0.98965],[0.15904 0.15904],0.13319999999999999
14000,[-1.59089 -1.59089],[0.25690 0.25690],0.132
14100,[-1.86065 -1.86065],[0.76948 0.76948],0.1308
14200,[-1.74247 -1.74247],[0.42677 0.42677],0.1296
14300,[-4.34030 -4.34030],[5.05934 5.05934],0.1284
14400,[-1.73951 -1.73951],[0.34627 0.34627],0.12719999999999998
14500,[-2.08686 -2.08686],[2.29127 2.29127],0.126
14600,[-1.58658 -1.58658],[0.89486 0.89486],0.1248
14700,[-2.36250 -2.36250],[0.95897 0.95897],0.12359999999999999
14800,[-1.93084 -1.93084],[0.75844 0.75844],0.12239999999999998
14900,[-1.88063 -1.88063],[1.45438 1.45438],0.1212
15000,[-2.19419 -2.19419],[1.07859 1.07859],0.12
15100,[-3.02765 -3.02765],[1.52972 1.52972],0.1188
15200,[-3.71241 -3.71241],[7.26301 7.26301],0.1176
15300,[-3.07734 -3.07734],[0.71266 0.71266],0.1164
15400,[-4.06935 -4.06935],[2.56228 2.56228],0.1152
15500,[-6.11541 -6.11541],[18.02101 18.02101],0.11399999999999999
15600,[-4.57914 -4.57914],[4.48486 4.48486],0.1128
15700,[-3.28632 -3.28632],[1.73011 1.73011],0.11159999999999999
15800,[-1.86017 -1.86017],[0.58369 0.58369],0.1104
15900,[-3.96671 -3.96671],[1.70131 1.70131],0.10919999999999999
16000,[-2.72625 -2.72625],[4.45968 4.45968],0.108
16100,[-3.92541 -3.92541],[5.91486 5.91486],0.10679999999999999
16200,[-2.91735 -2.91735],[2.86849 2.86849],0.10559999999999999
16300,[-2.54066 -2.54066],[1.00014 1.00014],0.10439999999999999
16400,[-4.11782 -4.11782],[8.61220 8.61220],0.10319999999999999
16500,[-2.56420 -2.56420],[0.90271 0.90271],0.10200000000000001
16600,[-3.44684 -3.44684],[5.85589 5.85589],0.1008
16700,[-3.29794 -3.29794],[1.02733 1.02733],0.09960000000000001
16800,[-2.54665 -2.54665],[1.25336 1.25336],0.0984
16900,[-3.79443 -3.79443],[9.93563 9.93563],0.0972
17000,[-2.16828 -2.16828],[1.19086 1.19086],0.096
17100,[-3.54337 -3.54337],[3.73450 3.73450],0.0948
17200,[-4.20985 -4.20985],[4.24218 4.24218],0.0936
17300,[-3.36916 -3.36916],[9.39443 9.39443],0.0924
17400,[-1.17358 -1.17358],[0.40501 0.40501],0.09119999999999999
17500,[-4.40080 -4.40080],[7.81530 7.81530],0.09
17600,[-3.99826 -3.99826],[9.17452 9.17452],0.08879999999999999
17700,[-5.38025 -5.38025],[26.85064 26.85064],0.0876
17800,[-4.70289 -4.70289],[16.82661 16.82661],0.08639999999999999
17900,[-3.84258 -3.84258],[3.73203 3.73203],0.08519999999999998
18000,[-3.49756 -3.49756],[0.86542 0.86542],0.084
18100,[-1.77208 -1.77208],[0.24395 0.24395],0.0828
18200,[-1.87958 -1.87958],[0.90303 0.90303],0.0816
18300,[-2.45547 -2.45547],[4.53031 4.53031],0.0804
18400,[-3.41211 -3.41211],[5.76432 5.76432],0.0792
18500,[-2.85230 -2.85230],[1.24234 1.24234],0.078
18600,[-1.63968 -1.63968],[0.14407 0.14407],0.0768
18700,[-2.31700 -2.31700],[1.27913 1.27913],0.0756
18800,[-2.49813 -2.49813],[1.41634 1.41634],0.0744
18900,[-2.37972 -2.37972],[0.55850 0.55850],0.0732
19000,[-2.52993 -2.52993],[1.35513 1.35513],0.072
19100,[-3.01576 -3.01576],[3.47919 3.47919],0.07079999999999999
19200,[-2.26271 -2.26271],[0.45253 0.45253],0.0696
19300,[-3.50184 -3.50184],[4.25823 4.25823],0.0684
19400,[-4.74451 -4.74451],[4.96550 4.96550],0.0672
19500,[-3.34447 -3.34447],[3.36914 3.36914],0.066
19600,[-1.80659 -1.80659],[0.57790 0.57790],0.0648
19700,[-4.60786 -4.60786],[5.76201 5.76201],0.06359999999999999
19800,[-3.70210 -3.70210],[11.53113 11.53113],0.0624
19900,[-4.06673 -4.06673],[2.36134 2.36134],0.06119999999999999
20000,[-3.92449 -3.92449],[5.61244 5.61244],0.06
20100,[-3.83598 -3.83598],[6.38964 6.38964],0.0588
20200,[-5.57740 -5.57740],[9.12580 9.12580],0.0576
20300,[-4.24177 -4.24177],[5.15589 5.15589],0.0564
20400,[-2.25363 -2.25363],[1.15972 1.15972],0.0552
20500,[-3.70271 -3.70271],[5.83496 5.83496],0.054
20600,[-7.13393 -7.13393],[4.44526 4.44526],0.05279999999999999
20700,[-6.83556 -6.83556],[16.72433 16.72433],0.05159999999999999
20800,[-3.65274 -3.65274],[2.99929 2.99929],0.0504
20900,[-6.09647 -6.09647],[13.35496 13.35496],0.0492
21000,[-4.04745 -4.04745],[12.52877 12.52877],0.048
21100,[-5.64307 -5.64307],[6.06851 6.06851],0.0468
21200,[-3.17301 -3.17301],[5.63242 5.63242],0.045599999999999995
21300,[-2.73680 -2.73680],[0.16065 0.16065],0.044399999999999995
21400,[-4.52392 -4.52392],[15.02550 15.02550],0.043199999999999995
21500,[-3.23199 -3.23199],[2.77216 2.77216],0.042
21600,[-4.88785 -4.88785],[6.31641 6.31641],0.0408
21700,[-3.66420 -3.66420],[3.88817 3.88817],0.0396
21800,[-5.36136 -5.36136],[9.78234 9.78234],0.0384
21900,[-5.15421 -5.15421],[9.40564 9.40564],0.0372
22000,[-3.98348 -3.98348],[6.73824 6.73824],0.036
22100,[-4.62710 -4.62710],[7.34793 7.34793],0.0348
22200,[-1.34291 -1.34291],[0.30930 0.30930],0.0336
22300,[-4.04815 -4.04815],[6.61006 6.61006],0.0324
22400,[-4.16797 -4.16797],[3.55839 3.55839],0.0312
22500,[-3.39914 -3.39914],[7.36974 7.36974],0.03
22600,[-3.45569 -3.45569],[3.66351 3.66351],0.0288
22700,[-4.46891 -4.46891],[8.82656 8.82656],0.0276
22800,[-1.86336 -1.86336],[0.30222 0.30222],0.026399999999999996
22900,[-2.39481 -2.39481],[7.87121 7.87121],0.0252
23000,[-4.61821 -4.61821],[9.87682 9.87682],0.024
23100,[-4.04030 -4.04030],[20.31098 20.31098],0.022799999999999997
23200,[-1.35006 -1.35006],[0.31838 0.31838],0.021599999999999998
23300,[-3.25220 -3.25220],[8.22877 8.22877],0.0204
23400,[-3.62838 -3.62838],[12.58899 12.58899],0.0192
23500,[-2.30457 -2.30457],[2.76475 2.76475],0.018
23600,[-3.04125 -3.04125],[2.33052 2.33052],0.0168
23700,[-4.86140 -4.86140],[4.24800 4.24800],0.0156
23800,[-1.35442 -1.35442],[0.96322 0.96322],0.0144
23900,[-5.79914 -5.79914],[17.11184 17.11184],0.013199999999999998
24000,[-6.17208 -6.17208],[30.35880 30.35880],0.012
24100,[-4.82348 -4.82348],[33.58602 33.58602],0.010799999999999999
24200,[-7.42306 -7.42306],[22.64705 22.64705],0.0096
24300,[-7.75002 -7.75002],[43.09392 43.09392],0.0084
24400,[-2.98660 -2.98660],[2.73600 2.73600],0.0072
24500,[-2.17911 -2.17911],[2.21284 2.21284],0.006
24600,[-9.52552 -9.52552],[18.06999 18.06999],0.0048
24700,[-2.83979 -2.83979],[2.32136 2.32136],0.0036
24800,[-4.06022 -4.06022],[5.92777 5.92777],0.0024
24900,[-5.08919 -5.08919],[10.04164 10.04164],0.0012
