number,rewards,variances,exploration_value
0,[-4.49832 -4.49832],[9.00127 9.00127],0.3
100,[-8.41117 -8.41117],[57.54842 57.54842],0.2988
200,[-15.30030 -15.30030],[52.07199 52.07199],0.2976
300,[-9.14602 -9.14602],[27.05274 27.05274],0.2964
400,[-12.95063 -12.95063],[15.10301 15.10301],0.29519999999999996
500,[-10.67861 -10.67861],[19.01525 19.01525],0.294
600,[-8.67340 -8.67340],[22.24820 22.24820],0.2928
700,[-13.71782 -13.71782],[25.87817 25.87817],0.29159999999999997
800,[-16.16865 -16.16865],[50.63235 50.63235],0.2904
900,[-15.76392 -15.76392],[15.05123 15.05123],0.28919999999999996
1000,[-17.31166 -17.31166],[23.69793 23.69793],0.288
1100,[-15.96020 -15.96020],[75.30985 75.30985],0.2868
1200,[-6.29910 -6.29910],[7.04221 7.04221],0.28559999999999997
1300,[-13.73364 -13.73364],[37.04673 37.04673],0.2844
1400,[-10.28156 -10.28156],[12.80417 12.80417],0.28319999999999995
1500,[-14.01577 -14.01577],[7.76603 7.76603],0.282
1600,[-18.25925 -18.25925],[25.45182 25.45182],0.2808
1700,[-7.58141 -7.58141],[48.08118 48.08118],0.2796
1800,[-12.10375 -12.10375],[12.98672 12.98672],0.2784
1900,[-5.01847 -5.01847],[11.74697 11.74697],0.2772
2000,[-9.43727 -9.43727],[23.68606 23.68606],0.276
2100,[-10.04065 -10.04065],[19.65430 19.65430],0.2748
2200,[-17.90431 -17.90431],[28.96586 28.96586],0.2736
2300,[-12.73682 -12.73682],[3.00132 3.00132],0.2724
2400,[-9.47580 -9.47580],[35.52881 35.52881],0.2712
2500,[-10.29128 -10.29128],[114.20911 114.20911],0.27
2600,[-3.46387 -3.46387],[2.06251 2.06251],0.2688
2700,[-18.30546 -18.30546],[39.08459 39.08459],0.2676
2800,[-12.76340 -12.76340],[31.46991 31.46991],0.26639999999999997
2900,[-16.26723 -16.26723],[71.85469 71.85469],0.2652
3000,[-7.06383 -7.06383],[13.88372 13.88372],0.264
3100,[-18.64636 -18.64636],[24.88276 24.88276],0.2628
3200,[-6.10879 -6.10879],[29.44257 29.44257],0.2616
3300,[-10.31434 -10.31434],[20.62424 20.62424],0.26039999999999996
3400,[-8.32127 -8.32127],[5.19647 5.19647],0.2592
3500,[-11.09316 -11.09316],[50.77300 50.77300],0.258
3600,[-15.12702 -15.12702],[48.82204 48.82204],0.2568
3700,[-9.39011 -9.39011],[25.55419 25.55419],0.2556
3800,[-10.71919 -10.71919],[60.26550 60.26550],0.25439999999999996
3900,[-9.72850 -9.72850],[67.46089 67.46089],0.2532
4000,[-12.41405 -12.41405],[42.61505 42.61505],0.252
4100,[-10.53164 -10.53164],[29.23203 29.23203],0.25079999999999997
4200,[-8.28400 -8.28400],[39.35407 39.35407],0.2496
4300,[-6.92918 -6.92918],[81.35284 81.35284],0.24839999999999998
4400,[-13.10635 -13.10635],[94.58526 94.58526],0.24719999999999998
4500,[-16.48909 -16.48909],[53.42254 53.42254],0.24599999999999997
4600,[-20.10865 -20.10865],[65.77487 65.77487],0.24479999999999996
4700,[-15.45467 -15.45467],[89.86672 89.86672],0.2436
